time,open,high,low,close,tick_volume,spread,real_volume
1420153200,4.28140,4.28470,4.27720,4.28460,119,720,0
1420156800,4.28460,4.28480,4.27870,4.27880,124,890,0
1420160400,4.27900,4.28480,4.27870,4.28010,886,860,0
1420164000,4.28020,4.28080,4.27860,4.27970,1714,500,0
1420167600,4.27980,4.28360,4.27770,4.27810,624,500,0
1420171200,4.27800,4.28070,4.27730,4.27770,261,710,0
1420174800,4.27750,4.27950,4.27650,4.27720,476,520,0
1420178400,4.27940,4.27940,4.27580,4.27610,276,570,0
1420182000,4.27820,4.28450,4.27590,4.27770,152,490,0
1420185600,4.27810,4.31570,4.27740,4.30380,1745,350,0
1420189200,4.30360,4.30490,4.29370,4.29990,971,350,0
1420192800,4.30160,4.30860,4.30000,4.30690,997,500,0
1420196400,4.30670,4.30670,4.30050,4.30210,684,350,0
1420200000,4.30200,4.30510,4.30110,4.30260,603,350,0
1420203600,4.30250,4.30440,4.30090,4.30230,544,350,0
1420207200,4.30220,4.30460,4.30070,4.30230,705,350,0
1420210800,4.30240,4.30490,4.29840,4.30340,700,350,0
1420214400,4.30330,4.30480,4.29700,4.29790,459,350,0
1420218000,4.29780,4.30480,4.29660,4.29760,476,350,0
1420221600,4.29780,4.30370,4.29730,4.30230,761,350,0
1420225200,4.30240,4.30370,4.29880,4.30040,1659,370,0
1420228800,4.30040,4.30550,4.29970,4.30220,481,350,0
1420232400,4.30550,4.30550,4.29580,4.29860,639,350,0
1420236000,4.29850,4.30510,4.29290,4.29290,214,440,0
1420412400,4.29490,4.29500,4.29030,4.29280,120,1090,0
1420416000,4.29270,4.30240,4.29260,4.29780,183,520,0
1420419600,4.29800,4.30020,4.29670,4.29890,1141,500,0
1420423200,4.29880,4.30080,4.29810,4.29820,259,1500,0
1420426800,4.29840,4.30120,4.29790,4.29910,269,680,0
1420430400,4.29910,4.29990,4.29760,4.29760,646,580,0
1420434000,4.29760,4.29890,4.29680,4.29760,576,500,0
1420437600,4.29760,4.30070,4.29430,4.29890,393,500,0
1420441200,4.30060,4.30240,4.29580,4.30240,387,390,0
1420444800,4.30250,4.31180,4.30220,4.31160,1088,350,0
1420448400,4.31170,4.31720,4.29700,4.29810,1456,350,0
1420452000,4.29800,4.30060,4.29740,4.29890,915,350,0
1420455600,4.29910,4.30570,4.29910,4.30270,785,350,0
1420459200,4.30280,4.30500,4.29900,4.30170,932,350,0
1420462800,4.30160,4.30440,4.29990,4.30090,950,350,0
1420466400,4.30080,4.30190,4.28270,4.28600,1784,350,0
1420470000,4.28590,4.29720,4.28590,4.29670,1389,350,0
1420473600,4.29660,4.29800,4.29200,4.29680,1148,350,0
1420477200,4.29690,4.29890,4.29150,4.29320,1351,350,0
1420480800,4.29330,4.29610,4.28950,4.29240,1296,350,0
1420484400,4.29220,4.29240,4.28530,4.28930,494,350,0
1420488000,4.28900,4.29240,4.28660,4.29050,817,390,0
1420491600,4.29050,4.29120,4.28470,4.28710,313,350,0
1420495200,4.28700,4.28850,4.28450,4.28690,298,350,0
1420498800,4.28680,4.28800,4.28600,4.28610,127,350,0
1420502400,4.28700,4.29480,4.28400,4.29190,210,410,0
1420506000,4.29470,4.29470,4.28870,4.29180,364,360,0
1420509600,4.29170,4.29590,4.29170,4.29460,332,370,0
1420513200,4.29470,4.29660,4.29080,4.29550,417,350,0
1420516800,4.29580,4.29580,4.29040,4.29120,400,350,0
1420520400,4.29110,4.29610,4.29050,4.29310,430,350,0
1420524000,4.29320,4.29690,4.28910,4.29170,365,350,0
1420527600,4.29160,4.29490,4.28570,4.28690,687,410,0
1420531200,4.28680,4.29390,4.28480,4.28710,1547,350,0
1420534800,4.28700,4.30450,4.28690,4.30210,1723,350,0
1420538400,4.30200,4.30740,4.30160,4.30660,1300,350,0
1420542000,4.30670,4.30800,4.30440,4.30590,656,350,0
1420545600,4.30600,4.30610,4.30010,4.30020,811,350,0
1420549200,4.30010,4.30710,4.29990,4.30620,682,350,0
1420552800,4.30610,4.30820,4.30420,4.30720,597,350,0
1420556400,4.30710,4.30860,4.30570,4.30760,731,350,0
1420560000,4.30750,4.31290,4.30200,4.31290,1025,350,0
1420563600,4.31300,4.31710,4.31060,4.31650,770,350,0
1420567200,4.31660,4.32110,4.31630,4.31770,268,350,0
1420570800,4.31780,4.31790,4.31400,4.31400,108,350,0
1420574400,4.31720,4.31720,4.31250,4.31510,213,350,0
1420578000,4.31520,4.31780,4.31230,4.31450,423,350,0
