time,open,high,low,close,tick_volume,spread,real_volume
1275346800,1.93410,1.94440,1.92430,1.93680,13112,0,0
1275433200,1.93460,1.93610,1.92680,1.93080,9610,0,0
1275519600,1.93210,1.93940,1.92710,1.92990,11390,0,0
1275606000,1.92260,1.92780,1.91390,1.92240,5020,0,0
1275951600,1.91200,1.92510,1.41730,1.86260,7788,0,0
1276038000,1.91470,1.92470,1.86580,1.87050,5219,0,0
1276124400,1.89940,1.92390,1.86410,1.88870,10495,0,0
1276210800,1.91500,1.91830,1.90420,1.90810,18449,0,0
1276556400,1.92310,1.93620,1.92170,1.92790,26347,0,0
1276642800,1.92780,1.93240,1.91890,1.92110,22281,0,0
1276729200,1.92120,1.93970,1.91540,1.93160,10462,0,0
1276815600,1.93170,1.93650,1.92240,1.92540,5648,0,0
1277161200,1.91860,1.92380,1.91390,1.92180,7847,0,0
1277247600,1.92170,1.94040,1.91790,1.93410,7379,0,0
1277334000,1.93400,1.95330,1.93140,1.94570,10734,0,0
1277420400,1.94560,1.95320,1.93860,1.94610,7127,0,0
1277766000,1.93000,1.94110,1.92600,1.93920,10772,0,0
1277852400,1.93890,1.94480,1.93010,1.93610,9592,0,0
1277938800,1.93490,1.98090,1.92950,1.97620,11327,0,0
1278025200,1.97590,1.98140,1.95850,1.96620,7658,0,0
1278370800,1.96030,1.96770,1.95380,1.96190,9461,0,0
1278457200,1.95990,1.97110,1.95580,1.96080,8415,0,0
1278543600,1.96110,1.97040,1.95910,1.96740,11277,0,0
1278630000,1.96800,1.97010,1.95700,1.96390,7751,0,0
1278975600,1.95650,1.96920,1.95150,1.96470,8806,0,0
1279062000,1.96480,1.96750,1.95800,1.96310,7430,0,0
1279148400,1.96240,1.98550,1.95770,1.98110,11953,0,0
1279234800,1.98130,1.99730,1.97750,1.99060,8390,0,0
1279580400,1.99050,1.99700,1.96830,1.97210,8470,0,0
1279666800,1.97160,1.97520,1.95200,1.95410,8474,0,0
1279753200,1.95570,1.96300,1.94920,1.95780,12445,0,0
1279839600,1.95780,1.97000,1.94950,1.96410,10086,0,0
1280185200,1.96530,1.97090,1.95770,1.96290,9463,0,0
1280271600,1.96230,1.97090,1.95830,1.96400,7961,0,0
1280358000,1.96390,1.98100,1.96180,1.97680,10535,0,0
1280444400,1.97670,1.98070,1.96100,1.96630,8694,0,0
1280790000,1.96500,1.97950,1.96100,1.97370,10785,0,0
1280876400,1.97100,1.98620,1.96700,1.97080,10641,0,0
1280962800,1.97130,1.98710,1.96900,1.98060,8999,0,0
1281049200,1.98040,1.98670,1.96720,1.97650,5958,0,0
1281394800,1.97280,1.97830,1.95950,1.97280,9409,0,0
1281481200,1.97290,1.97620,1.95020,1.95230,14513,0,0
1281567600,1.95380,1.96450,1.94400,1.94800,15713,0,0
1281654000,1.94850,1.95570,1.93250,1.93270,10464,0,0
1281999600,1.93520,1.93960,1.92440,1.92850,8238,0,0
1282086000,1.92530,1.93240,1.92100,1.92870,8562,0,0
1282172400,1.92700,1.94180,1.91800,1.93390,12958,0,0
1282258800,1.93420,1.93800,1.92020,1.92630,9281,0,0
1282604400,1.93400,1.94470,1.92960,1.93680,10707,0,0
1282690800,1.93690,1.94300,1.92790,1.93280,10785,0,0
1282777200,1.93300,1.94200,1.92850,1.93650,15539,0,0
1282863600,1.93620,1.94210,1.92880,1.93520,9023,0,0
1283209200,1.93060,1.94250,1.92570,1.93590,8911,0,0
1283295600,1.93560,1.95340,1.93000,1.93980,8718,0,0
1283382000,1.93970,1.94220,1.93400,1.93680,9544,0,0
1283468400,1.93670,1.93940,1.92590,1.93390,7076,0,0
1283814000,1.93320,1.93420,1.92020,1.92020,20268,0,0
1283900400,1.92170,1.93390,1.91820,1.92640,8048,0,0
1283986800,1.92640,1.93050,1.91630,1.91890,5666,0,0
1284073200,1.91890,1.92310,1.91050,1.91400,6166,0,0
1284418800,1.92450,1.94380,1.92030,1.93560,9840,0,0
1284505200,1.93560,1.94210,1.93300,1.93810,9346,0,0
1284591600,1.93800,1.96480,1.93240,1.95610,11961,0,0
1284678000,1.95600,1.96820,1.94590,1.94830,9463,0,0
1285023600,1.94660,1.97630,1.94580,1.97050,9478,0,0
1285110000,1.97180,1.99560,1.97070,1.98950,11863,0,0
1285196400,1.98930,1.99550,1.97660,1.97850,10398,0,0
1285282800,1.97840,1.99650,1.97460,1.99020,10871,0,0
1285628400,1.97880,1.99110,1.97500,1.98860,10606,0,0
1285714800,1.98810,1.99210,1.97600,1.97840,11016,0,0
1285801200,1.97830,1.98360,1.96790,1.97230,12380,0,0
1285887600,1.97190,1.99210,1.97010,1.99080,9958,0,0
1286233200,1.99120,1.99810,1.97340,1.97490,11694,0,0
1286319600,1.97460,1.98010,1.96220,1.97390,11319,0,0
1286406000,1.97380,1.98890,1.96980,1.98440,10991,0,0
1286492400,1.98460,1.99200,1.96090,1.97100,9018,0,0
1286838000,1.96500,1.97090,1.96090,1.96210,11030,0,0
1286924400,1.96220,1.97740,1.95910,1.96340,11155,0,0
1287010800,1.96370,1.98580,1.95950,1.98400,12896,0,0
1287097200,1.98420,1.98490,1.96980,1.97540,11404,0,0
1287442800,1.97350,1.98250,1.96920,1.97380,14073,0,0
1287529200,1.97420,1.99150,1.96890,1.98600,11921,0,0
1287615600,1.98630,1.99260,1.97830,1.98740,14666,0,0
1287702000,1.98880,1.99240,1.97980,1.98650,10409,0,0
