time,open,high,low,close,tick_volume,spread,real_volume
1536631200,1.15939,1.15955,1.15929,1.15931,350,8,0
1536634800,1.15931,1.15989,1.15883,1.15888,930,8,0
1536638400,1.15890,1.15895,1.15772,1.15859,1641,8,0
1536642000,1.15859,1.15896,1.15827,1.15884,922,8,0
1536645600,1.15884,1.15995,1.15884,1.15977,1338,8,0
1536649200,1.15977,1.16038,1.15972,1.16005,700,8,0
1536652800,1.16005,1.16123,1.15971,1.16122,954,8,0
1536656400,1.16122,1.16284,1.16080,1.16251,2679,8,0
1536660000,1.16251,1.16436,1.16221,1.16296,3609,8,0
1536663600,1.16297,1.16340,1.16052,1.16142,4416,8,0
1536667200,1.16142,1.16168,1.15947,1.15953,3212,8,0
1536670800,1.15953,1.15963,1.15754,1.15842,3061,8,0
1536674400,1.15842,1.15888,1.15790,1.15804,2289,8,0
1536678000,1.15804,1.15859,1.15649,1.15775,4994,8,0
1536681600,1.15775,1.15880,1.15732,1.15795,3829,8,0
1536685200,1.15796,1.15983,1.15786,1.15834,4532,8,0
1536688800,1.15830,1.15908,1.15756,1.15904,2517,8,0
1536692400,1.15904,1.15973,1.15832,1.15875,1755,8,0
1536696000,1.15875,1.15959,1.15842,1.15901,1610,8,0
1536699600,1.15901,1.15930,1.15842,1.15847,1185,8,0
1536703200,1.15847,1.15904,1.15832,1.15904,1398,8,0
1536706800,1.15911,1.16121,1.15896,1.16041,1703,8,0
1536710400,1.16033,1.16052,1.15943,1.15997,913,9,0
1536714000,1.15997,1.16027,1.15992,1.16017,493,9,0
1536717600,1.16019,1.16032,1.15951,1.15951,507,8,0
1536721200,1.15952,1.15986,1.15907,1.15970,1054,8,0
1536724800,1.15970,1.15974,1.15878,1.15897,770,8,0
1536728400,1.15904,1.15934,1.15876,1.15893,569,8,0
1536732000,1.15893,1.15933,1.15853,1.15854,543,8,0
1536735600,1.15855,1.15881,1.15826,1.15866,625,8,0
1536739200,1.15866,1.15901,1.15796,1.15832,965,8,0
1536742800,1.15832,1.15970,1.15696,1.15708,2531,8,0
1536746400,1.15708,1.16040,1.15700,1.15962,3769,8,0
1536750000,1.15962,1.16043,1.15753,1.15900,4342,8,0
1536753600,1.15899,1.15982,1.15826,1.15943,2902,8,0
1536757200,1.15942,1.15950,1.15788,1.15799,2732,8,0
1536760800,1.15803,1.15927,1.15717,1.15802,4201,8,0
1536764400,1.15802,1.15987,1.15780,1.15916,4007,8,0
1536768000,1.15916,1.15999,1.15870,1.15973,4042,8,0
1536771600,1.15973,1.16252,1.15964,1.16243,4687,8,0
1536775200,1.16243,1.16492,1.16215,1.16255,5978,8,0
1536778800,1.16255,1.16288,1.16159,1.16288,3442,8,0
1536782400,1.16287,1.16403,1.16276,1.16387,2748,8,0
1536786000,1.16387,1.16388,1.16301,1.16317,1787,8,0
1536789600,1.16313,1.16313,1.16226,1.16259,1259,8,0
1536793200,1.16259,1.16290,1.16248,1.16257,727,8,0
1536796800,1.16251,1.16288,1.16247,1.16274,1002,13,0
1536800400,1.16275,1.16317,1.16260,1.16272,589,8,0
1536804000,1.16273,1.16293,1.16250,1.16250,399,8,0
1536807600,1.16250,1.16358,1.16247,1.16348,1436,8,0
1536811200,1.16347,1.16425,1.16332,1.16368,1319,8,0
