time,open,high,low,close,tick_volume,spread,real_volume
1764129600,19.86565,19.90577,19.86565,19.88635,13262,1431,0
1764133200,19.88636,19.90422,19.88029,19.89928,4484,1356,0
1764136800,19.89930,19.90144,19.87845,19.88852,8687,1407,0
1764140400,19.88801,19.89947,19.88225,19.89614,3310,1143,0
1764144000,19.89656,19.90987,19.88129,19.89729,6641,1177,0
1764147600,19.89893,19.90626,19.86793,19.88042,14366,705,0
1764151200,19.88831,19.89527,19.84815,19.86000,17365,705,0
1764154800,19.86011,19.87624,19.83452,19.85487,13584,705,0
1764158400,19.85470,19.85598,19.83753,19.84549,8002,705,0
1764162000,19.84546,19.84552,19.81883,19.82671,9370,705,0
1764165600,19.82573,19.86680,19.81721,19.84191,23480,705,0
1764169200,19.84192,19.85249,19.80803,19.81483,23730,705,0
1764172800,19.81265,19.84912,19.80937,19.83825,13822,705,0
1764176400,19.83845,19.86452,19.81457,19.82987,15687,705,0
1764180000,19.83087,19.84009,19.80899,19.81190,14462,705,0
1764183600,19.81278,19.83813,19.79407,19.82565,9935,705,0
1764187200,19.82566,19.84562,19.81796,19.82481,9395,847,0
1764190800,19.82435,19.87503,19.81604,19.86657,9364,705,0
1764194400,19.86659,19.88322,19.85917,19.87383,7886,705,0
1764198000,19.87408,19.88076,19.85175,19.85325,5590,726,0
1764216000,19.87992,19.89161,19.85922,19.87377,3503,1234,0
1764219600,19.87596,19.88758,19.84680,19.85873,2672,1387,0
1764223200,19.85916,19.86160,19.84163,19.84693,1978,1370,0
1764226800,19.84601,19.87095,19.84221,19.86534,2387,1361,0
1764230400,19.85411,19.87136,19.83651,19.84796,3923,1311,0
1764234000,19.84868,19.86249,19.82154,19.86142,13485,705,0
1764237600,19.86113,19.90474,19.85203,19.89712,6674,705,0
1764241200,19.89761,19.90453,19.87400,19.88492,10642,705,0
1764244800,19.88628,19.88877,19.86177,19.87011,7115,705,0
1764248400,19.87471,19.87855,19.85686,19.87818,6251,705,0
1764252000,19.87818,19.88840,19.87382,19.88126,8001,705,0
1764255600,19.88026,19.89764,19.87544,19.89343,7578,705,0
1764259200,19.89342,19.90690,19.88651,19.90218,8899,705,0
1764262800,19.90284,19.90586,19.88657,19.88848,10342,705,0
1764266400,19.88799,19.89669,19.86462,19.88064,5628,705,0
1764270000,19.87972,19.89187,19.87466,19.88183,1025,748,0
1764273600,19.88245,19.88245,19.87470,19.87570,288,705,0
1764277200,19.87603,19.88848,19.87553,19.88716,293,710,0
1764280800,19.88698,19.89651,19.86590,19.89116,3799,705,0
1764284400,19.89094,19.89275,19.86562,19.86562,518,729,0
1764302400,19.85626,19.89389,19.82026,19.86878,15505,1422,0
1764306000,19.86835,19.88965,19.77226,19.87187,26446,1387,0
1764309600,19.87331,19.89622,19.85054,19.87896,21062,1358,0
1764313200,19.87946,19.94969,19.77968,19.86397,26105,1510,0
1764316800,19.85312,19.96449,19.79674,19.86340,33830,1447,0
1764320400,19.86353,19.89630,19.83336,19.89189,32087,793,0
1764324000,19.89332,19.89811,19.84063,19.85509,16265,716,0
1764327600,19.84768,19.86760,19.81949,19.83619,20974,848,0
1764331200,19.83467,19.83740,19.80775,19.82744,14128,705,0
1764334800,19.82754,19.83461,19.77121,19.81955,16003,705,0
1764338400,19.81972,19.82859,19.78379,19.79980,12965,705,0
1764342000,19.80096,19.82952,19.78939,19.81805,18165,705,0
1764345600,19.81855,19.82773,19.78849,19.80174,13473,705,0
1764349200,19.80113,19.89756,19.78798,19.89481,13223,705,0
1764352800,19.89989,19.89989,19.83312,19.85932,14274,705,0
1764356400,19.85876,19.87045,19.84239,19.84710,9057,759,0
1764360000,19.84762,19.85129,19.83684,19.84901,1483,705,0
1764363600,19.84874,19.85698,19.84335,19.84919,3894,705,0
1764367200,19.84854,19.85627,19.84220,19.84606,3775,705,0
1764370800,19.84563,19.85186,19.81499,19.81575,12925,904,0
1764561600,19.83269,19.87069,19.83097,19.85157,3513,1205,0
1764565200,19.84956,19.86061,19.83983,19.85750,2975,1348,0
1764568800,19.85807,19.86885,19.84827,19.86275,2611,1229,0
1764572400,19.86234,19.88384,19.86216,19.87635,3366,1255,0
1764576000,19.87535,19.89068,19.85023,19.86024,5547,1154,0
1764579600,19.86039,19.90526,19.84040,19.85192,8796,705,0
1764583200,19.84949,19.85629,19.81051,19.84432,13321,705,0
1764586800,19.84660,19.85914,19.81824,19.84840,9730,705,0
1764590400,19.84938,19.87733,19.83656,19.86902,9084,705,0
1764594000,19.86923,19.88623,19.85974,19.86519,9168,705,0
1764597600,19.86529,19.88740,19.85475,19.88463,10675,705,0
1764601200,19.88462,19.89405,19.87184,19.88586,18506,705,0
1764604800,19.88650,19.89030,19.85704,19.85704,19715,705,0
1764608400,19.85741,19.89018,19.83962,19.85105,22695,705,0
1764612000,19.85109,19.86096,19.83694,19.84681,20281,705,0
1764615600,19.84681,19.85331,19.83788,19.84366,15785,721,0
1764619200,19.84292,19.84589,19.83319,19.83959,8217,705,0
1764622800,19.83957,19.84035,19.83020,19.83421,5776,705,0
1764626400,19.83430,19.83752,19.82839,19.83079,5627,705,0
1764630000,19.83076,19.84162,19.81254,19.81254,2207,705,0
1764648000,19.84017,19.85047,19.84017,19.84995,4643,1150,0
1764651600,19.84994,19.85407,19.84441,19.84590,5648,1287,0
1764655200,19.84597,19.85382,19.83907,19.84437,3954,836,0
1764658800,19.84430,19.84737,19.82935,19.84557,2442,1241,0
1764662400,19.84530,19.85170,19.82809,19.83568,4757,1145,0
1764666000,19.83594,19.85291,19.82215,19.84329,15397,705,0
1764669600,19.84378,19.86974,19.83999,19.86553,17968,705,0
1764673200,19.86562,19.88808,19.86305,19.88058,14770,705,0
1764676800,19.87629,19.88634,19.86771,19.88038,16824,705,0
1764680400,19.87598,19.88718,19.87455,19.87820,13413,705,0
1764684000,19.87819,19.87830,19.86446,19.86788,15522,705,0
1764687600,19.86768,19.86848,19.84709,19.84916,15306,705,0
1764691200,19.84926,19.88259,19.84282,19.86966,19988,705,0
1764694800,19.87273,19.89176,19.85677,19.86972,25701,705,0
1764698400,19.87072,19.89036,19.86402,19.87477,18118,705,0
1764702000,19.87436,19.88525,19.86045,19.88451,13129,729,0
1764705600,19.88487,19.89696,19.87325,19.87465,7427,705,0
1764709200,19.87430,19.88159,19.86221,19.87623,6673,705,0
1764712800,19.87639,19.88935,19.87179,19.88874,5625,705,0
1764716400,19.88841,19.89259,19.86297,19.86475,1958,705,0
1764734400,19.88900,19.89697,19.87984,19.89231,6705,1324,0
1764738000,19.89239,19.89584,19.87723,19.89037,3036,1357,0
1764741600,19.88994,19.90140,19.87929,19.90056,2904,1345,0
1764745200,19.90059,19.90407,19.88329,19.89964,5282,1234,0
1764748800,19.89985,19.90373,19.87355,19.88495,5623,1088,0
1764752400,19.88503,19.91015,19.88066,19.88267,14983,705,0
1764756000,19.88282,19.88546,19.85138,19.86295,13349,705,0
1764759600,19.87130,19.91655,19.86633,19.91033,13002,705,0
1764763200,19.91036,19.94387,19.90644,19.92451,12973,705,0
1764766800,19.92493,19.92867,19.90965,19.92138,9630,705,0
1764770400,19.92172,19.93157,19.91556,19.92781,9659,705,0
1764774000,19.92761,19.93177,19.90874,19.91725,15435,705,0
1764777600,19.91710,19.94288,19.88505,19.88950,21295,705,0
1764781200,19.88639,19.90353,19.85565,19.85870,25092,705,0
1764784800,19.85837,19.87755,19.85511,19.87381,14233,705,0
1764788400,19.87376,19.88376,19.86077,19.88087,12225,705,0
1764792000,19.88118,19.89200,19.88031,19.88646,7294,705,0
1764795600,19.88596,19.89798,19.88373,19.89266,5923,705,0
1764799200,19.89268,19.89270,19.87403,19.87927,4269,705,0
1764802800,19.87932,19.88389,19.87056,19.87574,1901,705,0
1764820800,19.87850,19.89504,19.87746,19.88083,3146,1099,0
1764824400,19.88027,19.88885,19.87050,19.88670,3559,1320,0
1764828000,19.88682,19.89057,19.86836,19.88167,3057,786,0
1764831600,19.88211,19.89377,19.87333,19.87542,5033,1097,0
1764835200,19.87536,19.88983,19.86887,19.88369,6792,1170,0
1764838800,19.88240,19.88931,19.86844,19.87674,7140,705,0
1764842400,19.87684,19.90242,19.87180,19.89855,13834,705,0
1764846000,19.89879,19.89879,19.82915,19.83025,9810,705,0
1764849600,19.82314,19.84653,19.82265,19.83793,12279,705,0
1764853200,19.83788,19.84848,19.81592,19.81912,11571,705,0
1764856800,19.81900,19.82289,19.79678,19.81591,14698,705,0
1764860400,19.81573,19.81787,19.76545,19.81656,17495,705,0
1764864000,19.81662,19.82132,19.78598,19.78598,20362,705,0
1764867600,19.78679,19.82021,19.76251,19.80353,19461,705,0
1764871200,19.80354,19.81109,19.78485,19.80319,23579,705,0
1764874800,19.80381,19.81172,19.79056,19.79167,7553,705,0
1764878400,19.79152,19.81460,19.78915,19.80858,7771,705,0
1764882000,19.80802,19.81015,19.79119,19.79351,8692,705,0
1764885600,19.79338,19.80166,19.78247,19.78406,7387,705,0
1764889200,19.78383,19.79209,19.77000,19.77024,3651,705,0
1764907200,19.77299,19.79662,19.77299,19.78111,4054,1209,0
1764910800,19.78117,19.78245,19.76835,19.77793,2845,1192,0
1764914400,19.77801,19.78305,19.75943,19.76422,3507,1313,0
1764918000,19.76346,19.77050,19.75608,19.77006,2465,1144,0
1764921600,19.77002,19.77040,19.75044,19.75831,3826,1100,0
1764925200,19.74944,19.77218,19.74907,19.75369,9994,705,0
1764928800,19.75398,19.76092,19.72125,19.72731,12078,705,0
1764932400,19.72741,19.73110,19.70988,19.72043,8954,705,0
1764936000,19.72623,19.74169,19.72567,19.73161,7708,705,0
1764939600,19.73144,19.74685,19.72448,19.72898,8403,706,0
1764943200,19.72888,19.72896,19.70277,19.70946,9370,705,0
1764946800,19.70945,19.73478,19.69879,19.73008,14789,705,0
1764950400,19.73003,19.74287,19.71404,19.71572,17308,705,0
1764954000,19.71574,19.73763,19.69532,19.73057,22061,705,0
1764957600,19.73074,19.74978,19.71142,19.73661,20284,705,0
1764961200,19.73686,19.74581,19.70334,19.71511,14610,730,0
1764964800,19.71544,19.72584,19.70813,19.72413,14999,749,0
1764968400,19.72419,19.73820,19.72226,19.73106,6802,705,0
1764972000,19.73064,19.73233,19.71930,19.72450,5767,705,0
1764975600,19.72448,19.72694,19.69092,19.69092,5044,846,0
1765166400,19.72118,19.72659,19.71223,19.72238,4960,1354,0
1765170000,19.72275,19.72437,19.71056,19.71760,3911,1314,0
1765173600,19.71777,19.72773,19.71323,19.72235,3056,1343,0
1765177200,19.72241,19.72780,19.71497,19.72558,9191,1317,0
1765180800,19.72485,19.75032,19.72374,19.74153,7372,1239,0
1765184400,19.74142,19.75916,19.73761,19.75289,8594,705,0
1765188000,19.75284,19.79234,19.74946,19.78931,12602,705,0
1765191600,19.78996,19.80026,19.76935,19.78139,11164,705,0
1765195200,19.78137,19.79065,19.76732,19.77770,8559,705,0
1765198800,19.77693,19.78088,19.76534,19.77468,9063,705,0
1765202400,19.77532,19.78037,19.76659,19.77995,9626,705,0
1765206000,19.77900,19.77909,19.76425,19.76630,15218,705,0
1765209600,19.76590,19.79585,19.74735,19.78802,18357,705,0
1765213200,19.78397,19.83017,19.78330,19.81493,25871,705,0
1765216800,19.81507,19.81713,19.79165,19.80918,15734,705,0
1765220400,19.80752,19.82316,19.79599,19.80599,10626,705,0
1765224000,19.80627,19.81648,19.79044,19.81505,9055,705,0
1765227600,19.81538,19.82904,19.81354,19.81912,5711,705,0
1765231200,19.81881,19.82754,19.81464,19.82567,5081,705,0
1765234800,19.82586,19.83269,19.81461,19.81830,2043,705,0
1765252800,19.82409,19.84147,19.81891,19.83942,3415,1341,0
1765256400,19.83991,19.84695,19.82523,19.83767,3931,1350,0
1765260000,19.83762,19.84089,19.82617,19.83768,3464,1362,0
1765263600,19.83716,19.84168,19.82692,19.83905,2648,1208,0
1765267200,19.83880,19.84942,19.83109,19.83515,6910,1162,0
1765270800,19.83543,19.85198,19.82948,19.83442,14565,716,0
1765274400,19.83425,19.84911,19.82359,19.84342,16770,705,0
1765278000,19.84338,19.84945,19.81189,19.82925,19589,705,0
1765281600,19.82922,19.84057,19.82153,19.82952,14799,705,0
1765285200,19.82958,19.84580,19.81793,19.84443,10309,705,0
1765288800,19.84461,19.85139,19.82857,19.84894,10016,705,0
1765292400,19.84880,19.91024,19.84645,19.88191,17215,705,0
1765296000,19.88202,19.89417,19.84299,19.84335,22146,705,0
1765299600,19.84375,19.85874,19.82517,19.82623,28554,705,0
1765303200,19.82672,19.84544,19.80923,19.84408,26487,705,0
1765306800,19.84379,19.85226,19.82458,19.83001,17045,705,0
1765310400,19.82934,19.83164,19.80829,19.81951,13883,705,0
1765314000,19.81926,19.83546,19.81669,19.82782,6874,705,0
1765317600,19.82733,19.83910,19.82010,19.82960,6827,705,0
1765321200,19.82967,19.83373,19.81233,19.81520,3092,705,0
1765339200,19.80819,19.82337,19.80528,19.80939,7060,1193,0
1765342800,19.80971,19.81502,19.80197,19.81238,3590,1336,0
1765346400,19.81226,19.81639,19.80500,19.81340,2733,1243,0
1765350000,19.81403,19.82005,19.80049,19.80468,6349,1348,0
1765353600,19.80493,19.81343,19.79233,19.80400,4418,1238,0
1765357200,19.80355,19.83207,19.79587,19.83011,14179,705,0
1765360800,19.82994,19.83011,19.80906,19.82447,10933,705,0
1765364400,19.82226,19.83255,19.80191,19.80687,11568,705,0
1765368000,19.80644,19.80751,19.76271,19.76631,11721,705,0
1765371600,19.76642,19.77501,19.75547,19.76633,10809,705,0
1765375200,19.76643,19.80384,19.76348,19.80160,11410,705,0
1765378800,19.80146,19.81366,19.78138,19.80184,17784,705,0
1765382400,19.80197,19.81042,19.76607,19.78122,19203,705,0
1765386000,19.78109,19.79020,19.76685,19.78275,18882,705,0
1765389600,19.78269,19.79494,19.77616,19.78826,21025,705,0
1765393200,19.78792,19.80721,19.78556,19.80458,15403,705,0
1765396800,19.80452,19.82692,19.79593,19.79609,9741,749,0
1765400400,19.79675,19.82373,19.75925,19.79519,43968,705,0
1765404000,19.79480,19.80711,19.76773,19.77791,24385,705,0
1765407600,19.77826,19.79913,19.77280,19.77412,4795,729,0
1765425600,19.81244,19.83366,19.80750,19.82014,7809,1391,0
1765429200,19.82022,19.84577,19.80803,19.83252,8817,1297,0
1765432800,19.83261,19.83699,19.81516,19.82749,7870,1295,0
1765436400,19.82723,19.83074,19.81313,19.82888,5041,1161,0
1765440000,19.82816,19.82955,19.79038,19.80052,16774,1276,0
1765443600,19.80065,19.80765,19.77874,19.78557,22437,705,0
1765447200,19.78573,19.79647,19.76447,19.77648,23967,705,0
1765450800,19.77680,19.79379,19.77002,19.78432,22842,705,0
1765454400,19.78465,19.80478,19.77816,19.78417,24742,723,0
1765458000,19.78407,19.83595,19.78406,19.82589,22573,705,0
1765461600,19.82582,19.83926,19.81507,19.83626,32513,705,0
1765465200,19.83676,19.85502,19.82691,19.83637,29470,705,0
1765468800,19.83716,19.85446,19.81987,19.82719,24673,705,0
1765472400,19.82629,19.83093,19.80079,19.80958,26797,705,0
1765476000,19.80946,19.82659,19.78279,19.79851,24209,705,0
1765479600,19.79820,19.82138,19.78182,19.81976,19854,705,0
1765483200,19.81968,19.82816,19.80381,19.81601,15820,705,0
1765486800,19.81582,19.81780,19.79852,19.80598,25276,732,0
1765490400,19.80583,19.81620,19.79890,19.80324,19905,749,0
1765494000,19.80292,19.80748,19.78729,19.79210,3780,705,0
1765512000,19.79723,19.80176,19.78851,19.79478,8582,1371,0
1765515600,19.79484,19.79875,19.78006,19.79105,8365,1410,0
1765519200,19.79138,19.79718,19.78354,19.78749,6480,1387,0
1765522800,19.78788,19.78917,19.76143,19.76707,11332,1370,0
1765526400,19.76617,19.78537,19.74908,19.77060,21027,1237,0
1765530000,19.77086,19.79088,19.74214,19.74252,26612,705,0
1765533600,19.74298,19.77565,19.74214,19.74633,21409,705,0
1765537200,19.74641,19.78595,19.73862,19.76578,20652,705,0
1765540800,19.76597,19.79745,19.76294,19.77529,17566,705,0
1765544400,19.77515,19.79426,19.75909,19.77459,20153,705,0
1765548000,19.77500,19.77666,19.74892,19.77521,16314,705,0
1765551600,19.77531,19.77614,19.75210,19.75444,17920,705,0
1765555200,19.75605,19.78853,19.75144,19.76381,30662,705,0
1765558800,19.76390,19.83310,19.76239,19.83160,31402,705,0
1765562400,19.83169,19.84626,19.78657,19.78987,30772,705,0
1765566000,19.79035,19.81222,19.77807,19.80981,16851,761,0
1765569600,19.80998,19.80998,19.78451,19.79534,13876,719,0
1765573200,19.79564,19.81098,19.79479,19.80387,11671,705,0
1765576800,19.80384,19.82660,19.79427,19.80920,13510,705,0
1765580400,19.80931,19.82712,19.79139,19.80537,5701,717,0
1765771200,19.80150,19.80865,19.79328,19.80130,8442,1451,0
1765774800,19.80151,19.80830,19.78322,19.78915,6687,1392,0
1765778400,19.78934,19.79038,19.76527,19.77022,6177,1362,0
1765782000,19.77012,19.77392,19.75551,19.76560,5356,1272,0
1765785600,19.76563,19.77436,19.73882,19.76039,7813,1254,0
1765789200,19.76157,19.77819,19.75251,19.77015,17323,744,0
1765792800,19.77024,19.77836,19.74696,19.76545,18641,705,0
1765796400,19.76529,19.78221,19.73255,19.73393,18182,705,0
1765800000,19.73383,19.76199,19.73007,19.73612,11969,705,0
1765803600,19.73594,19.73967,19.70229,19.71421,9346,705,0
1765807200,19.71375,19.73823,19.69741,19.71774,12126,705,0
