time,open,high,low,close,tick_volume,spread,real_volume
1764172800,75.92,76.27,75.48,75.56,841,32,0
1764176400,75.52,75.94,75.38,75.62,1452,32,0
1764180000,75.62,76.46,75.61,76.38,1206,32,0
1764183600,76.40,78.27,76.27,78.15,1430,32,0
1764187200,78.15,78.65,77.99,78.42,1377,32,0
1764190800,78.41,78.47,78.06,78.25,1167,32,0
1764194400,78.25,78.41,77.86,78.20,1075,32,0
1764345600,80.94,80.97,79.90,80.30,834,32,0
1764349200,80.30,80.77,80.07,80.38,1342,32,0
1764352800,80.38,80.40,79.10,79.13,1361,32,0
1764356400,79.13,79.39,78.53,78.87,1386,32,0
1764604800,75.02,75.41,74.67,74.83,889,32,0
1764608400,74.83,74.92,72.89,73.64,1683,32,0
1764612000,73.64,74.32,73.08,73.54,1538,32,0
1764615600,73.54,74.15,73.43,73.87,1432,32,0
1764619200,73.88,74.41,73.65,74.10,1379,32,0
1764622800,74.10,74.19,73.57,73.95,1396,32,0
1764626400,73.95,74.65,73.95,74.38,1440,32,0
1764691200,77.13,77.68,76.88,77.68,936,32,0
1764694800,77.67,79.31,77.67,79.05,1902,32,0
1764698400,79.04,79.39,78.49,78.99,1675,32,0
1764702000,78.99,80.06,78.97,79.58,1537,32,0
1764705600,79.56,80.24,79.54,80.01,1437,32,0
1764709200,80.01,80.32,79.94,79.95,1187,32,0
1764712800,79.96,80.00,78.96,79.21,1346,32,0
1764777600,80.56,81.50,80.16,80.35,1042,32,0
1764781200,80.35,80.92,79.97,80.37,1812,32,0
1764784800,80.37,80.70,79.85,80.25,1514,32,0
1764788400,80.25,80.97,80.21,80.89,1431,32,0
1764792000,80.89,81.38,80.36,80.58,1277,32,0
1764795600,80.57,81.01,80.51,80.95,1078,32,0
1764799200,80.94,81.24,80.75,80.86,1242,32,0
1764864000,80.73,80.73,79.85,79.94,932,32,0
1764867600,79.93,81.13,79.93,80.91,1662,32,0
1764871200,80.91,81.08,80.27,80.44,1471,32,0
1764874800,80.44,80.54,79.84,80.42,1427,32,0
1764878400,80.42,80.57,79.99,80.18,1343,32,0
1764882000,80.18,80.22,79.08,80.04,1552,32,0
1764885600,80.03,80.54,79.79,80.51,1389,32,0
1764950400,78.70,78.96,78.25,78.57,936,32,0
1764954000,78.57,79.59,78.55,78.71,1762,32,0
1764957600,78.71,78.75,76.70,77.29,1935,32,0
1764961200,77.30,77.91,77.14,77.76,1557,32,0
1764964800,77.75,78.18,77.39,77.41,1453,32,0
1764968400,77.41,78.19,77.32,78.04,1410,32,0
1764972000,78.04,78.13,77.62,77.73,1186,32,0
1765209600,79.48,79.79,78.97,79.03,996,32,0
1765213200,79.02,79.14,77.94,78.25,1809,32,0
1765216800,78.24,78.71,77.99,78.26,1593,32,0
1765220400,78.26,78.58,78.00,78.51,1428,32,0
1765224000,78.49,78.74,78.03,78.21,1478,32,0
1765227600,78.21,78.62,78.14,78.38,1382,32,0
1765231200,78.38,79.08,78.38,78.98,1356,32,0
1765296000,78.52,78.80,78.29,78.61,924,32,0
1765299600,78.62,80.81,78.53,80.67,1922,32,0
1765303200,80.67,82.26,80.67,81.99,1786,32,0
1765306800,81.99,82.36,81.41,81.75,1587,32,0
1765310400,81.75,81.97,81.50,81.74,1290,32,0
1765314000,81.74,81.96,81.51,81.63,1215,32,0
1765317600,81.63,81.67,80.71,81.00,1451,32,0
1765382400,79.95,80.14,79.67,79.88,835,32,0
1765386000,79.87,80.18,79.66,80.10,1507,32,0
1765389600,80.09,80.53,79.92,80.17,1396,32,0
1765393200,80.17,80.49,80.09,80.38,1310,32,0
1765396800,80.36,80.95,80.02,80.42,1440,32,0
1765400400,80.42,81.12,79.85,80.90,2098,32,0
1765404000,80.92,82.23,80.33,80.46,2005,32,0
1765468800,78.47,78.74,77.65,77.89,958,32,0
1765472400,77.87,78.86,77.76,78.21,1739,32,0
1765476000,78.18,78.47,77.70,78.06,1557,32,0
1765479600,78.07,78.54,77.96,78.28,1309,32,0
1765483200,78.26,79.35,78.18,78.92,1438,32,0
1765486800,78.92,79.66,78.81,79.03,1488,32,0
1765490400,79.03,79.89,78.99,79.85,1369,32,0
1765555200,80.15,80.65,79.94,80.44,896,32,0
1765558800,80.43,80.45,78.08,78.21,1886,32,0
1765562400,78.21,78.68,77.82,78.34,1896,32,0
1765566000,78.35,78.86,78.15,78.37,1611,32,0
1765569600,78.38,78.89,78.33,78.64,1414,32,0
1765573200,78.65,78.66,78.28,78.46,1398,32,0
1765576800,78.47,78.61,78.16,78.48,1213,32,0
1765814400,77.71,78.17,76.35,76.54,994,32,0
1765818000,76.53,76.67,75.30,75.65,2023,32,0
1765821600,75.65,75.83,74.80,75.09,1764,32,0
1765825200,75.08,75.19,74.39,74.55,1585,32,0
1765828800,74.54,74.98,74.03,74.91,1602,32,0
1765832400,74.91,75.24,74.61,74.87,1576,32,0
1765836000,74.87,74.91,74.39,74.57,1501,32,0
1765900800,75.57,76.32,75.47,75.92,1004,32,0
1765904400,75.91,76.67,75.48,76.51,1804,32,0
1765908000,76.51,76.60,76.02,76.17,1623,32,0
1765911600,76.16,76.39,75.74,75.77,1314,32,0
1765915200,75.77,76.55,75.72,76.34,1260,32,0
1765918800,76.32,76.36,75.89,76.16,1236,32,0
1765922400,76.16,76.40,75.94,76.17,1230,32,0
1765987200,76.24,78.03,75.86,77.97,973,32,0
1765990800,77.97,78.59,75.79,75.83,2124,32,0
1765994400,75.83,76.29,74.90,75.65,1996,32,0
1765998000,75.65,75.73,74.98,75.11,1527,32,0
1766001600,75.13,75.51,74.45,74.60,1535,32,0
1766005200,74.61,74.92,74.15,74.75,1555,32,0
1766008800,74.78,74.98,74.43,74.67,1285,32,0
1766073600,76.96,77.49,76.31,76.84,1039,32,0
1766077200,76.86,77.68,76.46,76.94,1785,32,0
1766080800,76.95,76.96,76.39,76.48,1551,32,0
1766084400,76.49,76.50,74.28,75.16,1947,32,0
1766088000,75.15,75.51,74.52,74.74,1649,32,0
1766091600,74.73,74.78,73.42,73.42,1782,32,0
1766095200,73.42,74.09,73.40,73.60,1707,32,0
1766160000,76.54,76.95,76.09,76.66,970,32,0
1766163600,76.66,77.73,76.18,76.45,1868,32,0
1766167200,76.45,77.27,76.36,76.47,1560,32,0
1766170800,76.47,76.80,75.52,75.57,1528,32,0
1766174400,75.55,76.03,75.47,75.73,1350,32,0
1766178000,75.74,76.56,75.72,76.32,1314,32,0
1766181600,76.32,76.79,76.11,76.49,1344,32,0
1766419200,78.18,78.52,77.75,78.38,968,32,0
1766422800,78.38,78.61,77.53,77.99,1743,32,0
1766426400,77.99,78.36,77.84,77.85,1358,32,0
1766430000,77.83,77.86,77.45,77.62,1181,32,0
1766433600,77.62,77.82,77.46,77.46,991,32,0
1766437200,77.46,77.47,76.43,76.51,1327,32,0
1766440800,76.50,76.89,76.37,76.78,1277,32,0
1766505600,76.11,76.25,75.23,75.44,935,32,0
1766509200,75.43,76.09,75.32,75.97,1424,32,0
1766512800,75.97,76.61,75.88,76.46,1375,32,0
1766516400,76.46,76.72,75.75,75.75,1234,32,0
1766520000,75.76,76.59,75.74,76.43,1169,32,0
1766523600,76.43,76.49,76.13,76.23,996,32,0
1766527200,76.24,76.78,76.04,76.17,1158,32,0
1766592000,75.79,75.85,75.09,75.59,875,32,0
1766595600,75.57,75.79,75.21,75.63,1389,32,0
1766599200,75.63,76.17,75.50,75.83,1207,32,0
1766602800,75.83,76.08,75.78,75.87,957,32,0
1766606400,75.87,75.99,75.70,75.94,214,33,0
1766764800,77.35,77.40,75.88,75.92,935,32,0
1766768400,75.89,75.90,75.24,75.65,1499,32,0
1766772000,75.67,75.92,75.42,75.43,1270,32,0
1766775600,75.45,75.97,75.41,75.85,1058,32,0
1766779200,75.84,75.90,75.70,75.81,885,32,0
1766782800,75.81,76.08,75.77,76.00,710,32,0
1766786400,76.00,76.27,75.91,76.07,763,32,0
1767024000,75.94,76.62,75.81,75.92,955,32,0
1767027600,75.90,76.35,75.72,76.15,1383,32,0
1767031200,76.15,76.31,75.92,76.12,1111,32,0
1767034800,76.12,76.32,75.85,76.32,1004,32,0
1767038400,76.32,76.46,75.87,75.97,925,32,0
1767042000,75.97,76.17,75.84,75.87,873,32,0
1767045600,75.87,76.10,75.60,75.74,916,32,0
1767110400,76.57,77.37,76.33,77.24,877,32,0
1767114000,77.21,77.50,76.65,77.38,1529,32,0
1767117600,77.41,77.75,76.99,77.14,1351,32,0
1767121200,77.14,77.29,76.62,76.82,1044,32,0
1767124800,76.81,76.94,76.59,76.74,905,32,0
1767128400,76.74,76.85,76.43,76.67,893,32,0
1767132000,76.67,76.68,76.33,76.39,734,32,0
1767196800,77.32,77.32,76.67,76.88,816,32,0
1767200400,76.87,76.88,76.22,76.35,1407,32,0
1767204000,76.36,76.44,75.83,76.12,1284,32,0
1767207600,76.12,76.18,75.94,76.04,920,32,0
1767211200,76.06,76.38,75.99,76.33,413,32,0
1767369600,77.25,78.40,76.87,77.92,1012,32,0
1767373200,77.90,78.20,77.16,77.75,1835,32,0
1767376800,77.76,79.02,77.53,78.63,1734,32,0
1767380400,78.63,79.18,78.47,78.65,1547,32,0
1767384000,78.67,78.84,77.88,78.09,1330,32,0
1767387600,78.09,78.44,77.99,78.21,1318,32,0
1767391200,78.22,78.38,77.96,78.11,1144,32,0
1767628800,80.62,81.46,80.33,81.27,995,32,0
1767632400,81.29,81.82,81.01,81.78,1656,32,0
1767636000,81.78,81.89,81.43,81.54,1370,32,0
1767639600,81.54,82.20,81.13,82.10,1247,32,0
1767643200,82.10,82.26,81.71,82.20,1106,32,0
1767646800,82.20,82.25,81.89,82.05,1018,32,0
1767650400,82.05,82.50,81.82,81.94,1175,32,0
1767715200,82.04,82.08,81.30,81.59,931,32,0
1767718800,81.60,82.04,81.11,81.44,1592,32,0
1767722400,81.43,81.56,80.22,80.54,1450,32,0
1767726000,80.54,80.64,79.53,79.57,1427,32,0
1767729600,79.57,80.13,79.29,79.96,1277,32,0
1767733200,79.96,80.23,79.83,80.04,911,32,0
1767736800,80.05,80.58,80.03,80.42,871,32,0
1767801600,79.47,80.07,79.37,79.89,825,32,0
1767805200,79.88,79.92,79.07,79.34,1551,32,0
1767808800,79.34,79.74,79.15,79.26,1214,32,0
1767812400,79.26,79.65,79.06,79.23,1081,32,0
1767816000,79.23,79.42,78.81,78.96,1031,32,0
1767819600,78.96,79.29,78.75,79.19,992,32,0
1767823200,79.19,79.30,78.84,79.06,903,32,0
1767888000,77.79,78.31,77.54,78.16,906,32,0
1767891600,78.14,78.92,77.98,78.87,1571,32,0
1767895200,78.86,79.01,78.41,79.00,1311,32,0
1767898800,79.00,79.46,78.93,79.38,1146,32,0
1767902400,79.38,79.48,79.00,79.17,866,32,0
1767906000,79.17,79.36,78.88,79.01,877,32,0
1767909600,79.01,79.04,78.67,78.98,989,32,0
1767974400,78.74,78.80,78.11,78.28,857,32,0
1767978000,78.28,79.98,78.02,79.22,1761,32,0
1767981600,79.23,79.77,79.21,79.63,1403,32,0
1767985200,79.64,79.67,79.05,79.43,1182,32,0
1767988800,79.43,79.52,78.47,78.89,1192,32,0
1767992400,78.89,78.90,78.32,78.46,1051,32,0
1767996000,78.45,78.70,78.36,78.44,995,32,0
1768233600,78.38,79.17,78.30,78.96,847,32,0
1768237200,78.95,79.67,78.78,79.66,1550,32,0
1768240800,79.66,80.27,79.62,80.10,1398,32,0
1768244400,80.11,80.27,79.14,79.54,1249,32,0
1768248000,79.54,79.93,79.44,79.70,1073,32,0
1768251600,79.70,79.88,79.45,79.86,917,32,0
1768255200,79.87,80.02,79.43,79.53,819,32,0
1768320000,80.31,80.79,80.23,80.35,882,32,0
1768323600,80.36,81.31,80.05,81.31,1615,32,0
1768327200,81.31,81.60,80.96,81.27,1326,32,0
1768330800,81.28,81.37,80.96,81.12,1168,32,0
1768334400,81.11,81.67,81.06,81.44,1139,32,0
1768338000,81.44,82.01,81.29,82.00,1170,32,0
1768341600,82.00,82.25,81.90,82.16,1123,32,0
1768406400,83.16,84.26,82.91,83.94,965,32,0
1768410000,83.94,84.50,83.69,84.20,1715,32,0
1768413600,84.21,85.02,84.18,84.67,1546,32,0
1768417200,84.65,85.14,84.27,84.38,1426,32,0
1768420800,84.37,84.53,83.76,84.24,1378,32,0
1768424400,84.24,84.97,84.13,84.64,1248,32,0
1768428000,84.63,85.20,84.57,84.98,1417,32,0
1768492800,84.15,84.28,83.10,83.49,915,32,0
1768496400,83.49,84.11,82.97,84.11,1686,32,0
1768500000,84.08,84.25,83.70,84.11,1455,32,0
1768503600,84.12,84.40,83.82,84.00,1252,32,0
1768507200,84.01,84.02,83.25,83.34,1139,32,0
1768510800,83.34,83.41,82.77,83.01,1338,32,0
1768514400,83.00,83.15,82.68,82.80,1027,32,0
1768579200,83.26,83.35,82.74,82.74,825,32,0
1768582800,82.74,83.19,81.93,82.19,1699,32,0
1768586400,82.20,82.59,82.10,82.45,1222,32,0
1768590000,82.45,82.70,82.18,82.65,1047,32,0
1768593600,82.65,82.79,82.54,82.57,925,32,0
1768597200,82.57,82.62,82.41,82.57,837,32,0
1768600800,82.57,83.11,82.26,83.10,898,32,0
1768924800,79.07,79.35,78.36,78.58,982,32,0
1768928400,78.58,78.83,78.00,78.74,1732,32,0
1768932000,78.75,79.01,78.15,78.27,1289,32,0
1768935600,78.28,78.60,77.63,77.91,1383,32,0
1768939200,77.92,78.07,77.58,77.66,1169,32,0
1768942800,77.67,77.95,77.50,77.87,1187,32,0
1768946400,77.87,78.00,77.58,77.84,1117,32,0
1769011200,77.94,78.19,77.59,77.98,1013,32,0
1769014800,77.98,78.67,77.93,78.43,1614,32,0
1769018400,78.43,78.50,76.02,76.04,1607,32,0
1769022000,76.04,76.52,75.75,76.29,1787,32,0
1769025600,76.28,76.96,76.00,76.81,1491,32,0
1769029200,76.82,78.56,76.64,78.47,1705,32,0
1769032800,78.48,78.50,77.69,78.31,1514,32,0
1769097600,77.77,77.94,77.32,77.37,916,32,0
1769101200,77.37,77.67,76.86,77.28,1747,32,0
1769104800,77.29,77.52,76.99,77.30,1451,32,0
1769108400,77.30,77.83,77.29,77.76,1289,32,0
1769112000,77.76,77.99,77.54,77.57,1161,32,0
1769115600,77.58,78.12,77.37,77.98,1105,32,0
1769119200,77.98,78.15,77.64,77.65,1044,32,0
1769184000,77.88,77.93,76.98,77.26,901,32,0
1769187600,77.24,78.07,76.89,77.95,1602,32,0
1769191200,77.95,78.62,77.70,78.30,1509,32,0
1769194800,78.29,79.26,78.14,78.71,1392,32,0
1769198400,78.71,79.12,78.59,78.64,1256,32,0
1769202000,78.65,78.66,77.84,78.15,1396,32,0
1769205600,78.15,78.33,77.48,77.74,1362,32,0
1769443200,76.13,76.87,75.94,76.57,864,32,0
1769446800,76.58,77.18,75.83,76.13,1611,32,0
1769450400,76.13,76.40,75.74,76.09,1352,32,0
1769454000,76.09,76.24,75.61,76.15,972,32,0
1769457600,76.15,76.81,76.12,76.80,992,32,0
1769461200,76.80,76.93,76.37,76.43,809,32,0
1769464800,76.43,76.55,76.01,76.09,717,32,0
1769529600,76.63,76.70,76.07,76.14,796,32,0
1769533200,76.15,76.54,76.00,76.42,1418,32,0
1769536800,76.42,77.13,76.39,76.96,1339,32,0
1769540400,76.96,77.02,75.77,75.99,1389,32,0
1769544000,75.99,76.84,75.89,76.63,1219,32,0
1769547600,76.64,76.89,76.44,76.76,974,32,0
1769551200,76.74,77.72,76.73,77.64,1288,32,0
1769616000,78.10,78.30,77.65,77.81,843,32,0
1769619600,77.81,78.04,77.19,77.72,1443,32,0
1769623200,77.73,78.01,77.49,77.83,1206,32,0
1769626800,77.83,78.66,77.51,78.31,1171,32,0
1769630400,78.31,78.31,77.58,77.73,1153,32,0
1769634000,77.71,77.90,77.28,77.63,1717,32,0
1769637600,77.63,78.04,77.26,77.39,1181,32,0
1769702400,76.18,76.31,75.48,75.48,767,32,0
1769706000,75.48,75.50,73.15,73.64,1975,32,0
1769709600,73.65,74.05,73.10,73.93,1692,32,0
1769713200,73.94,74.24,72.89,73.03,1461,32,0
1769716800,73.04,73.37,72.32,72.35,1636,32,0
1769720400,72.35,73.05,72.27,72.79,1326,32,0
1769724000,72.80,73.17,72.66,73.01,974,32,0
1769788800,71.99,72.73,71.83,72.12,968,32,0
1769792400,72.13,72.59,71.48,71.92,1805,32,0
1769796000,71.92,72.50,71.64,72.18,1686,32,0
1769799600,72.18,72.48,71.71,72.00,1613,32,0
1769803200,71.99,73.08,71.09,72.86,1748,32,0
1769806800,72.87,73.50,72.87,73.13,1675,32,0
1769810400,73.14,73.18,72.52,72.85,1655,32,0
1770048000,67.83,68.58,67.56,67.62,1038,32,0
1770051600,67.62,68.97,67.39,68.56,1866,32,0
1770055200,68.56,68.94,68.29,68.34,1543,32,0
1770058800,68.34,68.87,68.31,68.64,1402,32,0
1770062400,68.64,68.64,68.08,68.26,1196,32,0
1770066000,68.25,68.39,68.00,68.06,1239,32,0
1770069600,68.03,68.37,67.66,67.75,1352,32,0
1770134400,68.08,68.11,67.00,67.03,958,32,0
1770138000,67.01,67.92,66.90,67.84,1858,32,0
1770141600,67.86,67.86,66.38,66.40,1737,32,0
1770145200,66.38,66.43,64.97,65.00,1692,32,0
1770148800,65.00,65.35,63.43,63.45,1794,32,0
1770152400,63.43,65.30,63.30,65.04,1908,32,0
1770156000,65.03,66.60,64.73,66.41,1753,32,0
1770220800,65.36,65.70,64.39,64.46,1034,32,0
1770224400,64.44,65.35,64.00,64.27,2127,32,0
1770228000,64.28,64.38,63.34,63.83,1935,32,0
1770231600,63.83,64.04,62.57,62.85,1971,32,0
1770235200,62.86,64.21,62.59,63.61,1937,32,0
1770238800,63.61,64.16,63.29,64.07,1736,32,0
1770242400,64.07,64.26,63.62,63.69,1330,32,0
1770307200,60.81,61.47,60.08,60.15,1053,32,0
1770310800,60.14,60.30,57.86,58.50,2183,32,0
1770314400,58.50,59.53,58.02,59.22,2034,32,0
1770318000,59.21,59.28,57.29,57.33,2083,32,0
1770321600,57.32,57.67,56.65,57.54,2011,32,0
1770325200,57.52,57.75,56.48,56.55,1938,32,0
1770328800,56.56,56.94,54.10,55.28,2125,32,0
1770393600,58.34,59.64,58.33,59.24,989,32,0
1770397200,59.25,60.13,58.91,59.66,1965,32,0
1770400800,59.65,61.04,59.48,60.80,1736,32,0
1770404400,60.79,62.15,60.48,61.51,1608,32,0
1770408000,61.50,61.55,60.28,60.64,1614,32,0
1770411600,60.63,61.61,60.54,61.43,1485,32,0
1770415200,61.43,61.66,60.83,60.87,1421,32,0
1770652800,59.91,60.54,59.45,60.17,1064,32,0
1770656400,60.17,60.68,59.76,60.42,1686,32,0
1770660000,60.41,61.15,60.00,60.88,1631,32,0
1770663600,60.88,61.63,60.68,61.32,1514,32,0
1770667200,61.32,61.69,60.86,61.16,1519,32,0
1770670800,61.15,61.75,61.02,61.64,1300,32,0
1770674400,61.60,61.81,61.25,61.49,1228,32,0
1770739200,60.19,60.27,58.97,59.41,968,32,0
1770742800,59.41,60.38,59.26,60.17,1844,32,0
1770746400,60.17,60.62,59.85,60.38,1602,32,0
1770750000,60.37,60.80,60.18,60.74,1399,32,0
1770753600,60.74,60.76,59.59,59.85,1510,32,0
1770757200,59.84,60.20,59.66,59.98,1335,32,0
1770760800,59.98,60.06,59.60,59.70,1165,32,0
1770825600,59.02,59.26,57.69,57.79,1046,32,0
1770829200,57.79,58.01,57.07,57.75,1952,32,0
1770832800,57.74,58.36,57.25,57.32,1697,32,0
1770836400,57.31,58.07,57.18,57.72,1517,32,0
1770840000,57.73,58.43,57.40,58.41,1464,32,0
1770843600,58.41,58.90,58.26,58.68,1332,32,0
1770847200,58.66,58.83,58.31,58.63,1108,32,0
1770912000,59.01,59.30,58.59,58.69,890,32,0
1770915600,58.67,59.05,58.19,58.27,1719,32,0
1770919200,58.27,58.37,56.89,57.15,1896,32,0
1770922800,57.09,57.51,56.71,56.75,1664,32,0
1770926400,56.77,57.08,56.49,56.92,1536,32,0
1770930000,56.92,57.38,56.62,57.06,1349,32,0
1770933600,57.08,57.29,56.57,56.75,1261,32,0
1770998400,58.46,59.09,58.04,58.84,1031,32,0
1771002000,58.86,60.19,58.80,59.66,1902,32,0
1771005600,59.65,60.31,59.52,59.89,1646,32,0
1771009200,59.89,60.15,59.61,59.97,1418,32,0
1771012800,59.98,60.29,59.85,60.06,1383,32,0
1771016400,60.06,60.14,59.86,59.89,1156,32,0
1771020000,59.87,59.91,59.64,59.74,1195,32,0
1771344000,59.09,59.27,57.90,58.02,965,32,0
1771347600,58.02,58.51,57.82,58.50,1742,32,0
1771351200,58.51,59.17,58.44,58.61,1589,32,0
1771354800,58.62,58.80,58.05,58.36,1477,32,0
1771358400,58.36,59.22,58.25,59.11,1337,32,0
1771362000,59.12,59.25,58.81,58.85,1159,32,0
1771365600,58.85,58.97,58.57,58.86,1093,32,0
1771430400,58.33,58.45,57.90,58.35,900,32,0
1771434000,58.36,59.36,58.33,58.78,1369,32,0
1771437600,58.78,58.79,58.15,58.28,1275,32,0
1771441200,58.29,58.59,58.20,58.33,933,32,0
1771444800,58.34,58.37,57.49,57.59,1143,32,0
1771448400,57.59,57.84,57.17,57.43,1346,32,0
1771452000,57.45,57.77,57.40,57.51,968,32,0
1771516800,57.21,57.90,56.98,57.67,879,32,0
1771520400,57.66,57.97,57.28,57.65,1513,32,0
1771524000,57.65,57.76,57.19,57.55,1309,32,0
1771527600,57.57,58.23,57.45,57.61,1318,32,0
1771531200,57.62,58.24,57.51,58.21,1235,32,0
1771534800,58.21,58.37,57.92,58.23,1130,32,0
1771538400,58.22,58.35,58.03,58.27,1001,32,0
1771603200,58.22,58.48,58.08,58.26,836,32,0
1771606800,58.28,59.13,57.81,58.72,1874,32,0
1771610400,58.72,59.01,58.46,58.90,1457,32,0
1771614000,58.90,58.90,58.16,58.75,1456,32,0
