time,open,high,low,close,tick_volume,spread,real_volume
1764118800,0.2686,0.2749,0.2686,0.2736,158,124,0
1764122400,0.2736,0.2760,0.2723,0.2726,800,124,0
1764126000,0.2727,0.2758,0.2714,0.2737,583,124,0
1764129600,0.2737,0.2741,0.2699,0.2702,375,124,0
1764133200,0.2703,0.2726,0.2676,0.2683,420,124,0
1764136800,0.2683,0.2691,0.2661,0.2664,350,124,0
1764140400,0.2663,0.2706,0.2663,0.2704,384,124,0
1764144000,0.2704,0.2730,0.2686,0.2722,478,124,0
1764147600,0.2722,0.2734,0.2702,0.2713,446,124,0
1764151200,0.2713,0.2713,0.2662,0.2664,435,124,0
1764154800,0.2664,0.2680,0.2587,0.2590,542,124,0
1764158400,0.2590,0.2611,0.2572,0.2578,497,124,0
1764162000,0.2577,0.2592,0.2556,0.2578,450,124,0
1764165600,0.2578,0.2585,0.2550,0.2573,567,124,0
1764169200,0.2572,0.2605,0.2569,0.2598,535,124,0
1764172800,0.2598,0.2615,0.2571,0.2574,846,124,0
1764176400,0.2576,0.2582,0.2454,0.2476,1251,124,0
1764180000,0.2476,0.2534,0.2476,0.2505,835,124,0
1764183600,0.2505,0.2620,0.2499,0.2595,1112,124,0
1764187200,0.2596,0.2647,0.2589,0.2645,1121,124,0
1764190800,0.2645,0.2645,0.2585,0.2613,661,124,0
1764194400,0.2613,0.2620,0.2589,0.2606,611,124,0
1764198000,0.2606,0.2647,0.2601,0.2644,538,124,0
1764201600,0.2636,0.2667,0.2626,0.2636,423,124,0
1764205200,0.2636,0.2638,0.2598,0.2610,366,123,0
1764208800,0.2609,0.2618,0.2593,0.2605,413,124,0
1764212400,0.2605,0.2640,0.2601,0.2627,486,123,0
1764216000,0.2627,0.2643,0.2610,0.2626,570,124,0
1764219600,0.2626,0.2633,0.2573,0.2580,488,124,0
1764223200,0.2580,0.2615,0.2580,0.2608,349,124,0
1764226800,0.2608,0.2608,0.2575,0.2584,425,124,0
1764230400,0.2583,0.2610,0.2582,0.2603,342,123,0
1764234000,0.2603,0.2607,0.2589,0.2597,353,124,0
1764237600,0.2597,0.2598,0.2574,0.2595,352,123,0
1764241200,0.2596,0.2648,0.2592,0.2627,493,124,0
1764244800,0.2627,0.2627,0.2594,0.2613,411,124,0
1764248400,0.2613,0.2616,0.2587,0.2590,330,124,0
1764252000,0.2590,0.2601,0.2581,0.2590,373,124,0
1764255600,0.2590,0.2617,0.2588,0.2600,494,124,0
1764259200,0.2600,0.2635,0.2597,0.2612,441,124,0
1764262800,0.2611,0.2628,0.2599,0.2628,430,123,0
1764266400,0.2628,0.2645,0.2617,0.2637,524,124,0
1764270000,0.2636,0.2638,0.2611,0.2624,382,124,0
1764273600,0.2625,0.2635,0.2606,0.2627,370,123,0
1764277200,0.2627,0.2630,0.2613,0.2621,314,124,0
1764280800,0.2621,0.2650,0.2618,0.2647,354,124,0
1764284400,0.2647,0.2652,0.2626,0.2628,366,124,0
1764288000,0.2627,0.2633,0.2582,0.2586,489,123,0
1764291600,0.2586,0.2591,0.2549,0.2566,514,124,0
1764295200,0.2566,0.2581,0.2555,0.2569,569,124,0
1764298800,0.2569,0.2575,0.2527,0.2538,566,124,0
1764302400,0.2538,0.2542,0.2517,0.2538,596,124,0
1764306000,0.2538,0.2549,0.2532,0.2542,351,124,0
1764309600,0.2543,0.2554,0.2534,0.2540,307,124,0
1764313200,0.2540,0.2568,0.2533,0.2563,363,124,0
1764316800,0.2563,0.2573,0.2542,0.2567,370,123,0
1764320400,0.2567,0.2582,0.2562,0.2573,328,124,0
1764324000,0.2574,0.2741,0.2574,0.2723,1196,124,0
1764327600,0.2723,0.2729,0.2677,0.2701,706,124,0
1764331200,0.2701,0.2706,0.2660,0.2674,535,124,0
1764334800,0.2674,0.2674,0.2610,0.2657,829,124,0
1764338400,0.2656,0.2706,0.2655,0.2695,549,124,0
1764342000,0.2695,0.2743,0.2668,0.2708,778,124,0
1764345600,0.2708,0.2723,0.2663,0.2691,928,124,0
1764349200,0.2691,0.2707,0.2670,0.2686,771,124,0
1764352800,0.2687,0.2689,0.2622,0.2632,761,124,0
1764356400,0.2634,0.2645,0.2607,0.2625,882,124,0
1764360000,0.2629,0.2632,0.2576,0.2593,793,124,0
1764363600,0.2593,0.2630,0.2592,0.2620,548,124,0
1764367200,0.2620,0.2647,0.2601,0.2637,558,124,0
1764370800,0.2637,0.2640,0.2592,0.2596,367,124,0
1764439200,0.2576,0.2577,0.2570,0.2574,36,124,0
1764468000,0.2534,0.2544,0.2528,0.2533,236,124,0
1764471600,0.2533,0.2548,0.2519,0.2530,280,123,0
1764475200,0.2530,0.2553,0.2524,0.2525,247,124,0
1764478800,0.2525,0.2531,0.2484,0.2513,386,124,0
1764482400,0.2512,0.2523,0.2484,0.2489,322,124,0
1764486000,0.2489,0.2500,0.2480,0.2487,303,123,0
1764489600,0.2487,0.2520,0.2485,0.2502,285,124,0
1764493200,0.2502,0.2526,0.2502,0.2517,257,124,0
1764496800,0.2519,0.2532,0.2493,0.2512,402,124,0
1764500400,0.2512,0.2521,0.2504,0.2512,321,124,0
1764504000,0.2512,0.2523,0.2499,0.2507,302,124,0
1764507600,0.2507,0.2513,0.2493,0.2497,263,124,0
1764511200,0.2497,0.2529,0.2483,0.2516,374,123,0
1764514800,0.2516,0.2541,0.2513,0.2524,474,124,0
1764518400,0.2524,0.2529,0.2502,0.2514,354,124,0
1764522000,0.2514,0.2536,0.2495,0.2521,378,124,0
1764525600,0.2521,0.2565,0.2521,0.2557,405,124,0
1764529200,0.2557,0.2592,0.2538,0.2570,480,124,0
1764532800,0.2570,0.2572,0.2551,0.2558,363,124,0
1764536400,0.2558,0.2566,0.2541,0.2545,276,124,0
1764540000,0.2546,0.2561,0.2532,0.2544,293,123,0
1764543600,0.2544,0.2563,0.2531,0.2561,316,124,0
1764547200,0.2565,0.2604,0.2557,0.2570,437,124,0
1764550800,0.2570,0.2570,0.2492,0.2497,565,124,0
1764554400,0.2497,0.2503,0.2261,0.2264,2148,124,0
1764558000,0.2264,0.2310,0.2254,0.2259,1327,124,0
1764561600,0.2259,0.2285,0.2248,0.2264,859,124,0
1764565200,0.2263,0.2267,0.2215,0.2227,710,124,0
1764568800,0.2227,0.2233,0.2189,0.2214,678,124,0
1764572400,0.2214,0.2270,0.2212,0.2236,519,124,0
1764576000,0.2236,0.2252,0.2226,0.2233,456,124,0
1764579600,0.2233,0.2251,0.2219,0.2248,475,124,0
1764583200,0.2248,0.2276,0.2239,0.2268,516,124,0
1764586800,0.2267,0.2281,0.2260,0.2270,437,124,0
1764590400,0.2270,0.2283,0.2260,0.2264,318,124,0
1764594000,0.2264,0.2265,0.2220,0.2223,348,124,0
1764597600,0.2223,0.2246,0.2190,0.2233,763,124,0
1764601200,0.2233,0.2257,0.2204,0.2215,675,124,0
1764604800,0.2215,0.2264,0.2212,0.2251,937,124,0
1764608400,0.2252,0.2260,0.2193,0.2235,1216,124,0
1764612000,0.2235,0.2243,0.2202,0.2208,861,124,0
1764615600,0.2209,0.2225,0.2195,0.2205,668,124,0
1764619200,0.2205,0.2250,0.2205,0.2246,694,124,0
1764622800,0.2246,0.2253,0.2222,0.2224,486,124,0
1764626400,0.2224,0.2264,0.2224,0.2240,614,124,0
1764630000,0.2240,0.2263,0.2235,0.2246,557,124,0
1764633600,0.2265,0.2271,0.2239,0.2239,340,124,0
1764637200,0.2239,0.2267,0.2239,0.2250,333,124,0
1764640800,0.2250,0.2266,0.2248,0.2255,397,124,0
1764644400,0.2255,0.2285,0.2232,0.2241,547,123,0
1764648000,0.2241,0.2260,0.2226,0.2228,406,124,0
1764651600,0.2228,0.2237,0.2207,0.2232,349,124,0
1764655200,0.2232,0.2242,0.2220,0.2228,307,123,0
1764658800,0.2228,0.2238,0.2215,0.2222,287,124,0
1764662400,0.2222,0.2233,0.2213,0.2226,250,124,0
1764666000,0.2226,0.2234,0.2223,0.2231,208,123,0
1764669600,0.2231,0.2237,0.2194,0.2205,352,124,0
1764673200,0.2206,0.2225,0.2204,0.2211,339,124,0
1764676800,0.2211,0.2236,0.2197,0.2224,366,124,0
1764680400,0.2224,0.2231,0.2212,0.2227,316,124,0
1764684000,0.2227,0.2232,0.2208,0.2215,309,123,0
1764687600,0.2215,0.2258,0.2205,0.2253,492,124,0
1764691200,0.2253,0.2431,0.2239,0.2402,1224,124,0
1764694800,0.2403,0.2582,0.2398,0.2572,2036,124,0
1764698400,0.2573,0.2634,0.2568,0.2599,1867,123,0
1764702000,0.2599,0.2601,0.2545,0.2565,1155,123,0
1764705600,0.2565,0.2583,0.2545,0.2571,672,124,0
1764709200,0.2571,0.2575,0.2544,0.2547,493,124,0
1764712800,0.2547,0.2550,0.2468,0.2507,668,124,0
1764716400,0.2508,0.2518,0.2489,0.2490,492,124,0
1764720000,0.2494,0.2556,0.2492,0.2552,335,124,0
1764723600,0.2551,0.2553,0.2489,0.2496,422,124,0
