time,open,high,low,close,tick_volume,spread,real_volume
1518084000,5228.0,5247.0,5221.0,5232.0,6947,19,0
1518087600,5231.7,5245.0,5220.5,5222.0,4194,19,0
1518091200,5221.5,5224.0,5204.5,5207.7,3913,13,0
1518094800,5207.9,5211.5,5190.5,5200.7,3407,14,0
1518098400,5200.2,5218.0,5195.2,5213.0,4044,19,0
1518102000,5212.7,5226.2,5208.5,5219.0,3531,19,0
1518105600,5218.5,5223.7,5199.0,5203.5,7277,19,0
1518109200,5203.4,5211.5,5153.7,5166.5,10791,13,0
1518112800,5166.2,5176.0,5124.5,5164.0,11428,13,0
1518116400,5164.5,5165.5,5103.3,5117.3,7592,16,0
1518120000,5116.8,5156.2,5106.0,5151.0,8168,13,0
1518123600,5150.0,5155.5,5116.3,5125.7,4507,16,0
1518127200,5125.5,5136.5,5097.3,5097.9,7317,19,0
1518166800,5098.1,5137.5,5098.1,5129.5,3126,19,0
1518170400,5128.5,5154.0,5115.5,5144.2,8299,15,0
1518174000,5144.0,5147.5,5122.9,5126.7,5118,15,0
1518177600,5126.5,5142.5,5119.0,5126.7,4275,19,0
1518181200,5126.5,5128.5,5071.5,5089.2,6330,14,0
1518184800,5089.5,5094.0,5055.0,5076.0,8765,13,0
1518188400,5076.0,5122.2,5059.5,5117.5,7212,14,0
1518192000,5117.2,5131.0,5094.0,5121.5,12703,14,0
1518195600,5121.7,5126.2,5050.9,5069.0,14644,13,0
1518199200,5069.5,5083.5,5048.5,5055.5,9698,19,0
1518202800,5056.0,5058.5,5000.5,5028.5,7246,19,0
1518206400,5028.5,5029.0,4971.0,5008.0,4222,13,0
1518210000,5008.0,5082.5,5008.0,5057.5,5403,13,0
1518213600,5057.5,5120.0,5033.5,5104.0,4653,19,0
1518426000,5130.6,5137.0,5117.5,5125.5,2129,19,0
1518429600,5125.5,5159.5,5109.5,5152.5,7473,15,0
1518433200,5152.2,5162.0,5145.7,5159.5,4715,18,0
1518436800,5159.5,5160.4,5144.5,5154.0,3783,19,0
1518440400,5154.2,5158.0,5140.5,5142.0,2704,14,0
1518444000,5142.2,5148.2,5138.0,5142.2,2730,16,0
1518447600,5142.5,5156.5,5137.0,5142.4,3749,19,0
1518451200,5142.5,5164.0,5127.5,5138.5,10653,14,0
1518454800,5138.9,5156.5,5130.5,5155.5,13897,17,0
1518458400,5155.0,5161.5,5137.4,5156.7,7560,19,0
1518462000,5157.0,5169.0,5153.2,5159.0,3872,14,0
1518465600,5159.2,5173.0,5152.9,5170.5,2875,13,0
1518469200,5171.0,5176.4,5162.9,5165.9,2713,19,0
1518472800,5166.4,5171.5,5143.4,5165.0,4270,13,0
1518512400,5139.5,5143.5,5127.0,5133.5,1649,13,0
1518516000,5133.5,5154.0,5112.0,5129.2,7437,19,0
1518519600,5129.5,5142.7,5120.0,5128.5,4322,19,0
1518523200,5128.4,5132.0,5115.2,5129.7,2726,13,0
1518526800,5130.0,5130.5,5109.0,5119.9,2452,19,0
1518530400,5119.7,5130.0,5114.7,5128.5,2144,19,0
1518534000,5128.4,5142.0,5125.5,5130.2,2305,19,0
1518537600,5130.5,5131.7,5113.9,5119.0,7071,15,0
1518541200,5118.7,5134.5,5115.0,5129.5,6963,19,0
1518544800,5129.4,5130.0,5104.0,5111.5,5282,19,0
1518548400,5111.2,5119.5,5105.7,5107.4,2675,17,0
1518552000,5107.2,5132.0,5107.0,5125.7,2870,14,0
1518555600,5125.9,5134.4,5121.2,5127.5,2166,19,0
1518559200,5127.9,5133.2,5121.5,5129.5,2468,19,0
1518598800,5129.9,5142.5,5123.0,5135.5,1141,13,0
1518602400,5136.0,5143.5,5125.5,5142.7,4199,19,0
1518606000,5143.0,5149.5,5133.0,5136.0,2674,19,0
1518609600,5135.9,5145.5,5130.5,5136.0,2713,19,0
1518613200,5136.2,5151.2,5133.0,5151.0,2062,16,0
1518616800,5150.7,5156.0,5145.0,5145.7,1391,13,0
1518620400,5145.9,5153.0,5078.0,5119.0,8276,14,0
1518624000,5118.5,5151.0,5110.5,5143.0,9295,15,0
1518627600,5143.0,5186.5,5142.5,5166.7,9461,13,0
1518631200,5166.5,5181.5,5157.0,5160.7,7121,14,0
1518634800,5160.5,5178.4,5158.5,5176.2,3271,19,0
1518638400,5176.5,5195.7,5174.9,5192.7,3384,19,0
1518642000,5192.5,5197.5,5185.7,5193.7,1970,19,0
1518645600,5193.9,5203.4,5187.2,5189.5,2292,19,0
1518685200,5195.8,5213.9,5195.8,5210.6,1534,12,0
1518688800,5210.1,5233.9,5200.4,5229.9,6081,15,0
1518692400,5229.4,5248.4,5222.6,5245.9,3164,14,0
1518696000,5245.6,5253.9,5234.4,5236.9,2266,14,0
1518699600,5236.9,5240.6,5231.3,5236.1,2053,19,0
1518703200,5235.9,5240.9,5226.4,5234.9,2156,19,0
1518706800,5234.6,5240.4,5228.4,5237.9,2430,19,0
1518710400,5237.4,5241.9,5222.9,5234.9,4268,17,0
1518714000,5235.9,5235.9,5202.9,5204.4,5966,19,0
1518717600,5204.9,5225.9,5201.4,5222.9,6125,19,0
1518721200,5222.9,5226.4,5216.9,5222.9,1796,19,0
1518724800,5223.4,5234.9,5219.9,5227.9,1669,19,0
1518728400,5227.4,5235.9,5225.9,5230.9,899,19,0
1518732000,5230.9,5235.4,5220.9,5224.2,1385,12,0
1518771600,5227.9,5246.9,5224.9,5246.9,1057,19,0
1518775200,5246.9,5266.9,5242.9,5261.9,4402,14,0
1518778800,5262.4,5275.4,5259.3,5271.4,2832,14,0
1518782400,5271.6,5273.4,5245.9,5257.8,4107,17,0
1518786000,5257.4,5268.9,5255.9,5260.6,2411,19,0
1518789600,5260.4,5275.9,5258.9,5273.9,2081,19,0
1518793200,5274.4,5274.4,5265.9,5270.4,1921,19,0
1518796800,5269.9,5277.9,5261.9,5266.4,4881,14,0
1518800400,5266.8,5279.9,5260.4,5278.4,4932,17,0
1518804000,5278.4,5290.4,5276.4,5289.9,3014,13,0
1518807600,5289.1,5296.9,5280.6,5282.6,2492,19,0
1518811200,5282.9,5285.9,5261.6,5275.1,4772,15,0
1518814800,5275.3,5285.4,5265.9,5285.3,4419,14,0
1518818400,5284.9,5290.3,5276.9,5277.9,2490,19,0
1519030800,5287.7,5299.7,5283.6,5292.7,643,12,0
1519034400,5292.2,5294.7,5279.6,5282.4,2618,15,0
1519038000,5282.7,5283.2,5271.2,5276.2,1552,19,0
1519041600,5275.9,5280.7,5269.7,5274.1,1366,16,0
1519045200,5273.9,5280.2,5270.7,5271.7,984,19,0
1519048800,5271.4,5273.2,5265.7,5270.4,960,19,0
1519052400,5270.6,5274.7,5263.7,5272.4,1209,16,0
1519056000,5272.2,5273.2,5263.4,5267.2,1074,19,0
1519059600,5266.7,5266.9,5250.2,5250.9,2474,19,0
1519063200,5251.2,5260.2,5248.2,5258.2,1888,19,0
1519066800,5258.2,5259.6,5250.4,5251.7,720,19,0
1519070400,5251.6,5252.2,5245.9,5247.2,159,19,0
1519074000,5247.4,5250.9,5247.1,5250.7,68,16,0
1519077600,5250.4,5253.7,5247.9,5253.7,219,19,0
1519117200,5251.3,5262.2,5251.3,5252.7,1177,19,0
1519120800,5253.2,5274.2,5253.2,5272.2,3555,19,0
1519124400,5272.1,5274.7,5253.4,5254.2,2782,19,0
1519128000,5253.9,5268.6,5247.2,5266.7,2851,14,0
1519131600,5267.2,5267.7,5250.2,5258.2,1748,19,0
1519135200,5257.9,5266.2,5257.6,5264.2,1303,19,0
1519138800,5264.2,5271.7,5258.2,5266.7,1680,19,0
1519142400,5266.6,5291.7,5265.7,5277.1,4429,14,0
1519146000,5277.7,5284.4,5264.2,5277.2,4891,19,0
1519149600,5277.7,5292.2,5275.9,5286.7,3251,13,0
1519153200,5286.6,5292.2,5282.9,5286.9,1615,15,0
