time,open,high,low,close,tick_volume,spread,real_volume
1764118800,1.85676,1.85683,1.85537,1.85567,395,19,0
1764122400,1.85570,1.85731,1.85560,1.85645,4492,17,0
1764126000,1.85637,1.85686,1.85522,1.85616,11039,17,0
1764129600,1.85616,1.85759,1.85597,1.85708,6983,17,0
1764133200,1.85707,1.85724,1.85619,1.85686,4180,17,0
1764136800,1.85685,1.85693,1.85609,1.85630,2548,17,0
1764140400,1.85631,1.85668,1.85614,1.85645,2918,17,0
1764144000,1.85638,1.85682,1.85531,1.85619,4050,17,0
1764147600,1.85620,1.85706,1.85278,1.85412,6483,17,0
1764151200,1.85419,1.85610,1.85327,1.85460,7872,17,0
1764154800,1.85459,1.85563,1.85428,1.85514,5085,17,0
1764158400,1.85516,1.85547,1.85319,1.85378,4850,17,0
1764162000,1.85381,1.85938,1.85239,1.85560,13781,17,0
1764165600,1.85564,1.85860,1.84931,1.85773,21104,17,0
1764169200,1.85777,1.86188,1.85648,1.85959,19428,17,0
1764172800,1.85956,1.86124,1.85804,1.85877,12655,17,0
1764176400,1.85872,1.86180,1.85807,1.85905,13378,17,0
1764180000,1.85912,1.86048,1.85773,1.85836,7752,17,0
1764183600,1.85839,1.85891,1.85673,1.85745,4914,17,0
1764187200,1.85746,1.85827,1.85677,1.85782,4518,17,0
1764190800,1.85780,1.85835,1.85712,1.85800,3776,17,0
1764194400,1.85795,1.85870,1.85777,1.85844,3659,17,0
1764198000,1.85845,1.85960,1.85773,1.85901,2236,17,0
1764201600,1.85834,1.85834,1.85736,1.85758,2027,145,0
1764205200,1.85799,1.85945,1.85799,1.85900,1844,24,0
1764208800,1.85900,1.85962,1.85870,1.85933,2739,19,0
1764212400,1.85932,1.86067,1.85917,1.86008,4498,18,0
1764216000,1.86010,1.86033,1.85884,1.85903,3445,18,0
1764219600,1.85904,1.86025,1.85881,1.86001,3103,19,0
1764223200,1.86000,1.86113,1.85949,1.85972,2925,19,0
1764226800,1.85969,1.86117,1.85965,1.86012,3363,17,0
1764230400,1.86010,1.86060,1.85759,1.85822,4342,18,0
1764234000,1.85819,1.85865,1.85658,1.85747,3872,17,0
1764237600,1.85751,1.85784,1.85492,1.85542,4335,17,0
1764241200,1.85547,1.85604,1.85450,1.85582,3930,17,0
1764244800,1.85583,1.85737,1.85568,1.85681,3251,17,0
1764248400,1.85679,1.85809,1.85672,1.85774,3284,17,0
1764252000,1.85773,1.85805,1.85688,1.85791,2984,17,0
1764255600,1.85789,1.86029,1.85788,1.85953,4554,17,0
1764259200,1.85954,1.85974,1.85737,1.85746,3298,17,0
1764262800,1.85748,1.85916,1.85678,1.85906,3757,17,0
1764266400,1.85908,1.85988,1.85745,1.85776,2709,18,0
1764270000,1.85775,1.85812,1.85612,1.85682,2056,17,0
1764273600,1.85681,1.85706,1.85611,1.85663,1264,19,0
1764277200,1.85661,1.85700,1.85641,1.85669,1150,18,0
1764280800,1.85669,1.85692,1.85641,1.85685,1654,17,0
1764284400,1.85684,1.85715,1.85654,1.85680,735,17,0
1764288000,1.85730,1.85730,1.85600,1.85612,666,84,0
1764291600,1.85690,1.85707,1.85616,1.85693,1170,24,0
1764295200,1.85692,1.85751,1.85664,1.85714,6949,17,0
1764298800,1.85715,1.85765,1.85633,1.85689,5808,17,0
1764302400,1.85691,1.85723,1.85588,1.85700,26361,17,0
1764306000,1.85701,1.85808,1.85584,1.85755,22935,26,0
1764309600,1.85756,1.85824,1.85676,1.85776,14472,23,0
1764313200,1.85779,1.85824,1.85633,1.85689,9068,29,0
1764316800,1.85685,1.85703,1.85478,1.85488,9723,31,0
1764320400,1.85486,1.85577,1.85462,1.85502,34575,19,0
1764324000,1.85501,1.85525,1.85285,1.85295,29823,20,0
1764327600,1.85298,1.85653,1.85244,1.85400,33984,19,0
1764331200,1.85405,1.85573,1.85331,1.85506,22194,21,0
1764334800,1.85509,1.85591,1.85274,1.85282,30209,19,0
1764338400,1.85276,1.85429,1.85257,1.85285,19262,18,0
1764342000,1.85280,1.85296,1.84873,1.85097,21392,18,0
1764345600,1.85098,1.85138,1.84823,1.84951,9480,17,0
1764349200,1.84949,1.84951,1.84352,1.84712,16376,17,0
1764352800,1.84715,1.85038,1.84614,1.84970,10366,18,0
1764356400,1.84972,1.85072,1.84915,1.84964,6204,17,0
1764360000,1.84958,1.85029,1.84906,1.84959,5642,17,0
1764363600,1.84965,1.85084,1.84955,1.85063,4828,17,0
1764367200,1.85065,1.85079,1.84985,1.85009,4093,20,0
1764370800,1.85002,1.85032,1.84707,1.84935,5367,21,0
