time,open,high,low,close,tick_volume,spread,real_volume
1536544800,1.25208,1.25255,1.25202,1.25238,863,23,0
1536548400,1.25240,1.25297,1.25228,1.25273,2430,10,0
1536552000,1.25272,1.25307,1.25242,1.25301,3126,10,0
1536555600,1.25299,1.25306,1.25263,1.25281,1899,11,0
1536559200,1.25278,1.25301,1.25193,1.25206,1857,11,0
1536562800,1.25206,1.25260,1.25188,1.25231,1271,10,0
1536566400,1.25230,1.25264,1.25213,1.25235,1412,19,0
1536570000,1.25235,1.25318,1.25138,1.25174,2889,10,0
1536573600,1.25174,1.25477,1.25152,1.25426,5301,10,0
1536577200,1.25426,1.25701,1.25409,1.25697,4929,10,0
1536580800,1.25697,1.25997,1.25688,1.25943,3233,10,0
1536584400,1.25935,1.25938,1.25772,1.25892,3365,10,0
1536588000,1.25892,1.26040,1.25824,1.25986,3726,10,0
1536591600,1.25986,1.26896,1.25976,1.26885,5470,9,0
1536595200,1.26885,1.26965,1.26632,1.26675,8019,11,0
1536598800,1.26676,1.26776,1.26567,1.26620,5140,11,0
1536602400,1.26621,1.26865,1.26576,1.26854,4544,10,0
1536606000,1.26854,1.27038,1.26816,1.26976,3262,10,0
1536609600,1.26976,1.27095,1.26954,1.27047,2134,15,0
1536613200,1.27047,1.27110,1.26998,1.26999,1930,15,0
1536616800,1.26986,1.27038,1.26986,1.27013,2249,18,0
1536620400,1.27013,1.27023,1.26915,1.26984,733,10,0
1536624000,1.26956,1.27011,1.26905,1.26962,621,19,0
1536627600,1.26952,1.26956,1.26904,1.26939,1677,29,0
1536631200,1.26939,1.26991,1.26933,1.26971,1422,22,0
1536634800,1.26970,1.27176,1.26962,1.27126,2459,19,0
1536638400,1.27128,1.27145,1.27058,1.27119,2922,16,0
1536642000,1.27118,1.27131,1.27060,1.27077,1645,15,0
1536645600,1.27079,1.27142,1.27056,1.27121,1725,14,0
1536649200,1.27121,1.27164,1.27068,1.27079,1645,9,0
1536652800,1.27080,1.27251,1.27049,1.27196,2041,9,0
1536656400,1.27197,1.27421,1.27184,1.27325,4564,12,0
1536660000,1.27321,1.27415,1.27139,1.27248,5445,9,0
1536663600,1.27248,1.27330,1.26501,1.27024,6466,14,0
1536667200,1.27022,1.27094,1.26888,1.27050,4931,14,0
1536670800,1.27049,1.27122,1.26741,1.26754,3972,9,0
1536674400,1.26753,1.26842,1.26571,1.26691,3995,10,0
1536678000,1.26692,1.27002,1.26140,1.26468,7533,10,0
1536681600,1.26467,1.26652,1.26411,1.26580,5083,9,0
1536685200,1.26579,1.26749,1.26515,1.26617,6283,14,0
1536688800,1.26617,1.26724,1.26538,1.26722,4392,12,0
1536692400,1.26722,1.26734,1.26612,1.26644,2756,14,0
1536696000,1.26643,1.26720,1.26605,1.26642,1767,16,0
1536699600,1.26643,1.26669,1.26613,1.26627,1497,13,0
1536703200,1.26629,1.26686,1.26603,1.26627,1434,16,0
1536706800,1.26633,1.26765,1.26611,1.26708,2153,13,0
1536710400,1.26653,1.26688,1.26497,1.26601,4368,35,0
1536714000,1.26604,1.26650,1.26560,1.26624,1147,32,0
1536717600,1.26613,1.26664,1.26613,1.26644,1667,23,0
1536721200,1.26644,1.26721,1.26634,1.26708,2537,19,0
1536724800,1.26708,1.26725,1.26663,1.26702,1670,17,0
