time,open,high,low,close,tick_volume,spread,real_volume
1764097200,205.841,205.971,205.821,205.857,3066,80,0
1764100800,205.855,205.928,205.839,205.866,934,80,0
1764104400,205.807,205.809,205.354,205.421,3002,80,0
1764108000,205.421,205.549,205.391,205.436,3106,80,0
1764111600,205.391,205.616,205.352,205.496,537,80,0
1764115200,205.454,205.454,205.402,205.414,198,80,0
1764118800,205.416,205.597,205.414,205.518,723,23,0
1764122400,205.517,205.781,205.494,205.758,7299,23,0
1764126000,205.756,205.969,205.388,205.504,11327,23,0
1764129600,205.502,205.610,205.334,205.513,8527,23,0
1764133200,205.515,205.725,205.454,205.694,5664,23,0
1764136800,205.694,205.906,205.693,205.768,4724,23,0
1764140400,205.765,205.969,205.759,205.931,5561,23,0
1764144000,205.932,206.092,205.895,206.006,6863,23,0
1764147600,206.012,206.119,205.907,206.088,9351,23,0
1764151200,206.088,206.257,205.992,206.093,10855,23,0
1764154800,206.095,206.141,205.949,206.105,8407,23,0
1764158400,206.105,206.110,205.790,205.942,7835,23,0
1764162000,205.943,206.446,205.832,206.111,15544,23,0
1764165600,206.091,206.360,205.498,206.293,21007,23,0
1764169200,206.288,206.869,206.205,206.670,18504,23,0
1764172800,206.669,206.802,206.516,206.690,12889,23,0
1764176400,206.688,207.056,206.643,206.864,14866,23,0
1764180000,206.868,207.058,206.760,206.819,9952,23,0
1764183600,206.817,206.917,206.766,206.852,7097,23,0
1764187200,206.853,207.062,206.773,207.058,6685,23,0
1764190800,207.055,207.101,206.994,207.051,4935,23,0
1764194400,207.049,207.128,207.013,207.066,4611,23,0
1764201600,207.097,207.112,207.038,207.046,2122,97,0
1764205200,207.053,207.104,206.899,206.900,2696,23,0
1764208800,206.899,206.928,206.512,206.710,6286,23,0
1764212400,206.712,206.986,206.419,206.868,8518,23,0
1764216000,206.867,207.050,206.755,206.868,5957,23,0
1764219600,206.869,206.926,206.762,206.887,4217,23,0
1764223200,206.887,206.989,206.756,206.806,4503,23,0
1764226800,206.807,206.854,206.642,206.812,6162,23,0
1764230400,206.818,206.989,206.740,206.767,7574,23,0
1764234000,206.765,206.890,206.662,206.668,6672,23,0
1764237600,206.667,206.759,206.506,206.696,8449,23,0
1764241200,206.697,206.726,206.489,206.600,7536,23,0
1764244800,206.593,206.729,206.542,206.665,6534,23,0
1764248400,206.660,206.825,206.615,206.787,6440,23,0
1764252000,206.788,206.956,206.718,206.927,6221,23,0
1764255600,206.925,207.061,206.835,206.940,7806,23,0
1764259200,206.942,206.965,206.839,206.874,6268,23,0
1764262800,206.876,207.138,206.848,207.112,6724,23,0
1764266400,207.111,207.185,206.910,206.962,4545,23,0
1764270000,206.963,207.021,206.863,206.938,2181,23,0
1764273600,206.939,206.986,206.905,206.929,1295,23,0
1764277200,206.932,206.963,206.925,206.934,989,23,0
1764280800,206.933,206.939,206.857,206.909,1492,23,0
1764284400,206.908,206.929,206.872,206.883,977,23,0
1764288000,206.881,206.906,206.785,206.791,513,98,0
1764291600,206.793,206.947,206.783,206.921,1938,23,0
1764295200,206.921,207.191,206.823,207.070,7976,23,0
1764298800,207.068,207.106,206.883,206.926,5980,23,0
1764302400,206.926,206.954,206.613,206.842,16080,23,0
1764306000,206.854,206.972,206.626,206.877,15192,23,0
1764309600,206.881,206.902,206.707,206.806,16076,23,0
1764313200,206.814,206.968,206.737,206.885,17090,23,0
1764316800,206.888,206.942,206.640,206.644,13997,23,0
1764320400,206.644,206.736,206.452,206.511,19204,23,0
