time,open,high,low,close,tick_volume,spread,real_volume
1764118800,24.2145,24.2162,24.1907,24.1907,178,69,0
1764122400,24.1908,24.2081,24.1884,24.1978,1775,66,0
1764126000,24.1939,24.2125,24.1864,24.1939,4028,63,0
1764129600,24.1943,24.2252,24.1928,24.2151,2884,63,0
1764133200,24.2150,24.2277,24.2146,24.2270,1648,68,0
1764136800,24.2267,24.2295,24.2100,24.2113,1138,63,0
1764140400,24.2112,24.2178,24.2107,24.2168,1377,63,0
1764144000,24.2168,24.2256,24.2085,24.2197,1611,63,0
1764147600,24.2208,24.2366,24.2013,24.2260,2817,63,0
1764151200,24.2268,24.2467,24.2142,24.2239,2791,68,0
1764154800,24.2255,24.2516,24.2205,24.2310,2369,63,0
1764158400,24.2317,24.2348,24.1958,24.2004,1980,63,0
1764162000,24.2003,24.2544,24.1750,24.1965,3304,63,0
1764165600,24.1914,24.2280,24.1001,24.2151,5196,71,0
1764169200,24.2146,24.2892,24.1990,24.2502,5878,63,0
1764172800,24.2501,24.2590,24.2069,24.2349,4277,63,0
1764176400,24.2341,24.3023,24.2299,24.2649,4428,63,0
1764180000,24.2671,24.2790,24.2473,24.2603,2945,63,0
1764183600,24.2601,24.2725,24.2450,24.2552,2657,63,0
1764187200,24.2550,24.2784,24.2503,24.2735,2100,63,0
1764190800,24.2736,24.2785,24.2604,24.2744,1639,63,0
1764194400,24.2742,24.2796,24.2681,24.2754,1497,63,0
1764198000,24.2737,24.2848,24.2653,24.2837,943,109,0
1764201600,24.2662,24.2856,24.2661,24.2750,192,465,0
1764205200,24.2930,24.2963,24.2647,24.2895,741,63,0
1764208800,24.2880,24.2996,24.2868,24.2954,1904,71,0
1764212400,24.2957,24.3103,24.2906,24.3034,3257,67,0
1764216000,24.3037,24.3111,24.2936,24.2974,2328,63,0
1764219600,24.2970,24.3072,24.2902,24.3049,1289,63,0
1764223200,24.3044,24.3259,24.3011,24.3084,1687,78,0
1764226800,24.3075,24.3270,24.3059,24.3101,2365,63,0
1764230400,24.3116,24.3239,24.2976,24.3034,2642,63,0
1764234000,24.3041,24.3077,24.2808,24.2922,1724,63,0
1764237600,24.2906,24.2947,24.2523,24.2606,2382,63,0
1764241200,24.2614,24.2632,24.2325,24.2498,1998,63,0
1764244800,24.2507,24.2682,24.2480,24.2560,1840,63,0
1764248400,24.2560,24.2715,24.2496,24.2658,1512,63,0
1764252000,24.2661,24.2783,24.2589,24.2758,1614,63,0
1764255600,24.2767,24.3134,24.2725,24.2978,2349,63,0
1764259200,24.2987,24.3088,24.2622,24.2784,1666,63,0
1764262800,24.2781,24.3021,24.2770,24.2960,1882,63,0
1764266400,24.2961,24.3197,24.2814,24.2863,1245,63,0
1764270000,24.2870,24.2929,24.2674,24.2760,1106,63,0
1764273600,24.2767,24.2815,24.2710,24.2753,725,63,0
1764277200,24.2751,24.2869,24.2745,24.2850,782,63,0
1764280800,24.2854,24.2963,24.2804,24.2946,2160,63,0
1764284400,24.2902,24.2956,24.2821,24.2922,841,85,0
1764288000,24.2680,24.2804,24.2550,24.2596,267,353,0
1764291600,24.2911,24.2911,24.2792,24.2849,240,63,0
1764295200,24.2841,24.2945,24.2748,24.2813,2647,63,0
1764298800,24.2810,24.2950,24.2804,24.2930,2640,63,0
1764302400,24.2933,24.3076,24.2820,24.3037,8492,63,0
1764306000,24.3036,24.3281,24.2883,24.3140,4520,63,0
1764309600,24.3137,24.3271,24.2901,24.3116,7517,65,0
1764313200,24.3105,24.3208,24.2871,24.2983,7444,63,0
1764316800,24.3004,24.3062,24.2658,24.2680,4682,63,0
1764320400,24.2669,24.2828,24.2485,24.2656,7857,63,0
1764324000,24.2582,24.2697,24.2382,24.2431,6472,63,0
1764327600,24.2446,24.2655,24.2224,24.2312,7438,74,0
