time,open,high,low,close,tick_volume,spread,real_volume
1764118800,2.34082,2.34089,2.33908,2.33908,300,29,0
1764122400,2.33909,2.34122,2.33764,2.33888,4120,28,0
1764126000,2.33833,2.33963,2.31954,2.32422,12478,29,0
1764129600,2.32417,2.32537,2.31632,2.31849,7190,27,0
1764133200,2.31848,2.32101,2.31518,2.31864,4365,28,0
1764136800,2.31888,2.32093,2.31650,2.31754,2671,25,0
1764140400,2.31749,2.31884,2.31675,2.31769,2294,25,0
1764144000,2.31780,2.32070,2.31726,2.32030,3066,30,0
1764147600,2.32020,2.32112,2.31812,2.32088,5397,28,0
1764151200,2.32081,2.32500,2.31909,2.31972,6757,25,0
1764154800,2.31979,2.32123,2.31888,2.32068,5151,25,0
1764158400,2.32060,2.32168,2.31928,2.32148,4531,25,0
1764162000,2.32149,2.32727,2.31911,2.32255,8629,25,0
1764165600,2.32200,2.32541,2.31620,2.32450,11862,25,0
1764169200,2.32447,2.32939,2.32268,2.32629,13369,25,0
1764172800,2.32629,2.32793,2.32334,2.32424,8849,25,0
1764176400,2.32411,2.32663,2.32055,2.32453,10145,25,0
1764180000,2.32453,2.32557,2.32275,2.32319,5895,25,0
1764183600,2.32314,2.32411,2.32237,2.32309,4170,25,0
1764187200,2.32312,2.32395,2.32213,2.32321,3620,25,0
1764190800,2.32274,2.32402,2.32254,2.32376,2915,25,0
1764194400,2.32369,2.32502,2.32357,2.32453,2639,25,0
1764198000,2.32457,2.32462,2.32137,2.32261,1993,27,0
1764201600,2.32216,2.32216,2.32052,2.32157,415,202,0
1764205200,2.32182,2.32364,2.32108,2.32173,1518,25,0
1764208800,2.32122,2.32178,2.31883,2.31965,2761,25,0
1764212400,2.31966,2.32012,2.31711,2.31713,4445,28,0
1764216000,2.31710,2.31778,2.31290,2.31429,4415,25,0
1764219600,2.31427,2.31583,2.31360,2.31423,2767,26,0
1764223200,2.31421,2.31585,2.31311,2.31469,2333,25,0
1764226800,2.31469,2.31592,2.31325,2.31580,2688,25,0
1764230400,2.31569,2.31887,2.31411,2.31508,3896,26,0
1764234000,2.31524,2.31609,2.31175,2.31249,3197,25,0
1764237600,2.31259,2.31375,2.31122,2.31325,4425,25,0
1764241200,2.31323,2.31374,2.31038,2.31182,4243,25,0
1764244800,2.31177,2.31636,2.31149,2.31582,3137,25,0
1764248400,2.31531,2.31685,2.31374,2.31455,3141,25,0
1764252000,2.31453,2.31633,2.31376,2.31620,2612,25,0
1764255600,2.31620,2.31764,2.31516,2.31569,3690,25,0
1764259200,2.31567,2.31600,2.31317,2.31345,3068,25,0
1764262800,2.31336,2.31411,2.31023,2.31362,3457,25,0
1764266400,2.31371,2.31484,2.31248,2.31299,2496,25,0
