time,open,high,low,close,tick_volume,spread,real_volume
1536562800,1.29089,1.29138,1.29077,1.29120,1492,8,0
1536566400,1.29119,1.29161,1.29091,1.29158,876,8,0
1536570000,1.29158,1.29237,1.28965,1.29016,2447,8,0
1536573600,1.29016,1.29428,1.29016,1.29363,4118,8,0
1536577200,1.29364,1.29501,1.29286,1.29425,3837,8,0
1536580800,1.29425,1.29545,1.29363,1.29389,2761,8,0
1536584400,1.29389,1.29389,1.29232,1.29323,2356,8,0
1536588000,1.29323,1.29392,1.29201,1.29385,2248,8,0
1536591600,1.29385,1.30326,1.29356,1.30296,5045,8,0
1536595200,1.30298,1.30514,1.30067,1.30115,7170,8,0
1536598800,1.30116,1.30372,1.30058,1.30176,4646,8,0
1536602400,1.30175,1.30293,1.30150,1.30248,3365,8,0
1536606000,1.30249,1.30306,1.30197,1.30283,2231,8,0
1536609600,1.30283,1.30374,1.30251,1.30345,1677,8,0
1536613200,1.30344,1.30358,1.30263,1.30277,1198,8,0
1536616800,1.30276,1.30290,1.30214,1.30277,1633,8,0
1536620400,1.30276,1.30279,1.30232,1.30261,956,8,0
1536624000,1.30219,1.30299,1.30215,1.30274,762,12,0
1536627600,1.30275,1.30286,1.30215,1.30260,2894,9,0
1536631200,1.30260,1.30297,1.30240,1.30266,2124,9,0
1536634800,1.30264,1.30399,1.30257,1.30313,2099,8,0
1536638400,1.30316,1.30330,1.30204,1.30282,2686,8,0
1536642000,1.30281,1.30330,1.30248,1.30326,2353,8,0
1536645600,1.30326,1.30401,1.30307,1.30379,2206,9,0
1536649200,1.30380,1.30476,1.30351,1.30368,2150,9,0
1536652800,1.30368,1.30593,1.30331,1.30513,1911,8,0
1536656400,1.30513,1.30629,1.30471,1.30540,3971,8,0
1536660000,1.30540,1.30870,1.30483,1.30654,3984,8,0
1536663600,1.30654,1.30813,1.29883,1.30392,5898,8,0
1536667200,1.30391,1.30439,1.30241,1.30341,3450,8,0
1536670800,1.30340,1.30395,1.30134,1.30143,3401,8,0
1536674400,1.30143,1.30274,1.29995,1.30111,3452,8,0
1536678000,1.30112,1.30410,1.29628,1.29825,7231,8,0
1536681600,1.29825,1.30025,1.29761,1.29894,5004,8,0
1536685200,1.29893,1.30167,1.29874,1.29979,6257,8,0
1536688800,1.29978,1.30147,1.29883,1.30136,3942,8,0
1536692400,1.30137,1.30175,1.30046,1.30062,2102,8,0
1536696000,1.30062,1.30209,1.30026,1.30115,1386,8,0
1536699600,1.30116,1.30154,1.30057,1.30073,1439,8,0
1536703200,1.30075,1.30174,1.30049,1.30172,1264,8,0
1536706800,1.30178,1.30397,1.30150,1.30304,2569,8,0
1536710400,1.30266,1.30279,1.30068,1.30158,2341,9,0
1536714000,1.30146,1.30224,1.30117,1.30195,888,9,0
1536717600,1.30197,1.30232,1.30134,1.30154,2056,8,0
1536721200,1.30154,1.30192,1.30126,1.30180,2966,9,0
1536724800,1.30181,1.30188,1.30079,1.30104,1942,8,0
1536728400,1.30104,1.30137,1.30054,1.30076,1964,8,0
1536732000,1.30076,1.30122,1.30047,1.30074,1695,9,0
1536735600,1.30074,1.30106,1.30047,1.30086,1648,8,0
1536739200,1.30086,1.30131,1.29987,1.30033,2911,8,0
1536742800,1.30033,1.30151,1.29921,1.29955,3821,8,0
1536746400,1.29955,1.30376,1.29953,1.30292,4721,8,0
1536750000,1.30292,1.30473,1.30206,1.30241,4653,8,0
1536753600,1.30240,1.30407,1.30148,1.30337,3016,8,0
1536757200,1.30338,1.30338,1.29820,1.29837,3226,8,0
1536760800,1.29841,1.30003,1.29790,1.29997,4485,8,0
1536764400,1.29998,1.30209,1.29966,1.30076,4582,8,0
1536768000,1.30077,1.30170,1.29995,1.30031,4697,8,0
1536771600,1.30032,1.30259,1.30029,1.30200,5203,8,0
1536775200,1.30198,1.30415,1.30116,1.30269,5926,8,0
1536778800,1.30269,1.30804,1.30256,1.30587,4715,8,0
1536782400,1.30587,1.30696,1.30519,1.30687,3436,8,0
1536786000,1.30687,1.30695,1.30526,1.30546,1791,8,0
1536789600,1.30545,1.30548,1.30457,1.30492,1326,8,0
1536793200,1.30493,1.30548,1.30464,1.30472,1207,9,0
1536796800,1.30383,1.30489,1.30357,1.30444,2173,19,0
1536800400,1.30445,1.30511,1.30440,1.30467,1493,8,0
1536804000,1.30466,1.30506,1.30438,1.30438,2632,8,0
1536807600,1.30437,1.30488,1.30429,1.30469,2831,8,0
1536811200,1.30469,1.30531,1.30402,1.30427,1811,8,0
1536814800,1.30427,1.30442,1.30377,1.30429,1574,8,0
1536818400,1.30430,1.30526,1.30418,1.30520,1242,8,0
1536822000,1.30520,1.30525,1.30415,1.30417,1087,8,0
1536825600,1.30417,1.30450,1.30296,1.30299,1443,8,0
1536829200,1.30301,1.30397,1.30259,1.30359,2743,8,0
1536832800,1.30359,1.30469,1.30336,1.30371,3026,8,0
