time,open,high,low,close,tick_volume,spread,real_volume
1764129600,22.63724,22.66318,22.63425,22.64290,5102,1500,0
1764133200,22.64308,22.66228,22.63601,22.65893,2131,1076,0
1764136800,22.65891,22.66275,22.63504,22.64585,5941,1056,0
1764140400,22.64479,22.65336,22.63238,22.64526,2218,905,0
1764144000,22.64586,22.65982,22.63026,22.65164,3566,905,0
1764147600,22.65074,22.66134,22.60522,22.63210,8129,905,0
1764151200,22.63901,22.63991,22.58868,22.60798,11817,905,0
1764154800,22.60822,22.62889,22.58122,22.60272,12192,905,0
1764158400,22.60322,22.60322,22.56102,22.56873,11398,905,0
1764162000,22.56872,22.61072,22.53824,22.55834,7974,905,0
1764165600,22.54342,22.61759,22.49722,22.60498,13999,905,0
1764169200,22.60447,22.66169,22.58520,22.62748,16465,905,0
1764172800,22.62755,22.64595,22.59667,22.61773,13905,905,0
1764176400,22.61045,22.66322,22.59763,22.62595,13941,905,0
1764180000,22.62703,22.64172,22.60023,22.61436,11887,905,0
1764183600,22.60823,22.63991,22.59991,22.61947,12616,905,0
1764187200,22.61972,22.64492,22.61132,22.63223,11487,905,0
1764190800,22.63348,22.68772,22.61923,22.67922,8897,905,0
1764194400,22.67847,22.70082,22.67422,22.68873,10314,905,0
1764198000,22.69040,22.69822,22.66929,22.67875,3175,905,0
1764216000,22.69849,22.70663,22.67823,22.69560,4729,1500,0
1764219600,22.69716,22.71111,22.66933,22.68998,3892,1104,0
1764223200,22.68869,22.70009,22.67572,22.68168,3634,1003,0
1764226800,22.68174,22.70902,22.67215,22.68836,4099,1027,0
1764230400,22.69649,22.71340,22.66710,22.67878,5408,1053,0
1764234000,22.67683,22.69068,22.64969,22.68272,12488,905,0
1764237600,22.68162,22.70912,22.66753,22.69822,9782,905,0
1764241200,22.69848,22.70613,22.67622,22.69642,7068,905,0
1764244800,22.69672,22.70896,22.66733,22.68272,8309,905,0
1764248400,22.66980,22.70143,22.66980,22.69741,8768,905,0
1764252000,22.69742,22.71824,22.69110,22.71497,6878,905,0
1764255600,22.71397,22.73153,22.70922,22.72085,8693,905,0
1764259200,22.72106,22.73418,22.70447,22.71872,10610,905,0
1764262800,22.71759,22.74180,22.70651,22.71993,7927,905,0
1764266400,22.73248,22.74456,22.69148,22.69947,6161,905,0
1764270000,22.69922,22.71265,22.69472,22.70022,671,905,0
1764273600,22.70317,22.70317,22.69220,22.69416,330,905,0
1764277200,22.69331,22.70497,22.69331,22.70397,428,904,0
1764280800,22.70423,22.71834,22.68463,22.71002,3753,905,0
1764284400,22.70879,22.71206,22.68837,22.68837,412,905,0
1764302400,22.68265,22.70592,22.67175,22.70116,8530,1500,0
1764306000,22.70297,22.71424,22.68306,22.70418,7267,1343,0
1764309600,22.70433,22.71583,22.68374,22.70651,10271,1301,0
1764313200,22.70886,22.71518,22.67679,22.68375,10847,1285,0
1764316800,22.67835,22.71509,22.66299,22.67797,11582,1168,0
1764320400,22.67978,22.70378,22.65066,22.69390,12183,905,0
1764324000,22.69623,22.71130,22.64888,22.65947,15680,905,0
1764327600,22.65895,22.67467,22.62549,22.64872,22540,905,0
1764331200,22.64601,22.66839,22.61981,22.65006,27119,905,0
1764334800,22.65023,22.66511,22.60751,22.61827,16493,905,0
1764338400,22.62345,22.65070,22.58923,22.63044,19396,905,0
1764342000,22.63289,22.65482,22.60120,22.64472,21274,905,0
1764345600,22.64422,22.64911,22.60508,22.61547,14770,905,0
1764349200,22.61572,22.71322,22.55568,22.71222,17282,905,0
1764352800,22.71398,22.71497,22.64493,22.66272,10214,905,0
1764356400,22.66247,22.67417,22.63972,22.64323,12884,905,0
1764360000,22.64273,22.65028,22.63520,22.64847,1925,905,0
1764363600,22.64823,22.66757,22.64280,22.66172,2376,905,0
1764367200,22.66234,22.67222,22.64737,22.65523,2221,904,0
1764370800,22.65572,22.66723,22.62339,22.62775,7670,905,0
1764561600,22.62603,22.66383,22.62426,22.64724,6101,1500,0
1764565200,22.64798,22.66227,22.63838,22.65727,7770,1054,0
1764568800,22.65699,22.66623,22.63727,22.65365,7051,905,0
1764572400,22.65442,22.68844,22.65148,22.65974,3811,1036,0
1764576000,22.65955,22.68000,22.62283,22.63395,5185,905,0
1764579600,22.63662,22.67075,22.59625,22.61072,9674,905,0
1764583200,22.60982,22.61172,22.55481,22.58205,10831,905,0
1764586800,22.58176,22.60897,22.56293,22.60047,12887,905,0
1764590400,22.59447,22.61908,22.57054,22.60423,10375,905,0
1764594000,22.61157,22.62099,22.59099,22.61072,11101,905,0
1764597600,22.61022,22.65652,22.60475,22.64998,12852,905,0
1764601200,22.64898,22.67188,22.63607,22.65572,15749,905,0
1764604800,22.65588,22.65797,22.61585,22.62162,26375,905,0
1764608400,22.62122,22.64522,22.60797,22.62172,26136,905,0
1764612000,22.62147,22.62373,22.58227,22.58623,24147,905,0
1764615600,22.58698,22.59244,22.57627,22.58173,17640,905,0
1764619200,22.58150,22.58503,22.56779,22.57924,11704,905,0
1764622800,22.57959,22.58034,22.56647,22.57498,8964,905,0
1764626400,22.57470,22.57797,22.56918,22.57063,6853,905,0
1764630000,22.57041,22.58477,22.56275,22.56375,2669,905,0
1764648000,22.58446,22.59341,22.58272,22.59245,6330,1500,0
1764651600,22.59473,22.59985,22.58774,22.59189,6337,909,0
1764655200,22.59214,22.60472,22.59116,22.59452,4494,905,0
1764658800,22.59421,22.59617,22.58023,22.59041,2980,905,0
1764662400,22.58965,22.59823,22.57111,22.57664,4876,905,0
1764666000,22.57784,22.59403,22.55446,22.58266,21425,905,0
1764669600,22.57894,22.61028,22.57272,22.60491,19272,905,0
1764673200,22.60512,22.63798,22.59682,22.62330,17527,905,0
1764676800,22.62206,22.62297,22.58222,22.60088,20887,905,0
1764680400,22.59776,22.61595,22.59272,22.59468,17367,905,0
1764684000,22.59473,22.60173,22.58021,22.58970,16505,905,0
1764687600,22.58973,22.58973,22.56201,22.56397,16580,905,0
1764691200,22.56408,22.60123,22.55521,22.59772,24599,905,0
1764694800,22.59722,22.63097,22.59029,22.60005,25889,905,0
1764698400,22.60023,22.61272,22.58282,22.59822,20439,905,0
1764702000,22.59820,22.60397,22.57632,22.60397,15928,905,0
1764705600,22.60444,22.61822,22.59082,22.59521,9558,905,0
1764709200,22.59482,22.59848,22.57500,22.59473,10842,905,0
1764712800,22.59484,22.60572,22.58497,22.60472,9767,905,0
1764716400,22.60480,22.60772,22.58499,22.58499,1881,905,0
1764734400,22.60323,22.61575,22.59629,22.61321,10700,1500,0
1764738000,22.61349,22.61776,22.60423,22.61136,7475,968,0
1764741600,22.61153,22.62396,22.59789,22.62014,7356,968,0
1764745200,22.62065,22.62912,22.60534,22.62642,6848,905,0
1764748800,22.62641,22.63007,22.59770,22.61793,7915,905,0
1764752400,22.61941,22.64310,22.61473,22.61920,16565,905,0
1764756000,22.61948,22.63523,22.58023,22.62591,16002,905,0
1764759600,22.62694,22.71572,22.62322,22.70505,17231,905,0
1764763200,22.70563,22.72222,22.68580,22.69970,17300,905,0
1764766800,22.69802,22.70921,22.68559,22.70657,12568,905,0
1764770400,22.70647,22.72547,22.70048,22.72338,12482,905,0
1764774000,22.72299,22.73604,22.70325,22.70447,18066,905,0
1764777600,22.70466,22.73672,22.69811,22.71450,25422,905,0
1764781200,22.71547,22.72544,22.69469,22.70523,23438,905,0
1764784800,22.70519,22.73855,22.70422,22.72139,17813,905,0
1764788400,22.72109,22.74238,22.71129,22.73384,14726,905,0
1764792000,22.73383,22.75072,22.73292,22.74380,12455,905,0
1764795600,22.74383,22.75639,22.74072,22.75322,10781,905,0
1764799200,22.75314,22.75314,22.73733,22.74683,10248,905,0
1764802800,22.74709,22.75297,22.73775,22.73775,2380,905,0
1764820800,22.73955,22.75525,22.73323,22.74131,5441,1500,0
1764824400,22.74160,22.75026,22.73432,22.74932,5008,910,0
1764828000,22.74977,22.75363,22.72899,22.73871,5484,1078,0
1764831600,22.73871,22.75776,22.73132,22.73820,8950,1012,0
1764835200,22.73728,22.75789,22.73190,22.75022,6970,905,0
1764838800,22.75044,22.75422,22.71374,22.72397,10376,905,0
1764842400,22.72409,22.75222,22.71837,22.73782,17469,905,0
1764846000,22.73781,22.73816,22.66139,22.66248,12670,905,0
1764849600,22.66248,22.70136,22.65759,22.69089,17966,905,0
1764853200,22.69097,22.70932,22.66372,22.66972,17230,905,0
1764856800,22.66981,22.67522,22.64352,22.66708,16261,905,0
1764860400,22.66687,22.66822,22.60088,22.66594,17010,905,0
1764864000,22.66573,22.69022,22.65315,22.67918,24708,905,0
1764867600,22.68045,22.71755,22.64715,22.68723,20862,905,0
1764871200,22.68718,22.68804,22.66050,22.67989,26881,905,0
1764874800,22.67997,22.68593,22.65316,22.65692,14885,905,0
1764878400,22.65685,22.68882,22.64696,22.67923,14550,905,0
1764882000,22.67914,22.68203,22.65872,22.66009,17024,905,0
1764885600,22.66022,22.66922,22.64692,22.64717,15842,905,0
1764889200,22.64673,22.65639,22.63135,22.63327,3832,905,0
1764907200,22.63012,22.65154,22.62944,22.63225,5698,1500,0
1764910800,22.63522,22.63670,22.62213,22.62932,4192,905,0
1764914400,22.62943,22.64027,22.61075,22.62139,4545,905,0
1764918000,22.62049,22.63298,22.61649,22.63172,2951,905,0
1764921600,22.63165,22.64122,22.60672,22.61781,3988,905,0
1764925200,22.61974,22.63537,22.60645,22.61523,14907,905,0
1764928800,22.61521,22.62303,22.58754,22.59876,16605,905,0
1764932400,22.59898,22.60423,22.57752,22.59165,10313,905,0
1764936000,22.59152,22.60422,22.58022,22.58847,8552,905,0
1764939600,22.58831,22.61197,22.58122,22.59873,10819,905,0
1764943200,22.59800,22.59800,22.56964,22.57909,10679,905,0
1764946800,22.57922,22.61732,22.57450,22.60709,15806,905,0
1764950400,22.60670,22.62499,22.59372,22.60698,19369,905,0
1764954000,22.60784,22.61663,22.56545,22.60075,19489,905,0
1764957600,22.60073,22.61633,22.57829,22.60092,20825,905,0
1764961200,22.59997,22.61063,22.55644,22.57305,16461,905,0
1764964800,22.57303,22.59072,22.56848,22.58922,13945,905,0
1764968400,22.58912,22.60723,22.58596,22.59772,9342,905,0
1764972000,22.59748,22.59822,22.57871,22.58593,7504,905,0
1764975600,22.58598,22.58823,22.55400,22.56536,5918,905,0
1765166400,22.57625,22.58117,22.56623,22.57952,5252,1125,0
1765170000,22.57967,22.58147,22.56827,22.57218,4461,1038,0
1765173600,22.57423,22.58386,22.56980,22.57690,4525,989,0
1765177200,22.57694,22.58179,22.56137,22.57141,11038,1025,0
1765180800,22.57181,22.58610,22.55491,22.57103,5577,905,0
1765184400,22.56795,22.58472,22.55261,22.57613,9443,905,0
1765188000,22.57634,22.63122,22.57472,22.62769,15240,905,0
1765191600,22.62726,22.63847,22.59774,22.61454,13700,905,0
1765195200,22.61432,22.62992,22.60298,22.60922,10093,905,0
1765198800,22.60844,22.61822,22.59264,22.60539,11391,905,0
1765202400,22.60527,22.60965,22.59393,22.60951,11215,905,0
1765206000,22.60902,22.62429,22.59572,22.60213,17777,905,0
1765209600,22.60224,22.66130,22.59370,22.65029,18898,905,0
1765213200,22.64681,22.70823,22.64556,22.69090,22857,905,0
1765216800,22.69057,22.70073,22.67725,22.69629,18482,905,0
1765220400,22.69572,22.70743,22.66394,22.67477,13497,905,0
1765224000,22.67498,22.69012,22.65622,22.68872,14201,905,0
1765227600,22.68855,22.70361,22.68547,22.69267,10551,905,0
1765231200,22.69259,22.70260,22.68706,22.69996,7257,905,0
1765234800,22.70023,22.70775,22.68266,22.68923,2306,905,0
1765252800,22.69566,22.71025,22.68685,22.70850,4901,1500,0
1765256400,22.70769,22.71605,22.69659,22.70393,5490,983,0
1765260000,22.70359,22.71069,22.69450,22.70683,5244,1038,0
1765263600,22.70685,22.71647,22.70064,22.71046,3327,905,0
1765267200,22.71029,22.72647,22.70303,22.70927,5824,905,0
1765270800,22.70858,22.73047,22.70264,22.71197,11524,905,0
1765274400,22.70784,22.74816,22.70230,22.74422,14167,905,0
1765278000,22.74405,22.74622,22.69648,22.71272,17006,905,0
1765281600,22.71175,22.72669,22.70178,22.71186,16159,905,0
1765285200,22.71205,22.71832,22.69205,22.71657,12106,905,0
1765288800,22.71672,22.72157,22.69720,22.71783,12525,905,0
1765292400,22.71795,22.79013,22.71722,22.75303,17227,905,0
1765296000,22.75305,22.76373,22.69776,22.71159,25053,905,0
1765299600,22.71088,22.72425,22.66670,22.67105,26724,905,0
1765303200,22.67106,22.70947,22.65723,22.70798,30251,905,0
1765306800,22.70776,22.71673,22.68285,22.68605,20696,905,0
1765310400,22.68626,22.68949,22.66223,22.67988,16367,905,0
1765314000,22.67928,22.68973,22.67323,22.68065,7223,905,0
1765317600,22.68030,22.69037,22.67297,22.68518,11071,905,0
1765321200,22.68501,22.68981,22.66624,22.66624,4638,905,0
1765339200,22.66280,22.68079,22.65823,22.66623,7130,1500,0
1765342800,22.66646,22.67498,22.66016,22.67127,2868,1022,0
1765346400,22.67144,22.67928,22.66279,22.67287,2893,1014,0
1765350000,22.67314,22.68286,22.65770,22.66154,9482,1003,0
1765353600,22.66087,22.67134,22.64864,22.66166,6474,939,0
1765357200,22.66188,22.68573,22.65676,22.67911,18951,905,0
1765360800,22.67764,22.68681,22.64872,22.65823,14450,905,0
1765364400,22.65813,22.67177,22.64496,22.66072,15303,905,0
1765368000,22.66067,22.66131,22.61532,22.62514,16297,905,0
1765371600,22.62526,22.63040,22.59404,22.61292,15810,905,0
1765375200,22.61221,22.65268,22.60873,22.65122,20821,905,0
1765378800,22.65098,22.68172,22.64620,22.67672,23546,905,0
1765382400,22.67654,22.68769,22.63722,22.64645,25614,905,0
1765386000,22.64654,22.65129,22.62383,22.63548,21668,905,0
1765389600,22.63544,22.66472,22.63072,22.65531,24533,905,0
1765393200,22.65563,22.68023,22.64922,22.67114,15902,905,0
1765396800,22.67122,22.68335,22.65451,22.65487,14566,905,0
1765400400,22.65625,22.67800,22.61859,22.65626,29887,905,0
1765404000,22.65522,22.66379,22.62646,22.63848,23345,905,0
1765407600,22.63872,22.66372,22.63122,22.63312,4344,905,0
1765425600,22.65823,22.67861,22.65323,22.66458,5260,1500,0
1765429200,22.66521,22.69176,22.65606,22.67724,6958,905,0
1765432800,22.67776,22.68754,22.66292,22.67601,5523,942,0
1765436400,22.67611,22.67830,22.66000,22.67415,4581,917,0
1765440000,22.67396,22.67892,22.63568,22.64899,12057,942,0
1765443600,22.64972,22.65854,22.61173,22.62297,18093,905,0
1765447200,22.62097,22.62720,22.58604,22.60326,20179,905,0
1765450800,22.60375,22.62323,22.58873,22.60686,21426,905,0
1765454400,22.60697,22.63572,22.60048,22.61589,18468,905,0
1765458000,22.61585,22.66419,22.61485,22.65772,18429,905,0
1765461600,22.65786,22.67622,22.64846,22.66945,27348,905,0
1765465200,22.66884,22.68972,22.66042,22.67282,24803,905,0
1765468800,22.67210,22.69322,22.65563,22.66473,28670,905,0
1765472400,22.66493,22.66972,22.62448,22.63747,27231,905,0
1765476000,22.63723,22.64348,22.59828,22.61222,20450,905,0
1765479600,22.61142,22.63199,22.58647,22.62941,23163,905,0
1765483200,22.62939,22.63523,22.60522,22.61572,17917,905,0
1765486800,22.61547,22.61672,22.57725,22.58783,21210,905,0
1765490400,22.58748,22.59978,22.57835,22.59141,23573,905,0
1765494000,22.59134,22.59740,22.56827,22.57413,4151,905,0
1765512000,22.59430,22.60074,22.57936,22.58608,5988,1500,0
1765515600,22.58640,22.59406,22.57249,22.58537,4541,1253,0
1765519200,22.58541,22.59446,22.57798,22.58157,3838,1154,0
1765522800,22.58286,22.58473,22.55233,22.55755,7365,1233,0
1765526400,22.55437,22.57839,22.53962,22.57328,16390,935,0
1765530000,22.57317,22.57317,22.51315,22.51333,19885,905,0
1765533600,22.51319,22.54272,22.50707,22.52348,17924,905,0
1765537200,22.52347,22.56674,22.51472,22.54554,16881,905,0
1765540800,22.54570,22.57373,22.54526,22.55466,13955,905,0
1765544400,22.55435,22.57042,22.53520,22.55325,15318,905,0
1765548000,22.55322,22.55548,22.52272,22.55360,12144,905,0
1765551600,22.55268,22.55572,22.52017,22.52047,18551,905,0
1765555200,22.52067,22.55099,22.50469,22.50623,23259,905,0
1765558800,22.50625,22.57723,22.50622,22.56139,29437,905,0
1765562400,22.56119,22.57535,22.51672,22.51873,25461,905,0
1765566000,22.51826,22.55262,22.50872,22.55106,19598,905,0
1765569600,22.55078,22.55276,22.52412,22.52478,13546,905,0
1765573200,22.52477,22.55362,22.52470,22.54398,16864,905,0
1765576800,22.54485,22.57443,22.53690,22.55499,17078,905,0
1765580400,22.55547,22.57217,22.54624,22.54736,4338,905,0
1765771200,22.55179,22.55650,22.53701,22.54478,6010,1500,0
1765774800,22.54617,22.54861,22.51799,22.52636,6857,997,0
1765778400,22.52619,22.52862,22.50535,22.51041,7012,938,0
1765782000,22.51003,22.51472,22.49728,22.51171,6679,1006,0
1765785600,22.51188,22.52037,22.48471,22.50663,5870,905,0
1765789200,22.50780,22.53238,22.49811,22.52548,13170,905,0
1765792800,22.52669,22.53371,22.50023,22.52221,12711,905,0
1765796400,22.52222,22.54120,22.50130,22.51091,13808,905,0
1765800000,22.51091,22.51852,22.48097,22.48685,9471,905,0
1765803600,22.48672,22.49298,22.45505,22.45519,7277,905,0
1765807200,22.45522,22.48382,22.44871,22.46327,9310,905,0
1765810800,22.46297,22.47650,22.45097,22.46851,13041,905,0
1765814400,22.46822,22.49772,22.45935,22.48674,19666,905,0
1765818000,22.48594,22.49223,22.45447,22.46973,21802,905,0
1765821600,22.47006,22.47323,22.43847,22.45436,18654,905,0
1765825200,22.45422,22.46372,22.44241,22.45516,16229,905,0
1765828800,22.45487,22.46387,22.44285,22.44691,11138,905,0
1765832400,22.44656,22.46107,22.44281,22.45407,9905,905,0
1765836000,22.45422,22.47326,22.45162,22.47198,7147,905,0
1765839600,22.47142,22.47771,22.43932,22.46288,5448,905,0
1765857600,22.46126,22.46276,22.44024,22.45502,7892,1500,0
1765861200,22.45543,22.46706,22.44321,22.44928,7283,1289,0
1765864800,22.44964,22.46316,22.43999,22.45102,5612,1435,0
1765868400,22.45117,22.47006,22.44595,22.46094,6795,998,0
1765872000,22.46093,22.47239,22.44671,22.45379,12369,957,0
1765875600,22.45678,22.48236,22.45025,22.47534,15941,905,0
1765879200,22.47632,22.50559,22.46272,22.49197,11066,905,0
1765882800,22.49239,22.52847,22.49239,22.52482,13515,905,0
1765886400,22.52449,22.52947,22.50197,22.51872,14886,905,0
1765890000,22.51860,22.54206,22.50562,22.54122,13954,905,0
1765893600,22.54121,22.54222,22.51492,22.53031,13435,905,0
1765897200,22.53027,22.55250,22.48464,22.49151,28963,905,0
1765900800,22.49151,22.50181,22.46935,22.47783,25143,905,0
1765904400,22.47805,22.48272,22.42657,22.43920,27443,905,0
1765908000,22.43902,22.48122,22.43810,22.46750,20988,905,0
1765911600,22.46673,22.47924,22.46200,22.47089,14514,905,0
1765915200,22.47072,22.48171,22.45816,22.47925,17402,905,0
1765918800,22.47981,22.49198,22.45792,22.48105,18425,905,0
1765922400,22.48101,22.50509,22.47280,22.49847,13361,905,0
1765926000,22.49752,22.51723,22.47190,22.47794,8053,905,0
1765944000,22.47085,22.49199,22.45419,22.47103,12583,1500,0
1765947600,22.47135,22.47302,22.43906,22.44815,12574,1101,0
1765951200,22.44838,22.46385,22.44311,22.45389,14146,905,0
1765954800,22.45321,22.46060,22.40976,22.41413,13109,1085,0
1765958400,22.41385,22.43868,22.39807,22.42600,14625,905,0
1765962000,22.43223,22.43223,22.31974,22.33538,25288,905,0
1765965600,22.33585,22.34601,22.31722,22.33798,17896,905,0
1765969200,22.33778,22.34241,22.30097,22.30162,15570,905,0
1765972800,22.30121,22.31101,22.29353,22.30694,18277,905,0
1765976400,22.30673,22.31522,22.29713,22.31048,12404,905,0
