time,open,high,low,close,tick_volume,spread,real_volume
1764172800,68.12,68.46,67.75,67.81,807,32,0
1764176400,67.82,68.17,67.66,67.89,1394,32,0
1764180000,67.89,68.64,67.88,68.58,1191,32,0
1764183600,68.59,70.26,68.46,70.15,1409,32,0
1764187200,70.15,70.61,70.02,70.38,1357,32,0
1764190800,70.38,70.44,70.08,70.24,1109,32,0
1764194400,70.24,70.39,69.89,70.20,1077,32,0
1764345600,72.65,72.68,71.72,72.06,818,32,0
1764349200,72.07,72.49,71.86,72.13,1245,32,0
1764352800,72.14,72.15,70.98,71.02,1327,32,0
1764356400,71.02,71.25,70.49,70.78,1319,32,0
1764604800,67.30,67.31,67.01,67.19,322,32,0
1764608400,67.04,67.07,65.45,65.76,643,32,0
1764612000,65.96,66.68,65.57,65.99,1368,32,0
1764615600,65.99,66.54,65.90,66.31,1320,32,0
1764619200,66.31,66.77,66.11,66.50,1202,32,0
1764622800,66.50,66.58,66.03,66.36,1284,32,0
1764626400,66.35,66.99,66.34,66.72,1399,32,0
1764691200,69.21,69.70,69.00,69.69,910,32,0
1764694800,69.69,71.16,69.69,70.93,1830,32,0
1764698400,70.92,71.24,70.43,70.88,1594,32,0
1764702000,70.87,71.85,70.86,71.41,1438,32,0
1764705600,71.37,72.00,71.37,71.80,1270,32,0
1764709200,71.79,72.07,71.74,71.75,1081,32,0
1764712800,71.76,71.79,70.85,71.06,1262,32,0
1764777600,72.28,73.15,71.93,72.07,1039,32,0
1764781200,72.13,72.61,71.75,72.11,1742,32,0
1764784800,72.13,72.42,71.65,72.01,1430,32,0
1764788400,72.01,72.65,71.97,72.58,1301,32,0
1764792000,72.58,73.02,72.11,72.29,1132,32,0
1764795600,72.30,72.68,72.24,72.62,977,32,0
1764799200,72.63,72.89,72.47,72.56,1065,32,0
1764864000,72.43,72.43,71.64,71.72,893,32,0
1764867600,71.71,72.79,71.71,72.60,1570,32,0
1764871200,72.59,72.76,72.01,72.17,1380,32,0
1764874800,72.16,72.25,71.62,72.15,1269,32,0
1764878400,72.15,72.28,71.77,71.93,1161,32,0
1764882000,71.93,71.96,70.94,71.81,1493,32,0
1764885600,71.79,72.26,71.59,72.22,1282,32,0
1764950400,70.62,70.85,70.21,70.51,889,32,0
1764954000,70.52,71.41,70.48,70.63,1649,32,0
1764957600,70.63,70.66,68.82,69.34,1802,32,0
1764961200,69.35,69.90,69.20,69.77,1474,32,0
1764964800,69.76,70.15,69.43,69.45,1307,32,0
1764968400,69.44,70.15,69.37,70.01,1318,32,0
1764972000,70.01,70.10,69.64,69.73,1065,32,0
1765209600,71.30,71.60,70.84,70.90,940,32,0
1765213200,70.88,71.01,69.92,70.20,1746,32,0
1765216800,70.19,70.61,69.97,70.20,1428,32,0
1765220400,70.20,70.49,69.97,70.43,1348,32,0
1765224000,70.42,70.65,69.99,70.16,1338,32,0
1765227600,70.16,70.52,70.10,70.31,1255,32,0
1765231200,70.31,70.94,70.31,70.85,1211,32,0
1765296000,70.44,70.69,70.21,70.50,873,32,0
1765299600,70.50,72.48,70.43,72.35,1850,32,0
1765303200,72.35,73.79,72.35,73.56,1706,32,0
1765306800,73.55,73.88,73.03,73.34,1405,32,0
1765310400,73.33,73.53,73.11,73.33,1149,32,0
1765314000,73.33,73.53,73.12,73.23,1076,32,0
1765317600,73.23,73.27,72.40,72.67,1341,32,0
1765382400,71.74,71.89,71.47,71.67,804,32,0
