time,open,high,low,close,tick_volume,spread,real_volume
946864800,1224.00,1229.52,1193.52,1200.00,4801,0,0
946951200,1178.00,1184.00,1152.00,1152.00,3801,0,0
947037600,1150.00,1176.00,1140.48,1150.00,7105,0,0
947124000,1145.04,1175.52,1141.04,1165.36,4865,0,0
947210400,1184.00,1215.04,1176.00,1210.48,5161,0,0
947469600,1221.52,1232.48,1209.04,1210.00,3537,0,0
947556000,1208.00,1221.52,1205.04,1212.00,2897,0,0
947642400,1208.48,1226.00,1204.48,1216.00,3553,0,0
947728800,1225.04,1239.52,1224.00,1230.00,2609,0,0
947815200,1227.04,1237.04,1196.48,1208.00,6209,0,0
948160800,1197.04,1197.04,1174.00,1184.00,3305,0,0
948247200,1172.00,1207.52,1170.00,1189.76,5729,0,0
948333600,1192.48,1198.00,1141.04,1167.52,8897,0,0
948420000,1183.52,1186.00,1151.52,1153.04,3849,0,0
948679200,1162.48,1167.52,1091.52,1105.04,9457,0,0
948765600,1104.48,1123.04,1096.00,1108.00,5057,0,0
948852000,1124.00,1137.52,1111.04,1131.52,4545,0,0
948938400,1132.48,1134.00,1096.48,1134.00,7353,0,0
949024800,1122.48,1124.00,1069.04,1072.00,5945,0,0
949284000,1072.00,1087.52,1064.48,1072.00,4609,0,0
949370400,1074.00,1096.00,1072.00,1088.00,3401,0,0
949456800,1097.04,1101.04,1072.48,1072.48,3257,0,0
949543200,1087.52,1118.48,1082.00,1114.00,4649,0,0
949629600,1128.00,1145.04,1124.00,1132.48,3761,0,0
949888800,1133.52,1134.00,1087.04,1092.00,5241,0,0
949975200,1092.48,1107.52,1092.00,1096.48,2705,0,0
950061600,1096.00,1101.52,1072.48,1072.48,3457,0,0
950148000,1076.48,1095.52,1065.04,1083.52,5393,0,0
950234400,1080.48,1098.48,1068.48,1070.00,4953,0,0
950493600,1070.00,1087.52,1068.48,1075.04,3305,0,0
950580000,1072.00,1112.00,1071.52,1100.00,5297,0,0
950666400,1093.04,1095.52,1075.04,1085.28,3321,0,0
950752800,1079.04,1085.04,1040.00,1048.00,5905,0,0
950839200,1048.00,1055.52,999.52,1000.96,6497,0,0
951184800,1010.00,1040.00,1000.48,1037.04,5201,0,0
951271200,1040.00,1063.52,1027.04,1044.00,6897,0,0
951357600,1042.48,1063.52,1008.48,1048.00,10457,0,0
951444000,1036.00,1047.52,1005.52,1008.96,5697,0,0
951703200,1008.00,1058.00,1008.00,1035.52,7249,0,0
951789600,1045.04,1072.00,1041.04,1059.04,4793,0,0
951876000,1068.00,1071.04,1046.00,1051.04,3313,0,0
951962400,1051.04,1089.04,1047.04,1082.00,5305,0,0
952048800,1098.00,1124.00,1096.48,1115.04,3801,0,0
952308000,1116.00,1116.00,1077.04,1099.52,6145,0,0
952394400,1099.04,1099.04,1037.04,1039.52,6449,0,0
952480800,1042.00,1059.52,1032.48,1042.48,5361,0,0
952567200,1042.48,1056.00,1017.52,1032.00,6649,0,0
952653600,1047.04,1072.48,1040.00,1053.52,5849,0,0
952912800,1032.00,1044.00,1020.96,1035.52,4257,0,0
952999200,1037.04,1038.00,1014.48,1016.00,2601,0,0
953085600,1014.96,1077.52,1010.00,1068.48,8153,0,0
953172000,1069.52,1115.52,1068.00,1112.00,5257,0,0
953258400,1105.04,1131.52,1097.52,1119.04,5401,0,0
953517600,1119.04,1134.00,1101.04,1127.52,5745,0,0
953604000,1110.00,1211.52,1104.48,1204.00,12009,0,0
953690400,1204.00,1215.52,1189.04,1207.04,4993,0,0
953776800,1212.00,1280.00,1207.52,1280.00,7697,0,0
953863200,1261.04,1278.00,1247.52,1272.48,4953,0,0
954126000,1262.00,1270.00,1250.00,1263.52,3849,0,0
954212400,1254.00,1269.04,1248.00,1248.00,3609,0,0
954298800,1259.04,1319.04,1259.04,1304.00,7505,0,0
954385200,1296.00,1300.00,1260.48,1270.00,5305,0,0
954471600,1274.00,1279.04,1238.00,1245.04,5313,0,0
954730800,1242.00,1288.00,1240.00,1288.00,5001,0,0
954817200,1268.48,1271.04,1177.04,1232.00,15153,0,0
954903600,1217.04,1240.00,1205.52,1226.48,5953,0,0
954990000,1233.52,1261.52,1232.48,1255.04,3657,0,0
955076400,1261.04,1278.48,1249.52,1270.48,4849,0,0
955335600,1275.04,1288.00,1263.04,1275.52,4945,0,0
955422000,1266.48,1311.04,1261.04,1293.04,7345,0,0
955508400,1301.04,1306.00,1248.00,1254.00,6897,0,0
955594800,1259.04,1259.52,1200.00,1204.00,6401,0,0
955681200,1184.00,1201.04,1144.48,1166.00,9513,0,0
955940400,1155.04,1226.00,1151.04,1216.00,8897,0,0
956026800,1222.48,1263.52,1215.52,1252.00,6649,0,0
956113200,1248.48,1254.48,1233.04,1244.00,3841,0,0
956199600,1248.48,1268.00,1244.00,1268.00,2849,0,0
956545200,1256.00,1311.52,1250.48,1296.48,8161,0,0
956631600,1298.00,1330.48,1287.04,1328.00,5689,0,0
956718000,1329.04,1343.52,1290.48,1306.00,8305,0,0
956804400,1284.00,1295.52,1265.52,1292.00,5201,0,0
956890800,1291.04,1296.00,1252.48,1258.00,5401,0,0
957150000,1272.00,1296.00,1262.00,1275.04,6497,0,0
957236400,1272.00,1294.48,1265.52,1288.48,4145,0,0
957322800,1276.00,1280.00,1236.48,1248.48,5953,0,0
957409200,1259.52,1260.00,1222.00,1232.00,4849,0,0
957495600,1232.00,1280.00,1228.00,1264.00,7201,0,0
957754800,417.04,423.04,413.04,419.52,1753,0,0
957841200,419.04,421.52,407.04,417.04,2697,0,0
957927600,412.00,416.48,400.48,405.04,2505,0,0
958014000,412.00,419.04,406.00,407.52,2161,0,0
958100400,406.48,421.04,405.52,418.00,1953,0,0
958359600,418.48,435.52,418.00,432.00,2153,0,0
958446000,438.48,441.52,432.00,434.00,1457,0,0
958532400,430.00,435.04,425.04,429.04,1905,0,0
958618800,428.00,435.04,423.04,425.04,2105,0,0
958705200,417.04,421.52,408.00,415.04,2505,0,0
958964400,415.04,415.04,390.00,400.00,3505,0,0
959050800,393.52,400.00,391.52,400.00,1049,0,0
959137200,392.00,410.00,392.00,406.00,2201,0,0
959223600,406.00,414.48,398.00,406.00,3297,0,0
959310000,403.52,407.52,394.48,396.48,1905,0,0
959655600,398.48,412.00,395.04,410.00,2241,0,0
959742000,414.00,426.48,412.00,421.04,2193,0,0
959828400,416.48,427.04,406.00,419.04,3953,0,0
959914800,426.48,432.00,414.00,422.00,3153,0,0
960174000,416.00,418.00,408.48,412.48,1553,0,0
960260400,412.00,414.48,404.48,409.52,1753,0,0
960346800,409.04,419.52,408.00,411.04,2105,0,0
960433200,412.00,413.04,404.00,407.04,1313,0,0
960519600,408.48,410.00,394.00,399.04,2257,0,0
960778800,400.00,401.04,387.52,399.04,2609,0,0
960865200,400.00,412.48,398.00,409.52,1945,0,0
960951600,410.00,414.48,402.48,408.00,2201,0,0
961038000,404.00,416.00,400.00,415.04,2097,0,0
961124400,416.00,417.52,408.40,409.04,1129,0,0
961383600,406.48,414.00,400.00,402.00,2353,0,0
961470000,415.52,415.52,401.04,408.00,2145,0,0
961556400,400.48,403.04,393.52,395.52,1409,0,0
961642800,393.52,400.00,383.52,390.00,2945,0,0
961729200,389.52,399.04,388.48,399.04,1161,0,0
961988400,395.04,400.48,392.48,399.52,1153,0,0
962074800,400.00,402.48,392.48,394.00,1401,0,0
962161200,398.00,406.48,396.48,404.40,1361,0,0
962247600,404.00,404.00,394.48,398.00,1305,0,0
962334000,394.00,424.88,392.48,424.00,3481,0,0
962593200,420.00,420.00,411.04,416.00,1393,0,0
962766000,418.00,418.00,396.00,399.52,2553,0,0
962852400,400.48,408.00,398.48,401.52,1801,0,0
962938800,406.00,412.00,402.48,410.48,1457,0,0
963198000,410.48,421.04,409.04,419.52,1497,0,0
963284400,418.48,427.04,416.48,418.00,2065,0,0
963370800,431.04,431.04,418.00,430.00,2505,0,0
963457200,426.00,432.00,415.52,420.00,2697,0,0
963543600,418.48,420.00,412.00,412.00,953,0,0
963802800,412.48,435.52,412.48,429.52,2905,0,0
963889200,429.04,430.00,418.00,418.00,1297,0,0
963975600,423.52,426.48,420.48,422.00,1049,0,0
964062000,425.52,438.00,422.48,434.48,2209,0,0
964148400,437.04,438.00,429.04,433.04,1393,0,0
964407600,433.52,437.04,429.04,432.00,1449,0,0
964494000,432.00,433.52,428.00,428.48,753,0,0
964580400,431.52,431.52,417.04,417.04,1449,0,0
964666800,421.04,424.48,418.00,420.00,1193,0,0
964753200,420.00,421.04,403.04,407.52,2353,0,0
965012400,413.04,423.04,411.52,413.52,2257,0,0
965098800,415.52,423.04,414.48,422.00,1065,0,0
965185200,419.52,422.48,412.00,416.00,1745,0,0
965271600,431.04,431.04,415.04,423.04,2401,0,0
965358000,415.04,428.00,409.52,427.04,2497,0,0
965617200,417.04,429.04,417.04,421.04,2001,0,0
965703600,424.48,430.48,416.00,430.00,2345,0,0
965790000,431.04,449.52,429.04,447.52,2449,0,0
965876400,447.04,457.52,444.00,456.00,1809,0,0
965962800,449.04,459.04,446.00,452.48,2265,0,0
966222000,451.04,457.52,446.48,456.00,1713,0,0
966308400,454.00,459.04,449.52,458.00,1505,0,0
966394800,458.00,458.00,449.52,454.48,1345,0,0
966481200,450.48,458.00,448.00,453.52,1697,0,0
966567600,449.52,452.00,446.00,449.52,1201,0,0
966826800,453.52,456.48,449.04,452.48,1385,0,0
966913200,453.04,455.52,448.48,450.00,1105,0,0
966999600,450.00,464.48,449.04,463.52,1737,0,0
967086000,464.48,476.48,462.00,471.52,2193,0,0
967172400,472.48,476.48,471.04,474.00,937,0,0
967431600,476.00,484.00,475.52,480.00,1297,0,0
967518000,476.48,479.52,473.52,479.04,945,0,0
967604400,473.04,474.48,457.04,460.00,2185,0,0
967690800,458.00,474.48,457.52,469.04,2289,0,0
967777200,474.00,477.52,462.48,468.00,2409,0,0
968122800,467.52,471.52,462.48,462.48,1305,0,0
968209200,471.52,474.00,468.00,472.00,1153,0,0
968295600,471.04,473.52,465.52,472.00,1505,0,0
968382000,470.48,480.00,466.00,479.04,1945,0,0
968641200,476.00,480.48,469.52,477.52,2041,0,0
968727600,476.00,478.00,471.52,472.48,945,0,0
