time,open,high,low,close,tick_volume,spread,real_volume
946864800,94.06,94.25,87.63,88.19,738,0,0
946951200,86.88,87.38,82.14,82.64,625,0,0
947037600,80.76,81.76,78.27,78.77,500,0,0
947124000,78.52,84.38,78.52,82.14,811,0,0
947210400,82.95,83.07,79.77,82.45,611,0,0
947469600,81.64,84.76,81.64,84.26,363,0,0
947556000,84.88,86.13,84.45,84.70,319,0,0
947642400,84.01,85.88,83.26,84.26,500,0,0
947728800,85.01,85.01,82.76,84.38,388,0,0
947815200,85.38,86.82,85.20,85.51,312,0,0
948160800,84.88,89.00,84.63,86.76,687,0,0
948247200,86.76,89.25,86.63,87.44,457,0,0
948333600,87.00,87.94,84.88,85.94,507,0,0
948420000,86.19,86.19,84.56,85.69,277,0,0
948679200,87.50,87.50,81.50,81.75,626,0,0
948765600,83.00,84.19,82.37,83.87,278,0,0
948852000,84.13,88.50,84.13,88.25,463,0,0
948938400,88.25,89.94,87.62,89.00,390,0,0
949024800,87.50,88.00,86.12,87.00,327,0,0
949284000,87.00,91.69,86.50,91.63,576,0,0
949370400,92.87,93.00,90.50,91.25,339,0,0
949456800,90.75,91.63,88.63,91.12,564,0,0
949543200,90.00,91.12,84.81,85.37,800,0,0
949629600,87.25,87.25,83.56,84.69,483,0,0
949888800,84.44,86.50,83.50,85.75,470,0,0
949975200,85.75,89.62,85.75,89.44,406,0,0
950061600,89.44,89.44,86.56,86.75,308,0,0
950148000,86.75,87.31,85.50,86.62,350,0,0
950234400,86.44,88.75,85.00,85.12,619,0,0
950493600,85.12,86.87,84.62,86.50,313,0,0
950580000,86.25,86.62,85.12,86.50,276,0,0
950666400,86.75,87.31,82.88,82.94,506,0,0
950752800,84.75,84.75,81.13,82.12,462,0,0
950839200,84.50,84.50,80.75,80.81,382,0,0
951184800,81.25,82.37,80.69,81.56,306,0,0
951357600,85.81,89.94,85.50,89.62,508,0,0
951444000,89.44,94.00,88.25,89.25,1132,0,0
951703200,89.25,89.25,87.00,88.00,326,0,0
951789600,88.75,92.50,88.00,92.50,526,0,0
951876000,93.25,96.75,93.19,94.75,563,0,0
951962400,95.25,97.88,94.12,96.25,653,0,0
952048800,97.00,102.50,96.75,102.50,601,0,0
952308000,102.75,105.25,102.38,103.69,481,0,0
952394400,103.94,105.75,102.44,104.87,570,0,0
952480800,105.00,105.38,99.69,101.75,814,0,0
952567200,101.75,108.19,101.25,107.19,845,0,0
952653600,109.75,119.00,108.50,112.25,1851,0,0
952912800,107.50,115.50,106.50,110.38,1513,0,0
952999200,111.50,112.88,103.50,104.75,1202,0,0
953085600,102.50,105.50,101.38,103.56,719,0,0
953172000,103.88,105.00,99.25,103.31,1094,0,0
953258400,104.12,117.38,103.25,116.50,1589,0,0
953517600,117.62,123.00,112.56,113.44,1671,0,0
953604000,111.00,119.81,106.50,118.25,1938,0,0
953690400,114.88,117.94,114.81,117.16,399,0,0
953776800,116.50,119.00,115.12,119.00,527,0,0
953863200,119.00,128.00,117.69,121.31,1832,0,0
954126000,118.25,119.38,111.75,112.00,902,0,0
954212400,109.50,115.50,108.50,113.25,1026,0,0
954298800,114.00,116.12,110.75,114.19,1056,0,0
954385200,112.63,115.00,105.13,106.88,1400,0,0
954471600,108.00,111.88,103.31,105.25,1440,0,0
954730800,108.75,110.81,105.50,105.50,738,0,0
954817200,106.00,106.25,91.12,98.25,2252,0,0
954903600,97.50,99.62,93.50,97.44,1219,0,0
954990000,101.00,106.00,100.00,106.00,701,0,0
955076400,106.25,107.25,101.19,102.50,838,0,0
955335600,104.00,109.12,103.56,107.06,807,0,0
955422000,107.12,108.31,104.31,104.81,570,0,0
955508400,106.50,107.25,96.50,96.56,1157,0,0
955594800,96.75,98.12,92.31,95.25,1013,0,0
955681200,92.75,92.75,79.44,82.75,1663,0,0
955940400,81.75,87.75,81.00,87.50,776,0,0
956026800,87.50,94.94,86.87,93.75,990,0,0
956113200,93.44,93.50,89.62,92.06,639,0,0
956199600,91.81,91.81,88.00,88.81,463,0,0
956545200,88.81,91.50,84.62,86.87,1183,0,0
956631600,88.63,97.88,87.50,97.06,1234,0,0
956718000,97.56,99.13,94.00,94.50,721,0,0
956804400,91.50,96.25,90.38,95.19,806,0,0
956890800,96.25,97.50,90.88,93.25,1025,0,0
957150000,93.25,101.62,93.25,97.00,1300,0,0
957236400,95.00,97.63,92.50,93.00,827,0,0
957322800,92.25,95.75,89.69,91.12,1100,0,0
957409200,91.37,92.00,88.12,90.19,659,0,0
957495600,89.38,92.19,87.44,89.87,902,0,0
957754800,86.00,87.88,85.75,87.31,296,0,0
957841200,86.00,87.00,84.75,85.63,414,0,0
957927600,83.00,83.69,80.56,81.44,471,0,0
958014000,81.50,83.25,80.44,80.87,500,0,0
958100400,80.25,84.88,80.25,83.78,574,0,0
958359600,83.81,88.00,83.81,87.06,514,0,0
958446000,88.00,89.25,84.00,85.50,801,0,0
958532400,85.12,86.00,83.00,84.69,558,0,0
958618800,83.87,87.50,83.87,85.25,589,0,0
958705200,84.25,85.00,82.12,84.56,546,0,0
958964400,83.50,83.87,80.62,82.00,501,0,0
959050800,81.88,85.50,81.50,82.81,708,0,0
959137200,82.63,83.62,79.50,80.00,562,0,0
959223600,80.50,83.38,71.94,73.00,1539,0,0
959310000,73.12,73.37,69.38,69.81,468,0,0
959655600,71.50,73.44,70.63,72.00,513,0,0
959742000,72.00,74.87,71.12,73.56,595,0,0
959828400,74.56,77.69,73.63,76.37,632,0,0
960174000,86.88,87.88,84.50,84.50,439,0,0
960260400,84.00,85.12,81.75,83.12,587,0,0
960346800,82.88,88.00,82.38,86.69,744,0,0
960433200,86.88,87.62,85.06,85.06,331,0,0
960778800,83.31,84.31,81.75,83.31,513,0,0
960865200,83.50,85.75,82.62,85.12,465,0,0
960951600,85.19,90.38,84.81,89.94,640,0,0
