time,open,high,low,close,tick_volume,spread,real_volume
1337050800,41.120,41.280,41.060,41.243,318,0,0
1337137200,40.615,40.865,40.155,40.582,1388,0,0
1337223600,40.595,40.735,40.107,40.410,1072,0,0
1337310000,40.158,40.221,39.370,39.465,1010,0,0
1337569200,39.148,39.943,39.118,39.541,1258,0,0
1337655600,39.553,40.113,39.163,39.626,1828,0,0
1337742000,39.303,39.451,38.515,38.705,1275,0,0
1337828400,38.888,39.048,38.243,38.693,1416,0,0
1337914800,38.795,39.448,38.642,39.413,995,0,0
1338174000,39.628,39.956,38.818,38.938,1587,0,0
1338260400,39.118,39.648,39.115,39.391,794,0,0
1338346800,39.145,39.490,38.642,38.670,1222,0,0
1339038000,38.395,38.430,38.140,38.192,378,0,0
1339124400,38.205,38.333,37.890,38.080,762,0,0
1339383600,38.510,38.628,37.757,37.830,1063,0,0
1339470000,37.810,38.175,37.310,37.545,1466,0,0
1339556400,37.643,38.048,37.460,37.996,824,0,0
1339642800,37.665,38.085,37.580,38.015,661,0,0
1339729200,38.203,38.208,37.858,38.035,533,0,0
1339988400,38.358,38.683,38.115,38.313,1092,0,0
1340074800,37.965,38.080,37.035,37.950,2076,0,0
1340161200,38.005,38.430,37.382,38.285,1817,0,0
1340247600,38.548,38.813,38.248,38.691,988,0,0
1340334000,38.348,39.041,38.168,38.968,1127,0,0
1340593200,38.773,38.941,38.405,38.745,1045,0,0
1340679600,38.890,39.025,38.647,38.815,682,0,0
1340766000,38.980,39.815,38.712,39.678,1509,0,0
1340852400,39.740,40.020,39.075,39.357,1508,0,0
1340938800,39.948,41.391,39.770,41.198,1993,0,0
1341198000,41.185,41.730,41.130,41.683,703,0,0
1341284400,41.768,41.891,41.290,41.781,1190,0,0
1341370800,41.770,42.240,41.770,42.085,626,0,0
1341457200,42.080,42.480,41.835,42.062,1273,0,0
1341543600,42.065,42.630,42.012,42.295,1007,0,0
1341802800,42.283,42.441,42.078,42.280,724,0,0
1341889200,42.333,42.333,41.635,42.045,1109,0,0
1341975600,41.618,42.068,41.383,41.841,1148,0,0
1342062000,41.620,41.813,41.285,41.607,1044,0,0
1342148400,41.755,42.140,41.627,42.053,729,0,0
1342407600,42.045,42.175,41.872,42.163,489,0,0
1342494000,42.363,42.363,41.875,42.130,744,0,0
1342580400,42.385,42.538,42.015,42.480,952,0,0
1342666800,42.673,43.076,42.583,43.031,629,0,0
1342753200,42.958,43.916,42.735,43.186,2135,0,0
1343012400,43.035,43.470,42.002,42.310,2212,0,0
1343098800,42.210,42.873,42.210,42.710,827,0,0
1343185200,42.603,43.173,42.523,42.648,1256,0,0
1343271600,42.830,43.883,42.690,43.748,1469,0,0
1343358000,43.915,43.980,43.282,43.450,932,0,0
1343617200,44.373,44.913,44.168,44.791,1073,0,0
1343703600,44.378,44.716,43.570,44.168,2083,0,0
1343790000,44.030,45.003,44.030,44.848,1129,0,0
1343876400,44.830,45.438,44.397,44.485,1738,0,0
1343962800,44.510,46.300,43.917,45.978,3299,0,0
1344222000,45.963,46.006,45.380,45.480,770,0,0
1344308400,45.315,45.530,43.855,44.355,2391,0,0
1344394800,44.325,44.983,43.690,43.742,2004,0,0
1344481200,43.898,44.241,43.558,44.153,1112,0,0
1344567600,44.005,44.630,43.857,44.020,1532,0,0
1344826800,43.925,44.203,43.730,43.955,917,0,0
1344913200,44.123,44.426,43.993,44.090,834,0,0
1344999600,43.870,44.405,43.822,44.263,774,0,0
1345086000,44.110,44.408,43.690,43.832,1159,0,0
1345172400,43.848,43.851,43.028,43.148,947,0,0
1345431600,43.775,44.120,43.597,43.863,959,0,0
1345518000,43.850,44.625,43.825,44.440,1011,0,0
1345604400,43.390,44.028,42.027,43.930,3463,0,0
1345690800,44.985,45.388,44.190,44.875,2287,0,0
1345777200,44.598,44.708,44.105,44.706,1099,0,0
1346036400,44.408,44.991,44.293,44.888,917,0,0
1346122800,44.793,45.043,44.670,44.838,702,0,0
1346209200,44.830,45.005,44.640,44.868,693,0,0
1346295600,44.650,44.683,44.220,44.387,664,0,0
1346382000,44.165,44.593,43.942,44.190,1278,0,0
1346641200,43.925,44.883,43.895,44.793,1109,0,0
1346727600,45.058,45.233,44.628,44.738,891,0,0
1346814000,44.615,44.748,44.297,44.350,638,0,0
1346900400,44.475,44.885,44.397,44.808,644,0,0
1346986800,44.853,44.948,44.030,44.123,1107,0,0
1347246000,44.023,44.103,42.870,43.268,1712,0,0
1347332400,43.330,43.555,42.980,43.390,1091,0,0
1347418800,43.443,43.443,42.713,42.935,953,0,0
1347505200,42.670,43.113,42.140,43.088,1529,0,0
1347591600,43.353,43.403,41.973,42.208,1716,0,0
1347850800,42.148,42.406,41.790,41.953,1038,0,0
1347937200,42.100,43.028,42.080,42.948,1049,0,0
1348023600,44.570,45.733,44.555,45.653,1274,0,0
1348110000,45.703,45.703,45.128,45.230,678,0,0
