time,open,high,low,close,tick_volume,spread,real_volume
1468465200,6.16,6.17,6.10,6.14,13,0,0
1468551600,6.09,6.18,6.09,6.14,14,0,0
1468810800,6.16,6.18,6.09,6.14,17,0,0
1468897200,6.16,6.18,6.11,6.15,14,0,0
1468983600,6.12,6.52,6.12,6.47,46,0,0
1469070000,6.50,6.71,6.50,6.65,28,0,0
1469156400,6.58,6.78,6.16,6.59,124,0,0
1469415600,6.57,6.58,6.45,6.49,19,0,0
1469502000,6.85,6.85,6.48,6.49,39,0,0
1469588400,6.55,6.65,6.48,6.50,30,0,0
1469674800,6.58,6.70,6.47,6.65,40,0,0
1469761200,6.69,6.69,6.38,6.42,36,0,0
1470020400,6.35,6.48,6.22,6.26,44,0,0
1470106800,6.29,6.35,6.15,6.23,35,0,0
1470193200,6.18,6.35,6.10,6.13,46,0,0
1470279600,6.15,6.17,6.09,6.13,15,0,0
1470366000,6.17,6.30,6.13,6.28,24,0,0
1470625200,6.22,6.44,6.22,6.39,28,0,0
1470798000,6.35,6.59,6.35,6.58,26,0,0
1470970800,6.50,6.59,6.49,6.57,14,0,0
1471230000,6.58,6.60,6.41,6.55,36,0,0
1471316400,6.58,6.60,6.48,6.51,18,0,0
1471402800,6.60,6.70,6.38,6.40,45,0,0
1471489200,6.32,6.53,6.30,6.40,39,0,0
1471575600,6.45,6.55,6.36,6.45,39,0,0
1471834800,6.50,6.50,6.35,6.38,19,0,0
1471921200,6.55,6.55,6.32,6.35,27,0,0
1472007600,6.36,6.46,6.30,6.40,29,0,0
1472094000,6.41,6.50,6.28,6.37,41,0,0
1472180400,6.45,6.45,6.32,6.39,21,0,0
1472439600,6.47,6.47,6.27,6.32,26,0,0
1472526000,6.35,6.41,6.31,6.39,17,0,0
1472612400,6.42,6.50,6.35,6.46,27,0,0
1472698800,6.49,6.59,6.38,6.54,38,0,0
1472785200,6.60,6.60,6.34,6.44,37,0,0
1473044400,6.54,6.69,6.48,6.67,30,0,0
1473130800,6.70,6.88,6.61,6.80,45,0,0
1473217200,6.78,6.95,6.76,6.90,27,0,0
1473303600,6.91,6.98,6.78,6.80,30,0,0
1473390000,6.66,6.92,6.56,6.78,61,0,0
1473735600,6.81,6.95,6.65,6.71,51,0,0
1473822000,6.88,6.88,6.62,6.67,32,0,0
1473908400,6.73,6.85,6.48,6.72,74,0,0
1473994800,6.66,6.85,6.66,6.80,25,0,0
1474254000,6.79,7.13,6.74,7.13,45,0,0
1474340400,7.07,7.11,6.83,6.95,45,0,0
1474426800,6.86,7.06,6.86,7.04,23,0,0
1474513200,7.04,7.13,6.92,6.97,36,0,0
1474599600,6.93,7.20,6.87,7.13,47,0,0
1474858800,7.20,7.35,6.95,7.22,79,0,0
1474945200,7.25,7.25,7.07,7.16,28,0,0
1475031600,6.95,7.23,6.89,7.05,59,0,0
1475118000,7.14,7.14,6.91,7.05,38,0,0
1475204400,6.95,7.10,6.89,7.05,33,0,0
1475463600,7.20,7.25,7.07,7.10,27,0,0
1475550000,7.06,7.16,7.06,7.15,12,0,0
1475636400,7.20,7.20,6.95,6.95,26,0,0
1475722800,6.92,7.03,6.89,6.97,24,0,0
