time,open,high,low,close,tick_volume,spread,real_volume
1336014000,5.6435,5.6455,5.6425,5.6455,41,0,0
1336100400,5.6255,5.6635,5.5155,5.5470,2176,0,0
1336446000,5.4955,5.6860,5.4495,5.5040,4646,0,0
1336532400,5.5140,5.5750,5.4345,5.5185,2766,0,0
1336618800,5.4675,5.5850,5.4555,5.5495,1771,0,0
1336705200,5.4750,5.5460,5.4465,5.5365,1376,0,0
1336964400,5.4645,5.4775,5.4010,5.4565,1451,0,0
1337050800,5.5155,5.5215,5.4210,5.4700,1556,0,0
1337137200,5.4110,5.4185,5.3380,5.3515,1016,0,0
1337223600,5.3330,5.3690,5.1730,5.2180,2771,0,0
1337310000,5.1320,5.2090,5.0830,5.0905,2106,0,0
1337569200,5.1415,5.1475,5.0855,5.1445,1211,0,0
1337655600,5.1485,5.2555,5.1360,5.2380,1496,0,0
1337742000,5.1500,5.1635,5.0835,5.1005,1106,0,0
1337828400,5.1535,5.1800,5.1070,5.1630,1366,0,0
1337914800,5.1435,5.2030,5.0925,5.1310,2086,0,0
1338174000,5.1420,5.1860,5.0830,5.1000,1641,0,0
1338260400,5.1360,5.1635,5.0840,5.1485,1466,0,0
1338346800,5.0880,5.0925,5.0115,5.0320,1061,0,0
1339038000,5.3655,5.3985,5.3320,5.3480,1156,0,0
1339124400,5.2450,5.3350,5.2430,5.3075,1216,0,0
1339383600,5.3815,5.4245,5.3195,5.3310,1596,0,0
1339470000,5.3500,5.4080,5.3235,5.3945,1246,0,0
1339556400,5.4000,5.4530,5.3800,5.4405,1056,0,0
1339642800,5.4115,5.4790,5.4105,5.4705,781,0,0
1339729200,5.4800,5.5880,5.4740,5.5015,2066,0,0
1339988400,5.5535,5.5645,5.4390,5.4780,1756,0,0
1340074800,5.4875,5.6220,5.4730,5.6170,1686,0,0
1340161200,5.6295,5.6800,5.6135,5.6550,1076,0,0
1340247600,5.6295,5.6680,5.5865,5.6050,1386,0,0
1340334000,5.5460,5.6505,5.5375,5.6155,1566,0,0
1340593200,5.6210,5.6280,5.5475,5.5805,1206,0,0
1340679600,5.6235,5.6420,5.5720,5.5915,1081,0,0
1340766000,5.6420,5.7320,5.6055,5.7305,1646,0,0
1340852400,5.6900,5.7135,5.4855,5.5755,3416,0,0
