time,open,high,low,close,tick_volume,spread,real_volume
1764172800,49.41,49.65,49.13,49.16,628,23,0
1764176400,49.18,49.43,49.07,49.23,936,23,0
1764180000,49.23,49.77,49.22,49.72,698,23,0
1764183600,49.74,50.96,49.65,50.88,966,23,0
1764187200,50.88,51.21,50.79,51.05,962,23,0
1764190800,51.05,51.09,50.81,50.94,678,23,0
1764194400,50.94,51.05,50.68,50.90,661,23,0
1764345600,52.69,52.72,52.01,52.27,708,23,0
1764349200,52.27,52.58,52.12,52.31,833,23,0
1764352800,52.31,52.33,51.48,51.50,921,23,0
1764356400,51.50,51.67,51.12,51.35,936,23,0
1764604800,48.82,49.09,48.60,48.73,660,23,0
1764608400,48.73,48.78,47.45,47.94,1304,23,0
1764612000,47.94,48.38,47.57,47.87,1119,23,0
1764615600,47.87,48.27,47.80,48.09,897,23,0
1764619200,48.09,48.44,47.95,48.24,819,23,0
1764622800,48.24,48.30,47.89,48.13,827,23,0
1764626400,48.13,48.60,48.12,48.39,907,23,0
1764691200,50.22,50.56,50.04,50.56,708,23,0
1764694800,50.56,51.62,50.56,51.44,1483,23,0
1764698400,51.46,51.67,51.07,51.41,1214,23,0
1764702000,51.41,52.11,51.40,51.79,984,23,0
1764705600,51.79,52.23,51.76,52.08,893,23,0
1764709200,52.08,52.27,52.03,52.04,676,23,0
1764712800,52.04,52.07,51.39,51.56,837,23,0
1764777600,52.44,53.04,52.17,52.33,919,23,0
1764781200,52.32,52.68,52.05,52.30,1324,23,0
1764784800,52.31,52.53,51.97,52.22,1020,23,0
1764788400,52.22,52.70,52.20,52.64,867,23,0
1764792000,52.64,52.97,52.30,52.44,797,23,0
1764795600,52.44,52.73,52.40,52.69,577,23,0
1764799200,52.69,52.86,52.57,52.63,668,23,0
1764864000,52.55,52.55,51.97,52.03,684,23,0
1764867600,52.02,52.81,52.02,52.67,1177,23,0
1764871200,52.67,52.78,52.25,52.36,985,23,0
1764874800,52.36,52.42,51.96,52.34,867,23,0
1764878400,52.35,52.44,52.07,52.19,744,23,0
