time,open,high,low,close,tick_volume,spread,real_volume
1764118800,4.246,4.319,4.244,4.275,133,149,0
1764122400,4.277,4.303,4.218,4.221,712,149,0
1764126000,4.219,4.279,4.200,4.244,723,149,0
1764129600,4.244,4.306,4.243,4.268,644,149,0
1764133200,4.267,4.293,4.207,4.214,621,149,0
1764136800,4.214,4.217,4.140,4.148,497,149,0
1764140400,4.147,4.188,4.146,4.168,479,149,0
1764144000,4.167,4.193,4.155,4.179,458,148,0
1764147600,4.176,4.187,4.149,4.174,508,149,0
1764151200,4.173,4.213,4.129,4.132,657,149,0
1764154800,4.131,4.140,4.097,4.106,579,149,0
1764158400,4.107,4.127,4.047,4.093,536,149,0
1764162000,4.092,4.097,4.050,4.061,479,148,0
1764165600,4.061,4.074,4.023,4.061,748,149,0
1764169200,4.060,4.125,4.050,4.109,724,149,0
1764172800,4.108,4.166,4.062,4.077,1083,149,0
1764176400,4.079,4.102,4.014,4.046,1103,149,0
1764180000,4.045,4.116,4.045,4.079,782,149,0
1764183600,4.080,4.235,4.068,4.222,1116,149,0
1764187200,4.223,4.236,4.181,4.234,1056,149,0
1764190800,4.232,4.234,4.185,4.193,673,149,0
1764194400,4.194,4.199,4.132,4.145,554,149,0
1764198000,4.147,4.185,4.138,4.174,574,149,0
1764201600,4.168,4.189,4.126,4.135,431,148,0
1764205200,4.134,4.171,4.127,4.166,457,149,0
1764208800,4.165,4.211,4.146,4.194,503,148,0
1764212400,4.192,4.218,4.151,4.197,588,149,0
1764216000,4.196,4.220,4.169,4.176,590,149,0
1764219600,4.175,4.175,4.068,4.073,466,149,0
1764223200,4.074,4.101,4.064,4.064,430,148,0
1764226800,4.063,4.088,4.020,4.087,569,149,0
1764230400,4.083,4.105,4.069,4.098,405,148,0
1764234000,4.098,4.107,4.071,4.079,370,149,0
1764237600,4.078,4.090,4.043,4.083,395,148,0
1764241200,4.082,4.082,4.024,4.026,480,149,0
1764244800,4.025,4.025,3.967,3.972,470,148,0
1764248400,3.973,3.994,3.948,3.993,441,149,0
1764252000,3.990,4.002,3.971,3.996,430,149,0
1764255600,3.995,4.012,3.978,3.999,572,149,0
1764259200,3.999,4.039,3.982,4.038,472,149,0
1764262800,4.036,4.069,4.027,4.059,536,149,0
1764266400,4.060,4.090,4.055,4.073,574,149,0
1764270000,4.074,4.115,4.066,4.082,443,148,0
1764273600,4.083,4.098,4.051,4.083,408,149,0
1764277200,4.083,4.083,4.049,4.065,359,148,0
1764280800,4.067,4.075,4.032,4.038,346,149,0
1764284400,4.042,4.063,4.026,4.030,322,149,0
1764288000,4.036,4.043,3.937,3.960,354,149,0
