time,open,high,low,close,tick_volume,spread,real_volume
946864800,83.27,87.37,83.25,87.00,452,0,0
946951200,85.44,87.87,82.25,82.94,875,0,0
947037600,83.00,85.87,80.50,83.62,1013,0,0
947124000,81.75,83.37,78.19,78.75,737,0,0
947210400,77.50,82.00,77.37,82.00,477,0,0
947469600,85.75,87.25,84.12,85.75,627,0,0
947556000,88.56,92.37,88.28,89.69,706,0,0
947642400,90.87,94.75,89.25,91.25,1063,0,0
947728800,92.69,93.00,89.31,91.06,576,0,0
947815200,98.50,106.62,98.25,103.06,1219,0,0
948160800,100.30,105.75,100.25,102.12,919,0,0
948247200,101.00,102.12,99.87,100.06,357,0,0
948333600,99.75,100.81,95.44,95.62,662,0,0
948420000,96.00,98.25,95.62,97.94,333,0,0
948679200,102.23,104.87,98.25,98.81,983,0,0
948765600,99.37,101.81,97.44,101.56,656,0,0
948852000,100.75,101.19,96.37,96.50,540,0,0
948938400,99.37,101.12,95.50,98.12,1000,0,0
949024800,97.25,98.75,93.06,94.00,814,0,0
949284000,93.62,99.06,92.87,98.94,707,0,0
949370400,98.37,101.50,96.62,101.44,670,0,0
949456800,101.00,102.94,99.69,100.06,557,0,0
949543200,101.69,104.62,100.75,104.19,525,0,0
949629600,104.37,108.25,104.25,104.75,763,0,0
949888800,104.94,108.12,104.12,107.94,501,0,0
949975200,108.81,110.06,108.00,108.81,413,0,0
950061600,108.12,108.87,104.50,104.62,525,0,0
950148000,104.37,108.12,103.19,107.62,662,0,0
950234400,107.25,108.75,105.25,105.87,563,0,0
950493600,106.31,109.94,105.64,109.87,505,0,0
950580000,109.94,112.87,105.25,112.00,1319,0,0
950666400,111.37,112.87,107.00,107.19,757,0,0
950752800,108.87,112.37,107.87,110.00,788,0,0
950839200,110.00,110.50,105.19,105.37,600,0,0
951184800,104.87,106.81,101.56,106.75,863,0,0
951271200,105.31,111.12,104.31,109.06,988,0,0
951357600,112.44,116.50,110.25,114.25,1070,0,0
951444000,113.87,115.37,112.81,113.25,451,0,0
951703200,111.62,114.56,108.25,112.37,1188,0,0
951789600,113.19,115.62,111.31,113.00,844,0,0
951876000,112.87,116.87,112.50,115.87,575,0,0
951962400,115.37,117.06,114.12,115.75,551,0,0
952048800,117.00,119.75,115.62,119.25,602,0,0
952308000,118.00,118.87,116.69,117.37,374,0,0
952394400,117.81,120.00,115.19,115.75,757,0,0
952480800,116.12,116.44,112.25,114.94,721,0,0
952567200,113.69,118.50,112.00,118.37,833,0,0
952653600,117.87,120.62,117.37,120.19,419,0,0
952912800,118.81,125.50,118.75,122.12,1020,0,0
952999200,124.25,125.62,117.81,117.87,925,0,0
953085600,119.06,123.12,118.69,120.19,774,0,0
953172000,123.25,125.37,119.62,125.06,970,0,0
953258400,124.31,130.00,124.00,129.88,644,0,0
953517600,129.94,137.38,129.94,135.00,983,0,0
953604000,135.00,138.88,134.13,138.44,607,0,0
953690400,140.38,145.38,139.50,144.06,809,0,0
953776800,142.38,143.69,139.44,142.63,826,0,0
953863200,140.13,144.50,137.63,139.06,1268,0,0
954126000,139.63,143.75,139.06,142.69,633,0,0
954212400,140.63,142.56,135.13,135.69,993,0,0
954298800,136.50,137.69,131.50,131.88,777,0,0
954385200,129.75,133.38,123.06,127.00,1790,0,0
954471600,129.63,134.88,128.25,131.94,1096,0,0
954730800,131.38,133.00,125.75,130.63,1376,0,0
954817200,131.50,134.00,119.00,132.75,2876,0,0
954903600,129.88,134.00,127.75,129.88,1251,0,0
