time,open,high,low,close,tick_volume,spread,real_volume
946864800,59.61,60.38,54.00,60.25,1213,0,0
946951200,57.13,62.12,56.69,60.88,712,0,0
947037600,61.94,79.94,61.50,78.44,2039,0,0
947124000,73.44,75.94,70.00,70.00,845,0,0
947210400,69.62,74.75,63.69,73.56,1819,0,0
947469600,75.00,90.00,73.25,85.12,2339,0,0
947556000,82.94,84.38,79.25,82.38,971,0,0
947642400,81.75,81.81,66.38,71.12,2024,0,0
947728800,73.62,81.75,73.31,80.00,1051,0,0
947815200,82.81,85.88,77.62,81.38,1510,0,0
948160800,81.31,81.31,75.50,76.75,707,0,0
948247200,77.00,78.12,73.94,74.50,587,0,0
948333600,75.50,78.31,74.00,76.38,775,0,0
948420000,79.00,79.25,74.12,75.62,689,0,0
948679200,75.56,75.62,67.38,67.56,849,0,0
948765600,70.00,72.25,68.12,70.31,796,0,0
948852000,71.25,73.00,65.56,65.75,939,0,0
948938400,67.06,70.94,60.44,64.00,1795,0,0
949024800,63.06,65.38,56.62,57.75,1222,0,0
949284000,56.87,61.06,55.50,60.31,769,0,0
949370400,62.19,64.88,59.25,64.81,865,0,0
949456800,65.69,71.00,65.50,67.88,882,0,0
949543200,69.19,70.31,65.50,69.62,920,0,0
949629600,70.98,72.25,68.25,69.25,628,0,0
949888800,69.38,69.38,66.81,67.56,333,0,0
949975200,69.94,72.00,68.62,69.00,583,0,0
950061600,69.31,70.30,64.94,65.25,667,0,0
950148000,64.38,64.69,61.00,63.75,676,0,0
950234400,63.06,63.88,59.87,61.00,597,0,0
950493600,61.37,61.37,59.00,59.75,313,0,0
950580000,59.38,61.00,55.00,57.44,1007,0,0
950666400,59.00,63.00,58.25,61.06,745,0,0
950752800,63.19,64.62,62.00,64.31,413,0,0
950839200,65.75,65.75,59.87,61.19,721,0,0
951184800,60.62,62.62,59.75,62.12,425,0,0
951357600,68.62,72.75,68.00,72.31,582,0,0
951444000,63.00,63.50,57.00,58.56,857,0,0
951703200,58.56,59.50,52.69,53.69,876,0,0
951789600,54.75,54.88,51.25,52.50,502,0,0
951876000,52.63,53.87,47.75,48.25,787,0,0
951962400,48.69,49.63,45.50,46.56,614,0,0
952048800,51.25,55.00,49.53,52.88,932,0,0
952308000,55.50,57.25,53.81,55.06,645,0,0
952394400,56.38,56.75,50.50,51.69,782,0,0
952480800,53.50,53.87,50.75,51.38,413,0,0
952567200,50.50,56.38,50.00,56.25,702,0,0
952653600,55.25,59.62,54.94,58.44,618,0,0
952912800,57.31,57.44,53.44,53.50,420,0,0
952999200,55.25,56.00,51.00,51.06,582,0,0
953085600,53.00,53.00,48.81,50.06,545,0,0
953172000,51.75,53.02,46.25,51.94,1336,0,0
953258400,53.75,55.00,52.50,54.50,426,0,0
953517600,54.38,54.88,50.00,51.00,639,0,0
953604000,51.00,53.06,48.25,52.94,769,0,0
953690400,52.37,52.88,51.00,52.44,370,0,0
953776800,51.00,56.75,50.62,55.94,733,0,0
953863200,56.87,61.12,56.75,59.75,587,0,0
954126000,60.00,61.37,58.44,58.94,481,0,0
954212400,58.63,58.63,55.94,56.06,282,0,0
954298800,56.50,56.50,51.50,51.94,545,0,0
954385200,51.13,53.69,50.50,50.94,620,0,0
954471600,52.00,55.00,50.87,54.38,589,0,0
954730800,53.00,53.75,49.00,49.31,582,0,0
954817200,50.94,52.63,45.62,51.69,1328,0,0
954903600,50.00,52.25,47.00,49.63,1014,0,0
954990000,50.69,51.00,47.87,48.75,433,0,0
955076400,49.19,50.94,48.88,50.31,301,0,0
955335600,47.31,47.31,40.00,41.00,832,0,0
955422000,41.19,41.19,37.50,39.50,570,0,0
955508400,40.50,41.00,36.13,37.44,669,0,0
955594800,37.56,40.12,35.25,35.62,781,0,0
955681200,34.63,40.12,31.88,32.00,1386,0,0
955940400,31.75,35.00,30.50,33.88,688,0,0
956026800,35.00,37.12,33.00,36.75,650,0,0
956113200,37.50,37.50,34.44,34.94,357,0,0
956199600,35.06,35.38,33.88,35.00,295,0,0
956545200,34.44,34.50,30.00,31.75,632,0,0
956631600,33.38,35.94,32.56,35.56,459,0,0
956718000,35.75,40.25,35.50,37.12,814,0,0
956804400,36.62,40.31,34.06,40.00,913,0,0
956890800,40.63,40.75,35.50,35.94,582,0,0
957150000,37.12,38.00,36.00,36.13,302,0,0
957236400,36.50,37.00,34.12,34.50,377,0,0
957322800,34.06,34.06,31.12,32.06,389,0,0
957409200,33.00,34.37,32.12,33.50,401,0,0
957495600,32.56,35.25,32.50,34.63,344,0,0
957754800,34.69,34.81,31.94,32.00,306,0,0
957841200,32.38,32.38,29.44,31.56,507,0,0
957927600,31.38,32.12,29.50,30.19,406,0,0
958014000,31.00,31.00,28.81,30.06,345,0,0
958100400,30.31,30.38,28.31,28.56,240,0,0
958359600,28.94,29.00,27.25,28.25,282,0,0
958446000,28.50,28.69,27.56,28.38,215,0,0
958532400,28.19,28.94,27.62,28.00,246,0,0
958618800,28.25,28.31,25.75,26.12,300,0,0
958705200,26.19,30.00,26.19,29.12,470,0,0
958964400,29.62,29.75,26.50,28.31,520,0,0
959050800,28.38,29.25,26.75,27.06,369,0,0
959137200,29.61,36.00,28.88,35.06,880,0,0
959223600,35.25,38.38,31.50,31.94,1046,0,0
959310000,32.50,33.50,31.88,33.31,244,0,0
959655600,34.44,38.31,34.37,38.25,408,0,0
959742000,37.63,38.00,36.13,36.25,237,0,0
959828400,37.00,39.00,36.88,38.38,287,0,0
960174000,40.94,43.62,40.62,42.62,433,0,0
960260400,41.69,41.81,38.62,38.88,358,0,0
960346800,39.50,40.00,36.00,37.69,620,0,0
960433200,38.44,38.50,37.12,37.25,158,0,0
960778800,38.88,38.94,36.38,36.44,269,0,0
960865200,36.50,37.69,36.12,36.50,315,0,0
960951600,36.62,37.50,36.56,36.94,157,0,0
961038000,37.31,38.50,35.19,38.31,563,0,0
961124400,37.75,38.75,37.38,38.20,230,0,0
961383600,38.38,38.94,36.62,38.81,422,0,0
961470000,38.81,38.88,37.38,37.81,201,0,0
961556400,37.12,38.38,36.38,37.94,319,0,0
961642800,37.94,40.06,37.56,37.75,482,0,0
961729200,38.00,38.62,36.75,37.00,275,0,0
961988400,37.75,38.88,36.38,38.81,395,0,0
962074800,39.12,39.25,37.75,38.38,227,0,0
962161200,38.75,39.50,37.50,38.81,395,0,0
962247600,38.56,42.00,38.38,41.62,419,0,0
962334000,42.00,42.00,39.94,41.38,351,0,0
962593200,41.06,41.25,40.25,40.31,126,0,0
962766000,40.62,44.94,40.00,44.06,645,0,0
962852400,44.00,44.88,42.12,44.75,478,0,0
962938800,44.88,45.50,44.12,44.44,233,0,0
963198000,44.06,46.19,43.25,44.75,520,0,0
963284400,44.66,46.12,43.44,43.75,446,0,0
963370800,44.25,45.00,41.12,42.44,596,0,0
963457200,42.39,43.88,41.25,42.69,497,0,0
963543600,43.44,43.94,41.75,42.25,320,0,0
963802800,42.06,42.12,40.38,41.06,249,0,0
963889200,40.50,41.38,39.50,39.56,283,0,0
963975600,40.50,41.62,38.81,39.06,419,0,0
964062000,39.81,40.50,38.88,38.88,232,0,0
964148400,38.97,39.50,37.88,37.88,216,0,0
964407600,38.19,38.94,36.62,37.12,358,0,0
964494000,37.31,38.19,36.38,37.31,363,0,0
964580400,37.31,37.38,33.75,35.44,540,0,0
964666800,34.88,35.88,34.06,34.69,346,0,0
964753200,34.75,36.19,33.00,33.12,476,0,0
965012400,33.81,34.44,32.25,34.00,420,0,0
965098800,36.62,37.50,34.38,35.00,463,0,0
965185200,36.31,40.75,36.06,39.19,651,0,0
965271600,38.38,39.25,37.00,39.00,389,0,0
965358000,40.00,40.50,38.19,39.00,363,0,0
965617200,39.94,42.12,39.50,41.50,369,0,0
965703600,41.56,43.00,41.50,42.19,238,0,0
965790000,42.75,43.00,40.50,40.56,282,0,0
965876400,40.25,41.00,39.62,39.75,227,0,0
965962800,39.75,41.12,39.62,40.88,188,0,0
966222000,41.12,42.75,39.94,42.56,419,0,0
966308400,42.81,43.50,42.06,42.75,283,0,0
966394800,43.06,47.69,43.00,47.62,483,0,0
966481200,46.81,47.62,45.12,47.44,438,0,0
966567600,47.62,48.00,45.62,46.94,409,0,0
966826800,47.94,48.50,45.50,46.25,432,0,0
966913200,46.75,47.62,45.62,46.06,332,0,0
966999600,49.38,58.06,48.81,54.62,1327,0,0
967086000,54.19,56.62,53.50,55.44,500,0,0
967172400,55.00,56.00,53.44,54.94,507,0,0
967604400,55.00,58.50,54.62,57.88,489,0,0
967690800,58.00,60.00,56.06,59.88,601,0,0
967777200,60.00,60.00,56.75,58.94,545,0,0
968122800,58.88,59.12,56.88,56.94,255,0,0
968209200,57.00,58.50,56.88,57.50,275,0,0
968295600,58.00,59.75,57.00,59.38,413,0,0
968382000,59.25,60.62,57.88,59.75,499,0,0
968641200,59.50,59.50,57.75,58.56,257,0,0
968727600,58.56,60.00,56.25,59.94,613,0,0
968814000,59.44,61.88,58.50,58.75,608,0,0
968900400,58.81,58.88,55.25,56.75,521,0,0
968986800,55.38,57.50,55.00,56.31,408,0,0
969246000,55.44,56.00,50.88,51.81,662,0,0
969332400,52.44,58.44,51.50,58.06,827,0,0
969418800,57.81,58.38,55.50,57.62,558,0,0
969505200,57.06,57.06,54.44,55.50,369,0,0
969591600,53.38,55.62,52.25,52.50,587,0,0
969850800,52.62,54.50,50.25,51.62,751,0,0
969937200,51.69,58.00,50.62,56.06,1040,0,0
970023600,56.44,57.94,54.50,55.75,620,0,0
970110000,55.88,59.50,55.69,58.44,507,0,0
970196400,57.25,58.00,53.50,57.00,876,0,0
970455600,57.06,57.94,53.25,54.06,639,0,0
970542000,55.12,56.25,51.12,51.81,696,0,0
970628400,51.44,54.88,49.38,53.62,883,0,0
970714800,54.12,57.12,53.88,55.19,542,0,0
970801200,55.31,56.44,53.44,53.88,458,0,0
971060400,53.44,55.19,51.81,54.25,596,0,0
971146800,54.12,54.88,50.75,53.25,740,0,0
971233200,51.25,51.31,46.25,47.31,619,0,0
971319600,47.38,49.50,44.50,45.62,825,0,0
971406000,45.41,47.75,45.00,46.69,423,0,0
971665200,46.81,49.06,45.50,45.62,594,0,0
971751600,46.44,46.75,41.69,44.38,807,0,0
971838000,42.62,47.88,40.50,46.69,1070,0,0
971924400,48.12,54.25,46.25,52.50,1163,0,0
972010800,53.62,55.00,51.62,53.12,627,0,0
972270000,53.12,56.75,52.75,54.31,682,0,0
972356400,55.06,55.19,53.50,54.56,289,0,0
972442800,53.94,55.88,51.50,52.25,708,0,0
972529200,52.69,55.25,51.31,54.44,614,0,0
972615600,54.38,57.12,54.25,55.50,463,0,0
