time,open,high,low,close,tick_volume,spread,real_volume
1384740000,1.6925,1.7585,1.6825,1.7495,951,0,0
1384826400,1.7360,1.7645,1.7255,1.7265,686,0,0
1384912800,1.7210,1.7345,1.6955,1.6985,556,0,0
1384999200,1.6885,1.7375,1.6745,1.7365,781,0,0
1385344800,1.7375,1.7435,1.7110,1.7205,481,0,0
1385431200,1.7215,1.7465,1.7075,1.7445,551,0,0
1385517600,1.7400,1.7615,1.7365,1.7500,401,0,0
1385604000,1.7560,1.8015,1.7555,1.7865,616,0,0
1385690400,1.7935,1.8035,1.7765,1.7855,461,0,0
1385949600,1.7865,1.7950,1.7585,1.7685,551,0,0
1386036000,1.7740,1.7885,1.7290,1.7295,746,0,0
1386122400,1.7335,1.7430,1.7005,1.7285,801,0,0
1386208800,1.7230,1.7345,1.6645,1.6675,846,0,0
1386295200,1.6780,1.6885,1.6315,1.6880,1041,0,0
1386554400,1.6990,1.7075,1.6805,1.7015,516,0,0
1386640800,1.6965,1.7135,1.6855,1.7025,501,0,0
1386727200,1.7010,1.7135,1.6745,1.6750,521,0,0
1386813600,1.6730,1.6735,1.6425,1.6595,486,0,0
1387159200,1.6525,1.7195,1.6520,1.7170,706,0,0
1387245600,1.7110,1.7180,1.6785,1.6800,481,0,0
1387332000,1.6920,1.7095,1.6795,1.6935,586,0,0
1387418400,1.7250,1.7445,1.7175,1.7335,456,0,0
1387504800,1.7430,1.7865,1.7255,1.7855,796,0,0
1387764000,1.7795,1.7895,1.7725,1.7765,311,0,0
1388109600,1.7945,1.7965,1.7755,1.7930,406,0,0
1388368800,1.7965,1.7995,1.7865,1.7990,236,0,0
1388628000,1.8030,1.8265,1.7805,1.7890,781,0,0
1388714400,1.7920,1.8165,1.7850,1.8125,426,0,0
1388973600,1.8090,1.8375,1.8050,1.8285,456,0,0
1389060000,1.8315,1.8995,1.8310,1.8915,771,0,0
1389146400,1.9050,1.9575,1.9020,1.9245,916,0,0
1389232800,1.9320,1.9795,1.9025,1.9335,1526,0,0
1389319200,1.9485,1.9605,1.8985,1.9125,881,0,0
1389578400,1.9300,1.9445,1.9265,1.9325,336,0,0
1389664800,1.9100,1.9485,1.9010,1.9450,601,0,0
1389751200,1.9620,2.0150,1.9620,2.0130,551,0,0
1389837600,2.0160,2.0220,1.9445,1.9495,886,0,0
1389924000,1.9485,1.9685,1.9345,1.9585,581,0,0
1390183200,1.9480,1.9575,1.9325,1.9445,466,0,0
1390269600,1.9600,1.9755,1.9505,1.9510,411,0,0
1390356000,1.9940,2.0070,1.9475,1.9765,1016,0,0
1390442400,1.9690,1.9945,1.9515,1.9645,816,0,0
1390528800,1.9655,1.9855,1.9305,1.9415,861,0,0
1390788000,1.9230,1.9675,1.8895,1.9440,1351,0,0
1390874400,1.9690,2.0090,1.9655,1.9695,866,0,0
1390960800,1.9920,2.0070,1.9215,1.9545,1336,0,0
1391047200,1.9570,1.9825,1.9275,1.9575,1096,0,0
1391133600,1.9700,1.9990,1.9255,1.9985,1186,0,0
1391392800,2.0160,2.0410,1.9525,1.9535,1146,0,0
1391479200,1.9510,2.0010,1.9475,1.9995,586,0,0
1391565600,1.9935,2.0570,1.9815,2.0270,1176,0,0
1391652000,2.0520,2.0970,2.0370,2.0890,831,0,0
1391738400,2.1020,2.1190,2.0670,2.0930,951,0,0
1391997600,2.1040,2.1110,2.0710,2.0850,611,0,0
1392084000,2.0960,2.1350,2.0910,2.1350,491,0,0
1392170400,2.1440,2.1650,2.1310,2.1470,651,0,0
1392256800,2.1430,2.1430,2.0910,2.1350,961,0,0
1392343200,2.1480,2.1710,2.1330,2.1630,611,0,0
1392775200,2.2220,2.2390,2.2050,2.2310,591,0,0
1392861600,2.1900,2.2330,2.1830,2.2330,571,0,0
1392948000,2.2440,2.2490,2.1930,2.1990,671,0,0
1393207200,2.1880,2.2310,2.1750,2.2270,731,0,0
1393293600,2.2200,2.2330,2.2030,2.2300,501,0,0
1393380000,2.2340,2.2410,2.2070,2.2190,531,0,0
1393466400,2.2180,2.2290,2.1930,2.2190,711,0,0
1393552800,2.2160,2.2370,2.1910,2.2370,711,0,0
