time,open,high,low,close,tick_volume,spread,real_volume
1336014000,69.025,69.150,68.750,68.815,591,0,0
1336100400,68.695,69.565,67.000,67.655,4091,0,0
1336359600,66.735,68.805,66.310,68.050,3676,0,0
1336446000,68.100,68.545,67.100,67.340,2131,0,0
1336532400,67.550,68.050,66.825,67.345,2246,0,0
1336618800,67.735,68.365,67.170,67.885,2241,0,0
1336705200,67.540,68.775,66.965,68.600,2561,0,0
1336964400,67.545,67.935,66.710,67.485,2391,0,0
1337050800,68.335,69.115,67.935,68.700,1996,0,0
1337137200,67.970,68.320,67.095,67.490,1971,0,0
1337223600,67.940,67.980,66.950,67.705,1826,0,0
1337310000,67.175,67.615,66.500,67.060,2116,0,0
1337569200,67.215,67.510,66.520,66.645,1411,0,0
1337655600,66.850,68.760,66.820,68.580,2151,0,0
1337742000,67.640,68.225,67.270,67.855,1696,0,0
1337828400,67.795,69.080,66.835,68.820,3466,0,0
1337914800,68.770,69.485,68.155,69.055,2376,0,0
1338174000,69.755,70.165,68.935,69.025,1731,0,0
1338260400,69.555,69.830,68.295,69.365,2881,0,0
1338346800,68.455,68.515,66.550,66.945,2421,0,0
1339038000,67.700,68.370,67.220,67.405,2006,0,0
1339124400,67.035,67.885,65.905,67.430,3566,0,0
1339383600,69.525,70.580,67.050,67.155,4691,0,0
1339470000,67.175,67.980,66.350,67.575,2861,0,0
1339556400,72.055,75.415,71.865,75.035,4121,0,0
1339642800,75.620,76.750,74.340,76.675,3766,0,0
1339729200,76.935,77.155,75.470,76.105,2541,0,0
1339988400,76.180,76.520,74.840,75.590,2771,0,0
1340074800,76.160,78.420,75.825,77.600,3751,0,0
1340161200,77.525,78.025,76.390,77.900,2896,0,0
1340247600,77.420,78.600,76.675,77.350,3781,0,0
1340334000,76.595,77.620,76.300,76.780,2456,0,0
1340593200,76.955,77.745,75.810,77.325,3501,0,0
1340679600,77.705,78.045,76.685,77.620,2636,0,0
1340766000,77.590,78.755,76.885,78.430,2901,0,0
1340852400,78.340,78.880,77.265,78.265,3156,0,0
1340938800,79.955,81.880,79.465,81.415,3371,0,0
1341198000,81.565,82.755,80.595,81.195,3951,0,0
1341284400,82.325,82.925,80.960,82.225,3831,0,0
1341370800,82.270,83.200,81.165,81.700,3501,0,0
1341457200,81.440,82.375,80.025,80.515,3776,0,0
1341543600,80.740,80.920,79.370,79.580,1941,0,0
1341802800,79.870,79.945,78.610,79.040,1841,0,0
1341889200,79.555,80.215,78.885,79.925,2291,0,0
1341975600,79.310,81.060,79.135,80.855,2306,0,0
1342062000,80.100,80.325,79.330,79.690,1581,0,0
1342148400,79.820,81.350,79.415,80.435,3256,0,0
1342407600,80.165,80.930,79.645,80.565,2171,0,0
1342494000,80.810,81.950,80.600,80.655,2546,0,0
1342580400,80.955,81.940,80.370,81.270,2826,0,0
1342666800,81.890,83.920,81.885,82.955,3006,0,0
1342753200,82.730,83.195,78.995,80.030,5701,0,0
1343012400,79.795,81.255,77.775,80.175,6581,0,0
1343098800,80.375,80.375,78.080,78.155,2371,0,0
1343185200,78.385,82.220,78.225,81.825,4551,0,0
1343271600,80.315,82.090,80.225,82.090,1956,0,0
1343358000,82.730,83.110,81.270,81.590,2541,0,0
1343617200,84.400,87.035,84.370,87.035,2696,0,0
1343703600,87.135,91.000,83.735,83.995,11391,0,0
1343790000,84.580,85.965,82.865,83.140,4761,0,0
1343876400,83.325,84.560,79.455,81.610,8496,0,0
1343962800,81.840,86.220,81.445,85.730,5661,0,0
1344222000,87.525,89.910,86.670,88.840,5166,0,0
1344308400,89.945,91.475,89.050,90.665,4131,0,0
1344394800,90.915,91.535,87.700,88.430,5186,0,0
1344481200,88.970,89.435,86.715,87.520,3991,0,0
1344567600,87.070,87.595,84.700,86.195,4916,0,0
1344826800,87.645,87.790,85.890,86.780,2936,0,0
1344913200,87.090,87.330,84.925,85.700,3421,0,0
1344999600,85.420,85.965,84.920,85.230,1901,0,0
1345086000,85.665,86.620,84.685,86.175,3361,0,0
1345172400,87.765,89.300,86.890,87.475,4531,0,0
1345431600,87.530,87.980,85.480,86.400,3871,0,0
1345518000,88.240,89.580,87.160,89.580,3501,0,0
1345604400,88.445,89.680,86.290,86.305,4641,0,0
1345690800,88.090,88.820,85.330,85.940,4831,0,0
1345777200,86.710,88.020,84.965,87.250,5571,0,0
1346036400,87.675,88.615,85.695,87.855,5661,0,0
1346122800,88.355,88.695,86.630,86.820,2596,0,0
1346209200,87.065,87.925,86.660,86.795,2261,0,0
1346295600,86.685,87.920,86.350,86.585,3041,0,0
1346382000,86.700,89.425,86.700,88.480,3671,0,0
1346641200,89.970,90.295,88.515,89.045,2636,0,0
1346727600,90.155,90.475,88.795,89.080,2286,0,0
1346814000,89.210,91.025,88.565,90.620,3511,0,0
1346900400,90.540,96.595,90.540,95.615,7036,0,0
1346986800,94.385,96.675,88.580,89.150,10956,0,0
1347246000,90.435,91.000,88.830,89.090,2996,0,0
1347332400,89.115,90.310,88.545,89.285,3361,0,0
1347418800,89.945,90.215,85.490,86.730,6236,0,0
1347505200,86.665,88.010,86.530,87.195,2431,0,0
1347591600,88.765,90.060,87.650,88.855,4731,0,0
1347850800,88.820,91.215,88.425,90.905,3496,0,0
1347937200,90.955,93.220,88.555,92.625,7661,0,0
1348023600,95.575,96.675,92.820,95.995,7291,0,0
1348110000,95.455,97.585,94.415,96.890,4906,0,0
1348196400,97.400,99.720,97.300,99.605,2636,0,0
1348455600,98.580,98.580,96.435,97.615,3326,0,0
1348542000,98.250,99.860,97.875,99.025,3196,0,0
1348628400,99.055,99.840,97.395,98.925,4761,0,0
1348714800,98.975,98.975,96.255,96.650,3116,0,0
1348801200,96.820,98.050,95.260,97.075,5326,0,0
1349060400,96.530,99.240,96.400,97.995,4216,0,0
1349146800,97.745,99.165,97.105,97.595,3971,0,0
1349233200,97.785,98.525,96.630,96.790,2796,0,0
1349319600,98.105,99.735,97.570,99.220,3216,0,0
1349406000,100.425,100.620,98.510,99.850,3646,0,0
1349665200,100.250,101.150,98.400,100.725,5026,0,0
1349751600,100.825,100.975,98.785,98.795,2351,0,0
1349838000,99.005,99.875,98.520,98.830,2536,0,0
1349924400,98.255,99.250,97.465,97.765,3081,0,0
1350010800,97.865,98.295,96.635,97.250,2706,0,0
1350270000,97.360,98.540,96.215,96.565,3856,0,0
1350356400,97.770,99.070,97.470,98.605,2366,0,0
1350442800,99.125,99.865,97.445,99.115,4831,0,0
1350529200,99.605,99.890,98.060,99.410,3466,0,0
1350615600,99.465,99.565,97.150,97.150,2516,0,0
1350874800,98.725,98.960,97.325,97.510,2056,0,0
1350961200,97.945,98.320,95.450,95.875,3671,0,0
1351047600,95.985,97.240,94.295,95.945,5851,0,0
1351134000,95.815,98.150,95.815,96.895,3591,0,0
1351220400,96.425,98.225,96.130,97.040,3576,0,0
1351476000,97.010,98.175,96.690,97.810,2171,0,0
1351562400,97.705,98.820,97.200,98.080,2866,0,0
1351648800,98.575,100.265,97.995,97.995,3961,0,0
1351735200,98.655,99.940,98.050,99.435,3001,0,0
1351821600,99.740,102.700,98.585,101.400,6571,0,0
1352080800,101.400,101.675,99.645,100.330,2991,0,0
1352167200,100.135,100.400,98.655,99.930,3286,0,0
1352253600,100.285,100.775,96.970,97.775,5101,0,0
1352340000,98.225,98.470,96.475,96.955,2721,0,0
1352426400,97.015,99.735,96.905,99.535,3141,0,0
1352685600,99.835,99.835,98.480,98.885,1761,0,0
1352772000,98.560,100.850,98.545,99.985,3186,0,0
1352858400,100.240,101.125,99.400,100.225,3436,0,0
1352944800,99.545,100.850,98.720,99.570,4236,0,0
1353031200,100.475,100.800,98.440,98.875,3121,0,0
1353290400,99.200,101.475,98.735,101.050,3631,0,0
1353376800,101.075,102.600,100.215,101.500,4346,0,0
1353463200,101.275,101.750,100.450,100.750,2076,0,0
1353549600,101.525,104.725,101.175,102.850,5776,0,0
1353636000,102.975,103.350,101.500,102.375,3101,0,0
1353895200,102.025,103.050,101.100,102.950,2976,0,0
1353981600,103.750,103.950,102.350,102.750,2201,0,0
1354068000,102.375,104.475,101.975,104.375,3001,0,0
1354154400,104.525,107.325,104.375,105.675,4751,0,0
1354500000,105.225,106.075,103.825,104.025,3301,0,0
1354586400,103.625,104.350,98.815,100.450,7896,0,0
1354672800,101.275,102.300,98.185,98.325,5281,0,0
1354759200,99.225,100.800,98.370,99.940,4146,0,0
1354845600,100.390,101.100,99.370,100.775,3076,0,0
1355104800,100.625,101.300,98.970,100.695,4591,0,0
1355191200,100.475,103.675,100.135,103.225,4331,0,0
1355277600,102.900,104.350,101.800,103.850,4151,0,0
1355364000,104.400,105.100,102.600,103.600,4201,0,0
1355709600,103.550,105.575,103.375,105.425,2526,0,0
1355796000,106.050,108.525,105.900,108.300,3001,0,0
1355882400,108.225,111.900,107.675,108.625,8051,0,0
1355968800,108.475,110.275,107.675,108.525,5151,0,0
1356055200,107.525,108.875,105.475,105.475,4751,0,0
