time,open,high,low,close,tick_volume,spread,real_volume
1468465200,37.15,37.54,36.18,37.15,273,0,0
1468551600,36.80,37.59,35.75,35.83,272,0,0
1468810800,36.78,36.78,35.92,35.97,92,0,0
1468897200,36.87,37.09,35.80,36.93,253,0,0
1468983600,37.19,37.74,36.75,37.28,190,0,0
1469070000,37.39,38.08,37.06,37.17,183,0,0
1469156400,35.81,37.91,35.81,37.10,292,0,0
1469415600,37.43,37.67,35.85,36.88,310,0,0
1469502000,36.50,37.07,36.08,36.41,190,0,0
1469588400,36.00,37.97,35.90,37.85,230,0,0
1469674800,38.00,38.50,37.16,37.91,260,0,0
1469761200,36.05,41.02,36.04,39.20,682,0,0
1470020400,39.82,41.84,39.25,41.68,333,0,0
1470106800,39.43,43.11,39.43,42.70,410,0,0
1470193200,41.75,42.77,40.76,40.95,323,0,0
1470279600,41.10,42.39,40.90,41.19,290,0,0
1470366000,40.62,42.30,40.62,41.79,220,0,0
1470625200,42.98,43.10,40.70,43.09,470,0,0
1470798000,40.95,43.76,40.95,42.96,362,0,0
1470884400,42.50,42.95,42.00,42.55,186,0,0
1470970800,42.67,43.92,42.67,43.19,199,0,0
1471230000,42.75,43.60,42.05,42.51,287,0,0
1471316400,43.50,43.60,42.00,43.17,288,0,0
1471402800,43.60,44.00,42.85,43.91,200,0,0
1471489200,43.80,44.95,42.91,44.79,310,0,0
1471575600,45.00,45.00,43.70,43.77,138,0,0
1471834800,43.59,44.40,43.24,43.42,216,0,0
1471921200,42.91,43.53,42.50,43.05,193,0,0
1472007600,44.42,44.42,42.38,43.04,271,0,0
1472094000,43.69,43.69,42.03,43.05,269,0,0
1472180400,43.29,43.95,42.75,42.95,207,0,0
1472439600,43.26,43.31,41.34,41.40,209,0,0
1472526000,39.24,42.41,39.24,41.87,372,0,0
1472612400,48.01,48.90,40.99,42.58,1040,0,0
1472698800,43.30,43.30,41.30,41.96,267,0,0
1472785200,42.48,42.48,40.91,41.98,265,0,0
1473044400,41.71,43.18,41.71,43.03,163,0,0
1473130800,43.30,43.97,43.06,43.67,146,0,0
1473217200,43.74,44.00,43.49,43.65,94,0,0
1473303600,43.76,44.00,42.77,42.79,150,0,0
1473390000,44.00,44.00,41.79,42.18,261,0,0
1473735600,42.00,42.09,40.50,40.58,177,0,0
1473822000,40.25,43.76,40.20,40.87,651,0,0
1473908400,41.05,42.04,39.51,41.96,416,0,0
1473994800,42.00,42.80,41.20,41.55,276,0,0
1474254000,41.49,42.45,41.30,42.00,180,0,0
1474340400,42.01,42.20,41.78,42.07,79,0,0
1474426800,42.50,42.95,41.27,42.89,298,0,0
1474513200,43.00,44.00,42.70,42.77,238,0,0
