time,open,high,low,close,tick_volume,spread,real_volume
946864800,93.12,93.75,91.56,92.19,346,0,0
946951200,91.12,91.56,88.75,88.81,332,0,0
947037600,88.81,90.81,88.44,89.75,381,0,0
947124000,90.31,93.94,90.12,92.56,540,0,0
947210400,94.12,96.94,93.62,96.50,427,0,0
947469600,96.69,96.94,94.06,94.06,314,0,0
947556000,93.00,94.94,92.94,94.37,264,0,0
947642400,93.87,95.06,93.19,93.50,338,0,0
947728800,93.94,96.00,93.06,93.37,532,0,0
947815200,93.94,94.37,92.81,93.69,288,0,0
948160800,92.00,93.06,91.06,91.31,332,0,0
948247200,91.00,92.06,90.62,91.62,227,0,0
948333600,92.25,92.31,90.06,91.94,420,0,0
948420000,91.75,91.75,89.62,89.87,239,0,0
948679200,90.12,90.19,83.56,83.69,684,0,0
948765600,83.87,86.94,83.56,85.25,539,0,0
948852000,86.25,86.87,83.06,83.50,488,0,0
948938400,83.75,83.94,80.50,80.50,364,0,0
949024800,80.87,85.19,80.87,84.50,502,0,0
949284000,85.19,86.75,82.81,86.06,702,0,0
949370400,85.44,85.50,84.37,84.81,164,0,0
949456800,85.50,86.31,84.94,85.37,262,0,0
949543200,85.00,85.00,81.87,83.31,458,0,0
949629600,83.12,83.62,81.81,82.12,263,0,0
949888800,81.56,82.00,81.00,81.44,189,0,0
949975200,82.44,83.00,81.25,82.06,313,0,0
950061600,82.06,82.12,79.69,80.00,281,0,0
950148000,79.81,80.37,77.50,78.00,394,0,0
950234400,77.75,78.44,75.94,77.44,470,0,0
950493600,76.94,78.25,76.69,77.62,245,0,0
950580000,77.69,80.25,77.50,79.69,351,0,0
950666400,80.25,80.62,78.94,79.81,293,0,0
950752800,80.94,81.12,78.75,79.19,300,0,0
950839200,78.50,78.94,76.87,77.44,309,0,0
951184800,78.00,79.06,76.75,78.62,401,0,0
951271200,78.12,78.31,76.12,76.12,239,0,0
951357600,75.00,75.25,72.00,73.75,526,0,0
951444000,72.56,72.62,70.31,72.00,407,0,0
951703200,72.00,72.94,70.06,72.75,502,0,0
951789600,73.25,73.44,71.25,72.00,314,0,0
951876000,72.25,73.37,71.06,73.37,351,0,0
951962400,73.00,74.94,72.62,73.69,396,0,0
952048800,74.25,74.25,72.25,73.50,326,0,0
952308000,72.94,72.94,70.25,70.50,295,0,0
952394400,70.50,70.50,66.12,68.50,677,0,0
952480800,67.69,71.75,67.25,71.00,570,0,0
952567200,71.00,73.00,69.94,72.69,444,0,0
952653600,72.69,73.75,69.87,70.87,595,0,0
952912800,69.62,71.56,69.31,70.00,413,0,0
952999200,71.81,74.62,71.75,72.75,481,0,0
953085600,72.25,78.19,71.81,76.94,808,0,0
953172000,79.87,80.50,78.94,79.81,307,0,0
953258400,79.31,79.94,78.19,79.56,326,0,0
953517600,79.69,79.94,78.56,79.31,239,0,0
953604000,78.12,81.00,78.12,80.25,364,0,0
953690400,80.87,82.25,79.69,82.25,375,0,0
953776800,81.25,81.94,79.94,80.00,276,0,0
953863200,73.00,74.00,70.19,72.25,688,0,0
954126000,71.00,71.25,68.62,69.75,402,0,0
954212400,69.44,72.00,69.37,72.00,271,0,0
954298800,70.06,72.12,70.06,71.06,313,0,0
954385200,70.56,71.62,70.31,70.75,244,0,0
954471600,71.00,71.12,70.06,70.25,138,0,0
954730800,70.62,72.75,70.00,72.25,388,0,0
954817200,73.19,76.75,73.06,76.75,383,0,0
954903600,76.00,77.50,74.75,77.50,401,0,0
954990000,77.25,77.31,74.31,74.87,363,0,0
955076400,76.25,76.37,73.81,74.06,294,0,0
955335600,74.81,76.50,74.69,76.00,244,0,0
955422000,76.00,78.37,75.62,78.25,326,0,0
955508400,77.69,79.37,76.06,77.00,594,0,0
955594800,76.06,76.94,74.75,76.25,420,0,0
955681200,75.12,75.62,72.56,73.31,432,0,0
955940400,75.62,78.00,75.50,77.50,313,0,0
956026800,80.00,82.00,79.25,81.50,401,0,0
956113200,81.50,82.62,80.69,82.25,312,0,0
956199600,82.12,82.94,81.25,81.62,289,0,0
956545200,81.50,84.44,81.50,83.87,352,0,0
956631600,83.69,84.44,82.62,84.31,303,0,0
956718000,84.06,84.06,82.00,82.75,282,0,0
956804400,82.25,83.37,81.81,83.00,238,0,0
956890800,82.75,83.00,81.94,82.50,188,0,0
957150000,82.25,84.44,81.87,82.69,471,0,0
957236400,82.12,84.56,82.06,84.19,294,0,0
957322800,84.12,84.94,83.00,83.25,302,0,0
957409200,83.00,84.06,82.31,83.06,345,0,0
957495600,83.19,84.25,82.69,84.00,232,0,0
957754800,84.94,87.75,84.12,87.75,446,0,0
957841200,87.50,88.44,86.75,87.00,289,0,0
957927600,87.00,87.00,85.12,85.50,227,0,0
958014000,86.37,86.94,85.87,86.06,184,0,0
958100400,86.12,86.19,84.69,85.50,239,0,0
958359600,85.25,87.00,85.12,86.25,277,0,0
958446000,86.50,87.44,86.25,87.31,158,0,0
958532400,87.06,87.69,85.62,87.06,415,0,0
958618800,86.87,89.00,86.81,88.50,276,0,0
958705200,88.81,89.62,86.87,88.75,545,0,0
958964400,89.62,89.69,85.19,86.87,626,0,0
959050800,87.87,88.19,86.12,87.00,328,0,0
959137200,87.69,90.00,87.25,89.94,326,0,0
959223600,89.25,89.50,87.69,89.31,357,0,0
959310000,89.50,89.81,87.87,88.12,251,0,0
959655600,88.19,88.94,87.12,88.94,290,0,0
959742000,89.19,89.94,88.25,89.50,308,0,0
959828400,89.25,89.50,87.25,87.69,295,0,0
959914800,87.50,87.50,82.50,84.00,651,0,0
960174000,83.50,85.25,82.56,84.00,489,0,0
960260400,83.50,84.75,83.00,84.12,289,0,0
960346800,85.06,85.44,83.69,83.69,214,0,0
960433200,83.69,84.94,82.87,84.87,297,0,0
960519600,85.00,87.50,84.81,86.12,427,0,0
960778800,86.75,87.37,84.69,84.78,340,0,0
