time,open,high,low,close,tick_volume,spread,real_volume
946864800,74.75,75.37,72.12,72.87,463,0,0
946951200,70.62,71.19,69.19,70.87,376,0,0
947037600,70.25,72.56,69.00,70.44,694,0,0
947124000,70.12,72.94,69.75,71.44,507,0,0
947210400,72.62,73.50,71.00,72.75,488,0,0
947469600,72.75,73.37,71.50,71.50,250,0,0
947556000,70.00,70.44,68.25,69.81,420,0,0
947642400,69.69,70.87,69.50,70.25,219,0,0
947728800,71.12,72.50,70.56,71.31,370,0,0
947815200,73.94,75.75,72.81,73.87,582,0,0
948160800,73.94,74.50,70.25,71.00,557,0,0
948247200,72.25,75.37,72.25,74.12,438,0,0
948333600,75.37,76.00,72.75,74.06,520,0,0
948420000,73.87,74.00,72.62,72.94,184,0,0
948679200,74.37,74.56,72.19,73.00,338,0,0
948765600,73.00,75.75,73.00,74.62,389,0,0
948852000,75.37,79.00,75.00,78.44,494,0,0
948938400,79.44,81.50,78.56,80.69,464,0,0
949024800,79.56,79.56,76.62,76.69,302,0,0
949284000,76.81,81.50,76.81,80.69,551,0,0
949370400,82.44,84.50,81.31,83.75,508,0,0
949456800,83.00,84.19,81.37,82.37,502,0,0
949543200,83.50,84.87,80.25,83.19,894,0,0
949629600,82.50,83.31,81.56,81.75,276,0,0
949888800,82.19,83.37,81.75,82.19,325,0,0
949975200,84.06,86.12,84.00,85.06,325,0,0
950061600,84.94,86.37,82.44,82.87,580,0,0
950148000,83.12,83.75,81.37,83.12,477,0,0
950234400,83.25,85.00,82.00,82.62,538,0,0
950493600,82.25,83.44,79.06,79.06,558,0,0
950580000,80.06,82.50,79.62,81.06,477,0,0
950666400,81.00,82.19,79.00,79.50,489,0,0
950752800,80.62,81.50,77.81,78.37,514,0,0
950839200,78.06,78.56,74.56,74.75,470,0,0
951184800,76.00,78.87,75.12,77.25,626,0,0
951271200,77.37,79.19,76.56,77.37,527,0,0
951357600,77.25,77.56,74.62,76.00,464,0,0
951444000,76.62,78.75,74.87,75.87,702,0,0
951703200,76.75,80.25,76.37,77.94,658,0,0
951789600,77.69,81.00,77.69,79.62,470,0,0
951876000,79.87,82.00,78.87,82.00,414,0,0
951962400,80.50,81.12,79.75,80.56,269,0,0
952048800,82.00,82.37,79.37,81.12,513,0,0
952308000,82.94,84.37,82.25,83.44,375,0,0
952394400,83.44,84.19,81.00,81.81,476,0,0
952480800,80.75,81.44,78.62,79.00,390,0,0
952567200,78.75,81.25,78.06,81.12,402,0,0
952653600,80.00,81.56,77.75,78.69,632,0,0
952912800,77.62,81.19,77.12,80.06,571,0,0
952999200,80.50,80.94,78.50,79.00,339,0,0
953085600,77.87,84.19,77.19,83.12,876,0,0
953172000,84.94,90.37,84.19,90.12,719,0,0
953258400,89.25,92.25,88.50,91.00,576,0,0
953517600,90.00,90.50,84.50,86.56,857,0,0
953604000,86.44,92.50,85.50,92.00,845,0,0
953690400,90.62,92.12,88.75,91.56,581,0,0
953776800,91.00,99.19,90.94,98.50,901,0,0
953863200,97.00,100.75,96.00,96.19,870,0,0
954126000,96.00,96.87,93.56,94.69,532,0,0
954212400,93.75,95.75,93.12,94.25,477,0,0
954298800,94.25,94.50,89.31,90.37,651,0,0
954385200,89.44,90.75,85.94,87.00,719,0,0
954471600,88.00,88.37,86.00,87.19,394,0,0
954730800,87.94,93.00,87.81,92.50,583,0,0
954817200,91.50,91.87,83.00,86.75,1300,0,0
954903600,84.25,86.94,84.25,86.37,327,0,0
954990000,87.00,88.25,86.81,87.44,245,0,0
955076400,88.25,88.25,86.00,86.37,263,0,0
955335600,85.50,89.06,85.12,88.12,527,0,0
955422000,87.00,87.87,85.00,86.00,475,0,0
955508400,87.94,90.94,86.50,86.81,776,0,0
955594800,86.00,86.75,84.25,84.50,351,0,0
955681200,82.00,82.37,75.75,78.87,1012,0,0
955940400,77.50,79.44,74.94,78.62,789,0,0
956026800,78.25,80.94,78.06,80.50,352,0,0
956113200,80.75,81.00,75.62,78.00,802,0,0
956199600,78.12,78.19,76.25,77.31,308,0,0
956545200,76.00,76.44,74.44,74.75,276,0,0
956631600,75.75,78.56,75.25,78.06,432,0,0
956718000,78.75,78.75,76.19,76.44,282,0,0
956804400,75.12,75.50,73.31,73.87,314,0,0
956890800,74.25,74.69,71.75,72.12,376,0,0
957150000,72.50,75.37,71.56,73.75,638,0,0
957236400,73.81,77.00,73.37,76.12,496,0,0
957322800,75.19,76.75,74.25,74.25,407,0,0
957409200,75.12,75.44,72.87,73.25,328,0,0
957495600,72.00,72.75,70.50,72.19,432,0,0
957754800,71.62,73.19,71.31,72.00,339,0,0
957841200,72.25,72.69,70.87,70.87,227,0,0
957927600,70.69,70.69,68.75,68.75,195,0,0
958014000,70.06,70.69,68.50,70.00,433,0,0
958100400,69.12,72.87,68.12,71.62,701,0,0
958359600,72.75,75.19,72.06,74.62,440,0,0
958446000,76.62,76.69,73.69,74.25,364,0,0
958532400,73.25,74.94,73.06,74.00,302,0,0
958618800,73.75,76.37,73.75,75.12,388,0,0
958705200,74.62,74.94,72.25,72.50,327,0,0
958964400,73.25,73.25,70.50,72.19,445,0,0
959050800,71.94,74.56,71.94,73.12,407,0,0
959137200,72.50,73.44,70.50,71.62,501,0,0
959223600,72.00,73.75,69.75,70.25,626,0,0
959310000,70.37,71.25,69.37,70.50,364,0,0
959655600,71.62,73.50,71.12,73.50,289,0,0
959742000,73.00,75.37,73.00,74.69,306,0,0
959828400,75.87,78.25,75.44,77.12,438,0,0
959914800,82.37,82.37,80.00,80.69,307,0,0
960174000,80.50,81.12,79.25,79.37,262,0,0
960260400,79.37,79.37,76.50,77.00,338,0,0
960346800,77.44,78.44,76.62,76.87,308,0,0
960433200,77.69,77.69,75.37,76.50,346,0,0
960519600,77.00,78.62,71.37,73.31,1082,0,0
960778800,49.38,49.75,48.19,48.59,234,0,0
960865200,48.38,48.50,47.63,48.19,156,0,0
960951600,48.88,50.38,48.25,50.06,309,0,0
961038000,49.81,49.88,46.63,48.81,551,0,0
961124400,46.75,46.94,44.13,45.44,432,0,0
961383600,45.38,47.38,45.13,46.88,301,0,0
961470000,48.00,48.56,47.50,47.94,207,0,0
961556400,47.69,47.94,46.38,47.00,244,0,0
961642800,47.25,47.31,46.00,46.38,176,0,0
961729200,46.63,48.06,46.44,46.88,300,0,0
961988400,46.56,48.44,46.56,47.56,277,0,0
962074800,48.38,48.75,47.81,47.94,145,0,0
962161200,48.13,48.94,46.69,47.05,343,0,0
962247600,47.44,48.88,46.63,47.63,432,0,0
962334000,47.69,48.25,45.63,46.06,362,0,0
962593200,45.88,48.00,45.88,47.56,257,0,0
962766000,48.44,49.69,47.38,47.75,394,0,0
962852400,47.81,48.19,46.63,48.00,294,0,0
962938800,48.25,50.69,48.25,50.06,308,0,0
963198000,50.19,51.00,49.69,49.75,219,0,0
963284400,50.38,51.94,49.81,50.69,396,0,0
963370800,51.69,52.19,50.50,50.56,226,0,0
963457200,51.38,51.81,50.63,50.75,174,0,0
963543600,51.44,52.75,51.00,52.50,245,0,0
963802800,53.75,53.75,51.81,52.03,217,0,0
963889200,51.25,51.50,50.13,50.94,244,0,0
963975600,51.00,51.50,50.13,50.69,244,0,0
964062000,50.75,53.25,50.50,51.31,495,0,0
964148400,53.00,53.75,51.63,52.73,398,0,0
964407600,52.44,52.63,50.75,51.56,289,0,0
964494000,51.63,51.75,50.88,51.25,137,0,0
964580400,51.00,51.00,48.63,49.38,313,0,0
964666800,49.38,50.38,48.38,49.88,351,0,0
964753200,50.06,50.13,48.06,48.38,247,0,0
965012400,49.00,49.81,48.25,49.81,232,0,0
965098800,49.88,53.38,49.63,51.63,576,0,0
965185200,51.94,52.38,50.69,51.44,289,0,0
965271600,51.00,51.94,50.00,50.25,314,0,0
965358000,51.88,52.75,50.63,52.44,369,0,0
965617200,53.06,54.13,52.56,53.56,265,0,0
965703600,53.81,53.88,52.63,53.50,220,0,0
965790000,53.44,53.63,52.13,52.31,188,0,0
965876400,52.31,53.19,51.75,51.88,246,0,0
965962800,51.56,52.44,51.31,52.00,183,0,0
966222000,52.75,53.00,51.56,52.75,289,0,0
966308400,53.00,53.38,51.63,51.81,232,0,0
966394800,51.25,51.81,50.06,50.38,264,0,0
966481200,50.06,51.13,50.06,50.69,152,0,0
966567600,50.81,51.25,50.25,50.75,195,0,0
966826800,51.00,51.63,50.63,50.94,195,0,0
966913200,51.44,53.50,51.00,52.75,370,0,0
966999600,52.94,54.38,52.75,54.31,190,0,0
967086000,53.38,54.88,53.00,53.25,364,0,0
967172400,53.13,53.69,51.88,52.06,256,0,0
967431600,52.00,53.31,52.00,52.69,194,0,0
967518000,53.06,53.19,51.63,51.88,195,0,0
