time,open,high,low,close,tick_volume,spread,real_volume
1520607600,21642,21767,21586,21741,3359,4,0
1520611200,21738,21756,21661,21706,3041,6,0
1520614800,21711,21796,21691,21771,2389,6,0
1520618400,21769,21811,21746,21786,1722,5,0
1520622000,21787,21822,21771,21777,1152,5,0
1520625600,21778,21822,21777,21817,1027,5,0
1520629200,21817,21837,21801,21822,921,5,0
1520632800,21823,21867,21811,21861,1162,5,0
1520816400,21896,21961,21864,21931,846,5,0
1520820000,21926,21957,21881,21892,2632,7,0
1520823600,21893,21932,21756,21776,2739,5,0
1520827200,21777,21819,21732,21781,1712,5,0
1520830800,21783,21801,21694,21736,1535,5,0
1520834400,21739,21761,21661,21696,1376,5,0
1520838000,21698,21821,21694,21816,1424,6,0
1520841600,21815,21896,21801,21874,614,6,0
1520845200,21876,21891,21861,21876,580,6,0
1520848800,21875,21876,21806,21841,1139,6,0
1520852400,21842,21856,21816,21846,779,6,0
1520856000,21845,21876,21831,21871,621,6,0
1520859600,21871,21876,21831,21846,790,6,0
1520863200,21846,21846,21817,21821,554,6,0
1520866800,21821,21876,21801,21846,1415,6,0
1520870400,21847,21856,21746,21751,2093,6,0
1520874000,21749,21776,21711,21776,2295,6,0
1520877600,21777,21796,21746,21756,1469,6,0
1520881200,21756,21781,21741,21766,966,6,0
1520884800,21765,21776,21711,21721,1597,6,0
1520888400,21716,21781,21716,21746,1281,6,0
1520892000,21751,21751,21716,21725,346,6,0
1520902800,21728,21751,21701,21716,409,6,0
1520906400,21717,21751,21677,21736,2427,6,0
1520910000,21736,21826,21733,21788,1517,6,0
1520913600,21789,21791,21741,21756,886,6,0
1520917200,21754,21811,21741,21791,1084,6,0
1520920800,21796,21916,21791,21891,1423,6,0
1520924400,21889,21936,21861,21936,1404,6,0
1520928000,21938,21961,21926,21951,423,6,0
1520931600,21948,21971,21936,21951,570,6,0
1520935200,21956,21961,21936,21956,850,6,0
1520938800,21956,22072,21952,22031,1087,5,0
1520942400,22031,22056,22031,22053,588,7,0
1520946000,22053,22068,22021,22026,515,5,0
1520949600,22028,22084,21931,22016,3139,5,0
1520953200,22015,22066,21991,22026,2432,5,0
1520956800,22029,22046,21966,21981,2639,5,0
1520960400,21981,21986,21851,21851,3910,4,0
1520964000,21854,21866,21781,21816,3466,5,0
1520967600,21817,21831,21741,21746,1852,4,0
1520971200,21745,21771,21716,21736,2773,5,0
1520974800,21739,21753,21686,21731,3277,5,0
1520978400,21736,21764,21731,21743,452,5,0
1520989200,21731,21746,21706,21739,643,5,0
1520992800,21741,21856,21734,21801,2022,4,0
1520996400,21803,21811,21696,21716,1544,4,0
1521000000,21714,21746,21699,21711,1176,4,0
1521003600,21711,21776,21701,21716,1071,4,0
1521007200,21714,21766,21647,21758,998,4,0
1521010800,21761,21786,21724,21756,1230,4,0
1521014400,21756,21776,21741,21761,460,8,0
1521018000,21763,21846,21761,21846,728,4,0
1521021600,21843,21879,21826,21846,1958,4,0
1521025200,21851,21871,21831,21866,832,7,0
1521028800,21866,21891,21846,21846,740,4,0
1521032400,21849,21871,21846,21871,557,7,0
1521036000,21871,21876,21824,21851,1168,4,0
1521039600,21853,21881,21791,21806,2099,4,0
1521043200,21811,21836,21746,21749,3480,5,0
1521046800,21746,21756,21606,21616,3923,4,0
1521050400,21618,21696,21576,21666,4130,4,0
1521054000,21662,21756,21626,21738,2256,4,0
1521057600,21736,21751,21646,21701,3101,4,0
1521061200,21703,21706,21646,21694,3860,4,0
1521064800,21691,21721,21686,21696,438,4,0
1521075600,21723,21723,21666,21676,641,7,0
1521079200,21679,21731,21581,21586,2965,4,0
1521082800,21585,21596,21522,21569,1616,4,0
1521086400,21568,21736,21561,21716,1314,5,0
1521090000,21721,21781,21701,21773,1164,6,0
1521093600,21771,21801,21746,21756,764,7,0
1521097200,21754,21789,21711,21786,1212,6,0
1521100800,21784,21811,21776,21811,485,7,0
1521104400,21809,21856,21805,21816,500,7,0
1521108000,21818,21836,21765,21791,1239,6,0
1521111600,21790,21831,21766,21781,827,5,0
1521115200,21777,21777,21711,21716,1024,5,0
1521118800,21711,21781,21701,21758,811,5,0
1521122400,21759,21796,21731,21771,1004,5,0
1521126000,21772,21796,21715,21730,1848,5,0
1521129600,21732,21790,21730,21790,2391,6,0
1521133200,21791,21855,21770,21785,1958,6,0
1521136800,21787,21805,21740,21775,1536,6,0
1521140400,21775,21795,21655,21655,1514,6,0
1521144000,21653,21750,21635,21750,1674,6,0
