time,open,high,low,close,tick_volume,spread,real_volume
1521817200,20657,20775,20630,20700,3480,6,0
1521820800,20700,20750,20645,20745,4807,6,0
1521824400,20750,20760,20490,20493,3975,6,0
1521828000,20495,20595,20485,20520,4346,6,0
1521831600,20520,20670,20502,20645,3770,6,0
1521835200,20647,20665,20425,20430,4454,6,0
1521838800,20435,20465,20290,20295,7225,6,0
1521842400,20290,20340,20288,20300,637,5,0
1522026000,20295,20370,20292,20320,364,6,0
1522029600,20325,20415,20320,20383,941,6,0
1522033200,20375,20435,20305,20433,3261,6,0
1522036800,20435,20530,20345,20525,2903,6,0
1522040400,20525,20525,20465,20480,1478,6,0
1522044000,20478,20565,20430,20565,1730,6,0
1522047600,20563,20565,20443,20475,1296,6,0
1522051200,20470,20710,20465,20705,2266,4,0
1522054800,20706,20750,20645,20695,1201,4,0
1522058400,20690,20732,20655,20710,1533,6,0
1522062000,20705,20765,20675,20685,1290,6,0
1522065600,20684,20790,20670,20770,1203,6,0
1522069200,20770,20805,20745,20783,945,6,0
1522072800,20785,20795,20700,20720,1114,6,0
1522076400,20722,20775,20715,20718,1420,6,0
1522080000,20720,20755,20675,20685,2812,6,0
1522083600,20687,20710,20570,20575,3615,6,0
1522087200,20576,20616,20501,20585,4921,6,0
1522090800,20583,20685,20550,20620,2785,6,0
1522094400,20621,20700,20595,20620,2753,4,0
1522098000,20625,20755,20615,20725,3043,6,0
1522101600,20728,20860,20720,20855,2316,6,0
1522105200,20856,20860,20815,20850,346,6,0
1522112400,20855,20915,20855,20870,234,6,0
1522116000,20871,20935,20845,20930,511,5,0
1522119600,20940,21055,20915,21030,2496,6,0
1522123200,21025,21130,21020,21090,1895,4,0
1522126800,21092,21150,21055,21115,1474,6,0
1522130400,21118,21223,21093,21215,1517,6,0
1522134000,21212,21275,21180,21200,1231,6,0
1522137600,21203,21267,21175,21250,1431,5,0
1522141200,21255,21305,21237,21290,1026,4,0
1522144800,21292,21305,21214,21245,1322,6,0
1522148400,21245,21280,21230,21270,1035,6,0
1522152000,21272,21338,21260,21335,878,6,0
1522155600,21335,21335,21270,21280,739,6,0
1522159200,21279,21330,21275,21285,767,6,0
1522162800,21286,21300,21210,21220,636,6,0
1522166400,21220,21260,21150,21210,2437,6,0
1522170000,21209,21230,21115,21190,4569,6,0
1522173600,21190,21286,21140,21260,3541,6,0
1522177200,21262,21270,21160,21205,3070,6,0
1522180800,21207,21250,21080,21125,3326,5,0
1522184400,21123,21145,21015,21020,5148,6,0
1522188000,21015,21020,20770,20820,8183,5,0
1522191600,20815,20880,20815,20845,610,5,0
1522198800,20678,20724,20648,20719,274,7,0
1522202400,20724,20858,20678,20823,675,4,0
1522206000,20818,20918,20753,20788,2293,5,0
1522209600,20793,20953,20788,20928,1905,5,0
1522213200,20933,20968,20883,20888,1138,5,0
1522216800,20888,20933,20853,20893,1070,5,0
1522220400,20894,20973,20883,20932,1285,5,0
1522224000,20928,20998,20772,20994,1869,5,0
1522227600,20998,21078,20973,21028,1342,4,0
1522231200,21028,21033,20888,20893,2724,5,0
1522234800,20891,20963,20874,20903,3182,5,0
1522238400,20905,20933,20863,20913,2066,5,0
1522242000,20912,21018,20903,21018,1796,5,0
1522245600,21018,21083,21013,21078,1643,5,0
1522249200,21080,21158,21038,21038,2442,5,0
1522252800,21033,21078,20943,21048,4861,5,0
1522256400,21048,21108,20913,20963,7889,4,0
1522260000,20968,21098,20938,21078,7263,4,0
1522263600,21083,21208,21053,21098,6044,5,0
1522267200,21093,21293,21068,21253,6419,4,0
1522270800,21255,21320,21203,21233,6012,5,0
1522274400,21231,21313,21163,21235,7628,4,0
1522278000,21233,21268,21213,21248,330,7,0
1522285200,21278,21293,21267,21278,211,10,0
1522288800,21276,21288,21243,21258,509,6,0
1522292400,21263,21283,21173,21203,2463,5,0
1522296000,21205,21243,21128,21146,2282,5,0
1522299600,21148,21177,21103,21173,1662,5,0
1522303200,21178,21183,21092,21123,1452,5,0
1522306800,21123,21143,20993,21003,1363,5,0
1522310400,20998,21163,20978,21133,2083,5,0
1522314000,21133,21248,21118,21238,1172,5,0
1522317600,21233,21258,21178,21213,1731,5,0
1522321200,21216,21258,21188,21238,1411,5,0
1522324800,21236,21303,21233,21293,1328,5,0
1522328400,21292,21308,21253,21253,859,5,0
1522332000,21253,21288,21228,21273,876,6,0
1522335600,21273,21363,21223,21348,1513,4,0
1522339200,21348,21388,21308,21318,2221,6,0
1522342800,21321,21418,21288,21403,3684,6,0
1522346400,21404,21438,21368,21388,3004,5,0
1522350000,21389,21423,21338,21418,2074,6,0
1522353600,21418,21473,21398,21463,2072,6,0
1522357200,21465,21593,21448,21568,2102,6,0
1522360800,21566,21623,21468,21483,2955,6,0
1522364400,21488,21488,21443,21458,468,5,0
1522630800,21438,21468,21438,21448,239,10,0
1522634400,21448,21468,21377,21418,551,5,0
1522638000,21423,21533,21388,21493,2880,4,0
1522641600,21494,21573,21468,21553,1473,4,0
1522645200,21558,21568,21523,21523,964,7,0
1522648800,21523,21593,21513,21568,834,4,0
1522652400,21570,21570,21493,21508,1018,5,0
1522656000,21508,21548,21388,21393,1271,5,0
1522659600,21388,21433,21343,21418,624,6,0
1522663200,21416,21428,21378,21413,451,5,0
1522666800,21412,21423,21403,21408,379,5,0
1522670400,21408,21418,21383,21418,413,5,0
1522674000,21423,21438,21398,21398,375,5,0
1522677600,21398,21398,21353,21383,651,5,0
1522681200,21383,21413,21373,21408,866,5,0
1522684800,21403,21433,21357,21378,2499,5,0
1522688400,21373,21388,21237,21238,4496,5,0
1522692000,21233,21243,21058,21063,5523,5,0
1522695600,21065,21133,21038,21073,5029,5,0
1522699200,21073,21093,20933,20938,4321,5,0
1522702800,20937,21021,20917,21003,5293,5,0
1522706400,20998,21083,20953,21028,4950,5,0
1522710000,21023,21053,21018,21048,345,7,0
1522717200,21046,21073,21028,21048,115,10,0
1522720800,21053,21083,21038,21083,414,5,0
1522724400,21084,21143,21033,21133,2081,5,0
1522728000,21133,21213,21131,21173,1751,5,0
1522731600,21171,21253,21160,21238,1286,5,0
1522735200,21241,21268,21214,21233,843,5,0
1522738800,21238,21288,21228,21278,767,5,0
1522742400,21278,21323,21173,21268,1863,5,0
1522746000,21263,21338,21263,21318,1004,5,0
1522749600,21316,21368,21306,21313,1246,7,0
1522753200,21311,21328,21288,21314,1332,5,0
1522756800,21314,21314,21283,21298,1029,5,0
1522760400,21298,21378,21293,21348,1327,5,0
1522764000,21348,21363,21338,21348,952,5,0
1522767600,21350,21403,21348,21403,1011,5,0
1522771200,21402,21428,21343,21358,3293,5,0
1522774800,21358,21423,21273,21413,4637,5,0
1522778400,21415,21453,21318,21318,4317,5,0
1522782000,21323,21389,21318,21350,3738,5,0
1522785600,21350,21423,21323,21413,3708,5,0
1522789200,21413,21443,21293,21433,4372,5,0
1522792800,21431,21518,21422,21508,6615,4,0
1522796400,21513,21513,21469,21498,392,6,0
1522803600,21478,21478,21443,21453,104,10,0
1522807200,21453,21463,21398,21413,431,4,0
1522810800,21413,21418,21298,21363,2011,5,0
1522814400,21363,21363,21238,21253,2039,5,0
1522818000,21248,21293,21238,21288,1207,5,0
1522821600,21293,21293,21223,21273,1096,4,0
1522825200,21278,21333,21254,21323,783,5,0
1522828800,21319,21388,21293,21315,1252,5,0
1522832400,21318,21355,21303,21333,753,5,0
1522836000,21332,21338,21148,21158,2036,5,0
1522839600,21157,21163,21073,21133,4499,4,0
1522843200,21128,21158,21093,21138,2153,5,0
1522846800,21138,21139,21023,21063,2270,5,0
1522850400,21063,21123,21063,21093,1610,5,0
1522854000,21093,21158,21058,21136,2119,5,0
