time,open,high,low,close,tick_volume,spread,real_volume
1548208800,158.09,159.05,157.49,158.95,227,0,0
1548295200,157.50,157.93,156.24,157.40,329,0,0
1548381600,159.12,160.12,156.88,158.86,623,0,0
1548640800,157.80,159.91,156.88,158.13,574,0,0
1548727200,159.54,161.83,158.87,161.20,427,0,0
1548813600,161.68,163.96,160.22,163.96,521,0,0
1548900000,163.96,163.96,159.63,163.02,773,0,0
1548986400,162.85,165.88,162.13,165.73,463,0,0
1549245600,163.94,166.93,163.23,163.60,707,0,0
1549332000,164.47,166.14,163.81,164.94,420,0,0
1549418400,164.33,164.83,163.08,163.21,239,0,0
1549504800,162.88,163.32,159.39,160.88,587,0,0
1549591200,159.91,161.60,159.09,160.23,471,0,0
1549850400,161.08,162.17,160.22,160.22,305,0,0
1549936800,162.69,167.53,162.66,167.52,492,0,0
1550023200,167.37,168.66,166.62,168.66,280,0,0
1550109600,167.74,168.91,165.94,166.45,466,0,0
1550196000,165.94,170.87,165.85,168.52,747,0,0
1550541600,170.55,171.01,167.60,167.88,416,0,0
1550628000,167.85,171.00,163.26,170.28,1306,0,0
1550714400,171.25,172.41,170.36,171.41,395,0,0
1550800800,171.04,174.65,170.44,173.49,598,0,0
1551060000,173.64,175.02,172.32,174.60,445,0,0
1551146400,172.70,174.87,171.77,173.91,500,0,0
1551232800,173.47,175.10,171.35,172.49,653,0,0
1551319200,175.26,176.18,170.24,170.24,687,0,0
1551405600,175.13,176.73,167.89,169.03,1159,0,0
1551664800,167.29,169.05,164.96,169.05,643,0,0
1551751200,168.70,169.93,167.34,167.34,383,0,0
1551837600,167.88,169.79,166.81,169.13,472,0,0
1551924000,168.68,170.26,166.82,168.35,656,0,0
1552010400,168.67,171.14,167.75,169.43,603,0,0
1552096800,170.25,170.34,170.25,170.34,10,0,0
1552269600,169.80,173.54,168.31,172.74,753,0,0
1552356000,172.06,173.99,169.94,172.40,777,0,0
1552442400,172.99,175.53,170.25,170.25,783,0,0
1552528800,175.59,176.36,173.16,174.23,505,0,0
1552615200,176.04,178.56,171.24,175.72,1433,0,0
1552874400,176.51,176.72,173.41,174.52,464,0,0
1552960800,174.51,175.79,172.61,175.65,523,0,0
1553047200,174.44,176.84,174.12,176.59,330,0,0
1553133600,175.95,177.29,173.72,175.09,629,0,0
1553220000,175.64,175.89,169.17,169.89,770,0,0
1553479200,170.54,171.93,169.25,170.00,483,0,0
1553565600,170.90,175.55,169.72,171.00,1157,0,0
1553652000,170.44,170.82,168.69,169.47,330,0,0
1553738400,169.78,173.83,166.22,171.18,1383,0,0
1553824800,173.90,176.18,172.84,175.49,510,0,0
1554087600,176.72,178.15,173.83,173.83,576,0,0
1554174000,176.50,179.01,175.23,175.23,630,0,0
1554260400,179.82,184.53,179.50,182.71,718,0,0
1554346800,183.19,184.37,182.40,183.88,326,0,0
1554433200,183.51,188.89,182.71,184.56,1132,0,0
1554692400,185.41,186.11,182.01,182.01,481,0,0
1554778800,185.28,186.81,181.14,182.98,905,0,0
1554865200,183.73,184.38,177.02,178.87,987,0,0
1554951600,181.28,182.74,179.44,180.22,555,0,0
1555038000,180.32,182.11,179.24,180.39,568,0,0
1555297200,180.35,181.78,179.16,180.19,509,0,0
1555383600,180.88,180.94,178.83,180.60,395,0,0
1555470000,179.75,181.82,179.29,179.85,497,0,0
1555556400,179.42,181.10,174.71,180.45,1176,0,0
1555902000,181.01,181.01,178.82,178.89,227,0,0
1555988400,179.64,180.11,178.69,179.28,249,0,0
1556074800,177.99,181.11,177.27,177.62,732,0,0
1556161200,175.56,176.72,173.22,173.22,467,0,0
1556247600,175.53,178.25,174.73,178.25,433,0,0
1556506800,177.23,178.26,174.35,174.35,495,0,0
1556593200,176.79,180.52,176.64,179.60,496,0,0
1556679600,180.08,181.20,178.12,180.17,608,0,0
1556766000,179.16,181.33,175.20,175.23,834,0,0
1556852400,179.51,181.47,178.79,181.08,380,0,0
1557111600,177.97,180.45,174.32,174.32,862,0,0
1557198000,178.26,179.19,172.94,175.65,990,0,0
1557284400,174.62,177.52,173.54,177.19,540,0,0
1557370800,173.47,175.43,171.62,175.03,607,0,0
1557457200,172.52,182.50,169.37,181.92,1687,0,0
1557716400,178.28,181.76,177.54,181.76,497,0,0
1557802800,180.89,182.34,179.43,182.05,467,0,0
1557889200,179.22,182.41,178.28,181.32,617,0,0
