time,open,high,low,close,tick_volume,spread,real_volume
1596078000,15.62,17.50,15.30,16.97,306,0,0
1596164400,16.96,17.74,15.93,16.03,270,0,0
1596423600,16.26,17.00,15.79,16.42,227,0,0
1596510000,16.33,16.84,15.95,16.46,166,0,0
1596596400,16.44,17.00,16.42,16.70,91,0,0
1596682800,16.73,19.88,16.41,18.32,536,0,0
1596769200,18.18,19.32,16.62,17.06,429,0,0
1597028400,16.96,17.88,16.13,16.49,304,0,0
1597114800,16.54,17.05,15.83,16.03,194,0,0
1597201200,16.12,16.33,15.13,15.73,202,0,0
1597287600,15.88,15.88,15.01,15.19,106,0,0
1597374000,15.23,15.32,14.31,14.53,133,0,0
1597633200,14.71,15.58,14.60,15.35,133,0,0
1597719600,15.38,16.75,15.26,16.02,235,0,0
1597806000,15.90,16.25,15.01,15.09,168,0,0
1597892400,15.25,15.31,14.61,14.88,104,0,0
1597978800,15.15,15.50,14.75,15.05,141,0,0
1598238000,15.10,17.65,15.09,17.58,265,0,0
1598324400,17.27,18.84,17.27,18.62,180,0,0
1598410800,18.45,24.46,18.26,22.22,864,0,0
1598497200,22.18,22.60,19.25,19.38,391,0,0
1598583600,19.70,20.40,17.56,17.96,395,0,0
1598842800,17.98,18.81,16.20,16.54,379,0,0
1598929200,16.71,18.46,16.60,18.16,228,0,0
1599015600,18.34,19.97,17.21,17.86,505,0,0
1599102000,17.94,18.29,16.27,16.43,254,0,0
1599188400,16.46,17.90,16.06,16.84,331,0,0
1599534000,16.91,17.02,15.26,15.70,232,0,0
1599620400,15.90,16.95,15.76,16.13,216,0,0
1599706800,16.20,16.72,15.87,16.13,164,0,0
1599793200,16.30,16.68,16.05,16.29,126,0,0
1600052400,16.58,17.44,16.32,17.44,139,0,0
1600138800,18.10,18.48,18.04,18.29,70,0,0
1600743600,16.75,17.17,16.43,16.67,141,0,0
1600830000,16.85,16.99,15.61,15.77,169,0,0
1600916400,16.06,16.06,15.02,15.39,142,0,0
1601002800,15.69,16.07,15.15,15.93,161,0,0
1601262000,16.13,16.50,15.74,16.10,150,0,0
1601348400,16.13,17.16,15.82,16.94,188,0,0
1601434800,16.73,18.24,16.72,17.47,231,0,0
1601521200,17.27,17.82,16.56,16.94,220,0,0
1601607600,16.45,18.00,16.00,16.99,347,0,0
1601866800,17.21,18.13,17.16,17.61,155,0,0
1601953200,17.69,18.23,17.26,17.43,169,0,0
1602039600,17.59,18.07,17.44,17.87,99,0,0
1602126000,17.65,18.28,17.65,17.84,108,0,0
1602212400,17.81,18.37,17.52,17.74,164,0,0
1602471600,18.11,19.40,17.64,19.23,241,0,0
1602558000,18.91,19.73,18.54,19.48,182,0,0
1602644400,19.65,21.86,19.65,21.23,285,0,0
1602730800,20.98,21.46,19.79,20.50,287,0,0
1602817200,20.50,21.11,19.60,19.62,215,0,0
1603076400,20.16,20.51,18.91,19.36,241,0,0
1603162800,19.58,20.78,19.07,20.56,245,0,0
1603249200,20.50,21.09,19.36,19.69,266,0,0
1603335600,19.80,20.06,18.72,19.08,197,0,0
1603422000,19.07,19.18,18.33,18.43,107,0,0
1603677600,18.39,19.26,18.13,18.98,168,0,0
1603764000,19.00,19.60,18.63,19.13,182,0,0
1603850400,19.04,19.35,17.94,18.65,244,0,0
1603936800,18.78,21.40,18.78,20.43,360,0,0
1604023200,20.14,21.72,19.85,20.48,341,0,0
1604282400,20.81,23.30,20.81,22.72,308,0,0
1604368800,22.71,24.17,22.07,24.09,283,0,0
1604455200,24.09,27.67,23.77,26.06,584,0,0
1604541600,26.07,30.37,25.60,30.07,555,0,0
1604628000,30.08,30.30,25.30,26.29,622,0,0
1604714400,26.24,26.27,26.18,26.18,13,0,0
1604887200,27.12,27.77,24.54,26.30,565,0,0
1604973600,26.27,26.34,24.43,24.96,252,0,0
1605060000,24.93,25.26,23.09,25.01,427,0,0
1605146400,25.02,37.40,25.00,35.94,1389,0,0
1605232800,35.95,41.70,30.13,30.23,1743,0,0
1605319200,30.23,30.43,30.12,30.28,58,0,0
1605492000,33.42,36.97,30.33,36.72,999,0,0
1605578400,36.73,38.35,33.34,35.91,921,0,0
1605664800,35.93,36.66,33.52,35.79,615,0,0
1605751200,35.77,37.29,34.84,36.37,431,0,0
1605837600,36.38,39.86,36.29,37.96,557,0,0
1605924000,37.96,38.30,37.96,38.30,35,0,0
1606096800,42.22,46.95,41.31,46.33,718,0,0
1606183200,46.33,49.24,41.50,43.52,1268,0,0
1606269600,43.47,43.52,37.60,41.00,938,0,0
1606356000,40.98,41.11,40.92,41.11,26,0,0
1606442400,40.11,42.14,38.16,39.42,728,0,0
1606701600,39.37,39.76,35.02,35.65,577,0,0
1606788000,35.60,40.97,34.24,34.44,1231,0,0
1606874400,34.44,36.65,30.95,34.31,1128,0,0
1606960800,34.32,36.55,32.12,32.83,738,0,0
1607047200,32.86,32.93,29.91,30.64,383,0,0
1607133600,30.61,30.81,30.33,30.78,80,0,0
1607306400,30.90,32.77,29.20,32.05,600,0,0
1607392800,32.05,34.70,31.90,33.94,372,0,0
1607479200,33.93,34.56,31.28,31.93,457,0,0
1607565600,31.94,33.09,30.91,31.91,434,0,0
1607652000,31.89,32.97,31.08,31.56,346,0,0
1607911200,31.48,32.18,30.45,31.28,327,0,0
1607997600,31.32,33.07,31.31,32.18,267,0,0
1608084000,32.19,32.63,31.01,31.37,243,0,0
1608170400,31.37,31.83,30.24,30.70,252,0,0
1608256800,30.69,32.24,30.66,31.67,219,0,0
1608343200,31.66,31.70,31.60,31.70,17,0,0
1608516000,32.24,33.70,30.25,32.62,653,0,0
1608602400,32.60,33.60,30.65,31.36,467,0,0
1608688800,31.36,32.06,29.44,30.54,443,0,0
1608775200,30.55,30.82,29.18,29.42,216,0,0
1609120800,29.47,30.25,26.90,27.30,454,0,0
1609207200,27.34,29.00,26.55,28.74,351,0,0
1609293600,28.75,29.48,28.56,29.18,142,0,0
1609380000,29.17,30.14,28.77,28.93,251,0,0
1609466400,28.93,29.04,28.86,29.03,27,0,0
1609725600,29.71,33.00,29.64,32.90,354,0,0
1609812000,32.88,33.59,30.48,31.00,435,0,0
1609898400,31.00,33.48,30.32,31.90,543,0,0
1609984800,31.94,35.80,31.94,35.52,415,0,0
1610071200,35.52,37.17,33.20,34.36,679,0,0
1610157600,34.37,34.43,34.27,34.39,31,0,0
1610330400,34.85,35.57,32.35,32.69,429,0,0
1610416800,32.71,37.48,32.40,36.53,635,0,0
1610503200,36.53,37.15,34.55,35.36,404,0,0
1610589600,35.39,36.25,34.53,34.83,289,0,0
1610676000,34.84,34.88,32.36,32.64,285,0,0
1610762400,32.63,32.65,32.58,32.60,12,0,0
1611021600,33.51,35.99,33.21,35.57,351,0,0
1611108000,35.57,37.60,33.92,35.40,720,0,0
1611194400,35.40,36.31,34.08,35.13,420,0,0
1611280800,35.09,35.21,33.98,34.36,174,0,0
1611367200,34.38,34.40,34.34,34.39,12,0,0
1611540000,34.89,35.73,31.78,32.27,529,0,0
1611626400,32.34,33.83,31.11,32.40,539,0,0
1611712800,32.40,32.81,30.99,31.02,227,0,0
1611799200,31.01,32.91,29.82,32.59,461,0,0
1611885600,32.58,33.28,31.21,32.20,377,0,0
1611972000,32.22,32.23,32.03,32.17,36,0,0
1612144800,32.57,33.35,31.11,32.34,426,0,0
1612231200,32.34,32.37,29.44,30.43,396,0,0
1612317600,30.43,31.09,29.60,30.56,286,0,0
1612404000,30.56,31.38,30.19,30.95,200,0,0
1612490400,30.97,31.00,30.11,30.46,128,0,0
1612576800,30.46,30.47,30.33,30.42,25,0,0
1612749600,30.80,30.80,29.82,30.37,154,0,0
1612836000,30.41,32.29,29.85,31.97,333,0,0
1612922400,31.98,33.30,30.91,31.79,460,0,0
1613008800,31.72,32.65,31.30,32.09,234,0,0
1613095200,32.10,32.42,31.23,31.89,218,0,0
1613181600,31.93,31.98,31.75,31.97,43,0,0
1613440800,32.00,32.23,30.01,30.53,298,0,0
1613527200,30.53,30.83,29.27,29.74,234,0,0
1613613600,29.75,30.44,28.71,29.28,300,0,0
1613700000,29.30,30.21,29.06,30.12,149,0,0
1613786400,30.07,30.17,30.01,30.04,30,0,0
1613959200,29.38,29.54,27.76,27.95,214,0,0
1614045600,27.93,28.30,23.54,27.38,898,0,0
1614132000,27.39,30.01,26.10,29.85,537,0,0
1614218400,29.84,31.82,25.13,25.30,885,0,0
1614304800,25.27,26.80,24.58,25.32,440,0,0
1614391200,25.28,25.33,25.21,25.27,24,0,0
1614564000,26.33,27.10,25.25,25.49,287,0,0
1614650400,25.47,25.64,23.61,24.04,264,0,0
1614736800,24.03,24.74,22.43,22.46,306,0,0
1614823200,22.49,23.35,20.83,21.16,372,0,0
1614909600,21.16,22.75,19.70,22.75,452,0,0
1614996000,22.74,22.88,22.62,22.67,46,0,0
1615168800,21.88,23.62,20.52,21.29,562,0,0
1615255200,21.30,24.84,21.11,23.58,519,0,0
1615341600,23.53,25.36,22.82,23.45,501,0,0
1615428000,23.49,26.50,23.39,26.40,332,0,0
1615514400,26.38,26.50,24.52,25.79,338,0,0
