time,open,high,low,close,tick_volume,spread,real_volume
946864800,22.00,22.31,20.25,20.25,238,0,0
946951200,20.00,21.31,20.00,20.94,169,0,0
947037600,21.25,21.62,20.50,21.06,206,0,0
947124000,21.00,21.75,21.00,21.37,114,0,0
947210400,21.75,22.06,21.19,21.44,144,0,0
947469600,21.37,21.50,20.56,20.62,114,0,0
947556000,20.50,20.75,19.75,19.94,145,0,0
947642400,20.00,21.25,20.00,21.19,132,0,0
947728800,21.44,21.44,20.56,20.75,108,0,0
947815200,20.75,20.94,20.50,20.50,64,0,0
948160800,21.00,21.25,19.75,20.00,201,0,0
948247200,20.06,20.75,20.00,20.69,88,0,0
948333600,20.50,20.69,20.37,20.56,59,0,0
948420000,20.75,21.19,20.62,21.00,90,0,0
948679200,20.94,21.06,19.56,19.56,163,0,0
948765600,19.56,19.94,19.12,19.25,134,0,0
948852000,19.44,20.06,19.25,20.06,101,0,0
948938400,19.94,20.00,19.00,19.44,151,0,0
949024800,19.00,19.94,18.31,18.87,314,0,0
949284000,18.31,18.87,18.19,18.50,118,0,0
949370400,18.75,18.87,18.37,18.69,95,0,0
949456800,18.44,18.81,18.19,18.69,100,0,0
949543200,18.62,18.94,18.50,18.62,89,0,0
949629600,18.75,19.31,18.37,19.12,152,0,0
949888800,19.25,19.50,18.25,18.75,201,0,0
949975200,18.31,18.37,17.87,18.37,95,0,0
950061600,17.87,18.50,17.87,18.37,77,0,0
950148000,18.06,18.50,18.06,18.31,64,0,0
950234400,18.12,18.31,17.37,17.50,127,0,0
950493600,17.75,18.12,17.50,18.06,94,0,0
950580000,18.00,18.19,17.81,18.12,65,0,0
950666400,17.50,18.06,17.50,17.75,88,0,0
950752800,17.94,18.25,17.81,18.00,83,0,0
950839200,17.75,17.87,17.00,17.44,144,0,0
951184800,17.06,18.00,17.06,18.00,95,0,0
951271200,17.94,17.94,17.50,17.81,76,0,0
951357600,17.62,17.69,17.19,17.56,95,0,0
951444000,17.62,17.94,17.56,17.75,64,0,0
951703200,17.56,17.62,17.12,17.50,95,0,0
951789600,17.44,17.87,17.12,17.44,151,0,0
951876000,17.44,17.69,17.37,17.69,40,0,0
951962400,17.50,17.56,17.00,17.12,75,0,0
952048800,17.06,17.19,16.87,17.00,59,0,0
952308000,17.75,18.25,17.75,18.00,76,0,0
952394400,18.00,18.00,17.31,17.31,70,0,0
952480800,17.25,17.62,17.25,17.62,38,0,0
952567200,17.50,17.50,17.00,17.12,63,0,0
952653600,17.12,17.12,16.69,16.81,56,0,0
952912800,16.81,17.00,16.62,16.94,64,0,0
952999200,17.00,17.00,16.50,16.62,63,0,0
953085600,16.62,17.19,16.50,17.12,89,0,0
953172000,17.19,18.25,17.00,18.06,164,0,0
953258400,18.06,18.75,17.62,18.00,221,0,0
953517600,18.00,18.00,17.62,17.77,54,0,0
953604000,17.25,17.62,17.06,17.31,107,0,0
953690400,17.25,17.31,16.94,17.12,62,0,0
953776800,17.06,17.37,16.94,17.06,87,0,0
953863200,17.06,17.75,17.06,17.50,95,0,0
954126000,17.50,17.87,17.25,17.81,94,0,0
954212400,18.25,19.19,18.06,18.75,177,0,0
954298800,18.56,19.25,18.31,19.25,120,0,0
954385200,19.75,21.25,19.50,20.87,239,0,0
954471600,21.06,21.06,19.69,20.44,213,0,0
954730800,20.06,20.87,20.06,20.44,125,0,0
954817200,21.00,21.69,20.12,20.31,246,0,0
954903600,20.31,21.62,20.31,20.94,200,0,0
954990000,21.75,22.06,20.62,21.19,233,0,0
955076400,21.31,21.50,20.69,21.06,138,0,0
955335600,20.50,21.19,20.31,21.12,115,0,0
955422000,20.94,21.19,20.87,20.87,58,0,0
955508400,20.94,22.19,20.94,22.06,139,0,0
955594800,21.37,22.00,21.06,21.62,164,0,0
955681200,21.19,21.25,20.37,20.69,127,0,0
955940400,20.62,21.31,19.81,21.31,232,0,0
956026800,21.12,21.12,20.62,21.00,89,0,0
956113200,20.94,21.25,20.81,20.87,82,0,0
956199600,21.75,22.87,21.56,22.69,169,0,0
956545200,22.37,25.94,22.31,25.87,377,0,0
956631600,25.87,26.44,24.50,25.56,358,0,0
956718000,24.75,24.87,23.81,24.12,150,0,0
956804400,24.00,24.44,23.37,23.87,202,0,0
956890800,24.00,26.06,24.00,24.87,326,0,0
957150000,24.25,27.31,24.12,27.00,364,0,0
957236400,26.25,26.69,26.00,26.06,120,0,0
957322800,25.81,26.31,25.37,25.56,164,0,0
957409200,25.56,27.12,25.50,26.31,250,0,0
957495600,25.75,26.19,25.62,26.19,71,0,0
957754800,26.00,26.25,25.75,26.06,95,0,0
957841200,25.81,26.25,25.75,26.00,82,0,0
957927600,25.81,26.25,25.75,26.06,76,0,0
958014000,26.00,26.44,25.94,26.19,82,0,0
958100400,25.62,26.12,25.56,25.81,94,0,0
958359600,25.69,25.94,25.37,25.62,108,0,0
958446000,24.75,25.37,24.69,25.19,93,0,0
958532400,24.94,25.37,24.50,24.56,137,0,0
958618800,24.44,25.19,24.44,24.87,108,0,0
958705200,24.12,24.56,23.62,24.31,170,0,0
958964400,24.37,24.69,23.25,23.56,208,0,0
959050800,24.25,25.31,23.62,25.12,252,0,0
959137200,25.00,25.31,24.50,25.06,157,0,0
959223600,24.81,25.06,24.06,24.31,151,0,0
959310000,24.56,24.75,23.87,24.06,127,0,0
959655600,24.31,25.00,24.19,24.75,119,0,0
959742000,24.87,24.94,23.81,24.69,209,0,0
959828400,24.37,25.06,24.19,25.06,106,0,0
959914800,25.31,26.06,25.31,25.94,88,0,0
960174000,25.94,25.94,25.50,25.87,82,0,0
960260400,26.00,26.25,25.69,25.94,107,0,0
960346800,25.94,25.94,24.87,25.37,158,0,0
960433200,24.87,25.50,24.25,24.75,239,0,0
960519600,24.87,25.44,24.81,25.31,83,0,0
960778800,25.44,25.94,25.31,25.56,115,0,0
960865200,25.31,25.37,24.81,25.25,107,0,0
960951600,25.37,25.50,24.62,24.69,109,0,0
961038000,25.12,25.31,24.87,25.00,77,0,0
961124400,25.00,25.00,24.31,24.31,70,0,0
961383600,24.44,24.69,23.94,24.69,126,0,0
961470000,24.69,24.69,23.75,24.50,170,0,0
961556400,24.44,24.87,24.00,24.00,131,0,0
961642800,24.19,24.19,22.81,23.69,227,0,0
961729200,23.87,24.44,23.69,24.19,119,0,0
961988400,23.94,25.19,23.81,24.81,190,0,0
962074800,24.94,25.06,24.25,24.31,100,0,0
962161200,23.50,23.69,22.44,23.69,232,0,0
962247600,23.06,25.00,22.75,25.00,257,0,0
962334000,24.50,25.12,24.12,24.81,170,0,0
962593200,24.62,24.62,24.06,24.31,82,0,0
962766000,24.19,25.37,24.19,25.00,156,0,0
962852400,24.50,25.50,24.50,25.25,126,0,0
962938800,25.12,25.37,24.81,25.31,94,0,0
963198000,25.31,25.44,25.00,25.19,77,0,0
963284400,24.94,25.06,24.56,24.75,82,0,0
963370800,24.19,25.19,24.19,25.06,114,0,0
963457200,25.06,26.06,25.00,25.00,207,0,0
963543600,25.87,26.56,25.81,26.37,101,0,0
963802800,26.50,26.50,25.25,25.37,138,0,0
963889200,25.50,25.50,24.94,25.31,94,0,0
963975600,25.25,25.44,24.87,25.37,103,0,0
964062000,25.69,27.06,25.50,26.75,207,0,0
964148400,26.50,26.69,26.19,26.31,82,0,0
