time,open,high,low,close,tick_volume,spread,real_volume
1764118800,0.0482,0.0486,0.0482,0.0482,75,127,0
1764122400,0.0482,0.0484,0.0480,0.0481,161,127,0
1764126000,0.0481,0.0484,0.0479,0.0482,159,127,0
1764129600,0.0482,0.0483,0.0478,0.0479,101,127,0
1764133200,0.0479,0.0484,0.0476,0.0478,181,127,0
1764136800,0.0478,0.0481,0.0477,0.0478,136,127,0
1764140400,0.0479,0.0482,0.0477,0.0478,141,127,0
1764144000,0.0478,0.0485,0.0476,0.0484,153,127,0
1764147600,0.0484,0.0485,0.0481,0.0484,149,128,0
1764151200,0.0484,0.0484,0.0475,0.0476,194,127,0
1764154800,0.0476,0.0477,0.0467,0.0469,167,127,0
1764158400,0.0469,0.0472,0.0466,0.0469,175,127,0
1764162000,0.0469,0.0469,0.0465,0.0468,145,127,0
1764165600,0.0468,0.0469,0.0464,0.0468,174,127,0
1764169200,0.0468,0.0471,0.0467,0.0471,134,127,0
1764172800,0.0471,0.0475,0.0469,0.0469,178,128,0
1764176400,0.0470,0.0474,0.0469,0.0472,208,127,0
1764180000,0.0472,0.0478,0.0472,0.0475,164,127,0
1764183600,0.0475,0.0485,0.0473,0.0484,220,127,0
1764187200,0.0484,0.0491,0.0482,0.0489,267,127,0
1764190800,0.0489,0.0490,0.0484,0.0488,155,127,0
1764194400,0.0488,0.0489,0.0485,0.0487,177,128,0
1764198000,0.0488,0.0490,0.0484,0.0488,211,127,0
1764201600,0.0488,0.0491,0.0487,0.0491,120,127,0
1764205200,0.0491,0.0491,0.0487,0.0489,197,127,0
1764208800,0.0489,0.0493,0.0488,0.0491,145,127,0
1764212400,0.0491,0.0492,0.0488,0.0492,125,128,0
1764216000,0.0491,0.0496,0.0490,0.0491,131,127,0
1764219600,0.0491,0.0494,0.0487,0.0490,166,127,0
1764223200,0.0490,0.0493,0.0490,0.0491,122,127,0
1764226800,0.0491,0.0493,0.0488,0.0490,127,127,0
1764230400,0.0491,0.0493,0.0490,0.0492,131,127,0
1764234000,0.0492,0.0493,0.0489,0.0491,123,127,0
1764237600,0.0491,0.0491,0.0488,0.0491,102,127,0
1764241200,0.0491,0.0493,0.0490,0.0491,106,127,0
1764244800,0.0491,0.0493,0.0490,0.0492,127,127,0
1764248400,0.0492,0.0493,0.0491,0.0492,133,127,0
1764252000,0.0492,0.0493,0.0487,0.0488,112,127,0
1764255600,0.0488,0.0491,0.0487,0.0489,158,127,0
1764259200,0.0489,0.0493,0.0489,0.0490,137,127,0
1764262800,0.0490,0.0493,0.0489,0.0492,119,127,0
1764266400,0.0493,0.0497,0.0492,0.0494,153,127,0
1764270000,0.0494,0.0498,0.0494,0.0497,155,127,0
1764273600,0.0498,0.0498,0.0494,0.0496,157,127,0
1764277200,0.0496,0.0498,0.0494,0.0496,151,127,0
1764280800,0.0497,0.0497,0.0494,0.0495,121,127,0
1764284400,0.0495,0.0495,0.0492,0.0493,85,127,0
1764288000,0.0493,0.0493,0.0486,0.0488,118,127,0
1764291600,0.0488,0.0489,0.0485,0.0486,126,127,0
1764295200,0.0486,0.0489,0.0484,0.0487,148,128,0
1764298800,0.0487,0.0487,0.0482,0.0482,148,127,0
1764302400,0.0482,0.0484,0.0480,0.0482,183,127,0
1764306000,0.0482,0.0484,0.0480,0.0483,139,127,0
1764309600,0.0483,0.0484,0.0481,0.0481,128,127,0
1764313200,0.0480,0.0481,0.0478,0.0480,112,127,0
