time,open,high,low,close,tick_volume,spread,real_volume
1611885600,84.97,87.03,84.97,86.42,268,0,0
1612144800,84.96,91.11,84.96,90.83,644,0,0
1612231200,91.94,94.31,91.30,93.78,419,0,0
1612317600,91.97,94.83,91.97,92.24,546,0,0
1612404000,93.22,94.15,92.81,93.71,220,0,0
1612490400,93.74,94.86,93.57,94.28,205,0,0
1612749600,94.92,97.21,94.77,96.11,370,0,0
1612836000,96.88,97.43,95.61,96.13,290,0,0
1612922400,96.76,96.93,95.63,95.80,165,0,0
1613008800,95.77,96.73,95.51,96.21,201,0,0
1613095200,96.47,98.32,96.27,97.81,277,0,0
1613354400,98.56,99.30,97.69,98.46,313,0,0
1613440800,98.93,100.13,98.60,98.80,294,0,0
1613527200,98.42,99.32,97.85,97.85,238,0,0
1613613600,99.79,99.79,97.99,98.32,214,0,0
1613700000,98.82,99.03,96.62,96.62,263,0,0
1613959200,95.73,98.10,95.73,95.90,458,0,0
1614045600,97.26,98.13,93.90,95.05,626,0,0
1614132000,94.36,96.03,93.85,95.63,310,0,0
1614218400,96.17,97.41,95.96,96.79,229,0,0
1614304800,95.69,98.18,95.38,95.65,557,0,0
1614564000,96.90,98.10,96.09,96.65,378,0,0
1614650400,96.97,98.87,96.64,97.07,437,0,0
1614736800,97.56,98.57,95.17,95.66,491,0,0
1614823200,97.96,97.96,93.72,95.10,563,0,0
1614909600,93.32,94.08,81.13,81.61,1420,0,0
1615168800,80.59,80.97,76.56,76.63,487,0,0
1615255200,76.03,79.18,74.35,78.58,712,0,0
1615341600,78.54,79.16,76.57,76.66,331,0,0
1615428000,76.54,77.94,75.74,77.15,380,0,0
1615514400,77.56,77.56,75.75,76.17,224,0,0
1615773600,76.29,76.81,75.18,75.55,253,0,0
1615860000,76.25,76.43,74.53,75.09,265,0,0
1615946400,75.09,76.16,72.30,72.52,516,0,0
1616032800,73.73,73.83,71.00,73.24,518,0,0
1616119200,73.83,73.84,71.16,71.94,348,0,0
1616378400,73.00,73.31,71.16,72.52,383,0,0
1616464800,72.23,73.34,71.62,72.69,299,0,0
1616551200,73.25,73.25,70.92,71.03,245,0,0
1616637600,71.50,71.84,69.94,70.70,301,0,0
1616724000,71.19,71.30,70.30,70.96,178,0,0
1616986800,71.50,71.50,69.46,69.96,255,0,0
1617073200,70.21,70.48,69.03,69.16,186,0,0
1617159600,69.17,69.69,68.95,69.48,118,0,0
1617246000,70.09,72.54,69.82,72.13,341,0,0
1617678000,72.50,74.61,71.93,73.69,418,0,0
1617764400,74.10,74.37,72.21,72.77,300,0,0
1617850800,73.25,74.15,72.97,73.93,169,0,0
1617937200,73.92,75.00,73.77,74.96,143,0,0
1618196400,74.71,75.23,73.83,75.23,229,0,0
1618282800,74.82,76.49,74.46,76.38,251,0,0
1618369200,76.55,77.77,76.03,77.49,255,0,0
1618455600,77.71,79.46,77.28,79.41,267,0,0
1618542000,78.98,79.40,76.89,77.02,307,0,0
1618801200,77.24,78.87,76.57,77.29,456,0,0
1618887600,77.28,77.55,76.59,76.78,143,0,0
1618974000,78.27,78.55,76.33,76.96,314,0,0
1619060400,76.33,77.62,76.00,77.11,247,0,0
1619146800,76.50,77.24,76.39,77.02,119,0,0
1619406000,78.45,78.45,75.84,76.34,312,0,0
1619492400,76.60,76.77,74.23,74.59,308,0,0
1619578800,75.57,76.66,73.92,75.90,516,0,0
1619665200,75.87,75.95,73.65,74.51,325,0,0
1619751600,74.49,75.05,73.74,73.89,203,0,0
1620097200,74.53,74.63,71.99,72.03,279,0,0
1620183600,71.84,72.83,71.55,72.29,212,0,0
1620270000,71.96,72.22,70.81,71.01,188,0,0
1620356400,71.25,72.28,71.25,71.85,147,0,0
1620615600,71.45,71.70,70.36,70.84,208,0,0
1620702000,70.18,70.50,69.04,70.27,284,0,0
1620788400,70.50,71.29,69.76,69.89,246,0,0
