time,open,high,low,close,tick_volume,spread,real_volume
1594288800,45.34,45.40,45.10,45.25,396,68,0
1594292400,45.25,45.32,45.01,45.26,544,67,0
1594296000,45.25,45.26,44.96,45.06,325,67,0
1594299600,45.05,45.08,44.67,44.69,274,67,0
1594303200,44.64,45.17,44.64,45.17,283,67,0
1594306800,45.17,45.50,45.05,45.47,413,67,0
1594310400,45.46,45.48,44.77,44.96,523,67,0
1594314000,44.95,44.95,44.07,44.24,1244,67,0
1594317600,44.23,44.23,43.49,43.88,3015,68,0
1594321200,43.88,44.07,43.55,43.72,1097,67,0
1594324800,43.68,43.86,43.41,43.60,435,67,0
1594328400,43.59,43.76,43.45,43.75,268,68,0
1594332000,43.75,43.75,42.99,43.57,513,67,0
1594335600,43.57,43.79,43.41,43.74,727,67,0
1594339200,42.84,44.03,42.81,43.90,5079,67,0
1594342800,43.89,44.06,43.79,43.95,763,67,0
1594346400,43.95,44.03,43.68,43.98,552,68,0
1594350000,43.99,44.04,43.66,43.69,676,68,0
1594353600,43.69,43.94,43.66,43.89,525,68,0
1594357200,43.89,43.97,43.63,43.88,481,67,0
1594360800,43.89,43.97,43.71,43.87,292,69,0
1594364400,43.87,43.89,42.98,43.32,545,68,0
1594368000,43.29,43.48,42.91,43.41,514,67,0
1594371600,43.41,43.60,43.37,43.37,250,67,0
1594375200,43.37,43.64,43.17,43.59,209,67,0
1594378800,43.59,44.23,43.59,44.01,966,67,0
1594382400,44.00,44.04,43.74,43.93,556,67,0
1594386000,43.94,44.00,43.68,43.86,564,67,0
1594389600,43.86,43.99,43.49,43.49,555,67,0
1594393200,43.51,43.85,43.51,43.78,525,68,0
1594396800,43.78,43.89,43.55,43.75,447,67,0
1594400400,43.73,43.91,43.44,43.89,395,67,0
1594404000,43.87,44.14,43.77,44.11,517,67,0
1594407600,44.11,44.13,43.78,43.86,533,67,0
1594411200,43.86,43.89,43.60,43.75,290,68,0
1594414800,43.74,43.79,43.60,43.75,227,67,0
1594418400,43.75,43.91,43.70,43.80,183,67,0
1594422000,43.80,43.89,43.65,43.74,405,67,0
1594598400,43.00,44.11,43.00,43.93,6470,69,0
1594602000,43.95,44.44,43.91,44.44,1928,67,0
1594605600,44.44,44.47,44.22,44.39,669,67,0
1594609200,44.39,44.48,44.14,44.27,921,67,0
1594612800,44.28,44.41,44.17,44.29,696,67,0
1594616400,44.28,44.38,44.12,44.34,434,67,0
1594620000,44.34,44.42,44.22,44.27,245,67,0
1594623600,44.27,44.40,44.19,44.25,223,67,0
1594627200,44.25,44.55,44.25,44.53,154,69,0
1594630800,44.53,44.65,44.32,44.39,364,68,0
1594634400,44.39,44.57,44.38,44.51,528,69,0
1594638000,44.51,44.94,44.50,44.84,1063,67,0
1594641600,44.85,44.91,44.61,44.75,502,67,0
