time,open,high,low,close,tick_volume,spread,real_volume
1148526000,40.30,46.05,40.20,46.00,601,0,0
1148612400,46.30,46.74,44.11,44.93,390,0,0
1148958000,44.97,44.98,42.85,44.00,330,0,0
1149044400,44.35,45.36,44.35,44.94,144,0,0
1149130800,44.93,48.10,44.90,47.51,383,0,0
1149217200,48.50,48.70,46.79,46.99,232,0,0
1149476400,47.05,49.25,47.00,49.15,241,0,0
1149562800,49.98,50.63,47.80,48.30,399,0,0
1149649200,48.33,48.40,46.75,47.60,258,0,0
1149735600,47.60,47.72,45.50,47.72,433,0,0
1149822000,48.80,48.80,47.68,47.78,123,0,0
1150081200,48.00,48.25,46.30,46.95,286,0,0
1150167600,46.20,47.35,45.30,45.50,341,0,0
1150254000,44.90,45.45,44.44,45.12,181,0,0
1150340400,45.40,46.12,45.13,45.95,144,0,0
1150426800,45.50,46.00,45.00,45.02,153,0,0
1150686000,45.45,45.45,44.10,44.34,160,0,0
1150772400,44.74,45.00,43.47,44.02,235,0,0
1150858800,44.02,45.88,44.00,45.30,249,0,0
1150945200,46.40,46.95,45.88,46.60,195,0,0
1151031600,46.99,47.93,46.87,46.95,209,0,0
1151290800,46.95,47.50,46.43,47.50,160,0,0
1151377200,47.50,48.03,47.25,47.31,138,0,0
1151463600,46.85,47.40,46.50,46.96,170,0,0
1151550000,46.95,48.09,46.95,48.00,124,0,0
1151636400,47.65,48.00,46.60,48.00,246,0,0
1151895600,47.90,48.00,46.81,47.30,179,0,0
1152068400,47.40,47.84,46.71,47.60,207,0,0
1152154800,47.25,47.35,46.79,46.80,68,0,0
1152241200,46.75,46.85,45.75,46.12,158,0,0
1152500400,46.20,46.57,46.12,46.49,62,0,0
1152586800,46.49,46.49,45.30,46.35,225,0,0
1152673200,46.40,46.40,45.54,45.55,88,0,0
1152759600,45.18,45.18,44.30,44.72,131,0,0
1152846000,44.62,44.68,43.90,43.95,90,0,0
1153105200,43.91,44.17,43.75,43.99,77,0,0
1153191600,43.99,44.10,43.67,43.90,78,0,0
1153278000,43.91,45.45,43.80,45.28,194,0,0
1153364400,45.40,45.78,45.10,45.55,122,0,0
1153450800,45.55,45.55,44.77,45.28,130,0,0
1153710000,45.45,45.53,44.99,45.00,64,0,0
1153796400,45.20,46.40,45.16,46.08,161,0,0
1153882800,46.14,47.85,45.80,46.68,357,0,0
1153969200,46.90,47.17,46.52,46.52,93,0,0
1154055600,46.51,46.80,46.26,46.30,88,0,0
1154314800,46.30,46.41,45.86,45.87,68,0,0
1154401200,45.92,45.92,44.70,45.00,153,0,0
1154487600,47.99,50.05,47.31,50.02,346,0,0
1154574000,49.13,50.24,48.65,49.99,233,0,0
1154660400,50.30,51.50,49.99,50.05,278,0,0
1154919600,50.50,51.30,50.25,51.10,151,0,0
1155006000,51.10,52.67,51.05,52.57,178,0,0
1155092400,53.00,54.50,52.00,52.85,486,0,0
1155178800,52.20,53.91,52.10,53.56,227,0,0
1155265200,53.50,54.45,53.25,53.68,223,0,0
1155524400,53.75,54.54,53.52,54.23,157,0,0
1155610800,54.70,54.93,54.26,54.49,114,0,0
1155697200,54.65,55.43,54.16,54.27,217,0,0
1155783600,54.20,54.24,53.19,53.46,137,0,0
1155870000,53.10,53.65,52.46,53.45,204,0,0
1156129200,53.30,55.55,52.80,54.26,455,0,0
1156215600,54.20,55.50,54.20,55.23,158,0,0
1156302000,55.48,55.75,54.54,54.60,155,0,0
1156388400,54.90,55.85,54.82,55.65,132,0,0
1156474800,55.75,55.85,54.93,55.00,110,0,0
1156734000,54.85,55.45,54.77,55.02,120,0,0
1156820400,55.25,55.65,55.16,55.35,89,0,0
1156906800,55.48,55.78,55.17,55.25,100,0,0
1156993200,55.25,56.17,55.25,55.90,120,0,0
1157079600,55.97,57.50,55.97,56.55,249,0,0
1157425200,56.90,57.24,56.25,56.85,194,0,0
1157511600,56.90,58.88,56.57,58.88,265,0,0
1157598000,58.51,60.87,58.50,60.12,314,0,0
1157684400,61.00,61.25,59.29,59.75,268,0,0
1157943600,59.75,61.99,59.60,61.87,267,0,0
1158030000,60.99,62.15,60.99,62.10,122,0,0
1158116400,62.00,62.30,60.90,61.35,216,0,0
1158202800,60.85,63.25,60.70,62.79,317,0,0
1158289200,62.79,65.20,62.79,64.97,265,0,0
1158548400,65.74,67.55,64.30,65.12,589,0,0
1158634800,65.00,66.15,64.30,64.84,355,0,0
1158721200,65.10,66.70,64.50,66.55,296,0,0
1158807600,67.53,69.60,67.01,69.05,367,0,0
1158894000,69.00,69.50,65.08,65.93,578,0,0
1159153200,65.25,65.70,62.20,64.40,616,0,0
1159239600,63.40,67.33,62.76,66.00,655,0,0
1159326000,67.00,67.90,65.45,67.84,407,0,0
1159412400,67.65,68.91,67.65,68.65,153,0,0
1159498800,68.47,70.45,67.56,70.35,391,0,0
1159758000,70.35,70.35,69.66,69.96,100,0,0
1159844400,68.40,70.90,68.40,69.68,373,0,0
1159930800,70.00,70.41,68.75,69.62,295,0,0
1160017200,69.78,72.90,69.01,72.59,498,0,0
1160103600,72.40,75.85,72.01,75.15,494,0,0
1160362800,71.90,73.23,70.95,72.80,367,0,0
1160449200,71.15,73.25,70.50,71.91,475,0,0
1160535600,70.95,71.00,68.28,69.50,400,0,0
1160622000,69.10,70.82,68.72,70.41,290,0,0
1160708400,71.00,71.70,69.82,70.09,286,0,0
1160967600,70.00,71.71,69.85,71.30,243,0,0
1161054000,71.10,71.20,69.27,69.50,227,0,0
1161140400,69.61,71.18,69.54,70.45,245,0,0
1161226800,70.45,72.90,69.75,72.33,443,0,0
1161313200,72.80,72.85,71.00,71.22,213,0,0
1161572400,71.35,71.62,69.80,70.25,255,0,0
1161658800,70.15,71.50,69.92,71.20,212,0,0
1161745200,71.25,71.25,70.50,70.75,101,0,0
1161831600,70.85,74.00,69.89,72.20,688,0,0
1161918000,71.00,73.00,69.00,72.64,637,0,0
1162173600,72.62,73.60,71.75,72.54,363,0,0
1162260000,72.70,76.25,71.94,74.10,723,0,0
1162346400,81.75,87.50,81.75,85.07,819,0,0
1162432800,83.82,88.08,82.50,87.60,739,0,0
1162519200,87.66,89.75,86.77,89.51,412,0,0
1162778400,90.00,97.14,89.99,96.30,801,0,0
1162864800,95.74,96.17,92.40,92.50,431,0,0
1162951200,92.00,92.00,88.05,88.44,435,0,0
1163037600,91.30,92.35,88.20,88.20,521,0,0
1163124000,88.64,90.50,87.76,89.20,493,0,0
1163383200,93.71,97.99,93.29,96.55,657,0,0
1163469600,96.80,97.24,94.39,95.20,411,0,0
1163556000,95.21,99.65,95.00,95.30,922,0,0
1163642400,96.25,97.20,93.90,94.52,488,0,0
1163728800,93.35,95.38,92.06,94.79,521,0,0
1163988000,93.98,96.21,93.72,96.19,278,0,0
1164074400,96.99,100.83,96.50,100.60,506,0,0
1164160800,101.75,103.93,100.82,103.26,472,0,0
1164333600,101.90,105.85,100.50,105.48,713,0,0
1164592800,106.00,108.60,98.99,98.99,1222,0,0
1164679200,97.50,101.00,95.50,100.75,776,0,0
1164765600,102.38,102.68,96.85,99.20,849,0,0
1164852000,99.27,102.02,96.52,101.75,853,0,0
1164938400,102.22,102.45,99.09,101.17,568,0,0
1165197600,101.00,101.49,99.25,100.08,357,0,0
1165284000,100.00,102.25,99.00,99.25,576,0,0
1165370400,101.19,102.00,98.50,99.13,495,0,0
1165456800,99.30,100.93,98.62,99.68,425,0,0
1165543200,99.68,100.80,98.93,100.10,333,0,0
1165802400,100.10,102.24,98.94,99.10,561,0,0
1165888800,98.71,99.10,94.27,95.75,671,0,0
1165975200,96.98,97.65,95.03,95.77,404,0,0
1166061600,95.77,96.48,94.80,95.60,320,0,0
1166148000,96.32,96.33,95.35,96.19,184,0,0
1166407200,96.00,96.00,92.55,92.90,381,0,0
1166493600,92.45,97.52,90.50,97.40,910,0,0
1166580000,97.40,99.45,96.25,97.51,630,0,0
1166666400,95.81,96.35,93.89,95.71,483,0,0
1166752800,95.70,97.00,95.18,96.35,300,0,0
1167098400,96.50,96.75,94.38,95.14,339,0,0
1167184800,94.90,99.49,94.50,99.37,552,0,0
1167271200,99.79,99.79,97.56,98.96,364,0,0
1167357600,98.80,99.62,98.26,98.49,242,0,0
1167789600,99.55,99.68,95.63,96.41,497,0,0
1167876000,96.90,101.85,95.30,101.14,887,0,0
1167962400,100.99,102.20,99.00,101.06,634,0,0
1168221600,99.01,102.25,99.00,101.08,444,0,0
1168308000,101.10,105.75,100.60,105.74,567,0,0
1168394400,105.62,106.50,103.00,104.74,613,0,0
1168480800,105.20,108.03,103.54,105.50,869,0,0
1168567200,105.75,107.25,104.85,105.25,431,0,0
1168912800,105.30,107.47,104.63,106.00,499,0,0
1168999200,107.00,110.22,105.77,109.04,687,0,0
1169085600,109.95,109.99,101.80,102.49,893,0,0
1169172000,102.50,105.35,102.00,105.03,418,0,0
1169431200,105.99,108.00,104.50,107.61,539,0,0
1169517600,108.71,109.14,107.02,108.41,395,0,0
1169604000,108.90,113.08,108.70,111.42,625,0,0
1169690400,112.25,112.28,106.97,107.87,625,0,0
1169776800,109.19,109.88,106.50,108.52,610,0,0
1170036000,109.00,111.00,108.70,109.74,387,0,0
1170122400,109.64,111.61,109.24,110.75,364,0,0
1170208800,111.05,112.17,110.75,111.55,235,0,0
1170295200,112.14,112.98,111.61,111.92,253,0,0
1170381600,112.49,112.70,110.60,110.96,268,0,0
1170640800,110.50,110.95,109.89,110.25,188,0,0
1170727200,110.74,111.54,109.90,110.55,310,0,0
1170813600,110.50,112.63,110.33,111.90,321,0,0
1170900000,112.00,115.43,111.05,114.74,603,0,0
1170986400,118.03,118.07,99.63,103.60,2246,0,0
1171245600,101.97,102.75,98.61,102.08,818,0,0
1171332000,104.00,105.04,102.86,104.69,368,0,0
1171418400,104.21,108.82,104.10,108.02,564,0,0
1171504800,108.00,108.80,107.09,108.04,339,0,0
1171591200,108.01,109.12,106.05,108.32,584,0,0
