time,open,high,low,close,tick_volume,spread,real_volume
946864800,39.94,40.06,38.94,39.63,194,0,0
946951200,39.31,39.56,38.38,38.81,187,0,0
947037600,38.81,40.38,38.81,39.44,252,0,0
947124000,39.13,39.38,38.69,38.88,114,0,0
947210400,39.00,40.00,38.88,39.88,137,0,0
947469600,40.00,41.00,39.75,40.06,245,0,0
947556000,40.13,41.50,40.13,41.00,188,0,0
947642400,40.94,43.06,40.63,42.75,306,0,0
947728800,42.69,43.63,41.88,42.31,313,0,0
947815200,42.81,42.81,41.88,42.61,167,0,0
948160800,42.38,42.50,41.19,41.50,175,0,0
948247200,41.00,42.63,41.00,42.38,189,0,0
948333600,42.56,42.56,41.00,42.56,313,0,0
948420000,41.63,41.88,40.44,41.06,232,0,0
948679200,41.25,41.44,39.50,39.50,214,0,0
948765600,39.75,40.25,39.19,39.81,207,0,0
948852000,39.63,39.63,34.69,35.75,601,0,0
948938400,36.00,37.94,35.88,37.63,250,0,0
949024800,37.13,37.44,36.38,36.75,175,0,0
949284000,37.25,38.00,37.13,37.38,162,0,0
949370400,37.44,37.56,36.50,36.63,132,0,0
949456800,36.63,36.75,35.38,35.50,162,0,0
949543200,35.56,36.19,34.44,35.00,295,0,0
949629600,35.88,35.88,34.63,35.13,176,0,0
949888800,35.25,35.63,34.00,34.94,296,0,0
949975200,36.00,37.63,35.50,36.31,396,0,0
950061600,36.69,36.69,35.38,35.88,182,0,0
950148000,35.50,36.25,35.13,35.50,225,0,0
950234400,35.06,35.44,34.81,34.94,115,0,0
950493600,35.31,35.31,33.31,33.88,258,0,0
950580000,33.75,34.13,33.44,33.75,139,0,0
950666400,33.75,34.44,33.25,33.38,202,0,0
950752800,33.56,34.06,33.38,33.75,118,0,0
950839200,33.56,33.69,32.31,32.50,171,0,0
951184800,32.25,33.19,32.19,32.31,195,0,0
951271200,32.44,33.38,32.38,32.63,182,0,0
951357600,32.13,32.38,31.00,31.37,201,0,0
951444000,31.50,31.81,30.75,31.00,163,0,0
951703200,31.25,31.69,30.62,31.12,202,0,0
951789600,31.75,32.44,31.56,31.75,177,0,0
951876000,31.87,31.94,31.12,31.25,103,0,0
951962400,31.12,31.44,30.75,30.87,114,0,0
952048800,31.00,32.31,30.56,32.31,220,0,0
952308000,32.50,32.50,31.12,31.56,183,0,0
952394400,31.50,31.56,29.81,29.87,188,0,0
952480800,30.37,31.25,30.00,30.75,213,0,0
952567200,30.62,32.00,30.00,32.00,263,0,0
952653600,31.44,32.38,31.00,31.75,246,0,0
952912800,32.00,32.44,31.31,32.44,183,0,0
952999200,32.44,32.50,30.06,30.50,295,0,0
953085600,30.69,32.88,30.44,32.50,308,0,0
953172000,33.38,34.38,32.75,34.06,259,0,0
953258400,35.00,35.19,33.75,33.81,170,0,0
953517600,34.25,34.88,34.13,34.56,120,0,0
953604000,34.75,35.50,34.50,35.25,151,0,0
953690400,35.25,35.75,35.00,35.25,151,0,0
953776800,34.00,35.94,33.94,35.19,282,0,0
953863200,35.13,35.94,34.69,34.81,219,0,0
954126000,34.19,35.19,34.13,34.75,157,0,0
954212400,34.00,35.38,34.00,35.13,164,0,0
954298800,34.88,37.06,34.81,36.81,258,0,0
954385200,36.81,38.25,36.81,37.63,207,0,0
954471600,37.88,37.94,36.81,37.38,177,0,0
954730800,37.81,38.63,37.56,38.50,146,0,0
954817200,38.69,39.31,37.69,38.53,309,0,0
954903600,38.00,38.63,37.25,38.56,221,0,0
954990000,37.75,38.06,36.88,37.00,162,0,0
955076400,36.38,37.31,36.13,37.00,175,0,0
955335600,36.88,36.94,35.88,36.38,163,0,0
955422000,36.13,37.75,35.88,37.69,219,0,0
955508400,37.25,38.19,36.31,36.31,283,0,0
955594800,36.00,36.00,34.13,34.13,188,0,0
955681200,33.56,34.81,33.00,33.56,363,0,0
955940400,33.50,34.13,33.06,33.69,196,0,0
956026800,33.75,33.81,31.94,32.50,250,0,0
956113200,32.94,33.19,32.50,33.06,127,0,0
956199600,34.00,36.00,33.75,35.81,270,0,0
956545200,35.25,39.00,35.13,39.00,400,0,0
956631600,38.94,39.44,38.19,38.75,232,0,0
956718000,38.38,39.38,38.38,38.88,151,0,0
956804400,38.13,39.13,38.06,38.81,147,0,0
956890800,38.56,38.75,37.56,38.06,189,0,0
957150000,38.00,39.31,38.00,38.88,175,0,0
957236400,38.38,39.63,38.31,39.19,184,0,0
957322800,38.25,38.69,37.06,37.31,233,0,0
957409200,36.63,36.69,35.56,35.75,139,0,0
957495600,35.50,36.19,35.00,35.69,220,0,0
957754800,35.75,36.13,35.19,35.81,183,0,0
957841200,36.25,37.19,36.19,37.00,126,0,0
957927600,37.19,38.81,37.13,38.63,193,0,0
958014000,38.50,38.81,38.13,38.19,106,0,0
958100400,38.25,38.25,37.25,37.56,132,0,0
958359600,37.44,38.56,37.38,38.19,162,0,0
958446000,38.81,39.25,38.44,39.19,125,0,0
958532400,38.69,39.31,38.31,39.06,164,0,0
958618800,38.81,39.06,38.56,38.63,83,0,0
958705200,37.81,38.75,37.63,37.81,225,0,0
958964400,37.88,39.13,37.81,38.88,165,0,0
959050800,38.38,39.25,37.75,39.13,226,0,0
959137200,39.13,39.94,38.13,38.75,325,0,0
959223600,38.00,38.56,37.13,37.31,218,0,0
959310000,37.25,37.94,37.19,37.75,101,0,0
959655600,37.00,37.06,35.94,36.56,181,0,0
959742000,36.00,36.56,35.31,35.81,232,0,0
959828400,35.56,35.81,35.25,35.63,106,0,0
959914800,36.13,36.31,35.19,36.13,225,0,0
960174000,36.00,36.00,35.25,35.50,101,0,0
960260400,35.13,35.63,34.88,35.13,151,0,0
960346800,35.13,35.31,34.31,34.88,176,0,0
960433200,34.50,35.75,34.50,35.44,157,0,0
960519600,35.50,36.00,31.62,33.88,715,0,0
960778800,33.25,33.31,32.00,32.63,201,0,0
960865200,32.25,33.19,32.06,32.38,214,0,0
960951600,32.00,33.00,31.62,31.75,252,0,0
961038000,31.75,32.31,31.62,32.13,101,0,0
961124400,32.50,32.56,31.31,31.31,132,0,0
961383600,31.87,32.06,31.06,31.50,164,0,0
961470000,31.69,31.75,31.00,31.50,132,0,0
961556400,31.25,31.75,31.06,31.31,133,0,0
961642800,31.25,31.56,31.12,31.44,70,0,0
961729200,31.69,33.19,31.50,32.63,245,0,0
961988400,32.94,33.63,32.88,33.44,101,0,0
962074800,33.25,33.50,32.63,32.69,119,0,0
962161200,32.50,32.81,32.00,32.22,135,0,0
962247600,31.94,31.94,31.06,31.25,108,0,0
962334000,31.50,33.05,31.44,32.94,179,0,0
962593200,33.19,33.38,32.25,32.50,158,0,0
962766000,32.50,32.56,31.62,31.81,120,0,0
962852400,32.06,32.56,32.06,32.19,88,0,0
962938800,32.25,33.50,32.00,32.50,276,0,0
963198000,33.38,33.44,32.19,32.25,138,0,0
963284400,32.88,33.06,32.25,32.56,131,0,0
963370800,32.63,32.63,32.00,32.00,64,0,0
963457200,32.44,32.44,31.00,31.50,195,0,0
963543600,31.31,31.56,31.12,31.37,83,0,0
963802800,31.50,31.56,31.12,31.31,70,0,0
963889200,31.31,31.62,31.00,31.31,125,0,0
963975600,31.31,31.44,31.00,31.37,83,0,0
964062000,31.50,32.00,31.31,31.69,120,0,0
964148400,31.87,31.87,30.56,30.87,163,0,0
964407600,30.87,31.19,30.12,30.25,153,0,0
964494000,31.00,31.37,30.06,31.31,232,0,0
964580400,32.00,33.25,31.69,31.69,282,0,0
964666800,33.00,33.75,32.06,32.19,258,0,0
964753200,32.31,32.81,32.00,32.00,132,0,0
965012400,32.44,32.63,31.44,31.69,164,0,0
965098800,31.87,32.63,31.81,32.63,89,0,0
965185200,32.56,33.56,32.56,33.44,113,0,0
965271600,33.63,33.94,33.19,33.25,113,0,0
965358000,33.13,33.69,33.00,33.38,114,0,0
965617200,33.56,34.25,33.50,33.69,138,0,0
965703600,34.00,34.13,33.06,33.50,165,0,0
965790000,32.81,33.19,32.25,32.69,177,0,0
965876400,32.94,33.06,32.63,32.81,74,0,0
965962800,32.94,33.63,32.88,33.44,101,0,0
966222000,33.44,33.44,33.00,33.31,76,0,0
966308400,33.44,33.63,32.25,32.44,177,0,0
966394800,32.44,32.56,32.06,32.38,95,0,0
966481200,32.13,32.38,31.00,31.25,189,0,0
