time,open,high,low,close,tick_volume,spread,real_volume
1663599600,642.75,642.75,642.75,642.75,1,0,0
1665568800,615.84,624.39,614.09,621.89,1335,22,0
1665572400,621.69,627.29,620.84,625.24,1874,22,0
1665576000,625.29,630.09,624.69,625.99,1866,22,0
1665579600,625.94,626.79,620.04,622.04,2277,22,0
1665583200,621.99,623.49,620.29,623.24,2013,22,0
1665586800,623.29,625.24,619.54,620.44,3444,22,0
1665590400,620.39,625.54,618.59,625.39,4006,22,0
1665594000,625.44,626.44,621.34,623.09,4095,22,0
1665597600,623.09,624.09,622.24,622.79,1353,22,0
1665655200,618.84,619.24,613.99,614.14,2592,22,0
1665658800,614.19,614.19,610.14,612.14,2529,22,0
1665662400,612.14,614.74,611.94,612.84,2329,22,0
1665666000,612.89,615.94,612.49,614.79,1494,22,0
1665669600,614.84,619.69,614.44,617.49,2911,22,0
1665673200,617.54,619.34,595.34,600.14,7172,22,0
1665676800,600.09,603.19,596.14,601.14,6621,22,0
1665680400,601.09,610.64,599.99,608.69,6783,22,0
1665684000,608.64,621.04,608.49,620.74,3117,22,0
1665741600,627.09,631.24,619.79,624.29,4127,22,0
1665745200,624.34,624.94,618.14,618.34,3577,22,0
1665748800,618.24,621.29,617.24,620.49,3398,22,0
1665752400,620.54,628.34,620.54,627.94,3524,22,0
1665756000,627.84,629.64,626.84,627.54,2429,22,0
1665759600,627.59,640.49,627.04,637.29,3149,22,0
1665763200,637.34,641.44,634.44,635.34,4582,22,0
1665766800,635.24,635.24,626.89,629.39,6566,22,0
1665770400,629.44,632.24,624.84,628.19,2366,22,0
1666000800,624.44,625.39,613.99,620.59,2147,22,0
1666004400,620.54,623.19,616.99,621.59,1753,22,0
1666008000,621.64,625.84,619.99,625.39,1674,22,0
1666011600,625.34,627.94,620.74,624.14,2555,22,0
1666015200,624.14,625.54,622.79,625.19,2294,22,0
1666018800,625.14,629.94,624.59,629.44,2575,22,0
1666022400,629.49,639.89,629.49,637.94,3795,22,0
1666026000,638.04,641.69,635.69,637.14,3666,22,0
1666029600,637.24,638.49,636.04,637.99,1545,22,0
1666087200,644.49,644.64,636.19,643.29,3527,22,0
1666090800,643.24,644.74,638.99,639.99,2937,22,0
1666094400,639.94,640.99,632.74,635.74,3214,22,0
1666098000,635.69,636.54,633.14,635.69,2363,22,0
1666101600,635.74,640.94,635.54,640.54,2501,22,0
1666105200,640.39,644.99,640.19,644.54,2688,22,0
1666108800,644.64,646.49,641.39,642.94,3243,22,0
1666112400,642.89,643.64,637.59,637.84,3310,22,0
1666116000,637.79,639.44,634.54,635.89,1844,22,0
1666173600,636.59,636.59,630.44,632.29,3424,22,0
1666177200,632.24,635.29,630.59,635.19,2825,22,0
1666180800,635.14,640.84,634.64,640.54,2062,22,0
1666184400,640.49,640.69,634.84,635.59,2174,22,0
1666188000,635.74,636.44,632.24,633.89,2309,22,0
1666191600,633.84,634.44,628.99,631.64,2546,22,0
1666195200,631.64,632.59,626.94,627.74,3379,22,0
1666198800,627.69,632.54,626.44,626.84,3232,22,0
1666202400,626.74,627.69,625.04,626.04,1238,22,0
1666260000,629.44,636.59,624.19,624.44,3039,22,0
1666263600,624.49,625.84,622.64,622.74,2830,22,0
1666267200,622.79,627.84,622.69,625.34,2199,22,0
1666270800,625.39,630.19,623.44,628.44,2073,22,0
1666274400,628.34,630.34,626.54,628.89,2220,22,0
1666278000,628.84,632.59,625.89,626.19,4604,22,0
1666281600,626.24,630.04,625.29,629.09,4333,22,0
1666285200,629.09,635.69,628.89,633.99,4338,22,0
1666288800,634.04,634.74,631.34,632.44,1426,22,0
1666346400,623.94,625.74,619.89,622.84,3572,22,0
1666350000,622.69,626.44,621.24,626.34,3159,22,0
1666353600,626.39,628.44,623.24,627.34,3565,22,0
1666357200,627.29,628.24,625.99,626.89,2523,22,0
1666360800,626.94,627.69,623.09,623.54,2459,22,0
1666364400,623.59,626.84,621.74,626.14,3476,22,0
1666368000,626.09,634.89,626.09,634.79,7696,22,0
1666371600,634.79,636.79,628.24,628.79,7013,22,0
1666375200,628.74,630.74,627.84,629.99,2580,22,0
1666605600,631.14,634.74,623.39,631.19,4600,22,0
1666609200,631.14,632.24,625.94,628.84,2957,22,0
1666612800,628.79,634.24,626.39,634.19,2207,22,0
1666616400,634.24,639.74,634.04,639.59,3022,22,0
1666620000,639.59,644.49,637.49,642.54,2859,22,0
1666623600,642.49,642.69,637.19,642.09,2937,22,0
1666627200,642.14,642.79,638.24,641.29,5683,22,0
1666630800,641.34,641.34,634.14,636.49,4991,22,0
1666634400,636.49,637.19,633.94,635.14,2002,22,0
1666692000,638.79,642.84,637.04,639.79,3651,22,0
1666695600,639.84,641.94,638.14,640.94,2891,22,0
1666699200,640.89,642.44,638.79,641.44,2368,22,0
1666702800,641.39,643.79,641.04,642.34,2321,22,0
1666706400,642.39,642.74,640.34,641.64,1384,22,0
1666710000,641.59,642.24,638.09,638.34,2110,22,0
1666713600,638.29,650.24,638.29,650.24,3501,22,0
1666717200,650.29,657.54,649.49,652.79,4082,22,0
1666720800,652.84,658.44,652.19,657.89,1214,22,0
1666778400,659.04,661.64,655.84,659.89,3982,22,0
1666782000,659.94,663.54,659.34,660.14,3475,22,0
1666785600,660.04,660.19,656.09,656.84,3193,22,0
1666789200,656.84,659.24,655.99,656.79,2692,22,0
1666792800,656.74,657.49,653.74,653.84,1716,22,0
1666796400,653.74,656.09,650.89,651.84,2775,22,0
1666800000,651.74,655.24,651.64,653.44,3646,22,0
1666803600,653.54,659.59,653.54,658.24,4277,22,0
1666807200,658.29,663.44,658.29,662.69,1410,22,0
1666864800,657.94,658.99,654.94,656.19,3897,22,0
1666868400,656.14,661.54,655.09,660.44,2627,22,0
1666872000,660.54,661.34,657.24,657.84,2143,22,0
1666875600,657.89,658.44,656.14,657.44,2062,22,0
1666879200,657.54,657.89,652.04,653.09,2206,22,0
1666882800,653.14,660.34,651.49,657.99,5344,22,0
1666886400,658.04,663.19,656.04,656.44,5671,22,0
