time,open,high,low,close,tick_volume,spread,real_volume
992487600,31.00,31.00,29.50,30.15,216,0,0
992574000,30.00,30.75,29.95,30.60,101,0,0
992833200,30.06,30.60,30.06,30.32,83,0,0
992919600,30.60,30.71,30.21,30.40,81,0,0
993006000,30.40,30.59,30.18,30.30,73,0,0
993092400,30.35,30.35,30.00,30.00,36,0,0
993178800,30.00,30.02,29.76,30.00,53,0,0
993438000,30.00,30.15,29.85,30.15,46,0,0
993524400,30.00,30.08,29.81,30.04,51,0,0
993610800,29.95,30.00,29.81,29.94,38,0,0
993697200,29.98,30.44,29.97,30.41,52,0,0
993783600,30.50,31.00,30.33,31.00,85,0,0
994042800,30.70,30.70,30.42,30.47,34,0,0
994129200,30.46,30.64,30.42,30.56,35,0,0
994302000,30.75,31.03,30.63,30.93,63,0,0
994388400,30.98,30.98,30.50,30.65,64,0,0
994647600,30.60,30.74,30.25,30.38,77,0,0
994734000,30.45,30.85,30.28,30.35,105,0,0
994820400,30.36,30.36,30.00,30.30,67,0,0
994906800,30.65,30.90,30.20,30.90,116,0,0
994993200,30.90,30.98,30.46,30.73,88,0,0
995252400,30.73,31.01,30.65,30.71,71,0,0
995338800,30.89,31.45,30.85,31.45,65,0,0
995425200,31.45,31.50,30.80,31.49,137,0,0
995511600,31.74,31.74,30.19,31.32,269,0,0
995598000,31.25,31.34,31.01,31.20,62,0,0
995857200,31.10,31.19,30.92,31.00,45,0,0
995943600,31.18,31.19,30.90,31.07,48,0,0
996030000,31.00,31.00,30.51,30.70,69,0,0
996116400,30.95,31.19,30.62,31.12,98,0,0
996202800,31.20,31.20,30.81,30.91,50,0,0
996462000,31.09,31.10,30.50,30.60,72,0,0
996548400,30.50,31.16,30.50,30.95,88,0,0
996634800,30.90,31.01,30.58,30.78,75,0,0
996721200,30.70,31.17,30.65,30.95,80,0,0
996807600,30.86,30.98,30.50,30.70,81,0,0
997066800,30.71,30.84,30.25,30.35,83,0,0
997153200,30.45,30.54,30.28,30.50,48,0,0
997239600,30.70,30.70,30.00,30.01,72,0,0
997326000,30.05,30.37,30.00,30.37,43,0,0
997412400,30.25,31.12,30.15,30.80,140,0,0
997671600,30.96,31.19,30.92,31.10,41,0,0
997758000,31.20,31.25,31.00,31.10,41,0,0
997844400,31.10,31.20,30.97,30.98,35,0,0
997930800,30.98,31.27,30.95,31.15,48,0,0
998017200,31.15,31.35,30.91,31.35,69,0,0
998276400,31.39,31.76,31.27,31.72,66,0,0
998362800,31.95,32.10,31.75,32.08,58,0,0
998449200,32.80,33.01,32.42,32.90,109,0,0
998535600,32.89,32.94,32.57,32.89,75,0,0
998622000,32.89,32.89,32.35,32.35,55,0,0
998881200,32.00,32.47,32.00,32.30,65,0,0
998967600,32.50,32.58,31.75,31.90,107,0,0
999054000,31.90,32.29,31.58,32.29,104,0,0
999140400,32.09,32.65,32.05,32.65,65,0,0
999226800,32.65,32.98,32.19,32.25,119,0,0
999572400,32.70,33.29,32.20,33.05,184,0,0
999658800,33.00,33.35,32.87,33.35,62,0,0
999745200,33.40,34.80,33.35,34.00,231,0,0
999831600,33.50,34.20,33.44,34.00,103,0,0
1000090800,33.75,33.88,33.29,33.75,119,0,0
1000695600,33.15,34.27,32.77,32.90,276,0,0
1000782000,32.95,33.38,32.90,32.90,92,0,0
1000868400,32.95,33.05,31.93,32.40,170,0,0
1000954800,32.20,32.69,32.00,32.53,106,0,0
1001041200,31.50,32.00,31.00,32.00,151,0,0
1001300400,32.28,33.50,32.28,33.50,123,0,0
1001386800,33.50,33.50,32.69,33.30,143,0,0
1001473200,33.40,33.42,32.96,33.30,83,0,0
1001559600,33.25,33.60,33.25,33.51,45,0,0
1001646000,33.75,34.81,33.70,34.37,161,0,0
1001905200,34.60,34.62,33.72,33.92,113,0,0
1001991600,33.92,34.23,33.75,34.15,74,0,0
1002078000,34.20,34.93,34.15,34.70,107,0,0
1002164400,34.00,34.32,33.82,34.00,101,0,0
1002250800,33.85,33.90,33.50,33.73,69,0,0
1002510000,33.73,34.00,33.50,33.90,84,0,0
1002596400,33.70,34.00,33.60,33.95,56,0,0
1002682800,33.90,34.05,33.82,33.97,40,0,0
1002769200,33.97,33.99,32.40,33.00,222,0,0
1002855600,33.05,33.40,32.84,33.40,78,0,0
1003114800,33.15,33.77,33.13,33.35,109,0,0
1003201200,33.40,33.62,32.59,33.60,187,0,0
1003287600,34.00,34.06,33.45,34.00,123,0,0
1003374000,34.10,34.46,33.95,34.01,94,0,0
1003460400,34.00,34.70,33.96,34.52,97,0,0
1003719600,34.60,35.28,34.56,35.26,79,0,0
1003806000,35.30,35.57,35.26,35.39,54,0,0
1003892400,35.00,35.11,34.92,35.10,29,0,0
1003978800,34.75,35.00,34.61,34.90,64,0,0
1004065200,34.91,35.01,34.15,34.30,112,0,0
1004320800,34.35,34.39,33.53,33.53,91,0,0
1004407200,33.45,33.91,33.40,33.70,78,0,0
1004493600,33.85,34.19,33.63,33.75,103,0,0
1004580000,33.65,33.81,33.30,33.75,93,0,0
1004666400,33.85,34.86,33.55,34.50,198,0,0
1004925600,34.30,34.62,34.01,34.20,113,0,0
1005012000,34.10,34.68,34.08,34.68,63,0,0
1005098400,34.48,35.00,34.30,34.35,128,0,0
1005184800,34.55,35.10,34.37,35.03,99,0,0
1005271200,34.55,34.68,34.42,34.46,44,0,0
1005530400,34.48,34.70,34.30,34.42,75,0,0
1005616800,34.40,34.49,33.81,33.90,87,0,0
1005703200,33.80,34.21,33.57,33.95,114,0,0
1005789600,33.95,34.09,33.54,34.05,101,0,0
1005876000,34.10,34.15,33.75,34.00,71,0,0
1006135200,34.25,34.25,33.30,33.30,96,0,0
1006221600,33.10,33.40,32.78,33.28,107,0,0
1006308000,33.25,34.04,33.21,33.90,102,0,0
1006480800,34.00,34.00,33.57,33.71,58,0,0
1006740000,33.52,33.68,33.09,33.25,92,0,0
1006826400,33.00,33.10,32.68,32.86,71,0,0
1006912800,33.00,33.28,32.84,32.95,84,0,0
1006999200,33.09,33.97,32.90,33.81,143,0,0
1007085600,33.35,33.90,32.95,33.12,168,0,0
1007344800,33.15,33.68,33.06,33.60,80,0,0
1007431200,33.00,33.17,32.66,32.98,101,0,0
1007517600,33.24,33.24,32.75,33.00,75,0,0
1007604000,32.85,32.86,32.13,32.30,92,0,0
1007690400,32.30,32.30,31.50,32.00,131,0,0
1007949600,31.90,32.44,31.88,32.00,103,0,0
1008036000,32.10,32.35,31.82,32.22,95,0,0
1008122400,32.00,32.49,31.96,32.32,75,0,0
1008208800,32.50,32.95,32.31,32.50,129,0,0
1008295200,32.55,32.95,32.55,32.80,56,0,0
1008554400,32.70,33.29,32.70,33.28,61,0,0
1008640800,33.25,33.85,33.25,33.80,66,0,0
1008727200,33.75,34.05,33.51,33.98,86,0,0
1008813600,33.70,34.05,33.60,34.05,56,0,0
1008900000,33.75,34.98,33.69,34.98,136,0,0
1009159200,34.50,34.68,34.45,34.68,29,0,0
1009332000,34.68,34.68,34.05,34.05,64,0,0
1009418400,34.07,34.08,33.65,33.66,46,0,0
1009504800,33.50,33.97,33.50,33.80,65,0,0
1009764000,33.90,34.48,33.70,34.03,144,0,0
