time,open,high,low,close,tick_volume,spread,real_volume
1764172800,637.52,638.04,632.94,633.46,945,17,0
1764176400,633.54,636.86,631.85,636.43,1609,17,0
1764180000,636.46,638.20,635.86,637.62,1206,17,0
1764183600,637.72,637.72,635.03,635.51,1021,17,0
1764187200,635.51,636.22,633.18,633.68,1177,17,0
1764190800,633.68,634.68,633.34,633.87,1032,17,0
1764194400,633.81,634.75,633.23,633.34,1193,17,0
1764345600,635.92,642.91,635.50,642.14,945,17,0
1764349200,642.14,643.81,640.02,643.63,1606,17,0
1764352800,643.62,645.44,642.99,645.26,1384,17,0
1764356400,645.28,647.94,644.06,647.80,1410,17,0
1764604800,639.39,644.87,637.80,644.25,858,17,0
1764608400,644.56,645.09,638.36,642.46,1395,17,0
1764612000,642.39,644.75,640.00,643.09,1164,17,0
1764615600,643.09,643.93,642.51,643.55,907,17,0
1764619200,643.55,644.12,641.13,642.60,1138,17,0
1764622800,642.60,643.01,640.01,640.17,1209,17,0
1764626400,640.15,642.29,639.21,640.48,1338,17,0
1764691200,642.24,643.71,638.20,642.09,991,17,0
1764694800,641.96,645.71,641.01,644.94,1512,17,0
1764698400,644.98,645.70,638.16,641.99,1568,17,0
1764702000,641.99,645.48,641.79,643.13,1233,17,0
1764705600,643.06,646.76,642.86,646.21,1128,17,0
1764709200,646.21,647.55,645.39,646.53,1097,17,0
1764712800,646.53,647.75,646.03,646.23,1175,17,0
1764777600,644.24,647.70,641.56,647.02,948,17,0
1764781200,647.05,648.71,642.51,643.76,1663,17,0
1764784800,643.71,644.20,641.76,643.08,1149,17,0
1764788400,643.08,645.73,643.06,645.19,954,17,0
1764792000,645.19,645.81,643.22,643.24,834,17,0
1764795600,643.13,645.15,643.13,644.72,921,17,0
1764799200,644.73,644.88,640.45,640.45,1021,17,0
1764864000,674.60,674.62,660.25,664.65,939,17,0
1764867600,664.81,669.06,662.00,663.44,1832,17,0
1764871200,663.56,666.68,662.06,666.36,1570,17,0
1764874800,666.26,669.52,663.36,664.84,1561,17,0
1764878400,664.84,665.38,661.83,664.77,1434,17,0
1764882000,664.70,664.70,661.46,662.16,1314,17,0
1764885600,662.14,662.78,660.06,661.57,1475,17,0
1764950400,663.83,669.56,662.36,664.23,992,17,0
1764954000,664.34,673.32,664.28,668.68,1724,17,0
1764957600,668.64,673.07,667.62,672.07,1531,17,0
1764961200,672.00,674.56,670.97,673.40,1428,17,0
1764964800,673.39,673.66,670.58,671.81,1219,17,0
1764968400,671.82,673.54,669.97,673.04,1342,17,0
1764972000,672.97,673.67,670.72,672.18,1450,17,0
1765209600,669.62,676.51,665.51,667.73,925,17,0
1765213200,667.64,669.58,665.96,668.96,1436,17,0
1765216800,668.96,670.70,667.96,669.45,1209,17,0
1765220400,669.38,670.37,668.35,668.82,1114,17,0
1765224000,668.82,669.39,666.28,667.01,1113,17,0
1765227600,666.98,667.33,665.97,667.17,967,17,0
1765231200,667.25,668.21,666.30,666.55,1011,17,0
1765296000,663.76,664.12,653.32,656.88,982,17,0
1765299600,656.89,658.76,655.55,656.62,1505,17,0
1765303200,656.62,657.31,654.54,657.07,1250,17,0
1765306800,657.08,657.08,653.80,655.67,1219,17,0
1765310400,655.66,659.94,655.35,659.08,1120,17,0
1765314000,659.08,659.33,657.21,657.66,1057,17,0
1765317600,657.70,658.04,655.46,655.49,1142,17,0
1765382400,649.80,654.21,647.52,650.75,940,17,0
1765386000,650.82,652.36,648.06,649.08,1545,17,0
1765389600,649.08,653.15,648.13,652.62,1298,17,0
1765393200,652.69,652.69,648.74,648.91,1305,17,0
1765396800,648.86,649.00,644.00,644.57,1489,17,0
1765400400,644.72,649.87,643.34,649.09,1870,17,0
1765404000,649.36,650.77,647.72,648.84,1579,17,0
1765468800,643.25,650.62,640.98,648.53,979,17,0
1765472400,648.55,655.15,647.66,648.79,1777,17,0
