time,open,high,low,close,tick_volume,spread,real_volume
1654743600,196.45,199.39,183.48,184.82,2020,0,0
1654830000,184.76,185.95,175.04,175.60,1267,0,0
1655089200,171.58,172.57,164.06,164.63,1008,0,0
1655175600,167.58,167.83,161.39,165.45,1076,0,0
1655262000,164.46,172.12,164.04,171.96,867,0,0
1655348400,165.30,166.55,159.61,161.57,1016,0,0
1655434800,162.68,165.89,159.95,162.84,1173,0,0
1655780400,167.10,167.72,155.99,157.18,1355,0,0
1655866800,154.08,160.75,153.05,155.10,1439,0,0
1655953200,155.42,159.72,154.27,158.48,785,0,0
1656039600,159.99,170.98,159.78,170.43,1197,0,0
1656298800,171.40,172.88,168.03,169.89,820,0,0
1656385200,170.46,171.28,160.62,160.86,1173,0,0
1656471600,161.25,166.31,160.26,163.46,990,0,0
1656558000,161.63,165.22,158.53,160.86,1262,0,0
1656644400,160.23,161.64,155.01,159.91,1295,0,0
1656990000,160.60,168.68,157.06,168.08,1577,0,0
1657076400,168.47,171.59,165.49,169.87,1081,0,0
1657162800,170.26,172.71,167.79,171.57,854,0,0
1657249200,171.68,172.39,168.16,170.80,759,0,0
1657508400,169.33,169.87,161.92,162.93,951,0,0
1657594800,161.61,165.89,160.81,162.93,885,0,0
1657681200,163.33,164.99,159.36,162.35,1029,0,0
1657767600,162.36,162.86,157.30,159.35,812,0,0
1657854000,158.81,165.05,158.13,164.97,769,0,0
1658113200,166.53,171.69,165.75,168.11,1031,0,0
1658199600,167.44,178.71,167.14,178.08,1251,0,0
1658286000,177.11,183.75,175.84,181.61,1133,0,0
1658372400,182.74,184.57,169.95,174.48,2099,0,0
1658458800,174.79,175.76,168.41,169.04,896,0,0
1658718000,169.41,170.54,164.80,165.83,791,0,0
1658804400,166.35,166.98,157.96,163.17,1487,0,0
1658890800,163.94,170.87,158.89,161.70,2173,0,0
1658977200,160.71,163.18,154.90,161.54,1574,0,0
1659063600,161.03,161.80,155.18,158.27,1049,0,0
1659322800,158.21,165.18,155.25,159.62,1846,0,0
1659409200,159.27,162.24,157.54,159.66,902,0,0
1659495600,159.97,169.49,159.58,168.11,1169,0,0
1659582000,171.60,172.14,166.83,170.66,969,0,0
1659668400,170.79,171.61,165.82,166.55,735,0,0
1659927600,167.61,176.14,167.14,171.00,1462,0,0
1660014000,171.16,171.18,166.61,168.86,685,0,0
1660100400,168.46,180.47,168.23,178.33,1462,0,0
1660186800,179.10,183.09,176.38,177.72,1205,0,0
1660273200,178.19,181.42,178.19,180.32,434,0,0
1660532400,179.70,181.42,178.23,180.69,540,0,0
1660618800,180.30,180.98,177.05,179.19,676,0,0
1660705200,178.56,179.11,174.02,174.07,570,0,0
1660791600,174.51,175.77,171.87,174.45,775,0,0
1660878000,173.75,173.75,167.01,167.16,690,0,0
1661137200,165.84,166.32,162.27,163.67,594,0,0
1661223600,163.68,165.04,160.61,160.80,599,0,0
1661310000,160.73,165.45,159.81,163.51,851,0,0
1661396400,164.79,168.87,164.21,168.30,582,0,0
1661482800,167.91,170.93,160.89,160.95,1313,0,0
1661770800,160.28,160.55,159.37,159.50,604,0,0
1661774400,159.50,160.12,159.36,159.94,395,0,0
1661778000,159.95,160.23,159.88,160.01,255,0,0
1661781600,160.09,160.16,159.25,159.81,430,0,0
1661785200,159.79,160.66,159.63,160.40,560,0,0
1661788800,160.40,162.64,160.23,161.56,2252,0,0
1661792400,161.53,163.05,159.77,159.88,2791,0,0
1661796000,159.85,160.76,159.43,160.25,2007,0,0
1661799600,160.26,161.15,159.97,160.60,1578,0,0
1661803200,160.61,161.23,160.14,160.66,1397,0,0
1661806800,160.65,160.70,159.75,160.23,1375,0,0
1661810400,160.22,160.86,159.02,159.15,1547,0,0
1661814000,159.12,159.31,158.73,159.27,355,0,0
1661817600,159.28,159.37,159.21,159.22,91,0,0
1661821200,159.22,159.49,159.21,159.49,90,0,0
1661824800,159.45,160.28,159.32,160.15,286,0,0
1661857200,160.70,161.73,160.64,161.50,314,0,0
1661860800,161.49,161.57,160.95,161.48,263,0,0
1661864400,161.44,161.66,161.35,161.59,135,0,0
1661868000,161.50,161.50,161.05,161.12,244,0,0
1661871600,161.21,161.36,160.37,160.38,585,0,0
1661875200,160.38,161.64,159.04,159.13,2588,0,0
1661878800,159.17,159.70,156.62,157.73,2424,0,0
1661882400,157.74,157.93,156.87,157.33,2254,0,0
1661886000,157.34,158.43,156.69,156.98,1483,0,0
1661889600,157.00,157.26,155.92,156.55,1380,0,0
1661893200,156.53,156.97,156.31,156.67,1631,0,0
1661896800,156.67,157.74,156.52,157.16,1831,0,0
1661900400,157.18,157.53,157.06,157.30,228,0,0
1661904000,157.30,157.40,157.23,157.23,160,0,0
1661907600,157.29,157.35,157.18,157.35,71,0,0
1661911200,157.33,157.35,157.18,157.18,120,0,0
1661943600,157.67,158.38,157.51,157.89,809,0,0
1661947200,158.00,158.01,157.56,157.66,220,0,0
1661950800,157.71,160.66,157.69,160.42,1043,0,0
1661954400,160.25,161.21,159.58,160.99,1124,0,0
1661958000,160.85,161.75,160.51,161.13,1211,0,0
1661961600,161.15,167.22,160.95,165.28,5350,0,0
1661965200,165.26,167.82,164.97,165.37,4249,0,0
1661968800,165.40,165.43,163.18,164.36,2683,0,0
1661972400,164.37,164.61,163.36,163.70,1913,0,0
1661976000,163.70,163.97,162.14,162.79,1715,0,0
1661979600,162.80,163.56,162.44,163.13,1670,0,0
1661983200,163.12,164.59,162.89,162.89,2112,0,0
1661986800,162.87,163.25,162.71,163.25,292,0,0
1661990400,163.20,163.88,163.03,163.54,295,0,0
1661994000,163.55,163.94,162.53,162.75,616,0,0
1661997600,163.01,163.25,161.85,162.22,860,0,0
1662030000,162.10,162.31,161.24,161.70,716,0,0
1662033600,161.58,162.04,161.33,161.75,398,0,0
1662037200,161.75,162.07,161.62,162.01,264,0,0
1662040800,161.99,164.42,161.99,163.81,921,0,0
1662044400,163.85,164.66,163.66,163.68,892,0,0
1662048000,163.69,167.36,162.65,165.05,3360,0,0
1662051600,164.66,165.38,162.44,162.45,3212,0,0
1662055200,162.45,163.43,161.20,161.57,2257,0,0
1662058800,161.55,162.68,160.35,160.68,1724,0,0
1662062400,160.67,162.28,160.56,161.77,1697,0,0
1662066000,161.79,164.02,161.56,163.66,1957,0,0
1662069600,163.67,165.73,163.35,165.52,2065,0,0
1662073200,165.47,165.84,165.36,165.48,356,0,0
1662076800,165.45,165.88,165.42,165.72,106,0,0
1662080400,165.63,165.97,165.23,165.57,291,0,0
1662084000,165.57,165.59,165.17,165.48,198,0,0
1662116400,164.97,165.34,164.71,165.26,484,0,0
1662120000,165.26,165.29,164.51,164.85,237,0,0
1662123600,164.83,164.83,164.43,164.68,139,0,0
1662127200,164.76,164.77,164.41,164.65,346,0,0
1662130800,164.64,166.98,164.57,166.67,1521,0,0
1662134400,166.65,168.00,163.54,163.82,3029,0,0
1662138000,163.85,166.90,163.36,165.99,2615,0,0
1662141600,166.00,166.47,164.17,164.70,1959,0,0
1662145200,164.71,164.97,161.56,162.25,2030,0,0
1662148800,162.24,162.24,159.85,159.98,2248,0,0
1662152400,159.97,160.79,159.96,160.02,1815,0,0
1662156000,160.01,160.98,159.24,160.39,1828,0,0
1662159600,160.39,160.55,159.94,160.37,480,0,0
1662163200,160.40,160.55,160.39,160.52,161,0,0
1662166800,160.52,160.56,160.13,160.17,165,0,0
1662170400,160.19,160.33,160.03,160.29,93,0,0
1662462000,161.61,161.71,160.60,161.52,819,0,0
1662465600,161.52,161.60,161.11,161.39,191,0,0
1662469200,161.36,161.88,161.36,161.51,364,0,0
1662472800,161.60,161.60,160.47,161.22,612,0,0
1662476400,161.25,161.55,160.82,161.04,438,0,0
1662480000,160.96,161.67,159.33,159.85,2501,0,0
1662483600,159.82,160.34,157.72,160.04,2894,0,0
1662487200,160.02,160.19,158.87,159.94,2465,0,0
1662490800,159.95,160.63,158.65,159.05,1817,0,0
1662494400,159.05,159.17,157.69,158.17,1668,0,0
1662498000,158.16,158.99,158.09,158.60,1750,0,0
1662501600,158.61,159.39,157.99,158.47,2013,0,0
1662505200,158.51,158.65,158.18,158.32,361,0,0
1662508800,158.33,158.72,158.28,158.36,207,0,0
1662512400,158.35,158.66,158.28,158.36,105,0,0
1662516000,158.35,158.43,158.11,158.23,291,0,0
1662548400,158.28,159.02,158.26,158.82,517,0,0
1662552000,158.83,158.92,158.70,158.92,25,0,0
1662555600,159.07,159.15,158.81,158.84,134,0,0
1662559200,158.81,158.90,158.22,158.65,508,0,0
1662562800,158.68,158.76,157.94,158.34,692,0,0
1662566400,158.20,159.78,157.45,158.23,2331,0,0
1662570000,158.22,158.43,156.83,157.76,2527,0,0
1662573600,157.76,159.18,157.59,158.84,1729,0,0
1662577200,158.86,159.10,157.95,158.82,1383,0,0
1662580800,158.82,159.54,158.69,159.30,1252,0,0
1662584400,159.35,160.85,159.22,160.29,1434,0,0
1662588000,160.30,160.95,160.11,160.37,1414,0,0
1662591600,160.38,160.45,160.09,160.43,201,0,0
1662595200,160.42,160.46,160.28,160.46,144,0,0
1662598800,160.47,160.87,160.47,160.68,309,0,0
1662602400,160.65,160.82,160.17,160.37,305,0,0
1662634800,159.69,160.17,159.63,160.17,221,0,0
1662638400,160.21,160.40,160.03,160.08,166,0,0
1662642000,160.05,160.38,160.02,160.38,106,0,0
1662645600,160.33,160.84,160.15,160.23,323,0,0
1662649200,160.22,160.56,159.14,159.26,848,0,0
1662652800,159.25,161.44,157.79,161.15,2585,0,0
1662656400,161.20,161.80,159.68,161.58,3071,0,0
1662660000,161.59,162.04,160.16,160.39,1783,0,0
1662663600,160.39,160.79,158.23,160.34,2230,0,0
1662667200,160.35,161.65,159.75,161.15,1867,0,0
1662670800,161.14,161.84,160.87,161.10,1686,0,0
1662674400,161.10,162.16,160.72,162.12,1637,0,0
1662678000,162.11,162.59,161.69,162.38,336,0,0
1662681600,162.38,162.38,162.17,162.29,100,0,0
1662685200,162.28,162.37,162.16,162.25,75,0,0
1662688800,162.26,162.57,162.26,162.57,104,0,0
1662721200,163.21,163.83,163.06,163.82,358,0,0
1662724800,163.78,164.08,163.73,164.02,172,0,0
1662728400,164.02,164.15,163.88,164.06,123,0,0
1662732000,163.99,163.99,163.57,163.62,182,0,0
1662735600,163.65,164.44,163.60,164.32,357,0,0
1662739200,164.30,166.75,162.85,166.28,2344,0,0
1662742800,166.28,167.91,165.76,167.73,2249,0,0
1662746400,167.73,168.55,167.61,168.16,1682,0,0
1662750000,168.15,168.87,167.79,168.86,1328,0,0
1662753600,168.87,169.09,168.54,168.82,882,0,0
1662757200,168.82,169.08,167.79,168.34,1178,0,0
1662760800,168.34,169.49,168.29,169.15,1305,0,0
1662764400,169.13,169.21,169.00,169.05,156,0,0
1662768000,169.06,169.12,169.02,169.12,38,0,0
1662771600,169.09,169.12,168.79,168.83,121,0,0
1662775200,168.82,169.07,168.82,169.00,84,0,0
1662980400,169.76,169.95,169.28,169.93,297,0,0
1662984000,170.05,170.40,169.69,169.69,78,0,0
1662987600,169.65,169.77,169.40,169.47,88,0,0
1662991200,169.52,169.95,169.35,169.92,384,0,0
1662994800,169.90,169.90,168.28,168.88,647,0,0
1662998400,168.87,171.38,166.91,171.11,2409,0,0
1663002000,171.12,171.24,168.05,168.11,2308,0,0
1663005600,168.10,169.06,167.36,167.94,2053,0,0
1663009200,167.95,168.86,167.47,168.72,1540,0,0
1663012800,168.72,169.25,168.26,168.59,1123,0,0
1663016400,168.58,168.74,167.91,168.28,1262,0,0
1663020000,168.34,168.99,168.12,168.96,1272,0,0
1663023600,168.96,169.36,168.77,169.17,311,0,0
1663027200,169.16,169.24,169.16,169.23,29,0,0
1663030800,169.24,169.27,169.07,169.17,80,0,0
1663034400,169.16,169.25,169.04,169.18,57,0,0
1663066800,169.67,169.83,169.32,169.48,322,0,0
1663070400,169.49,169.53,169.08,169.14,240,0,0
1663074000,169.15,169.59,169.15,169.58,315,0,0
