time,open,high,low,close,tick_volume,spread,real_volume
1764172800,170.55,171.79,170.55,171.42,293,30,0
1764176400,171.42,171.77,171.12,171.65,460,22,0
1764180000,171.65,172.22,171.62,172.12,473,18,0
1764183600,172.10,172.26,171.67,171.73,544,20,0
1764187200,171.74,171.90,171.31,171.33,617,20,0
1764190800,171.34,171.90,171.21,171.45,487,19,0
1764194400,171.44,171.48,170.58,170.63,600,17,0
1764345600,171.09,171.09,170.00,170.32,222,23,0
1764349200,170.29,171.22,170.03,171.12,441,18,0
1764352800,171.07,171.89,170.99,171.57,469,18,0
1764356400,171.56,172.13,171.44,171.92,565,17,0
1764604800,170.61,171.74,170.32,171.68,307,28,0
1764608400,171.66,171.67,169.56,170.18,529,23,0
1764612000,170.19,170.36,169.85,169.95,347,21,0
1764615600,169.96,170.79,169.86,170.61,400,20,0
1764619200,170.60,171.26,170.58,170.90,300,20,0
1764622800,170.91,171.03,170.52,170.62,476,19,0
1764626400,170.63,170.88,170.35,170.49,646,17,0
1764691200,170.65,170.90,169.66,170.00,338,20,0
1764694800,170.01,170.44,169.55,170.40,628,20,0
1764698400,170.38,170.56,169.88,170.30,575,20,0
1764702000,170.30,171.10,170.28,170.79,486,19,0
1764705600,170.79,171.38,170.56,171.32,483,19,0
1764709200,171.35,171.54,170.98,171.36,504,19,0
1764712800,171.35,171.82,171.27,171.63,476,18,0
1764777600,172.00,174.47,171.59,172.47,607,19,0
1764781200,172.47,172.66,171.21,171.44,733,25,0
1764784800,171.43,171.87,170.96,171.13,630,25,0
1764788400,171.15,171.92,171.15,171.74,489,23,0
1764792000,171.75,172.83,171.26,172.77,501,19,0
1764795600,172.77,173.60,172.77,173.12,612,19,0
1764799200,173.08,173.11,172.34,172.79,664,18,0
1764864000,171.48,171.78,170.06,170.62,460,24,0
1764867600,170.56,170.89,169.86,170.76,820,20,0
1764871200,170.81,171.09,169.01,169.63,819,19,0
1764874800,169.57,170.36,169.22,170.14,567,19,0
1764878400,170.05,170.57,169.94,170.32,495,20,0
1764882000,170.30,170.36,169.11,169.32,649,19,0
1764885600,169.32,169.35,168.67,168.91,686,17,0
1764950400,169.17,169.17,168.10,168.88,402,23,0
1764954000,168.88,169.18,167.19,167.53,762,19,0
1764957600,167.52,167.60,166.91,167.16,799,18,0
1764961200,167.14,167.23,165.56,166.97,765,18,0
1764964800,166.98,167.71,166.96,167.42,511,17,0
1764968400,167.42,167.67,167.39,167.64,425,17,0
1764972000,167.66,167.89,167.36,167.47,590,17,0
1765209600,165.60,165.60,162.49,163.97,561,29,0
1765213200,163.95,164.77,163.12,163.66,800,20,0
1765216800,163.64,164.45,163.47,163.78,610,19,0
1765220400,163.77,164.47,163.64,164.10,636,19,0
1765224000,164.10,164.66,163.52,163.60,647,17,0
1765227600,163.60,163.91,163.55,163.56,480,18,0
1765231200,163.56,163.73,163.36,163.39,592,17,0
1765296000,163.26,165.07,163.26,164.61,516,23,0
1765299600,164.60,165.30,164.26,165.07,852,19,0
1765303200,165.07,165.61,164.85,165.30,694,17,0
1765306800,165.30,165.62,164.56,164.89,666,17,0
1765310400,164.89,165.05,164.46,164.65,561,17,0
1765314000,164.63,164.87,164.14,164.44,623,18,0
1765317600,164.43,165.36,164.38,165.25,833,17,0
1765382400,164.59,165.34,164.46,165.28,450,22,0
1765386000,165.28,166.07,164.64,164.67,754,19,0
1765389600,164.66,165.39,163.39,164.72,873,21,0
1765393200,164.72,165.21,164.13,165.18,598,17,0
1765396800,165.16,165.29,164.40,165.00,582,18,0
1765400400,165.01,166.34,164.98,166.26,1066,18,0
1765404000,166.29,166.54,165.04,165.96,1011,18,0
1765468800,165.93,169.30,165.74,167.89,588,25,0
1765472400,167.89,169.10,167.66,168.69,863,21,0
1765476000,168.72,169.20,168.55,168.97,757,20,0
1765479600,168.99,169.70,168.95,169.28,516,19,0
1765483200,169.28,169.82,169.27,169.47,578,18,0
1765486800,169.46,169.88,169.41,169.60,435,19,0
1765490400,169.63,169.70,168.77,168.77,663,17,0
1765555200,168.27,169.57,168.27,168.88,331,25,0
1765558800,168.89,169.61,168.50,168.54,789,20,0
1765562400,168.51,168.70,167.68,168.15,807,20,0
1765566000,168.19,168.71,168.00,168.31,587,19,0
1765569600,168.33,168.60,167.93,168.27,555,19,0
1765573200,168.26,168.63,167.83,168.45,624,18,0
1765576800,168.45,168.94,168.21,168.92,715,17,0
1765814400,169.26,170.00,167.97,168.44,436,21,0
1765818000,168.44,168.61,167.33,167.43,793,19,0
1765821600,167.42,167.55,166.05,166.33,739,19,0
1765825200,166.33,166.37,165.66,165.97,704,19,0
1765828800,165.97,166.08,165.13,165.73,711,17,0
1765832400,165.72,166.27,165.29,165.66,674,19,0
1765836000,165.66,166.05,165.30,165.53,863,17,0
1765900800,165.93,166.63,164.99,165.00,403,23,0
1765904400,165.03,165.50,164.02,164.20,947,19,0
1765908000,164.20,164.21,162.72,163.71,761,18,0
1765911600,163.68,164.29,163.35,163.41,703,18,0
1765915200,163.39,164.08,162.79,163.62,634,18,0
1765918800,163.62,163.62,162.94,163.39,793,17,0
1765922400,163.37,163.73,163.10,163.14,910,17,0
1765987200,161.34,164.11,161.34,163.96,466,21,0
1765990800,163.96,164.00,162.03,162.29,720,20,0
1765994400,162.28,162.53,161.31,161.60,647,19,0
1765998000,161.59,162.00,160.93,161.34,532,20,0
1766001600,161.34,161.59,161.09,161.28,540,19,0
1766005200,161.31,161.95,161.30,161.89,574,18,0
1766008800,161.90,162.14,161.71,161.94,686,17,0
1766073600,162.96,164.04,162.57,162.86,345,28,0
1766077200,162.86,163.55,162.11,163.01,641,20,0
1766080800,163.03,163.66,162.83,162.87,609,20,0
1766084400,162.88,162.88,161.29,161.86,771,21,0
1766088000,161.86,162.24,161.74,161.89,501,19,0
1766091600,161.89,162.04,161.36,161.54,585,19,0
1766095200,161.58,162.32,161.56,161.78,803,17,0
1766160000,161.76,163.80,161.62,162.97,316,28,0
1766163600,163.08,163.42,162.38,162.72,562,19,0
1766167200,162.63,162.90,162.57,162.73,427,21,0
1766170800,162.74,162.75,162.32,162.40,436,19,0
1766174400,162.39,162.55,161.94,161.99,430,19,0
1766178000,161.98,162.19,161.78,161.87,351,18,0
1766181600,161.86,162.30,161.60,161.85,774,17,0
1766419200,162.10,162.13,160.14,160.33,454,27,0
1766422800,160.33,161.09,159.62,160.56,533,20,0
1766426400,160.57,160.95,159.86,160.13,461,19,0
1766430000,160.13,160.45,159.95,160.43,436,19,0
1766433600,160.43,160.43,159.77,159.77,365,18,0
