time,open,high,low,close,tick_volume,spread,real_volume
946864800,96.06,96.50,94.06,94.37,320,0,0
946951200,92.87,94.81,90.62,90.62,614,0,0
947037600,91.12,96.25,91.12,93.25,814,0,0
947124000,94.31,102.50,94.31,100.75,995,0,0
947210400,101.12,103.81,99.94,102.75,612,0,0
947469600,100.44,103.50,100.00,102.25,520,0,0
947556000,100.75,102.50,100.50,100.50,376,0,0
947642400,101.94,103.62,100.75,100.75,456,0,0
947728800,101.31,101.87,100.37,100.75,245,0,0
947815200,100.75,100.94,98.94,99.31,257,0,0
948160800,97.25,99.25,97.12,97.12,414,0,0
948247200,97.75,99.94,97.75,98.81,333,0,0
948333600,99.06,99.37,94.50,95.12,581,0,0
948420000,95.25,96.56,94.56,94.94,370,0,0
948679200,95.81,95.81,91.62,92.75,533,0,0
948765600,94.87,94.87,90.25,91.37,575,0,0
948852000,95.87,97.50,95.31,96.31,395,0,0
948938400,97.19,98.31,96.06,96.25,357,0,0
949024800,95.75,95.81,92.25,92.25,363,0,0
949284000,92.25,97.37,92.06,93.62,926,0,0
949370400,94.37,96.19,93.75,94.12,464,0,0
949456800,93.19,94.00,92.00,92.50,332,0,0
949543200,91.94,92.12,90.00,91.69,400,0,0
949629600,91.94,92.44,89.06,89.06,389,0,0
949888800,89.25,89.37,86.62,87.62,388,0,0
949975200,87.62,90.19,87.44,87.69,544,0,0
950061600,88.62,89.00,87.50,87.62,201,0,0
950148000,87.25,87.25,85.31,86.00,264,0,0
950234400,85.37,86.50,81.31,82.94,796,0,0
950493600,83.25,84.75,82.37,82.87,439,0,0
950580000,83.75,90.56,83.50,89.12,876,0,0
950666400,88.37,90.37,87.56,88.31,557,0,0
950752800,89.00,91.87,88.94,89.62,525,0,0
950839200,89.87,90.69,86.37,87.56,634,0,0
951184800,87.75,90.44,86.50,90.12,552,0,0
951271200,91.37,93.94,90.81,92.31,533,0,0
951357600,91.87,92.12,89.56,91.00,426,0,0
951444000,88.12,89.31,85.19,85.75,588,0,0
951703200,86.94,88.87,85.00,86.44,725,0,0
951789600,85.31,89.19,84.62,88.19,627,0,0
951876000,87.19,87.75,85.06,86.12,432,0,0
951962400,86.12,87.75,85.69,86.06,407,0,0
952048800,87.75,94.62,87.50,89.50,1250,0,0
952308000,89.31,91.25,87.25,87.25,595,0,0
952394400,88.25,88.87,82.00,82.75,825,0,0
952480800,82.87,84.25,81.00,82.56,620,0,0
952567200,80.81,81.94,80.50,80.94,276,0,0
952653600,80.62,82.69,80.37,81.50,377,0,0
952912800,79.00,80.50,78.75,79.00,351,0,0
952999200,79.19,80.00,78.56,79.12,282,0,0
953085600,78.19,83.75,78.19,82.50,682,0,0
953172000,84.75,89.25,83.94,88.06,732,0,0
953258400,86.94,89.19,85.87,85.87,558,0,0
953517600,85.94,87.81,85.37,87.00,383,0,0
953604000,86.81,91.50,86.56,90.44,626,0,0
953690400,89.00,89.37,85.00,86.00,575,0,0
953776800,84.75,87.25,84.75,87.00,276,0,0
953863200,90.00,93.25,89.69,90.87,626,0,0
954126000,90.94,91.94,88.12,88.62,533,0,0
954212400,88.00,90.56,87.62,88.87,502,0,0
954298800,89.00,89.00,87.37,87.62,189,0,0
954385200,88.06,91.75,87.62,89.00,733,0,0
954471600,90.37,92.00,88.56,88.56,508,0,0
954730800,89.37,92.37,89.25,91.87,375,0,0
954817200,92.00,95.56,89.50,92.94,1119,0,0
954903600,92.87,94.81,91.06,91.12,576,0,0
954990000,91.31,94.87,91.31,93.37,507,0,0
955076400,93.62,95.12,91.62,91.62,501,0,0
955335600,91.87,94.87,91.75,92.75,537,0,0
955422000,92.75,97.06,92.75,95.44,594,0,0
955508400,97.31,98.31,94.62,94.62,470,0,0
955594800,94.62,96.37,91.75,94.75,912,0,0
955681200,94.06,94.31,88.31,90.81,876,0,0
