time,open,high,low,close,tick_volume,spread,real_volume
1764172800,486.13,486.13,481.58,482.44,990,17,0
1764176400,482.66,485.78,481.15,484.86,1866,17,0
1764180000,484.86,488.18,484.63,487.90,1495,17,0
1764183600,487.96,488.18,486.30,487.54,1432,17,0
1764187200,487.51,487.56,485.54,486.25,1388,17,0
1764190800,486.24,487.01,485.52,486.47,1289,17,0
1764194400,486.45,487.58,485.13,485.31,1539,17,0
1764345600,487.35,491.62,486.61,491.15,1009,17,0
1764349200,491.18,491.69,489.76,491.56,1619,17,0
1764352800,491.58,492.53,490.89,492.29,1631,17,0
1764356400,492.29,492.29,490.59,491.95,1622,17,0
1764604800,486.64,488.59,484.60,487.68,919,17,0
1764608400,487.80,488.62,485.64,488.45,1484,17,0
1764612000,488.46,489.78,487.31,488.78,1447,17,0
1764615600,488.82,489.31,487.59,488.86,1409,17,0
1764619200,488.87,489.30,488.31,488.76,1303,17,0
1764622800,488.78,488.88,486.69,486.87,1515,17,0
1764626400,486.81,488.03,486.35,486.43,1720,17,0
1764691200,486.42,489.03,486.25,488.92,1055,17,0
1764694800,488.85,491.81,488.84,491.64,1899,17,0
1764698400,491.64,492.15,488.98,490.16,1818,17,0
1764702000,490.16,493.35,490.08,490.49,1539,17,0
1764705600,490.35,491.13,489.58,490.05,1485,17,0
1764709200,490.05,490.56,489.08,490.09,1412,17,0
1764712800,490.10,490.37,489.14,489.31,1594,17,0
1764777600,476.14,479.66,475.16,476.94,1185,17,0
1764781200,476.91,484.11,475.17,481.16,2262,17,0
1764784800,481.31,481.82,478.87,480.09,2034,17,0
1764788400,480.14,483.13,479.94,483.10,1821,17,0
1764792000,483.10,483.74,480.17,480.60,1613,17,0
1764795600,480.55,482.97,480.49,482.95,1630,17,0
1764799200,482.95,483.09,478.91,479.10,1721,17,0
1764864000,479.58,481.08,476.57,477.94,1074,17,0
1764867600,477.88,479.22,476.71,477.91,1658,17,0
1764871200,477.93,478.89,476.42,478.61,1581,17,0
1764874800,478.58,478.88,477.93,478.76,1571,17,0
1764878400,478.75,479.96,477.30,478.45,1600,17,0
1764882000,478.47,479.20,476.64,478.78,1671,17,0
1764885600,478.77,480.43,478.35,479.98,1648,17,0
1764950400,482.33,483.08,480.27,481.49,1135,17,0
1764954000,481.47,483.31,480.89,481.64,2011,17,0
1764957600,481.55,482.00,478.82,479.94,1892,17,0
1764961200,479.91,480.78,479.64,480.67,1684,17,0
1764964800,480.67,481.76,480.24,481.44,1581,17,0
1764968400,481.44,482.09,481.18,481.83,1548,17,0
1764972000,481.82,482.53,481.43,482.51,1509,17,0
1765209600,484.81,489.69,484.68,488.96,1091,17,0
1765213200,488.97,490.52,488.33,489.60,1758,17,0
1765216800,489.60,492.20,489.44,491.11,1590,17,0
1765220400,491.11,491.96,490.24,491.10,1479,17,0
1765224000,491.01,491.59,489.30,489.78,1404,17,0
1765227600,489.78,490.71,489.34,489.65,1431,17,0
1765231200,489.65,490.28,488.96,489.49,1503,17,0
