time,open,high,low,close,tick_volume,spread,real_volume
946864800,117.37,118.62,112.00,116.56,1244,0,0
946951200,113.56,117.12,112.25,112.62,881,0,0
947037600,111.12,116.37,109.37,113.81,1132,0,0
947124000,112.19,113.87,108.37,110.00,882,0,0
947210400,108.62,112.25,107.31,111.44,707,0,0
947469600,113.44,113.69,111.37,112.25,346,0,0
947556000,111.50,114.25,108.69,109.37,900,0,0
947642400,108.50,108.87,104.44,105.81,618,0,0
947728800,104.37,108.62,101.50,107.81,1081,0,0
947815200,107.19,113.94,105.75,112.25,1133,0,0
948160800,111.81,116.50,111.75,115.31,601,0,0
948247200,110.50,111.50,106.00,107.00,751,0,0
948333600,107.06,109.69,105.87,106.00,659,0,0
948420000,107.00,107.25,103.25,103.75,476,0,0
948679200,103.80,105.69,100.81,101.25,722,0,0
948765600,101.00,103.87,99.56,102.81,682,0,0
948852000,102.44,103.50,99.12,99.37,570,0,0
948938400,99.89,101.19,97.25,98.75,675,0,0
949024800,98.12,100.25,97.25,98.25,588,0,0
949284000,97.62,98.19,94.87,97.87,640,0,0
949370400,98.50,103.25,97.69,102.94,669,0,0
949456800,102.44,103.94,100.50,100.81,526,0,0
949543200,102.06,104.19,100.12,103.62,659,0,0
949629600,104.37,108.00,104.14,106.56,554,0,0
949888800,106.81,106.87,104.25,106.62,506,0,0
949975200,106.44,110.00,106.44,109.94,363,0,0
950061600,109.44,109.44,103.87,104.00,571,0,0
950148000,103.89,106.56,102.50,106.00,602,0,0
950234400,104.87,104.87,99.12,99.94,658,0,0
950493600,101.23,101.75,99.06,99.62,378,0,0
950580000,99.75,100.00,98.12,98.56,258,0,0
950666400,99.25,100.19,97.12,97.62,452,0,0
950752800,98.50,99.69,97.14,99.62,399,0,0
950839200,100.00,100.06,94.87,95.06,545,0,0
951184800,95.12,97.12,92.81,93.81,732,0,0
951271200,93.50,95.75,92.06,94.25,664,0,0
951357600,94.25,95.87,92.00,94.75,725,0,0
951444000,94.69,94.70,90.50,91.31,503,0,0
951703200,90.25,92.12,88.12,91.56,670,0,0
951789600,91.75,91.75,88.87,89.37,339,0,0
951876000,89.62,94.09,88.94,90.81,912,0,0
951962400,91.81,95.37,91.12,93.37,695,0,0
952048800,94.75,98.87,93.87,96.12,864,0,0
952308000,96.00,97.37,90.12,90.62,913,0,0
952394400,96.12,97.50,91.94,92.87,788,0,0
952480800,93.81,96.19,91.00,95.56,864,0,0
952567200,95.31,100.00,95.00,100.00,532,0,0
952653600,99.56,102.50,99.50,101.00,457,0,0
952912800,97.62,100.25,97.50,98.00,513,0,0
952999200,98.62,99.25,95.12,95.12,477,0,0
953085600,94.56,96.62,93.69,95.37,506,0,0
953172000,95.94,96.69,93.25,95.37,632,0,0
953258400,95.25,99.50,94.50,99.37,589,0,0
953517600,98.75,99.75,96.50,97.37,513,0,0
953604000,96.75,103.12,96.50,102.75,725,0,0
953690400,102.81,105.62,101.12,103.25,857,0,0
953776800,106.81,112.87,106.62,111.87,745,0,0
953863200,112.62,115.00,109.56,111.69,996,0,0
954126000,107.77,108.25,103.94,104.06,492,0,0
954212400,103.62,107.44,102.37,104.31,946,0,0
954298800,105.19,108.94,105.12,107.19,565,0,0
954385200,106.19,108.62,102.50,103.37,943,0,0
954471600,106.00,108.25,104.12,106.25,802,0,0
954730800,94.44,96.50,90.00,90.87,944,0,0
954817200,91.56,92.00,84.94,88.56,1113,0,0
954903600,88.25,88.50,85.87,86.37,339,0,0
954990000,87.87,88.00,85.27,86.00,360,0,0
955076400,87.00,89.37,85.00,89.06,669,0,0
955335600,88.62,88.62,86.00,86.06,269,0,0
955422000,85.12,86.06,83.50,83.87,388,0,0
955508400,82.12,82.25,78.75,79.37,426,0,0
955594800,80.87,82.25,79.00,79.25,489,0,0
955681200,79.12,79.50,73.25,74.12,751,0,0
955940400,74.25,76.00,73.00,75.87,439,0,0
956026800,76.50,81.94,75.87,80.56,809,0,0
956113200,81.44,81.50,78.12,78.69,402,0,0
956199600,78.62,79.87,77.50,78.94,443,0,0
956545200,67.25,68.00,65.00,66.62,538,0,0
956631600,68.75,69.50,67.62,69.37,315,0,0
956718000,70.00,71.12,67.37,68.00,551,0,0
956804400,67.44,69.94,67.37,69.81,278,0,0
956890800,70.75,71.00,68.25,69.75,451,0,0
957150000,72.87,74.00,71.69,73.44,406,0,0
957236400,72.81,73.50,69.50,69.87,507,0,0
957322800,70.37,70.81,68.81,70.56,382,0,0
957409200,70.31,71.25,69.31,70.44,376,0,0
957495600,70.25,71.81,69.87,71.12,302,0,0
957754800,70.94,71.37,69.69,69.81,224,0,0
957841200,70.19,70.44,67.50,67.81,351,0,0
957927600,67.75,67.87,65.75,66.19,269,0,0
958014000,66.62,68.12,65.75,67.87,350,0,0
958100400,68.44,69.75,68.25,68.81,264,0,0
958359600,69.00,69.44,68.00,69.37,252,0,0
958446000,69.56,70.62,69.06,69.50,307,0,0
958532400,68.87,69.12,67.25,67.69,257,0,0
958618800,68.06,68.06,65.87,66.19,252,0,0
958705200,65.37,65.94,64.50,65.06,258,0,0
958964400,65.12,65.25,62.44,64.19,470,0,0
959050800,63.88,65.56,63.06,63.19,432,0,0
959137200,63.13,66.56,63.00,65.56,470,0,0
959223600,64.56,64.75,61.13,61.50,419,0,0
959310000,62.06,62.63,60.38,61.44,389,0,0
959655600,62.44,64.12,62.00,63.38,331,0,0
959742000,63.64,63.70,62.06,62.56,221,0,0
959828400,64.37,66.00,63.81,64.56,420,0,0
959914800,66.00,66.75,65.00,66.31,320,0,0
960174000,66.02,68.37,66.00,66.87,390,0,0
960260400,68.19,69.87,67.81,69.62,270,0,0
960346800,69.25,70.75,67.12,70.50,602,0,0
960433200,71.56,72.12,68.25,68.81,500,0,0
960519600,69.62,69.69,68.31,68.81,196,0,0
960778800,69.00,69.00,66.37,66.87,314,0,0
960865200,66.75,68.00,66.12,67.87,265,0,0
960951600,69.81,71.00,69.50,70.50,232,0,0
961038000,70.81,72.69,70.62,72.37,259,0,0
961124400,72.62,73.12,71.50,72.56,319,0,0
961383600,72.56,73.81,72.00,73.69,250,0,0
961470000,73.87,75.25,73.75,74.94,194,0,0
961556400,77.00,82.19,76.94,80.69,682,0,0
961642800,81.37,82.00,79.31,79.87,389,0,0
961729200,79.94,80.06,77.00,77.69,388,0,0
961988400,77.50,80.12,77.50,79.50,325,0,0
962074800,79.25,80.12,78.37,78.81,307,0,0
962161200,79.00,80.06,78.62,78.94,283,0,0
962247600,78.25,78.94,77.06,77.19,271,0,0
962334000,77.06,80.00,76.69,80.00,369,0,0
962593200,79.69,80.06,79.37,80.00,108,0,0
962766000,79.87,79.87,78.25,78.50,188,0,0
962852400,78.87,81.69,78.50,80.94,432,0,0
962938800,81.27,82.87,80.56,82.00,390,0,0
963198000,80.69,81.31,79.37,79.44,264,0,0
963284400,78.81,80.50,78.50,79.12,370,0,0
963370800,78.25,81.00,77.19,80.31,557,0,0
963457200,78.81,80.00,77.37,79.94,414,0,0
963543600,79.50,79.75,78.44,78.94,207,0,0
963802800,78.25,79.56,77.50,78.19,407,0,0
963889200,77.62,79.50,77.44,78.50,325,0,0
963975600,76.06,77.50,72.81,73.12,645,0,0
964062000,73.44,75.25,73.12,74.81,290,0,0
964148400,74.75,75.00,71.87,72.31,383,0,0
964407600,72.06,72.12,70.00,70.56,275,0,0
964494000,70.81,71.00,68.37,69.00,346,0,0
964580400,69.06,69.50,67.25,67.81,326,0,0
964666800,67.87,70.12,67.50,69.37,375,0,0
964753200,70.94,71.81,69.62,69.69,314,0,0
965012400,70.19,71.12,69.25,69.81,337,0,0
965098800,69.94,70.06,68.19,68.69,250,0,0
965185200,68.56,70.44,68.50,69.37,308,0,0
965271600,68.19,70.37,68.12,70.25,245,0,0
965358000,69.44,69.87,68.19,69.12,305,0,0
965617200,70.19,71.12,69.75,70.00,256,0,0
965703600,70.06,74.69,70.00,74.12,533,0,0
965790000,73.75,74.87,73.12,74.25,301,0,0
965876400,73.81,74.06,71.75,72.62,344,0,0
965962800,72.44,72.69,71.62,72.44,215,0,0
966222000,72.31,73.37,71.37,72.19,389,0,0
966308400,72.00,73.00,71.50,71.62,263,0,0
966394800,71.87,72.25,70.56,71.00,252,0,0
966481200,71.12,72.00,70.56,71.56,245,0,0
966567600,71.12,71.44,70.00,71.00,277,0,0
966826800,70.69,70.81,70.06,70.62,144,0,0
966913200,70.81,72.44,70.22,71.25,401,0,0
966999600,70.81,71.12,70.37,70.75,145,0,0
967086000,70.62,71.19,69.94,71.12,201,0,0
967172400,70.69,71.69,70.56,70.62,220,0,0
967431600,70.19,72.12,70.12,71.31,289,0,0
967518000,71.19,72.75,70.87,70.94,352,0,0
967604400,70.69,70.94,69.69,70.00,182,0,0
967690800,70.87,72.00,69.69,69.81,357,0,0
967777200,70.00,70.62,69.69,70.19,168,0,0
968122800,70.00,70.69,69.81,70.12,165,0,0
968209200,70.06,70.69,69.31,69.44,215,0,0
968295600,70.00,72.06,69.44,70.06,519,0,0
968382000,70.37,70.87,69.19,69.31,231,0,0
968641200,69.12,69.69,68.06,68.81,296,0,0
968727600,68.75,69.31,67.62,68.12,276,0,0
968814000,67.56,68.75,67.19,68.25,244,0,0
968900400,68.69,68.75,65.69,65.81,325,0,0
968986800,65.44,65.62,63.31,64.19,338,0,0
969246000,64.25,64.62,62.19,63.00,362,0,0
969332400,63.63,65.75,63.38,65.00,338,0,0
969418800,64.87,65.00,63.19,64.25,301,0,0
969505200,64.00,65.12,63.56,64.19,294,0,0
969591600,61.13,63.50,61.00,63.25,289,0,0
969850800,63.25,63.50,60.44,61.25,413,0,0
969937200,60.94,65.87,60.44,62.69,912,0,0
970023600,63.44,63.56,59.81,60.63,470,0,0
970110000,60.81,61.88,60.63,61.31,201,0,0
970196400,61.00,61.31,58.63,60.31,468,0,0
970455600,60.50,60.81,58.25,59.13,376,0,0
970542000,59.56,59.81,56.50,56.56,363,0,0
970628400,56.38,56.56,54.50,55.44,319,0,0
970714800,55.50,57.25,55.25,55.38,389,0,0
970801200,55.81,56.75,54.75,55.56,376,0,0
971060400,55.63,55.75,53.00,54.19,407,0,0
971146800,53.94,55.56,53.81,54.56,289,0,0
971233200,54.00,56.94,54.00,55.75,414,0,0
971319600,56.31,56.88,53.81,54.38,422,0,0
971406000,53.88,54.88,52.13,53.75,538,0,0
971665200,53.50,53.81,49.56,50.38,539,0,0
971751600,51.88,52.44,50.25,50.44,295,0,0
971838000,49.63,53.25,48.44,51.75,751,0,0
971924400,58.44,62.19,58.00,61.88,495,0,0
972010800,61.31,66.12,61.13,65.19,611,0,0
972270000,64.62,66.25,60.69,62.13,864,0,0
972356400,62.63,62.94,60.19,61.50,438,0,0
972442800,61.94,63.44,60.44,61.25,532,0,0
972529200,61.00,65.06,60.81,64.44,507,0,0
972615600,64.69,69.19,64.62,67.69,615,0,0
972871200,67.50,70.12,67.37,69.06,395,0,0
972957600,69.00,69.50,68.00,68.87,288,0,0
973044000,68.50,70.06,68.44,69.62,213,0,0
973130400,70.37,70.84,69.62,70.31,239,0,0
973216800,69.25,69.62,68.06,68.25,213,0,0
973476000,68.69,70.12,68.25,69.50,294,0,0
973562400,69.75,71.87,69.50,70.50,400,0,0
973648800,71.12,72.37,68.00,69.44,707,0,0
973735200,68.50,71.31,68.44,70.87,338,0,0
973821600,69.94,70.31,66.81,67.37,444,0,0
974080800,66.69,68.12,64.41,66.44,718,0,0
974167200,68.00,69.81,67.31,68.81,420,0,0
974253600,69.06,70.87,68.69,70.06,337,0,0
974340000,69.44,71.50,68.94,68.94,463,0,0
974426400,69.44,70.00,67.80,69.06,403,0,0
974685600,68.12,68.50,65.56,67.19,496,0,0
974772000,67.37,69.25,67.37,67.75,339,0,0
974858400,66.06,69.50,66.00,68.25,482,0,0
975031200,69.00,70.44,68.50,69.94,295,0,0
975290400,71.44,72.25,70.62,70.69,252,0,0
975376800,69.37,69.75,66.81,67.00,352,0,0
975463200,66.81,67.12,63.25,65.06,600,0,0
975549600,62.00,62.06,57.00,57.38,551,0,0
975636000,58.06,60.63,56.06,56.63,772,0,0
975895200,57.25,59.00,55.19,56.44,682,0,0
975981600,59.19,60.50,58.25,59.88,382,0,0
976068000,60.00,60.06,56.06,56.69,470,0,0
976154400,53.44,54.00,52.25,53.13,320,0,0
976240800,54.63,55.88,53.44,54.44,470,0,0
976500000,55.50,58.75,55.00,58.06,495,0,0
976586400,57.81,60.00,56.75,58.38,594,0,0
976672800,60.50,60.50,56.81,57.25,414,0,0
976759200,57.94,58.73,55.38,55.50,427,0,0
976845600,51.05,52.00,47.75,49.19,665,0,0
977104800,49.00,50.00,47.00,47.81,482,0,0
977191200,47.44,48.00,44.50,44.81,438,0,0
977277600,42.81,44.00,41.38,41.50,394,0,0
977364000,40.75,45.13,40.31,43.44,696,0,0
977450400,44.75,47.13,44.75,46.44,308,0,0
977796000,46.88,48.56,45.88,46.88,537,0,0
977882400,46.13,46.81,45.00,46.44,332,0,0
977968800,45.13,46.25,43.88,44.56,418,0,0
978055200,43.94,45.81,43.00,43.38,507,0,0
978400800,44.13,45.00,42.88,43.38,350,0,0
978487200,43.19,48.88,43.13,47.94,676,0,0
978573600,47.81,50.50,46.88,48.44,662,0,0
978660000,48.50,49.88,47.56,49.13,402,0,0
978919200,48.94,49.75,46.69,48.94,613,0,0
979005600,50.00,52.63,49.75,51.81,396,0,0
979092000,51.00,53.81,50.75,52.88,425,0,0
979178400,53.00,55.75,52.31,55.00,489,0,0
979264800,54.88,55.00,52.50,53.50,363,0,0
979610400,53.38,53.50,51.13,52.56,393,0,0
979696800,53.63,54.88,52.56,52.94,396,0,0
979783200,53.69,56.19,52.63,55.50,532,0,0
979869600,60.00,61.44,58.88,61.00,413,0,0
980128800,60.75,61.00,59.00,60.13,339,0,0
980215200,59.75,60.94,58.94,60.56,320,0,0
980301600,61.00,63.44,60.75,62.94,345,0,0
980388000,62.75,64.00,61.56,61.81,395,0,0
980474400,61.00,64.31,61.00,64.00,363,0,0
980733600,63.56,64.62,63.50,64.50,131,0,0
980820000,64.50,64.75,62.88,63.38,263,0,0
980906400,63.00,63.75,61.00,61.06,357,0,0
980992800,60.81,62.63,60.38,62.38,294,0,0
