time,open,high,low,close,tick_volume,spread,real_volume
946864800,137.25,138.00,132.13,135.00,950,0,0
946951200,132.00,132.25,123.00,125.00,1151,0,0
947037600,124.00,124.19,117.25,120.44,1033,0,0
947124000,120.37,124.94,120.25,122.75,701,0,0
947210400,120.50,126.94,119.44,126.56,895,0,0
947469600,126.87,131.00,126.56,130.63,513,0,0
947556000,132.00,132.13,129.50,130.63,390,0,0
947642400,130.88,134.63,130.50,131.63,752,0,0
947728800,132.00,133.19,130.00,132.44,595,0,0
947815200,135.25,137.63,133.44,137.31,633,0,0
948160800,137.31,138.75,133.69,133.75,657,0,0
948247200,134.63,137.19,134.50,135.69,433,0,0
948333600,134.13,137.25,133.25,134.81,733,0,0
948420000,134.75,134.75,131.50,132.50,426,0,0
948679200,133.50,134.50,125.44,128.00,1263,0,0
948765600,127.75,131.38,127.00,129.44,708,0,0
948852000,130.50,132.88,128.25,132.88,689,0,0
948938400,66.00,68.37,65.62,67.56,395,0,0
949024800,66.00,67.69,62.88,63.31,694,0,0
949284000,63.50,66.25,62.50,66.25,476,0,0
949370400,65.62,65.87,63.56,64.00,301,0,0
949456800,63.75,67.25,62.63,65.12,788,0,0
949543200,66.00,66.62,64.25,66.00,475,0,0
949629600,65.62,65.87,64.06,65.69,356,0,0
949888800,64.50,65.37,64.00,65.12,213,0,0
949975200,67.00,68.69,66.50,67.81,358,0,0
950061600,68.81,68.94,66.50,67.19,327,0,0
950148000,67.25,68.00,65.81,66.81,395,0,0
950234400,66.87,69.06,66.37,66.75,527,0,0
950493600,67.50,67.75,65.75,66.00,251,0,0
950580000,64.81,65.69,64.50,65.56,164,0,0
950666400,65.56,66.44,64.25,65.56,439,0,0
950752800,65.19,65.50,62.88,63.25,331,0,0
950839200,63.25,64.25,60.13,61.25,625,0,0
951184800,62.25,62.69,60.50,62.31,433,0,0
951271200,62.06,67.25,61.63,65.75,756,0,0
951357600,67.50,70.25,66.12,69.06,671,0,0
951444000,69.12,71.19,67.75,69.87,614,0,0
951703200,68.50,69.75,68.00,69.19,282,0,0
951789600,68.94,70.44,68.12,70.44,315,0,0
951876000,71.87,75.50,71.50,75.25,463,0,0
951962400,74.75,77.25,74.06,76.56,458,0,0
952048800,78.25,79.19,75.87,79.19,571,0,0
952308000,79.31,81.19,79.25,80.87,233,0,0
952394400,81.25,82.37,80.12,81.00,426,0,0
952480800,80.94,81.00,77.87,79.00,433,0,0
952567200,79.75,83.37,79.00,83.37,513,0,0
952653600,84.37,89.75,83.94,86.62,938,0,0
952912800,83.00,85.62,80.62,82.50,951,0,0
952999200,82.00,84.94,78.31,79.94,1121,0,0
953085600,80.44,80.62,77.75,78.00,331,0,0
953172000,76.50,81.00,73.75,80.75,1026,0,0
953258400,82.31,88.94,82.06,88.87,721,0,0
953517600,90.00,91.87,87.50,87.69,644,0,0
953604000,85.56,89.00,83.37,88.69,814,0,0
