time,open,high,low,close,tick_volume,spread,real_volume
1521010800,7041.7,7044.1,7035.8,7040.8,1688,11,0
1521014400,7041.1,7046.6,7040.8,7043.8,1114,10,0
1521018000,7044.1,7076.6,7042.8,7076.3,3490,10,0
1521021600,7076.6,7096.6,7070.6,7090.8,7202,11,0
1521025200,7090.8,7097.8,7089.6,7092.6,3813,9,0
1521028800,7092.4,7101.9,7090.1,7091.7,3369,9,0
1521032400,7091.9,7098.9,7091.2,7091.9,2452,10,0
1521036000,7091.9,7096.7,7080.4,7087.9,5144,10,0
1521039600,7087.9,7093.2,7056.2,7066.7,16798,10,0
1521043200,7066.8,7087.7,7049.7,7073.7,20653,9,0
1521046800,7073.4,7077.4,7018.1,7030.7,21532,9,0
1521050400,7030.9,7064.7,7017.4,7054.7,20657,10,0
1521054000,7054.4,7088.2,7037.9,7075.7,12265,10,0
1521057600,7075.9,7080.4,7032.7,7054.4,13187,10,0
1521061200,7054.7,7055.9,7032.7,7047.2,18923,9,0
1521064800,7047.2,7048.4,7035.5,7040.8,3625,9,0
1521075600,7049.2,7050.2,7036.2,7043.7,2532,10,0
1521079200,7043.4,7054.9,7009.7,7013.2,4910,10,0
1521082800,7012.4,7025.2,7008.1,7021.4,3985,9,0
1521086400,7021.3,7054.4,7021.2,7049.7,4435,11,0
1521090000,7049.9,7052.7,7041.2,7047.9,2752,13,0
1521093600,7047.9,7049.2,7044.8,7046.3,1393,13,0
1521097200,7046.3,7049.7,7035.7,7049.4,3051,10,0
1521100800,7049.2,7051.9,7046.7,7049.9,1845,13,0
1521104400,7049.8,7057.0,7048.7,7053.2,3228,12,0
1521108000,7053.4,7054.4,7041.7,7047.9,4663,9,0
1521111600,7048.2,7057.4,7042.2,7050.2,3742,11,0
1521115200,7049.9,7050.4,7030.9,7033.2,4306,10,0
1521118800,7033.2,7041.4,7028.9,7035.2,4120,11,0
1521122400,7035.4,7048.4,7030.2,7044.4,5933,11,0
1521126000,7044.4,7055.2,7019.3,7036.2,13170,10,0
