time,open,high,low,close,tick_volume,spread,real_volume
1764118800,1.870,1.885,1.862,1.865,90,95,0
1764122400,1.866,1.868,1.847,1.865,317,95,0
1764126000,1.865,1.880,1.846,1.860,361,96,0
1764129600,1.859,1.868,1.842,1.842,271,95,0
1764133200,1.842,1.859,1.828,1.834,246,95,0
1764136800,1.834,1.841,1.822,1.826,199,95,0
1764140400,1.826,1.849,1.819,1.844,227,95,0
1764144000,1.842,1.845,1.822,1.841,219,95,0
1764147600,1.841,1.844,1.829,1.834,193,95,0
1764151200,1.834,1.838,1.811,1.816,237,95,0
1764154800,1.816,1.825,1.802,1.815,238,95,0
1764158400,1.815,1.826,1.799,1.812,239,95,0
1764162000,1.812,1.816,1.793,1.809,247,95,0
1764165600,1.809,1.813,1.789,1.798,375,95,0
1764169200,1.798,1.837,1.795,1.832,354,95,0
1764172800,1.832,1.842,1.813,1.817,534,95,0
1764176400,1.818,1.828,1.802,1.812,526,95,0
1764180000,1.812,1.838,1.811,1.826,381,95,0
1764183600,1.826,1.894,1.820,1.890,623,95,0
1764187200,1.890,1.912,1.887,1.910,660,95,0
1764190800,1.910,1.910,1.883,1.895,381,95,0
1764194400,1.894,1.894,1.873,1.879,313,95,0
1764198000,1.880,1.902,1.879,1.893,254,95,0
1764201600,1.892,1.894,1.878,1.890,194,95,0
1764205200,1.890,1.895,1.877,1.890,191,95,0
1764208800,1.889,1.890,1.864,1.878,226,95,0
1764212400,1.878,1.894,1.868,1.894,300,95,0
1764216000,1.894,1.908,1.875,1.879,343,95,0
1764219600,1.879,1.886,1.857,1.868,221,95,0
1764223200,1.868,1.879,1.866,1.874,153,95,0
1764226800,1.866,1.882,1.858,1.870,216,95,0
1764230400,1.870,1.889,1.863,1.877,186,95,0
1764234000,1.877,1.882,1.866,1.877,181,95,0
1764237600,1.876,1.877,1.859,1.869,187,96,0
1764241200,1.870,1.895,1.867,1.881,221,95,0
1764244800,1.881,1.890,1.867,1.883,211,95,0
1764248400,1.882,1.882,1.862,1.863,156,95,0
1764252000,1.863,1.870,1.846,1.852,243,95,0
1764255600,1.852,1.870,1.851,1.862,289,95,0
1764259200,1.862,1.881,1.855,1.877,253,95,0
1764262800,1.877,1.889,1.870,1.881,284,95,0
1764266400,1.881,1.902,1.873,1.894,351,96,0
1764270000,1.895,1.900,1.878,1.882,213,95,0
1764273600,1.882,1.898,1.877,1.890,210,95,0
1764277200,1.889,1.893,1.879,1.890,184,95,0
1764280800,1.890,1.892,1.879,1.883,150,95,0
1764284400,1.888,1.897,1.872,1.878,176,95,0
1764288000,1.878,1.878,1.854,1.862,162,95,0
1764291600,1.862,1.864,1.846,1.858,191,95,0
1764295200,1.853,1.867,1.849,1.856,212,95,0
1764298800,1.853,1.861,1.828,1.830,325,95,0
1764302400,1.831,1.843,1.819,1.842,405,95,0
1764306000,1.842,1.844,1.830,1.841,186,95,0
1764309600,1.841,1.848,1.829,1.830,172,95,0
1764313200,1.829,1.844,1.826,1.833,238,95,0
1764316800,1.832,1.835,1.823,1.826,175,95,0
1764320400,1.825,1.840,1.824,1.839,182,95,0
1764324000,1.839,1.889,1.836,1.889,452,95,0
1764327600,1.890,1.891,1.863,1.875,275,95,0
1764331200,1.874,1.881,1.858,1.871,194,95,0
1764334800,1.871,1.877,1.835,1.845,334,95,0
1764338400,1.843,1.857,1.838,1.849,187,96,0
1764342000,1.843,1.880,1.840,1.874,390,95,0
1764345600,1.874,1.879,1.858,1.877,527,95,0
1764349200,1.878,1.908,1.870,1.885,570,95,0
1764352800,1.885,1.889,1.844,1.845,685,95,0
1764356400,1.845,1.848,1.823,1.829,745,95,0
1764360000,1.829,1.833,1.802,1.817,541,95,0
1764363600,1.817,1.848,1.815,1.840,301,95,0
1764367200,1.838,1.838,1.816,1.828,260,95,0
1764370800,1.828,1.837,1.813,1.819,221,95,0
1764439200,1.829,1.829,1.825,1.826,21,95,0
1764468000,1.805,1.809,1.796,1.796,128,95,0
1764471600,1.796,1.812,1.796,1.803,152,95,0
1764475200,1.811,1.817,1.794,1.794,139,95,0
1764478800,1.794,1.809,1.777,1.808,201,95,0
1764482400,1.807,1.810,1.794,1.794,166,95,0
1764486000,1.794,1.801,1.781,1.792,197,96,0
1764489600,1.792,1.810,1.781,1.799,188,95,0
1764493200,1.799,1.805,1.790,1.804,174,95,0
1764496800,1.803,1.805,1.787,1.797,273,95,0
1764500400,1.797,1.805,1.788,1.803,231,95,0
1764504000,1.803,1.805,1.788,1.797,211,95,0
1764507600,1.797,1.798,1.781,1.782,191,95,0
1764511200,1.781,1.807,1.773,1.794,309,96,0
1764514800,1.794,1.817,1.792,1.815,332,95,0
1764518400,1.815,1.817,1.785,1.790,260,95,0
1764522000,1.789,1.799,1.781,1.790,219,95,0
1764525600,1.791,1.820,1.790,1.815,250,95,0
1764529200,1.815,1.820,1.794,1.810,256,95,0
1764532800,1.810,1.817,1.802,1.809,254,94,0
1764536400,1.809,1.814,1.796,1.802,154,95,0
1764540000,1.809,1.819,1.797,1.809,179,95,0
1764543600,1.809,1.809,1.790,1.800,186,95,0
1764547200,1.801,1.814,1.793,1.803,157,95,0
1764550800,1.803,1.803,1.755,1.757,418,95,0
1764554400,1.757,1.763,1.649,1.651,1940,96,0
1764558000,1.652,1.680,1.637,1.640,831,95,0
1764561600,1.640,1.667,1.639,1.647,549,95,0
1764565200,1.646,1.651,1.622,1.626,541,95,0
1764568800,1.625,1.635,1.608,1.610,473,95,0
1764572400,1.610,1.631,1.609,1.616,315,95,0
1764576000,1.616,1.624,1.611,1.611,229,95,0
1764579600,1.612,1.622,1.596,1.617,320,95,0
1764583200,1.616,1.624,1.604,1.619,301,95,0
1764586800,1.618,1.625,1.605,1.610,293,95,0
1764590400,1.611,1.615,1.598,1.600,164,95,0
1764594000,1.599,1.607,1.574,1.586,242,95,0
1764597600,1.586,1.589,1.551,1.580,540,95,0
1764601200,1.580,1.591,1.560,1.567,592,95,0
1764604800,1.567,1.591,1.560,1.569,630,95,0
1764608400,1.569,1.573,1.535,1.567,858,95,0
1764612000,1.568,1.573,1.553,1.556,486,95,0
1764615600,1.556,1.568,1.546,1.553,406,95,0
1764619200,1.553,1.568,1.543,1.566,388,95,0
1764622800,1.566,1.569,1.545,1.549,335,95,0
1764626400,1.549,1.578,1.549,1.572,435,95,0
