time,open,high,low,close,tick_volume,spread,real_volume
946864800,5.30,5.30,5.13,5.16,21,0,0
946951200,5.12,5.26,5.12,5.25,16,0,0
947037600,5.20,5.53,5.20,5.42,45,0,0
947124000,5.43,5.48,5.38,5.42,20,0,0
947210400,5.46,5.60,5.40,5.58,29,0,0
947469600,5.50,5.57,5.48,5.53,16,0,0
947556000,5.48,5.52,5.44,5.47,16,0,0
947642400,5.47,5.62,5.47,5.58,20,0,0
947728800,5.60,5.60,5.50,5.53,14,0,0
947815200,5.52,5.55,5.39,5.43,24,0,0
948160800,5.40,5.40,5.25,5.30,21,0,0
948247200,5.30,5.50,5.30,5.42,29,0,0
948333600,5.36,5.39,5.28,5.36,23,0,0
948420000,5.39,5.52,5.34,5.50,26,0,0
948679200,5.54,5.65,5.46,5.47,32,0,0
948765600,5.49,5.52,5.24,5.28,36,0,0
948852000,5.31,5.32,5.20,5.30,24,0,0
948938400,5.25,5.31,5.16,5.19,25,0,0
949024800,5.19,5.24,5.13,5.16,20,0,0
949284000,5.20,5.28,5.16,5.28,17,0,0
949370400,5.22,5.25,5.16,5.16,13,0,0
949456800,5.20,5.24,5.16,5.20,17,0,0
949543200,5.20,5.40,5.17,5.36,31,0,0
949629600,5.36,5.36,5.13,5.20,31,0,0
949888800,5.20,5.26,5.20,5.21,12,0,0
949975200,5.25,5.29,5.20,5.22,16,0,0
950061600,5.20,5.24,5.12,5.16,21,0,0
950148000,5.15,5.20,5.02,5.04,26,0,0
950234400,5.07,5.11,5.03,5.11,13,0,0
950493600,5.08,5.17,5.06,5.10,21,0,0
950580000,5.07,5.13,5.06,5.11,11,0,0
950666400,5.11,5.17,5.08,5.12,18,0,0
950752800,5.13,5.14,5.07,5.12,14,0,0
950839200,5.11,5.13,5.02,5.04,16,0,0
951184800,5.06,5.15,5.06,5.11,14,0,0
951271200,5.01,5.06,4.90,5.02,32,0,0
951357600,4.96,4.97,4.67,4.75,40,0,0
951444000,4.75,4.76,4.55,4.60,28,0,0
951703200,4.60,4.76,4.60,4.76,17,0,0
951789600,4.76,4.85,4.71,4.83,22,0,0
951876000,4.83,4.90,4.76,4.82,28,0,0
951962400,4.79,4.88,4.79,4.85,13,0,0
952048800,4.89,4.94,4.85,4.88,18,0,0
952308000,4.90,4.90,4.71,4.74,23,0,0
952394400,4.75,4.93,4.74,4.92,22,0,0
952480800,4.90,5.20,4.85,5.16,45,0,0
952567200,5.17,5.35,5.16,5.35,21,0,0
952653600,5.35,5.55,5.34,5.47,31,0,0
952912800,5.44,5.44,5.20,5.26,31,0,0
952999200,5.28,5.35,5.22,5.24,23,0,0
953085600,5.24,5.62,5.24,5.55,46,0,0
953172000,5.58,5.72,5.44,5.62,53,0,0
953258400,5.61,5.62,5.47,5.48,18,0,0
953517600,5.46,5.56,5.33,5.38,39,0,0
953604000,5.30,5.37,5.15,5.17,32,0,0
953690400,5.18,5.18,4.94,5.10,41,0,0
953776800,5.22,5.37,5.20,5.31,26,0,0
953863200,5.44,5.44,5.31,5.42,25,0,0
954126000,6.00,6.03,5.81,5.83,28,0,0
954212400,5.80,5.84,5.58,5.68,41,0,0
954298800,5.65,5.80,5.51,5.58,52,0,0
954385200,5.60,5.75,5.60,5.75,16,0,0
954471600,5.75,5.82,5.61,5.76,42,0,0
954730800,5.74,5.75,5.60,5.66,23,0,0
954817200,5.63,5.78,5.63,5.78,16,0,0
954903600,5.75,5.92,5.75,5.76,34,0,0
954990000,5.80,5.83,5.67,5.72,25,0,0
955076400,5.75,5.87,5.67,5.82,34,0,0
955335600,5.82,5.90,5.72,5.90,29,0,0
955422000,5.89,5.89,5.78,5.84,18,0,0
955508400,5.83,6.01,5.83,5.90,30,0,0
955594800,5.93,5.94,5.86,5.88,12,0,0
955681200,5.84,5.88,5.60,5.69,42,0,0
955940400,5.52,5.56,5.24,5.44,57,0,0
956026800,5.40,5.43,5.22,5.42,41,0,0
956113200,5.39,5.62,5.35,5.61,33,0,0
956199600,5.52,5.65,5.51,5.65,16,0,0
956545200,5.60,5.68,5.60,5.68,9,0,0
956631600,5.71,5.94,5.66,5.89,39,0,0
956718000,5.86,5.93,5.82,5.88,21,0,0
956804400,5.84,5.88,5.63,5.69,36,0,0
956890800,5.66,5.68,5.60,5.66,17,0,0
957150000,5.75,5.75,5.62,5.67,19,0,0
957236400,5.66,5.71,5.60,5.65,22,0,0
957322800,5.64,5.72,5.64,5.69,12,0,0
957409200,5.66,5.84,5.60,5.72,43,0,0
957495600,5.70,5.71,5.62,5.66,15,0,0
957754800,5.67,5.98,5.67,5.88,42,0,0
957841200,5.84,5.92,5.76,5.84,33,0,0
957927600,5.87,5.99,5.87,5.90,22,0,0
958014000,5.97,6.12,5.92,6.08,30,0,0
958100400,6.07,6.08,5.92,5.94,20,0,0
958359600,5.94,6.14,5.94,6.08,27,0,0
958446000,6.05,6.05,5.86,5.90,24,0,0
958532400,5.88,5.93,5.74,5.84,35,0,0
958618800,5.88,6.06,5.88,5.96,29,0,0
958705200,5.92,6.00,5.89,5.98,17,0,0
958964400,5.97,6.03,5.94,5.96,18,0,0
959050800,5.97,6.06,5.92,6.02,24,0,0
959137200,5.98,6.21,5.98,6.08,37,0,0
959223600,6.03,6.12,5.98,6.11,21,0,0
959310000,6.08,6.25,6.06,6.22,25,0,0
959655600,6.22,6.22,6.10,6.14,17,0,0
959742000,6.15,6.25,6.11,6.21,23,0,0
959828400,6.19,6.25,6.13,6.20,24,0,0
959914800,6.15,6.20,6.12,6.18,14,0,0
960174000,6.16,6.16,5.93,5.94,25,0,0
960260400,5.94,6.17,5.94,6.08,33,0,0
960346800,6.10,6.10,5.97,6.02,19,0,0
960433200,6.02,6.06,5.89,6.04,33,0,0
960519600,6.06,6.17,6.03,6.10,25,0,0
960778800,6.11,6.14,6.08,6.10,12,0,0
960865200,6.12,6.17,6.03,6.05,22,0,0
960951600,6.04,6.04,5.96,5.96,9,0,0
961038000,5.96,6.16,5.94,6.10,31,0,0
961124400,6.08,6.12,6.06,6.06,11,0,0
961383600,6.06,6.10,5.90,5.92,27,0,0
961470000,5.93,5.98,5.88,5.97,17,0,0
961556400,5.99,6.18,5.98,6.10,30,0,0
961642800,6.11,6.21,6.08,6.13,25,0,0
961729200,6.12,6.22,6.08,6.22,19,0,0
961988400,6.19,6.34,6.19,6.22,28,0,0
962074800,6.20,6.26,6.16,6.19,20,0,0
962161200,6.19,6.34,6.12,6.30,34,0,0
962247600,6.26,6.30,6.12,6.14,25,0,0
962334000,6.19,6.35,6.12,6.19,47,0,0
962593200,6.16,6.29,6.15,6.22,23,0,0
962766000,6.30,6.34,6.18,6.20,23,0,0
962852400,6.24,6.29,6.22,6.28,11,0,0
962938800,6.26,6.42,6.25,6.38,23,0,0
963198000,6.44,6.69,6.44,6.62,33,0,0
