time,open,high,low,close,tick_volume,spread,real_volume
1764172800,105.59,106.62,105.20,105.95,2849,17,0
1764176400,105.97,106.71,105.71,106.34,2979,17,0
1764180000,106.35,106.62,105.95,106.59,1943,17,0
1764183600,106.59,106.86,106.13,106.22,1853,17,0
1764187200,106.22,106.45,105.94,106.29,1384,17,0
1764190800,106.28,106.35,105.98,106.08,1142,17,0
1764194400,106.07,106.09,105.59,106.01,1554,17,0
1764345600,106.21,107.28,106.19,106.42,2698,17,0
1764349200,106.41,107.59,106.39,107.45,3431,17,0
1764352800,107.44,107.85,107.19,107.75,2427,17,0
1764356400,107.74,107.80,107.01,107.47,1927,17,0
1764604800,106.25,107.86,106.25,107.85,2627,17,0
1764608400,107.86,108.46,107.65,108.43,3499,17,0
1764612000,108.45,108.72,107.95,108.45,2119,17,0
1764615600,108.45,108.90,108.24,108.65,1636,17,0
1764619200,108.64,109.04,108.60,108.79,1313,17,0
1764622800,108.78,108.86,108.37,108.84,1536,17,0
1764626400,108.84,109.24,108.68,108.82,1568,17,0
1764691200,109.03,109.10,107.89,108.41,2580,17,0
1764694800,108.41,108.62,107.81,108.29,2765,17,0
1764698400,108.30,108.54,107.45,107.72,2700,17,0
1764702000,107.71,108.67,107.71,108.51,1680,17,0
1764705600,108.50,109.34,108.49,109.29,1909,17,0
1764709200,109.29,109.54,109.10,109.48,1512,17,0
1764712800,109.48,109.65,109.18,109.18,1190,17,0
1764777600,106.53,106.54,102.57,103.04,3747,17,0
1764781200,103.03,103.65,101.97,103.15,4498,17,0
1764784800,103.15,103.67,102.78,103.35,2571,17,0
1764788400,103.35,103.75,103.14,103.58,1681,17,0
1764792000,103.58,103.69,103.01,103.02,1571,17,0
1764795600,103.03,103.95,103.02,103.90,1624,17,0
1764799200,103.90,104.23,103.53,103.95,1419,17,0
1764864000,103.28,103.54,102.19,103.03,3396,17,0
1764867600,103.02,103.07,102.26,102.45,3294,17,0
1764871200,102.46,102.55,101.70,102.25,1826,17,0
1764874800,102.25,102.54,101.97,102.35,1512,17,0
1764878400,102.35,103.10,102.22,102.95,1467,17,0
1764882000,102.97,103.22,102.74,103.12,1227,17,0
1764885600,103.11,103.71,102.79,102.89,1615,17,0
1764950400,98.34,103.01,97.77,102.77,3894,17,0
1764954000,102.77,104.68,102.00,102.36,5171,17,0
1764957600,102.37,102.58,99.95,100.11,4349,17,0
1764961200,100.11,100.38,99.28,99.38,2860,17,0
1764964800,99.37,99.86,99.34,99.51,2035,17,0
1764968400,99.51,100.89,99.42,100.55,2808,17,0
1764972000,100.55,100.77,99.91,100.16,2307,17,0
1765209600,99.64,99.64,96.63,97.11,3602,17,0
1765213200,97.12,97.29,95.23,96.46,4514,17,0
1765216800,96.45,96.47,95.38,95.94,2807,17,0
1765220400,95.95,96.45,95.68,95.97,2422,17,0
1765224000,95.96,96.26,95.42,96.13,2241,17,0
1765227600,96.12,96.88,95.88,96.44,2585,17,0
1765231200,96.44,96.95,95.94,96.50,2326,17,0
1765296000,96.82,96.98,96.20,96.89,2351,17,0
1765299600,96.88,96.98,95.88,96.01,2202,17,0
1765303200,96.03,96.55,95.81,96.09,1375,17,0
1765306800,96.10,96.25,95.38,95.43,1241,17,0
1765310400,95.43,96.08,95.42,96.01,1230,17,0
1765314000,96.01,97.08,95.97,96.48,1814,17,0
1765317600,96.49,97.16,96.30,96.85,1380,17,0
1765382400,96.69,96.88,95.30,95.43,2102,17,0
1765386000,95.40,95.61,94.59,94.68,2335,17,0
1765389600,94.69,95.16,94.57,94.86,1391,17,0
1765393200,94.86,94.94,94.17,94.18,1115,17,0
1765396800,94.18,94.45,93.68,93.68,1349,17,0
1765400400,93.68,93.95,92.99,93.01,2619,17,0
1765404000,93.01,93.55,92.44,92.50,1811,17,0
1765468800,93.67,93.75,92.71,93.70,2616,17,0
1765472400,93.70,94.59,93.58,94.10,2941,17,0
1765476000,94.09,94.38,93.63,94.28,1986,17,0
1765479600,94.29,94.74,94.14,94.21,1566,17,0
1765483200,94.20,94.46,93.98,94.13,1238,17,0
1765486800,94.12,94.37,93.76,93.89,1032,17,0
1765490400,93.89,93.96,93.61,93.77,1166,17,0
1765555200,95.51,96.84,95.03,96.31,2821,17,0
1765558800,96.31,96.48,94.90,95.11,3501,17,0
1765562400,95.10,95.27,94.77,95.06,2807,17,0
1765566000,95.06,95.37,94.95,95.33,1761,17,0
1765569600,95.33,95.63,95.20,95.52,1426,17,0
1765573200,95.53,95.76,95.41,95.64,1259,17,0
1765576800,95.64,95.69,94.64,95.03,1572,17,0
1765814400,95.90,96.10,94.23,94.55,2381,17,0
1765818000,94.54,94.63,93.76,94.13,2665,17,0
1765821600,94.14,94.48,93.69,93.80,1776,17,0
1765825200,93.79,94.15,93.66,93.96,1383,17,0
1765828800,93.95,93.98,93.47,93.90,1386,17,0
1765832400,93.89,94.09,93.66,93.86,1144,17,0
1765836000,93.85,93.86,93.47,93.65,988,17,0
1765900800,93.86,94.05,93.26,93.91,2184,17,0
1765904400,93.91,94.31,93.65,94.27,2536,17,0
1765908000,94.27,94.51,93.86,94.49,1575,17,0
1765911600,94.49,94.60,93.89,93.90,1357,17,0
1765915200,93.90,95.37,93.73,94.38,1647,17,0
1765918800,94.37,94.44,94.13,94.14,1214,17,0
1765922400,94.13,94.68,94.10,94.47,1010,17,0
1765987200,95.76,97.14,95.57,96.44,2990,17,0
1765990800,96.44,97.24,96.10,96.24,3499,17,0
1765994400,96.24,96.28,95.13,95.69,2616,17,0
1765998000,95.70,95.88,95.55,95.67,1514,17,0
1766001600,95.67,95.84,95.15,95.21,1528,17,0
1766005200,95.21,95.30,94.91,94.98,1430,17,0
1766008800,94.99,95.05,94.42,94.68,1302,17,0
1766073600,95.11,95.45,94.06,95.20,2453,17,0
1766077200,95.20,95.73,94.72,95.13,2653,17,0
1766080800,95.13,95.34,94.43,94.58,1636,17,0
1766084400,94.57,94.69,93.89,94.15,1558,17,0
1766088000,94.16,94.20,93.74,94.09,1183,17,0
1766091600,94.08,94.09,93.62,93.62,1060,17,0
1766095200,93.61,93.96,93.52,93.89,1224,17,0
1766160000,93.64,95.25,93.60,95.03,2259,17,0
1766163600,95.03,95.20,94.31,94.85,2573,17,0
1766167200,94.84,95.25,94.81,94.88,1288,17,0
1766170800,94.88,95.46,94.88,95.18,1006,16,0
1766174400,95.18,95.27,94.54,94.68,985,17,0
1766178000,94.68,94.81,94.47,94.53,975,17,0
1766181600,94.53,94.91,94.29,94.41,1330,17,0
1766419200,94.52,94.59,93.15,93.31,2141,17,0
1766422800,93.32,93.78,93.13,93.45,2062,17,0
1766426400,93.44,93.88,93.41,93.57,1068,17,0
1766430000,93.57,93.64,93.26,93.39,746,17,0
1766433600,93.39,93.42,92.84,92.96,902,17,0
1766437200,92.96,93.26,92.89,93.10,679,17,0
1766440800,93.10,93.18,92.97,93.16,731,17,0
1766505600,93.34,93.71,93.00,93.08,1814,17,0
1766509200,93.08,93.44,92.70,93.38,1597,17,0
1766512800,93.37,93.48,93.12,93.26,981,17,0
1766516400,93.25,93.38,93.19,93.27,605,17,0
1766520000,93.27,93.30,93.01,93.13,534,17,0
1766523600,93.13,93.24,93.00,93.21,546,17,0
1766527200,93.21,93.26,93.00,93.20,597,17,0
1766592000,93.00,93.21,92.60,92.74,1138,17,0
1766595600,92.73,93.47,92.72,93.30,1221,17,0
1766599200,93.31,93.54,93.25,93.35,723,17,0
1766602800,93.34,93.59,93.29,93.58,714,17,0
1766606400,93.49,93.49,93.42,93.43,42,17,0
1766764800,93.33,93.60,93.20,93.54,1296,17,0
1766768400,93.54,94.82,93.47,94.54,1785,17,0
1766772000,94.55,94.57,94.05,94.14,1000,17,0
1766775600,94.14,94.23,93.95,94.14,816,17,0
1766779200,94.13,94.34,93.97,94.21,734,16,0
1766782800,94.21,94.46,94.11,94.43,592,17,0
1766786400,94.42,94.50,94.08,94.29,581,17,0
1767024000,93.90,94.87,93.78,94.36,2074,17,0
1767027600,94.36,94.41,93.67,93.75,1741,17,0
1767031200,93.76,93.87,93.65,93.71,953,17,0
1767034800,93.71,93.79,93.55,93.78,632,17,0
1767038400,93.77,93.91,93.60,93.78,609,17,0
1767042000,93.78,94.36,93.76,94.29,597,17,0
1767045600,94.28,94.29,94.02,94.03,629,17,0
1767110400,93.51,93.77,93.34,93.73,1480,17,0
1767114000,93.72,93.91,93.27,93.55,1241,17,0
1767117600,93.54,93.89,93.45,93.57,972,17,0
1767121200,93.57,93.85,93.54,93.77,555,17,0
1767124800,93.78,93.83,93.63,93.73,480,17,0
1767128400,93.73,93.90,93.65,93.70,538,17,0
1767132000,93.69,93.83,93.62,93.66,543,17,0
1767196800,93.49,94.03,93.14,93.33,1588,17,0
1767200400,93.31,93.53,93.19,93.29,1291,17,0
1767204000,93.29,94.02,93.25,94.01,951,17,0
1767207600,94.01,94.16,93.78,93.91,970,17,0
1767369600,93.86,93.93,91.95,92.18,2494,17,0
1767373200,92.18,92.86,91.47,91.56,2797,17,0
1767376800,91.55,91.57,90.88,91.09,2211,17,0
1767380400,91.09,91.32,90.75,90.92,1341,17,0
1767384000,90.91,91.20,90.81,90.93,991,17,0
1767387600,90.93,91.46,90.93,91.17,1034,17,0
1767391200,91.16,91.36,90.86,90.89,1028,17,0
1767628800,90.83,92.20,90.79,91.40,2722,17,0
1767632400,91.41,92.05,91.10,91.70,2358,17,0
1767636000,91.70,92.55,91.46,92.16,1670,17,0
1767639600,92.17,92.41,91.53,91.57,1453,17,0
1767643200,91.57,91.78,91.22,91.43,984,17,0
1767646800,91.43,91.68,91.40,91.43,852,17,0
1767650400,91.42,91.66,91.27,91.39,857,16,0
1767715200,91.45,91.54,89.94,90.20,2374,17,0
1767718800,90.19,90.46,89.76,90.03,2158,17,0
1767722400,90.04,90.09,89.67,89.94,1403,17,0
1767726000,89.93,90.83,89.82,90.74,1144,17,0
1767729600,90.73,90.85,90.48,90.77,1033,17,0
1767733200,90.77,90.84,90.57,90.73,852,17,0
1767736800,90.73,90.83,90.47,90.53,799,17,0
1767801600,91.57,92.31,90.87,91.05,2414,17,0
1767805200,91.05,91.07,89.98,90.09,1971,17,0
1767808800,90.10,91.16,90.09,91.06,1296,17,0
1767812400,91.06,91.28,90.82,91.13,994,17,0
1767816000,91.13,91.17,90.61,90.61,845,17,0
1767819600,90.61,90.88,90.35,90.82,771,16,0
1767823200,90.83,91.13,90.28,90.64,1112,17,0
1767888000,90.46,90.54,89.50,90.22,2236,17,0
1767891600,90.20,90.82,89.89,90.23,2284,17,0
1767895200,90.23,90.23,89.51,89.97,1458,17,0
1767898800,89.98,90.14,89.59,90.01,1062,17,0
1767902400,90.01,91.06,89.75,91.06,1228,17,0
1767906000,91.05,91.17,90.29,90.51,1425,17,0
1767909600,90.51,90.60,90.23,90.43,1122,17,0
1767974400,89.78,89.81,88.79,88.88,2252,17,0
1767978000,88.89,89.02,88.25,88.70,2296,17,0
1767981600,88.70,89.01,88.62,88.93,957,17,0
1767985200,88.93,89.01,88.76,88.82,629,17,0
1767988800,88.82,88.97,88.63,88.87,561,17,0
1767992400,88.87,89.18,88.71,88.80,527,17,0
1767996000,88.80,89.39,88.79,89.35,893,17,0
1768233600,89.65,90.23,89.55,90.07,2056,17,0
1768237200,90.07,90.25,89.58,90.00,1766,17,0
1768240800,90.00,90.08,89.64,89.72,1250,17,0
1768244400,89.72,89.88,89.53,89.62,863,17,0
1768248000,89.61,89.72,89.34,89.42,701,17,0
1768251600,89.42,89.68,89.34,89.65,592,17,0
1768255200,89.64,89.83,89.26,89.33,943,16,0
1768320000,89.01,90.90,89.01,90.31,2820,17,0
1768323600,90.31,90.38,89.14,89.32,2669,17,0
1768327200,89.31,89.79,89.19,89.73,1319,17,0
1768330800,89.72,89.78,89.31,89.59,1175,17,0
1768334400,89.58,89.69,89.39,89.53,989,17,0
1768338000,89.53,89.84,89.37,89.84,1153,17,0
1768341600,89.83,91.02,89.35,90.24,2686,17,0
1768406400,91.15,91.39,88.78,89.00,2828,17,0
1768410000,88.98,89.22,88.42,88.48,2774,17,0
1768413600,88.47,88.88,88.32,88.43,1760,17,0
1768417200,88.42,88.47,87.94,88.00,1207,17,0
1768420800,88.00,88.35,87.90,88.24,1312,17,0
1768424400,88.23,88.26,87.97,88.16,896,17,0
1768428000,88.16,88.59,88.07,88.48,1323,17,0
1768492800,88.94,89.81,88.77,89.06,2451,17,0
1768496400,89.05,89.49,88.84,89.05,2336,17,0
1768500000,89.05,89.29,88.93,88.94,1270,17,0
1768503600,88.93,89.09,88.63,88.72,758,17,0
1768507200,88.71,89.04,88.69,88.91,826,17,0
1768510800,88.91,88.91,88.23,88.31,901,17,0
1768514400,88.30,88.34,87.75,87.99,1111,17,0
1768579200,88.20,88.41,87.71,87.97,1778,17,0
1768582800,87.96,88.42,87.74,88.04,1606,17,0
1768586400,88.03,88.22,87.83,87.91,1110,17,0
1768590000,87.91,88.01,87.78,87.87,809,17,0
1768593600,87.87,88.12,87.85,88.03,905,17,0
1768597200,88.02,88.03,87.75,87.78,822,17,0
1768600800,87.78,88.10,87.75,87.92,787,17,0
1768924800,88.76,89.82,88.55,89.00,3199,17,0
1768928400,89.01,89.10,88.14,88.29,2598,17,0
1768932000,88.32,88.74,88.26,88.67,1870,17,0
1768935600,88.65,88.86,87.97,88.13,1294,17,0
1768939200,88.13,88.51,88.04,88.25,1055,17,0
1768942800,88.25,88.31,87.65,87.90,999,17,0
1768946400,87.89,88.11,86.97,87.03,1559,17,0
1769011200,82.41,84.76,81.95,84.76,4065,17,0
1769014800,84.76,85.11,83.34,83.67,4649,17,0
1769018400,83.65,83.94,82.83,83.25,3377,17,0
1769022000,83.25,83.52,82.96,83.21,2623,17,0
1769025600,83.21,83.80,82.92,83.79,2002,17,0
1769029200,83.79,85.00,83.78,84.95,2805,17,0
1769032800,84.95,85.42,84.49,85.27,2250,17,0
1769097600,84.62,84.80,83.67,84.28,2523,17,0
1769101200,84.26,84.79,83.86,83.97,2933,17,0
1769104800,83.97,84.10,83.72,83.97,1571,17,0
1769108400,83.97,84.08,83.16,83.31,1511,17,0
1769112000,83.30,83.31,82.91,83.08,1282,17,0
1769115600,83.07,83.51,82.98,83.33,1168,17,0
1769119200,83.33,83.48,82.96,83.45,1218,17,0
1769184000,83.22,85.03,83.22,85.03,2673,17,0
1769187600,85.03,85.56,84.83,85.15,2683,17,0
1769191200,85.15,86.19,85.03,86.02,1880,17,0
