time,open,high,low,close,tick_volume,spread,real_volume
1764172800,181.47,182.81,178.37,178.60,2011,17,0
1764176400,178.54,180.68,178.21,180.61,3212,17,0
1764180000,180.59,181.65,179.92,180.78,2544,17,0
1764183600,180.79,181.41,180.06,180.93,2388,17,0
1764187200,180.94,181.15,179.66,180.42,2426,17,0
1764190800,180.41,180.68,179.86,180.12,2100,17,0
1764194400,180.15,180.67,179.81,180.14,2016,17,0
1764345600,178.86,179.20,176.92,177.96,1770,17,0
1764349200,177.95,178.16,176.87,177.88,2822,17,0
1764352800,177.90,177.93,176.49,176.88,2405,17,0
1764356400,176.85,177.26,176.47,176.91,2243,17,0
1764604800,174.69,178.57,173.61,178.06,2020,17,0
1764608400,178.12,179.89,177.53,179.34,3934,17,0
1764612000,179.40,179.77,178.33,179.55,2716,17,0
1764615600,179.59,180.21,179.26,179.30,2299,17,0
1764619200,179.30,179.90,179.10,179.86,1968,17,0
1764622800,179.85,179.87,178.54,178.83,2294,17,0
1764626400,178.82,179.76,178.74,179.41,2078,17,0
1764691200,181.55,185.54,181.55,184.71,1845,17,0
1764694800,184.67,185.46,182.91,183.61,3171,17,0
1764698400,183.61,183.77,179.93,181.30,3310,17,0
1764702000,181.29,182.29,181.10,181.10,2436,17,0
1764705600,181.03,181.99,180.96,181.13,2376,17,0
1764709200,181.13,181.67,180.68,181.50,2159,17,0
1764712800,181.50,181.69,180.92,181.06,1914,17,0
1764777600,180.97,180.99,179.08,179.89,1941,17,0
1764781200,179.85,182.32,179.79,180.83,3351,17,0
1764784800,180.86,181.31,179.75,179.92,2711,17,0
1764788400,179.91,180.66,179.83,180.58,2211,17,0
1764792000,180.57,181.13,180.35,180.50,1970,17,0
1764795600,180.49,181.19,180.46,180.57,1637,17,0
1764799200,180.57,180.78,179.40,179.48,1772,17,0
1764864000,181.42,183.03,180.00,180.71,2154,17,0
1764867600,180.63,182.92,180.00,181.66,3848,17,0
1764871200,181.65,184.17,181.09,184.17,3050,17,0
1764874800,184.16,184.43,183.19,183.41,2439,17,0
1764878400,183.40,183.71,182.99,183.38,1973,17,0
1764882000,183.41,183.41,181.93,182.78,2638,17,0
1764885600,182.77,183.29,182.23,183.05,2155,17,0
1764950400,183.81,184.54,180.86,181.84,1945,17,0
1764954000,181.90,183.24,181.52,181.93,3306,17,0
1764957600,181.89,182.43,181.45,182.01,3026,17,0
1764961200,182.01,182.26,181.44,182.18,2347,17,0
1764964800,182.16,182.40,181.59,181.78,1957,17,0
1764968400,181.77,181.84,181.07,181.78,1862,17,0
1764972000,181.75,181.99,181.24,181.70,1726,17,0
1765209600,182.55,185.60,182.48,183.25,2147,17,0
1765213200,183.39,184.43,182.34,183.57,3372,17,0
1765216800,183.56,183.73,183.07,183.51,2731,17,0
1765220400,183.48,186.38,182.83,185.77,2590,17,0
1765224000,185.75,187.76,184.16,184.36,3487,17,0
1765227600,184.28,185.00,183.66,184.30,2753,17,0
1765231200,184.34,185.09,184.17,184.89,2265,17,0
1765296000,185.36,185.45,183.32,184.00,1836,17,0
1765299600,183.96,185.22,183.91,185.11,2965,17,0
1765303200,185.12,185.64,184.21,184.61,2305,17,0
1765306800,184.55,185.09,184.43,185.00,2033,17,0
1765310400,185.01,185.04,184.44,184.68,1853,17,0
1765314000,184.67,184.71,184.04,184.15,1690,17,0
1765317600,184.16,184.86,183.95,184.59,1619,17,0
1765382400,184.48,185.36,183.61,184.27,1762,17,0
1765386000,184.18,184.40,182.53,182.69,2835,17,0
1765389600,182.71,182.88,181.97,182.52,2437,17,0
1765393200,182.50,183.35,182.30,183.16,1837,17,0
1765396800,183.15,183.17,182.31,182.73,1949,17,0
1765400400,182.70,184.51,182.45,184.49,3389,17,0
