time,open,high,low,close,tick_volume,spread,real_volume
1764118800,0.79303,0.79325,0.79277,0.79323,252,17,0
1764122400,0.79322,0.79379,0.79261,0.79329,2280,17,0
1764126000,0.79304,0.80026,0.79236,0.79832,9566,17,0
1764129600,0.79831,0.80134,0.79806,0.80088,5067,17,0
1764133200,0.80087,0.80178,0.79992,0.80074,3113,17,0
1764136800,0.80065,0.80108,0.79985,0.80087,2176,17,0
1764140400,0.80088,0.80120,0.80053,0.80085,1487,17,0
1764144000,0.80083,0.80113,0.79964,0.79989,2273,17,0
1764147600,0.79990,0.80021,0.79836,0.79877,2680,17,0
1764151200,0.79878,0.79950,0.79797,0.79936,2988,17,0
1764154800,0.79940,0.79995,0.79901,0.79928,2363,17,0
1764158400,0.79929,0.79934,0.79833,0.79844,1877,17,0
1764162000,0.79845,0.79910,0.79818,0.79880,2657,17,0
1764165600,0.79882,0.79926,0.79805,0.79909,3589,17,0
1764169200,0.79911,0.80017,0.79823,0.79929,5913,17,0
1764172800,0.79927,0.79996,0.79895,0.79969,3975,17,0
1764176400,0.79945,0.80088,0.79915,0.79964,4892,17,0
1764180000,0.79955,0.80010,0.79952,0.79981,2931,17,0
1764183600,0.79982,0.79988,0.79920,0.79948,2187,17,0
1764187200,0.79932,0.79966,0.79907,0.79939,2292,17,0
1764190800,0.79943,0.79946,0.79905,0.79931,2050,17,0
1764194400,0.79930,0.79947,0.79896,0.79922,1650,17,0
1764198000,0.79922,0.80054,0.79904,0.80001,1016,17,0
1764201600,0.79997,0.80040,0.79961,0.79972,322,54,0
1764205200,0.79967,0.80085,0.79960,0.80064,972,17,0
1764208800,0.80061,0.80158,0.80055,0.80146,1322,17,0
1764212400,0.80147,0.80266,0.80129,0.80266,2520,17,0
1764216000,0.80265,0.80433,0.80240,0.80319,2492,17,0
1764219600,0.80318,0.80367,0.80280,0.80363,1770,17,0
1764223200,0.80365,0.80389,0.80319,0.80334,1306,16,0
1764226800,0.80334,0.80385,0.80315,0.80315,1590,17,0
1764230400,0.80315,0.80319,0.80198,0.80250,1989,17,0
1764234000,0.80251,0.80336,0.80221,0.80313,1805,17,0
1764237600,0.80314,0.80326,0.80185,0.80198,2272,17,0
1764241200,0.80195,0.80290,0.80176,0.80266,1916,17,0
1764244800,0.80267,0.80276,0.80165,0.80172,1378,17,0
1764248400,0.80169,0.80264,0.80161,0.80254,1503,17,0
1764252000,0.80254,0.80257,0.80198,0.80204,1201,17,0
1764255600,0.80203,0.80315,0.80193,0.80294,1907,17,0
1764259200,0.80293,0.80314,0.80257,0.80280,1578,17,0
1764262800,0.80280,0.80369,0.80269,0.80341,1844,17,0
1764266400,0.80344,0.80367,0.80274,0.80309,1205,17,0
1764270000,0.80308,0.80316,0.80253,0.80280,731,16,0
1764273600,0.80274,0.80287,0.80254,0.80267,518,16,0
1764277200,0.80265,0.80279,0.80239,0.80250,377,16,0
1764280800,0.80251,0.80261,0.80233,0.80251,609,17,0
1764284400,0.80250,0.80323,0.80250,0.80314,571,16,0
1764288000,0.80337,0.80338,0.80208,0.80285,925,54,0
1764291600,0.80257,0.80360,0.80235,0.80347,874,17,0
1764295200,0.80349,0.80378,0.80310,0.80340,2682,17,0
1764298800,0.80341,0.80366,0.80304,0.80315,2677,17,0
1764302400,0.80316,0.80318,0.80218,0.80299,13905,17,0
1764306000,0.80300,0.80319,0.80218,0.80264,24352,17,0
1764309600,0.80266,0.80288,0.80229,0.80242,21103,17,0
1764313200,0.80242,0.80268,0.80139,0.80229,15034,17,0
1764316800,0.80237,0.80281,0.80191,0.80214,19407,17,0
1764320400,0.80216,0.80259,0.80165,0.80171,28328,17,0
1764324000,0.80170,0.80211,0.80091,0.80128,18699,17,0
1764327600,0.80133,0.80177,0.80086,0.80140,23433,17,0
1764331200,0.80140,0.80171,0.80112,0.80156,10871,17,0
1764334800,0.80158,0.80170,0.80061,0.80085,24748,17,0
1764338400,0.80083,0.80132,0.80010,0.80025,16551,17,0
1764342000,0.80025,0.80094,0.79956,0.80057,17366,17,0
1764345600,0.80058,0.80109,0.79942,0.79987,4158,17,0
1764349200,0.79987,0.80065,0.79904,0.80009,6498,17,0
1764352800,0.80010,0.80160,0.79989,0.80146,3851,17,0
1764356400,0.80146,0.80186,0.80129,0.80183,2499,17,0
1764360000,0.80175,0.80207,0.80136,0.80136,2625,17,0
1764363600,0.80135,0.80168,0.80134,0.80147,3091,17,0
1764367200,0.80147,0.80183,0.80124,0.80168,7816,17,0
1764370800,0.80166,0.80166,0.79979,0.80064,10432,17,0
1764547200,0.80007,0.80057,0.79984,0.80004,1440,64,0
1764550800,0.79998,0.80153,0.79985,0.80123,1418,17,0
1764554400,0.80121,0.80176,0.80056,0.80096,2426,17,0
1764558000,0.80097,0.80208,0.80079,0.80165,3836,17,0
1764561600,0.80163,0.80169,0.80091,0.80113,2685,17,0
1764565200,0.80112,0.80183,0.80059,0.80183,1682,17,0
1764568800,0.80182,0.80190,0.80129,0.80130,1656,17,0
1764572400,0.80129,0.80144,0.80091,0.80118,1954,17,0
1764576000,0.80116,0.80141,0.80102,0.80137,1840,17,0
1764579600,0.80140,0.80200,0.80074,0.80173,2989,17,0
1764583200,0.80174,0.80224,0.80158,0.80183,3826,17,0
1764586800,0.80183,0.80249,0.80175,0.80233,2815,17,0
1764590400,0.80235,0.80244,0.80105,0.80151,2321,17,0
1764594000,0.80149,0.80208,0.80131,0.80163,1949,17,0
1764597600,0.80164,0.80226,0.80101,0.80224,2717,17,0
1764601200,0.80220,0.80278,0.80173,0.80201,3594,17,0
1764604800,0.80201,0.80204,0.80060,0.80129,4602,17,0
1764608400,0.80126,0.80226,0.80086,0.80171,5802,17,0
1764612000,0.80172,0.80221,0.80137,0.80179,3865,17,0
1764615600,0.80180,0.80229,0.80157,0.80198,2816,17,0
1764619200,0.80193,0.80228,0.80158,0.80175,2272,17,0
1764622800,0.80176,0.80186,0.80127,0.80140,2919,17,0
1764626400,0.80139,0.80178,0.80117,0.80178,2400,17,0
1764630000,0.80175,0.80189,0.80135,0.80171,944,17,0
1764633600,0.80132,0.80134,0.80076,0.80118,282,54,0
