time,open,high,low,close,tick_volume,spread,real_volume
1764118800,0.45409,0.45438,0.45406,0.45438,132,16,0
1764122400,0.45438,0.45459,0.45382,0.45382,1766,16,0
1764126000,0.45374,0.45841,0.45355,0.45732,5082,16,0
1764129600,0.45729,0.45898,0.45719,0.45860,3233,16,0
1764133200,0.45859,0.45919,0.45789,0.45841,2263,16,0
1764136800,0.45835,0.45873,0.45800,0.45855,1517,16,0
1764140400,0.45855,0.45871,0.45759,0.45778,1635,16,0
1764144000,0.45779,0.45811,0.45735,0.45749,1900,16,0
1764147600,0.45745,0.45775,0.45706,0.45749,2743,16,0
1764151200,0.45747,0.45784,0.45686,0.45777,3138,16,0
1764154800,0.45775,0.45805,0.45744,0.45777,2923,16,0
1764158400,0.45775,0.45776,0.45715,0.45719,2317,16,0
1764162000,0.45718,0.45752,0.45701,0.45742,3081,16,0
1764165600,0.45744,0.45768,0.45680,0.45761,4068,16,0
1764169200,0.45759,0.45833,0.45721,0.45818,5343,16,0
1764172800,0.45818,0.45854,0.45764,0.45826,3757,16,0
1764176400,0.45814,0.45905,0.45767,0.45826,4529,16,0
1764180000,0.45825,0.45837,0.45785,0.45811,2985,16,0
1764183600,0.45809,0.45819,0.45760,0.45760,2036,16,0
1764187200,0.45745,0.45791,0.45740,0.45782,1640,16,0
1764190800,0.45780,0.45793,0.45774,0.45779,1530,16,0
1764194400,0.45780,0.45781,0.45754,0.45774,1235,16,0
1764198000,0.45774,0.45844,0.45745,0.45803,910,16,0
1764201600,0.45808,0.45859,0.45794,0.45818,188,56,0
1764205200,0.45793,0.45848,0.45787,0.45821,1130,16,0
1764208800,0.45820,0.45868,0.45816,0.45863,1421,16,0
1764212400,0.45865,0.45928,0.45855,0.45927,2103,16,0
1764216000,0.45928,0.46009,0.45913,0.45977,1947,16,0
1764219600,0.45976,0.46022,0.45959,0.46021,1652,16,0
1764223200,0.46021,0.46056,0.45991,0.46026,1394,16,0
1764226800,0.46027,0.46052,0.45996,0.45996,1461,16,0
1764230400,0.45997,0.46001,0.45952,0.45995,1599,16,0
1764234000,0.45996,0.46070,0.45985,0.46058,2073,16,0
1764237600,0.46054,0.46073,0.45989,0.46002,2600,16,0
1764241200,0.46002,0.46057,0.45988,0.46036,1932,16,0
1764244800,0.46038,0.46047,0.45989,0.46004,1574,16,0
1764248400,0.46004,0.46063,0.45987,0.46053,1823,16,0
1764252000,0.46053,0.46063,0.46029,0.46032,1516,16,0
1764255600,0.46032,0.46048,0.46011,0.46027,1872,16,0
1764259200,0.46025,0.46091,0.46024,0.46080,1605,16,0
1764262800,0.46081,0.46150,0.46076,0.46107,1772,16,0
