time,open,high,low,close,tick_volume,spread,real_volume
1764118800,87.772,87.852,87.765,87.851,324,20,0
1764122400,87.850,87.953,87.775,87.910,4621,20,0
1764126000,87.902,88.702,87.815,88.366,12171,20,0
1764129600,88.365,88.668,88.345,88.629,8652,20,0
1764133200,88.630,88.755,88.606,88.702,5711,20,0
1764136800,88.698,88.833,88.660,88.772,4441,20,0
1764140400,88.773,88.867,88.754,88.834,4489,20,0
1764144000,88.833,88.881,88.751,88.774,4968,20,0
1764147600,88.774,88.841,88.728,88.785,5329,20,0
1764151200,88.785,88.840,88.625,88.825,5474,20,0
1764154800,88.825,88.851,88.735,88.801,4899,20,0
1764158400,88.801,88.802,88.676,88.701,3758,20,0
1764162000,88.701,88.778,88.676,88.720,4856,20,0
1764165600,88.720,88.780,88.629,88.735,6584,20,0
1764169200,88.736,88.864,88.700,88.832,8344,20,0
1764172800,88.832,88.924,88.758,88.881,6737,20,0
1764176400,88.881,89.090,88.854,88.979,7388,20,0
1764180000,88.980,89.042,88.946,89.013,5077,20,0
1764183600,89.013,89.046,88.980,89.031,2937,20,0
1764187200,89.030,89.095,88.955,89.083,3205,20,0
1764190800,89.083,89.105,89.048,89.062,2296,20,0
1764194400,89.063,89.077,89.022,89.039,2137,20,0
1764198000,89.036,89.165,89.036,89.124,1514,20,0
1764201600,89.132,89.186,89.107,89.118,706,53,0
1764205200,89.104,89.163,89.068,89.106,1886,20,0
1764208800,89.105,89.153,89.003,89.102,3611,20,0
1764212400,89.103,89.268,88.978,89.265,6595,20,0
1764216000,89.265,89.475,89.222,89.378,4914,20,0
1764219600,89.378,89.406,89.289,89.387,3473,20,0
1764223200,89.388,89.411,89.308,89.333,3229,20,0
1764226800,89.333,89.356,89.252,89.294,4117,20,0
1764230400,89.295,89.319,89.223,89.292,4457,20,0
1764234000,89.292,89.404,89.283,89.357,3294,20,0
1764237600,89.356,89.388,89.289,89.341,4368,20,0
1764241200,89.341,89.399,89.289,89.355,3551,20,0
1764244800,89.354,89.359,89.219,89.227,2580,20,0
1764248400,89.228,89.344,89.211,89.331,2671,20,0
1764252000,89.331,89.369,89.309,89.328,2224,20,0
1764255600,89.328,89.370,89.292,89.353,2757,20,0
1764259200,89.353,89.429,89.331,89.410,2699,20,0
1764262800,89.410,89.551,89.399,89.505,3018,20,0
1764266400,89.505,89.534,89.443,89.468,1998,20,0
1764270000,89.467,89.483,89.436,89.469,984,20,0
1764273600,89.468,89.472,89.432,89.453,588,19,0
1764277200,89.453,89.470,89.422,89.437,428,19,0
1764280800,89.435,89.439,89.393,89.417,639,20,0
1764284400,89.418,89.513,89.417,89.499,615,20,0
1764288000,89.503,89.503,89.363,89.375,602,52,0
1764291600,89.347,89.545,89.347,89.531,1390,20,0
1764295200,89.534,89.625,89.472,89.575,4599,20,0
1764298800,89.574,89.596,89.490,89.499,5509,20,0
1764302400,89.498,89.516,89.346,89.436,10457,20,0
1764306000,89.435,89.461,89.276,89.388,12361,20,0
1764309600,89.388,89.388,89.287,89.314,12094,20,0
1764313200,89.315,89.406,89.306,89.384,14723,24,0
1764316800,89.386,89.431,89.317,89.343,13095,28,0
1764320400,89.343,89.393,89.239,89.248,16717,20,0
1764324000,89.249,89.333,89.210,89.257,16398,20,0
1764327600,89.259,89.296,89.204,89.236,18529,20,0
1764331200,89.234,89.294,89.147,89.166,13416,20,0
1764334800,89.167,89.173,89.086,89.128,15597,20,0
1764338400,89.130,89.173,89.080,89.119,16534,20,0
1764342000,89.120,89.276,89.116,89.241,15595,20,0
1764345600,89.242,89.468,89.225,89.396,7274,20,0
1764349200,89.397,89.617,89.396,89.556,8741,20,0
1764352800,89.555,89.612,89.514,89.567,5885,20,0
1764356400,89.566,89.639,89.497,89.635,4378,20,0
1764360000,89.634,89.652,89.531,89.541,2956,20,0
1764363600,89.541,89.565,89.523,89.553,3114,20,0
1764367200,89.552,89.598,89.523,89.595,8643,20,0
1764370800,89.595,89.616,89.390,89.492,6140,20,0
1764547200,89.328,89.421,89.315,89.345,867,113,0
1764550800,89.337,89.583,89.337,89.423,2979,20,0
1764554400,89.424,89.424,89.214,89.301,5593,20,0
1764558000,89.299,89.413,89.194,89.305,10679,20,0
1764561600,89.306,89.311,89.047,89.105,7307,20,0
1764565200,89.105,89.168,89.033,89.167,4849,20,0
1764568800,89.167,89.208,89.092,89.147,3777,20,0
1764572400,89.147,89.152,89.015,89.129,4931,20,0
1764576000,89.130,89.186,89.125,89.137,4468,20,0
1764579600,89.140,89.170,89.071,89.113,5036,20,0
1764583200,89.113,89.201,89.051,89.156,7520,20,0
1764586800,89.157,89.183,89.078,89.093,6234,20,0
1764590400,89.093,89.101,88.915,88.990,5845,20,0
1764594000,88.990,89.053,88.942,88.974,5236,20,0
1764597600,88.974,89.005,88.893,88.964,7007,20,0
1764601200,88.964,89.011,88.879,88.941,8346,20,0
1764604800,88.942,88.992,88.871,88.946,8367,20,0
1764608400,88.949,89.104,88.872,89.042,9569,20,0
1764612000,89.042,89.113,88.978,89.056,6801,20,0
1764615600,89.056,89.148,89.041,89.108,4092,20,0
1764619200,89.110,89.133,89.064,89.101,2801,20,0
1764622800,89.100,89.105,88.989,89.021,2960,20,0
1764626400,89.022,89.038,88.988,89.019,2275,20,0
1764630000,89.017,89.061,88.995,89.036,1229,20,0
