time,open,high,low,close,tick_volume,spread,real_volume
1584928800,2817.00,2860.00,2795.00,2824.00,613,0,0
1599706800,2940.00,2942.00,2916.00,2942.00,247,0,0
1599793200,2974.00,3017.00,2965.00,3014.00,317,0,0
1600052400,2965.00,2981.00,2939.00,2954.00,366,0,0
1600138800,2916.00,2941.00,2863.00,2935.00,686,0,0
1600225200,2933.00,2963.00,2926.00,2961.00,230,0,0
1600311600,2968.00,2985.00,2955.00,2958.00,251,0,0
1600398000,2972.00,3030.00,2969.00,3021.00,362,0,0
1600830000,3023.00,3044.00,3007.00,3030.00,332,0,0
1600916400,3020.00,3037.00,3012.00,3018.00,237,0,0
1601002800,3011.00,3017.00,2986.00,2990.00,208,0,0
1601262000,3001.00,3015.00,2989.00,3004.00,243,0,0
1601348400,3005.00,3011.00,2993.00,3000.00,152,0,0
1601434800,2987.00,2997.00,2965.00,2972.00,246,0,0
1601521200,2992.00,2992.00,2992.00,2992.00,1,0,0
1601607600,2978.00,2980.00,2923.00,2927.00,320,0,0
1601866800,2973.00,2994.00,2958.00,2985.00,294,0,0
1601953200,2974.00,2992.00,2961.00,2988.00,234,0,0
1602039600,2980.00,3008.00,2978.00,3002.00,188,0,0
1602126000,3020.00,3022.00,3007.00,3013.00,124,0,0
1602212400,3015.00,3019.00,2984.00,2996.00,254,0,0
1602558000,3029.00,3044.00,3021.00,3033.00,210,0,0
1602644400,3046.00,3060.00,3039.00,3055.00,159,0,0
1602730800,3048.00,3062.00,3045.00,3053.00,146,0,0
1602817200,3035.00,3044.00,2987.00,2991.00,357,0,0
1603076400,3002.00,3039.00,2994.00,3029.00,313,0,0
1603162800,3011.00,3029.00,2985.00,2986.00,322,0,0
1603249200,2995.00,3032.00,2994.00,3024.00,238,0,0
1603335600,3014.00,3027.00,2993.00,3022.00,303,0,0
1603422000,3027.00,3053.00,3021.00,3051.00,201,0,0
1603677600,3036.00,3078.00,3036.00,3074.00,228,0,0
1603764000,3070.00,3080.00,3042.00,3074.00,357,0,0
1603850400,3066.00,3085.00,3060.00,3085.00,156,0,0
1603936800,3071.00,3075.00,3045.00,3054.00,222,0,0
1604282400,2952.00,3018.00,2947.00,3009.00,422,0,0
1604455200,3070.00,3107.00,3059.00,3092.00,370,0,0
1604541600,3110.00,3155.00,3092.00,3154.00,411,0,0
1604628000,3149.00,3152.00,3102.00,3143.00,471,0,0
1604887200,3160.00,3180.00,3157.00,3177.00,143,0,0
1604973600,3252.00,3415.00,3250.00,3353.00,1148,0,0
1605060000,3396.00,3460.00,3387.00,3440.00,507,0,0
1605146400,3393.00,3440.00,3386.00,3433.00,337,0,0
1605232800,3400.00,3407.00,3344.00,3363.00,450,0,0
1605578400,3450.00,3500.00,3435.00,3464.00,578,0,0
1605664800,3450.00,3500.00,3442.00,3462.00,521,0,0
1605751200,3460.00,3517.00,3436.00,3515.00,536,0,0
1605837600,3462.00,3468.00,3387.00,3456.00,789,0,0
1606183200,3514.00,3587.00,3503.00,3576.00,534,0,0
1606269600,3602.00,3659.00,3557.00,3572.00,877,0,0
1606356000,3577.00,3604.00,3570.00,3588.00,282,0,0
1606442400,3595.00,3644.00,3589.00,3620.00,428,0,0
1606701600,3600.00,3604.00,3561.00,3571.00,288,0,0
1606788000,3602.00,3608.00,3548.00,3559.00,388,0,0
1606874400,3579.00,3583.00,3518.00,3526.00,388,0,0
1606960800,3553.00,3573.00,3541.00,3566.00,252,0,0
1607047200,3559.00,3599.00,3553.00,3596.00,269,0,0
1607306400,3600.00,3616.00,3531.00,3574.00,719,0,0
1607392800,3550.00,3585.00,3544.00,3582.00,244,0,0
1607479200,3552.00,3594.00,3548.00,3592.00,264,0,0
1607565600,3579.00,3680.00,3579.00,3677.00,518,0,0
1607652000,3647.00,3675.00,3632.00,3667.00,331,0,0
1607911200,3659.00,3719.00,3645.00,3650.00,698,0,0
1607997600,3612.00,3615.00,3516.00,3526.00,563,0,0
1608084000,3501.00,3549.00,3501.00,3526.00,362,0,0
1608170400,3525.00,3544.00,3492.00,3524.00,514,0,0
1608516000,3381.00,3396.00,3307.00,3328.00,628,0,0
1608602400,3275.00,3287.00,3218.00,3248.00,562,0,0
1608688800,3292.00,3343.00,3283.00,3314.00,487,0,0
1608775200,3301.00,3307.00,3267.00,3294.00,374,0,0
1608861600,3300.00,3354.00,3298.00,3304.00,547,0,0
1609120800,3316.00,3327.00,3270.00,3324.00,525,0,0
1609207200,3355.00,3424.00,3352.00,3418.00,403,0,0
1609293600,3430.00,3434.00,3402.00,3412.00,229,0,0
1609639200,3500.00,3500.00,3196.00,3340.00,2237,0,0
1609725600,3338.00,3600.00,3224.00,3240.00,3271,0,0
1609812000,3239.00,3500.00,3201.00,3214.00,2868,0,0
1609898400,3215.00,3605.00,3200.00,3255.00,3853,0,0
1609984800,3254.00,3275.00,3201.00,3203.00,492,0,0
1610071200,3204.00,3224.00,3167.00,3222.00,480,0,0
1610330400,3222.00,4024.00,3219.00,3219.00,8038,0,0
1610416800,3218.00,3258.00,3187.00,3237.00,614,0,0
1610503200,3235.00,3500.00,3140.00,3222.00,3532,0,0
1610589600,3225.00,3500.00,3040.00,3299.00,4227,0,0
1610676000,3297.00,3298.00,3195.00,3197.00,537,0,0
1610762400,3197.00,3197.00,3197.00,3197.00,1,0,0
1610848800,3167.00,3200.00,3167.00,3196.00,184,0,0
1610935200,3194.00,3227.00,3000.00,3195.00,2268,0,0
1611021600,3196.00,3300.00,3121.00,3197.00,1792,0,0
1611108000,3201.00,3716.00,3000.00,3171.00,7013,0,0
1611194400,3171.00,3207.00,2600.00,3158.00,5998,0,0
1611280800,3159.00,3215.00,3141.00,3202.00,522,0,0
1611453600,3400.00,3400.00,3162.00,3207.00,1416,0,0
1611540000,3209.00,3247.00,2781.00,3224.00,4583,0,0
1611626400,3225.00,3990.00,3100.00,3229.00,8879,0,0
1611712800,3228.00,3229.00,2820.00,3155.00,3724,0,0
1611799200,3157.00,3287.00,2905.00,3287.00,3171,0,0
1611885600,3288.00,3345.00,3242.00,3266.00,919,0,0
1611972000,3266.00,3266.00,3266.00,3266.00,1,0,0
1612058400,4070.00,4070.00,3137.00,3221.00,5088,0,0
1612144800,3221.00,3395.00,3218.00,3272.00,1522,0,0
1612231200,3272.00,4106.00,3237.00,3314.00,8477,0,0
1612317600,3317.00,3418.00,3061.00,3410.00,3100,0,0
1612404000,3411.00,3478.00,3040.00,3441.00,4237,0,0
1612490400,3442.00,3459.00,3411.00,3457.00,403,0,0
1612663200,3700.00,4258.00,3458.00,3500.00,7003,0,0
1612749600,3502.00,3599.00,3001.00,3557.00,5703,0,0
1612836000,3553.00,3700.00,3524.00,3603.00,1507,0,0
1612922400,3601.00,3624.00,3557.00,3567.00,499,0,0
1613008800,3148.00,3600.00,3148.00,3567.00,2424,0,0
1613095200,3568.00,3585.00,3527.00,3551.00,498,0,0
1613268000,3700.00,3700.00,3550.00,3560.00,797,0,0
1613354400,3559.00,3590.00,3361.00,3546.00,2226,0,0
1613440800,3551.00,3660.00,3491.00,3512.00,1502,0,0
1613527200,3513.00,3720.00,3499.00,3639.00,1587,0,0
1613613600,3640.00,3727.00,3160.00,3671.00,5509,0,0
1613700000,3672.00,3680.00,3572.00,3582.00,633,0,0
1613872800,4380.00,4380.00,3580.00,3615.00,4178,0,0
1613959200,3620.00,3634.00,3593.00,3611.00,372,0,0
1614045600,3611.00,3680.00,3567.00,3594.00,1052,0,0
1614132000,3595.00,4456.00,3582.00,3699.00,8227,0,0
1614218400,3697.00,4457.00,3361.00,3621.00,10587,0,0
1614304800,3624.00,3639.00,3559.00,3565.00,502,0,0
1614391200,3565.00,3565.00,3565.00,3565.00,1,0,0
1614477600,4000.00,4000.00,3360.00,3587.00,4338,0,0
1614564000,3595.00,3720.00,3562.00,3640.00,1352,0,0
1614650400,3639.00,3700.00,3561.00,3583.00,1111,0,0
1614736800,3583.00,3594.00,2751.00,3532.00,8172,0,0
1614823200,3528.00,3600.00,2736.00,3543.00,8559,0,0
1614909600,3540.00,3550.00,3456.00,3526.00,863,0,0
1615168800,3548.00,3564.00,3415.00,3429.00,896,0,0
1615255200,3460.00,3487.00,3414.00,3451.00,680,0,0
1615341600,3441.00,3480.00,3433.00,3451.00,415,0,0
1615428000,3381.00,3393.00,3369.00,3384.00,222,0,0
1615514400,3377.00,3382.00,3309.00,3376.00,734,0,0
1615773600,3376.00,3381.00,3326.00,3372.00,533,0,0
1615860000,3375.00,3470.00,3368.00,3470.00,545,0,0
1615946400,3458.00,3458.00,3426.00,3438.00,223,0,0
1616032800,3449.00,3449.00,3416.00,3440.00,286,0,0
1616119200,3423.00,3488.00,3384.00,3477.00,770,0,0
1616378400,3406.00,3421.00,3346.00,3395.00,698,0,0
1616464800,3409.00,3458.00,3396.00,3398.00,566,0,0
1616551200,3394.00,3394.00,3264.00,3285.00,762,0,0
1616637600,3302.00,3322.00,3283.00,3302.00,391,0,0
1616724000,3320.00,3382.00,3302.00,3378.00,513,0,0
1616986800,3401.00,3485.00,3381.00,3469.00,697,0,0
1617073200,3460.00,3460.00,3368.00,3391.00,576,0,0
1617159600,3371.00,3394.00,3326.00,3328.00,472,0,0
1617246000,3324.00,3351.00,3302.00,3307.00,410,0,0
1617332400,3344.00,3389.00,3337.00,3373.00,372,0,0
1617591600,3388.00,3396.00,3364.00,3370.00,229,0,0
1617678000,3381.00,3386.00,3294.00,3315.00,585,0,0
1617764400,3330.00,3386.00,3315.00,3317.00,644,0,0
1617850800,3299.00,3301.00,3265.00,3267.00,201,0,0
