time,open,high,low,close,tick_volume,spread,real_volume
1661781600,346.03,346.03,346.03,346.03,1,0,0
1661846400,350.90,350.90,350.90,350.90,1,0,0
1662030000,340.23,340.23,340.23,340.23,1,0,0
1663063200,357.53,357.53,357.53,357.53,1,0,0
1663066800,357.60,357.60,357.60,357.60,1,0,0
1663765200,334.88,334.88,334.88,334.88,1,0,0
1665496800,325.63,326.53,325.03,326.38,336,34,0
1665500400,326.33,328.38,326.20,326.98,1330,34,0
1665504000,326.93,327.20,324.31,324.43,1796,34,0
1665507600,324.43,327.23,323.85,326.35,2274,34,0
1665511200,326.35,327.58,325.98,326.65,1177,34,0
1665568800,328.31,330.06,326.76,329.03,1977,34,0
1665572400,329.01,330.53,328.83,329.38,1978,34,0
1665576000,329.33,331.10,328.68,330.08,1506,34,0
1665579600,330.13,330.88,328.33,328.85,1809,34,0
1665583200,328.83,329.70,328.25,328.40,1778,34,0
1665586800,328.43,329.08,326.43,326.58,3100,34,0
1665590400,326.55,328.18,324.98,328.15,3386,34,0
1665594000,328.20,328.58,326.85,328.13,3426,34,0
1665597600,328.18,328.95,328.10,328.80,1131,34,0
1665655200,326.13,326.20,322.88,323.95,2448,34,0
1665658800,323.93,324.35,322.75,323.60,1764,34,0
1665662400,323.63,325.10,323.30,323.55,1668,34,0
1665666000,323.58,323.95,322.10,323.50,1296,34,0
1665669600,323.53,324.13,322.60,323.85,2713,34,0
1665673200,323.88,324.18,313.48,316.15,4894,34,0
1665676800,316.10,316.58,311.20,314.68,5353,34,0
1665680400,314.65,318.30,314.40,318.03,5616,34,0
1665684000,318.00,322.05,317.80,321.83,2892,34,0
1665741600,326.50,329.10,323.23,326.28,3872,34,0
1665745200,326.30,327.45,325.40,325.68,3014,34,0
1665748800,325.65,327.30,324.65,327.15,3183,34,0
1665752400,327.13,330.23,327.05,329.63,3217,34,0
1665756000,329.58,331.08,328.33,328.50,1987,34,0
1665759600,328.50,332.53,328.45,331.68,2735,34,0
1665763200,331.70,332.48,330.35,330.43,4121,34,0
1665766800,330.40,330.40,325.43,327.05,5483,34,0
1665770400,327.05,327.93,325.53,327.10,2275,34,0
1666000800,326.65,327.17,322.31,324.61,2200,34,0
1666004400,324.58,324.73,323.18,323.95,1691,34,0
1666008000,323.90,325.86,323.61,325.68,1464,34,0
1666011600,325.70,326.61,323.75,324.38,2055,34,0
1666015200,324.40,324.50,323.48,323.95,1405,34,0
1666018800,323.90,326.18,323.88,326.18,1844,34,0
1666022400,326.20,329.78,326.20,328.28,3013,34,0
1666026000,328.33,329.40,326.68,326.83,3343,34,0
1666029600,326.83,327.75,326.15,327.68,1323,34,0
1666087200,330.33,332.43,328.93,331.88,2938,34,0
1666090800,331.85,332.55,328.93,329.23,2536,34,0
1666094400,329.25,329.35,326.70,327.88,2567,34,0
1666098000,327.90,328.53,327.05,328.25,1609,34,0
1666101600,328.23,330.10,327.85,329.98,1816,34,0
1666105200,329.95,332.20,329.88,331.50,2107,34,0
1666108800,331.53,333.48,331.48,331.98,3474,34,0
1666112400,331.95,333.03,331.95,332.35,3184,34,0
1666116000,332.38,332.88,329.95,330.93,2033,34,0
1666173600,330.65,331.10,327.80,329.68,2985,34,0
1666177200,329.65,330.48,328.30,330.30,2100,34,0
1666180800,330.28,332.25,330.18,332.23,1892,34,0
1666184400,332.20,332.45,329.83,330.58,2147,34,0
1666188000,330.55,331.28,329.13,330.03,2310,34,0
1666191600,330.03,330.25,328.35,329.55,2380,34,0
1666195200,329.53,331.23,327.68,328.18,2800,34,0
1666198800,328.15,329.80,327.30,327.30,2607,34,0
1666202400,327.25,327.30,325.80,326.30,1404,34,0
1666260000,327.60,329.40,326.40,326.83,3082,34,0
1666263600,326.80,327.40,325.33,325.88,2168,34,0
1666267200,325.90,327.45,325.88,326.28,1897,34,0
1666270800,326.25,327.63,325.03,327.28,1979,34,0
1666274400,327.25,327.85,325.98,326.28,1764,34,0
1666278000,326.23,328.90,325.80,325.88,3203,34,0
1666281600,325.85,327.33,324.95,325.88,3082,34,0
1666285200,325.93,329.50,325.85,327.23,3134,34,0
1666288800,327.20,328.73,327.20,328.10,1283,34,0
1666346400,314.90,315.45,310.88,315.20,5356,34,0
1666350000,315.15,316.23,313.93,315.10,3543,34,0
1666353600,315.15,315.63,313.23,313.80,3190,34,0
1666357200,313.78,314.80,310.95,311.08,2194,34,0
1666360800,311.05,313.08,310.18,311.50,1725,34,0
1666364400,311.48,311.55,308.35,310.60,3622,34,0
1666368000,310.65,313.50,310.33,313.50,5358,34,0
1666371600,313.53,313.80,310.55,310.65,4683,34,0
1666375200,310.68,312.03,310.48,311.85,1960,34,0
1666605600,313.15,315.98,311.93,314.90,3217,34,0
1666609200,314.88,315.25,312.70,313.93,2737,34,0
1666612800,313.85,315.58,312.90,315.43,1956,34,0
1666616400,315.45,318.50,315.40,317.15,2823,34,0
1666620000,317.13,317.95,315.75,317.13,2558,34,0
1666623600,317.10,317.63,315.78,317.63,2220,34,0
1666627200,317.55,318.83,316.65,317.80,4776,34,0
1666630800,317.75,317.90,315.23,315.75,3578,34,0
1666634400,315.75,316.20,314.88,315.40,1166,34,0
1666692000,314.85,314.95,303.90,309.48,4763,34,0
1666695600,309.53,314.70,308.75,313.15,3569,34,0
1666699200,313.10,316.08,312.38,315.70,2875,34,0
1666702800,315.73,316.38,314.80,315.60,2725,34,0
1666706400,315.60,315.90,314.93,315.40,2314,34,0
1666710000,315.35,315.70,314.70,314.98,1958,34,0
1666713600,315.00,318.83,314.85,317.80,3471,34,0
1666717200,317.78,320.20,317.25,318.40,3519,34,0
1666720800,318.45,321.38,318.43,321.33,1104,34,0
1666778400,320.83,322.73,319.75,321.25,3334,34,0
1666782000,321.23,321.95,320.10,320.85,2468,34,0
1666785600,320.85,320.88,318.33,318.80,2741,34,0
1666789200,318.83,320.35,318.78,319.95,1717,34,0
1666792800,320.00,320.00,317.93,318.25,2003,34,0
1666796400,318.23,320.03,318.23,318.50,1876,34,0
1666800000,318.45,318.93,317.65,317.65,3097,34,0
1666803600,317.68,319.70,317.65,318.70,4133,34,0
1666807200,318.68,319.60,318.60,319.23,1410,34,0
1666864800,318.60,319.73,315.45,316.60,3603,34,0
1666868400,316.53,319.63,315.85,319.05,3320,34,0
1666872000,319.03,319.43,316.93,317.00,2474,34,0
1666875600,317.03,317.55,315.58,316.05,2316,34,0
1666879200,316.08,316.15,313.58,314.35,2700,34,0
1666882800,314.40,317.10,313.60,315.95,4862,34,0
1666886400,316.00,317.55,313.40,313.58,4592,34,0
1666890000,313.50,316.55,313.18,315.23,3582,34,0
1666893600,315.20,316.23,313.93,314.08,1216,34,0
1666951200,312.97,313.02,309.18,310.35,3070,34,0
1666954800,310.35,312.08,310.00,310.98,2773,34,0
1666958400,310.95,311.65,309.25,311.38,2699,34,0
1666962000,311.43,311.43,309.08,310.78,2209,34,0
1666965600,310.80,310.90,309.43,309.53,1734,34,0
1666969200,309.55,311.05,308.53,309.78,3171,34,0
1666972800,309.88,312.55,309.60,311.08,3549,34,0
1666976400,311.13,314.33,310.48,313.95,3781,34,0
1666980000,314.00,314.58,313.45,314.08,1003,34,0
1667210400,315.13,316.73,314.26,315.10,1799,34,0
1667214000,315.00,315.08,313.63,314.78,1443,34,0
1667217600,314.75,315.90,314.50,315.88,1515,34,0
1667221200,315.90,316.58,315.43,316.18,1445,34,0
1667224800,316.20,317.38,316.00,317.28,1422,34,0
1667228400,317.30,319.25,317.25,317.80,2370,34,0
1667232000,317.78,318.38,315.40,316.80,2914,34,0
1667235600,316.75,318.10,316.58,316.83,2372,34,0
1667239200,316.85,318.45,316.55,318.23,1138,34,0
1667296800,320.30,322.53,319.81,321.58,1533,34,0
1667300400,321.56,322.28,320.08,320.38,1116,34,0
1667304000,320.43,322.51,320.23,322.26,1168,34,0
1667307600,322.18,322.23,320.48,320.85,790,34,0
