time,open,high,low,close,tick_volume,spread,real_volume
1205719200,50.00,52.65,49.24,49.39,622,0,0
1205805600,49.85,52.00,47.75,49.60,826,0,0
1205892000,49.60,51.00,46.90,50.10,771,0,0
1205978400,50.20,50.20,48.87,49.15,162,0,0
1206324000,49.81,51.00,49.81,51.00,120,0,0
1206410400,51.40,51.75,50.60,51.75,196,0,0
1206496800,51.70,52.47,50.30,50.30,295,0,0
1206583200,50.95,52.03,50.00,50.68,380,0,0
1206669600,50.95,52.50,50.56,51.06,378,0,0
1206932400,52.40,54.70,50.00,50.58,759,0,0
1207018800,51.10,52.19,49.01,50.58,585,0,0
1207105200,51.16,52.07,50.15,51.21,380,0,0
1207191600,51.00,51.50,50.40,51.05,216,0,0
1207278000,51.48,51.48,50.80,51.37,126,0,0
1207537200,51.60,51.60,50.50,50.67,128,0,0
1207623600,50.41,51.01,50.21,50.60,142,0,0
1207710000,50.50,50.59,49.15,49.38,177,0,0
1207796400,49.49,49.91,48.50,48.66,200,0,0
1207882800,48.49,48.89,48.08,48.33,147,0,0
1208142000,48.30,48.35,47.43,48.00,155,0,0
1208228400,47.78,48.35,47.78,48.20,73,0,0
1208314800,48.41,49.61,48.35,49.46,148,0,0
1208401200,49.72,50.00,49.42,49.85,104,0,0
1208487600,50.49,50.94,49.38,49.96,260,0,0
1208746800,50.20,50.89,49.13,50.63,310,0,0
1208833200,50.60,50.90,49.92,50.07,144,0,0
1208919600,51.00,52.34,50.90,52.00,189,0,0
1209006000,52.00,52.43,51.50,52.00,187,0,0
1209092400,52.14,52.18,50.75,51.30,203,0,0
1209351600,50.94,51.30,50.75,51.07,98,0,0
1209438000,51.44,52.20,50.26,52.01,332,0,0
1209524400,51.70,52.01,50.91,51.03,154,0,0
1209610800,50.83,51.17,50.62,50.75,103,0,0
1209697200,50.90,51.10,50.40,51.02,129,0,0
1209956400,50.87,51.63,50.63,50.81,195,0,0
1210042800,50.90,51.95,50.85,51.88,123,0,0
1210129200,51.97,52.20,51.31,51.69,151,0,0
1210215600,51.65,52.21,51.50,52.20,88,0,0
1210302000,51.90,52.46,51.53,51.83,180,0,0
1210561200,51.98,52.54,51.30,52.47,200,0,0
1210647600,52.42,52.84,52.04,52.46,157,0,0
1210734000,52.51,52.85,52.40,52.67,75,0,0
1210820400,52.51,53.31,52.10,53.25,169,0,0
1210906800,53.23,53.50,52.35,53.38,216,0,0
1211166000,53.49,53.95,52.93,53.63,191,0,0
1211252400,53.30,53.94,52.82,52.91,186,0,0
1211338800,53.04,53.18,51.83,51.98,165,0,0
1211425200,51.82,52.77,51.78,52.28,153,0,0
1211511600,52.10,52.98,51.75,51.80,217,0,0
1211857200,51.92,51.94,51.12,51.63,136,0,0
1211943600,51.70,51.90,50.83,51.16,161,0,0
1212030000,50.96,52.16,50.93,52.02,141,0,0
1212116400,52.07,52.99,51.81,52.66,178,0,0
1212375600,52.15,52.70,51.92,52.11,153,0,0
1212462000,52.10,52.62,51.67,51.67,148,0,0
1212548400,51.69,52.27,51.50,51.95,129,0,0
1212634800,52.03,52.24,51.54,51.81,119,0,0
1212721200,51.50,51.51,50.40,50.50,123,0,0
1212980400,50.80,50.95,49.18,49.49,224,0,0
1213066800,49.01,49.65,48.53,49.49,177,0,0
1213153200,49.49,50.60,49.12,49.86,260,0,0
1213239600,49.87,51.38,49.87,51.29,161,0,0
1213326000,51.28,51.88,50.70,51.61,204,0,0
1213585200,51.17,51.17,50.24,50.73,143,0,0
1213671600,50.55,50.97,50.12,50.63,163,0,0
1213758000,50.22,50.56,49.82,49.90,117,0,0
1213844400,49.80,50.58,49.70,50.40,117,0,0
1213930800,50.07,50.59,49.77,50.22,150,0,0
1214190000,50.33,50.70,49.90,50.64,130,0,0
1214276400,50.25,51.54,50.05,51.17,207,0,0
1214362800,51.45,52.75,51.25,51.77,269,0,0
1214449200,51.10,51.54,50.15,50.15,184,0,0
1214535600,50.11,50.25,49.22,49.83,179,0,0
1214794800,49.80,50.17,48.84,49.39,226,0,0
1214881200,49.03,50.59,48.73,50.39,237,0,0
1214967600,50.47,51.07,49.87,50.60,228,0,0
1215054000,50.57,51.51,50.29,51.47,155,0,0
1215399600,51.47,52.33,51.10,51.85,209,0,0
1215486000,51.73,54.00,51.56,53.77,285,0,0
1215572400,53.72,54.43,53.25,54.00,209,0,0
1215658800,53.89,53.99,52.71,53.44,212,0,0
1215745200,52.93,53.84,52.25,53.37,275,0,0
1216004400,53.26,53.89,52.75,53.56,199,0,0
1216090800,52.89,53.87,52.32,53.30,270,0,0
1216177200,52.77,53.37,51.73,52.92,314,0,0
1216263600,53.20,53.20,50.90,50.96,237,0,0
1216350000,51.10,51.47,50.12,50.72,233,0,0
1216609200,50.82,50.99,50.25,50.48,115,0,0
1216695600,50.25,52.10,50.06,52.05,229,0,0
1216782000,52.59,52.59,50.89,51.47,229,0,0
1216868400,51.40,53.09,51.40,52.46,233,0,0
1216954800,52.27,53.55,52.27,53.05,179,0,0
1217214000,52.78,53.25,52.34,52.62,167,0,0
1217300400,52.74,53.41,52.63,53.34,97,0,0
1217386800,53.56,54.02,52.67,53.37,252,0,0
1217473200,53.37,53.79,51.34,51.65,319,0,0
