time,open,high,low,close,tick_volume,spread,real_volume
946864800,199.25,200.00,174.00,179.31,3207,0,0
946951200,172.56,175.31,160.00,162.06,2013,0,0
947037600,159.88,163.25,139.00,156.44,4507,0,0
947124000,148.50,156.00,139.75,140.06,2407,0,0
947210400,134.00,150.50,132.92,150.00,1917,0,0
947469600,162.00,163.00,152.50,159.38,1839,0,0
947556000,156.00,157.88,141.50,144.44,2121,0,0
947642400,145.00,147.50,136.06,138.25,1614,0,0
947728800,144.38,145.63,137.62,143.12,1477,0,0
947815200,147.62,148.94,139.50,140.44,1171,0,0
948160800,137.44,141.25,135.00,139.06,1089,0,0
948247200,137.12,147.00,137.00,146.62,1051,0,0
948333600,149.25,156.00,147.13,155.62,1138,0,0
948420000,158.25,160.44,151.00,154.94,1558,0,0
948679200,155.75,157.00,139.63,140.06,1906,0,0
948765600,143.62,149.94,140.00,149.00,1451,0,0
948852000,129.00,130.88,120.00,124.63,1740,0,0
948938400,126.69,128.00,117.38,120.00,1456,0,0
949024800,121.06,121.37,105.62,110.56,2101,0,0
949284000,112.63,127.50,112.19,127.00,1626,0,0
949370400,131.50,140.00,130.92,136.06,1361,0,0
949456800,136.88,145.50,136.00,142.06,1383,0,0
949543200,145.12,148.00,132.00,139.19,2608,0,0
949629600,141.88,141.88,135.00,137.44,933,0,0
949888800,134.44,135.25,130.25,133.44,901,0,0
949975200,133.50,139.63,133.44,139.06,683,0,0
950061600,139.50,140.00,133.00,133.31,782,0,0
950148000,134.56,137.12,133.00,136.94,587,0,0
950234400,135.08,136.50,131.50,132.00,693,0,0
950493600,129.38,130.00,125.00,127.12,775,0,0
950580000,124.36,127.69,120.06,126.62,1301,0,0
950666400,125.38,131.50,121.00,121.88,1751,0,0
950752800,125.12,131.00,122.00,130.00,1313,0,0
950839200,132.02,138.75,131.75,134.50,1153,0,0
951184800,132.50,135.75,126.25,130.56,1707,0,0
951357600,136.88,142.25,135.00,139.69,1170,0,0
951444000,136.25,142.00,133.37,133.56,1458,0,0
951703200,137.50,147.50,137.50,143.25,1426,0,0
951789600,146.00,148.00,138.25,142.44,1595,0,0
951876000,140.50,141.31,136.53,139.00,807,0,0
951962400,138.88,139.12,132.00,132.19,756,0,0
952048800,131.00,135.00,126.00,131.87,1714,0,0
952308000,129.50,138.00,128.00,133.25,1626,0,0
952394400,134.50,134.75,127.50,128.00,801,0,0
952480800,130.63,131.62,124.98,129.13,1179,0,0
952567200,127.19,129.25,124.75,127.00,882,0,0
952653600,125.19,145.50,122.00,136.12,3608,0,0
952912800,128.38,136.00,127.12,130.19,1596,0,0
952999200,132.13,134.00,125.00,125.12,1100,0,0
953085600,126.00,133.00,125.50,128.00,1301,0,0
953172000,130.44,134.00,126.50,132.88,1257,0,0
953258400,132.75,137.50,132.62,136.25,627,0,0
953517600,134.31,135.94,128.00,129.62,1120,0,0
953604000,127.75,135.00,125.75,134.62,1164,0,0
953690400,133.69,135.75,130.50,134.87,933,0,0
953776800,132.56,144.62,132.25,144.13,1318,0,0
953863200,143.50,152.42,142.37,146.00,1761,0,0
954126000,147.69,156.00,146.50,148.94,1776,0,0
954212400,149.75,157.00,147.00,154.81,1495,0,0
954298800,158.25,162.56,152.19,157.50,2000,0,0
954385200,151.88,157.25,139.25,145.23,2936,0,0
954471600,149.81,153.50,145.00,149.31,1651,0,0
954730800,148.69,152.00,138.06,140.75,1995,0,0
954817200,141.88,147.50,124.00,146.62,4227,0,0
954903600,140.75,145.00,137.12,141.25,1527,0,0
954990000,141.38,143.00,137.00,139.12,975,0,0
955076400,141.88,152.75,140.00,152.25,1514,0,0
955335600,151.37,151.81,140.25,141.19,1295,0,0
955422000,135.50,147.50,133.94,137.44,2519,0,0
955508400,137.94,141.00,125.00,125.12,1919,0,0
955594800,128.00,135.62,123.00,126.50,2375,0,0
955681200,123.00,130.75,103.00,105.19,3770,0,0
955940400,98.44,117.44,98.12,116.87,2022,0,0
956026800,115.52,121.25,107.00,112.19,2518,0,0
956113200,119.25,125.87,113.00,114.75,2125,0,0
956199600,115.94,118.50,106.50,109.50,1757,0,0
956545200,103.00,104.00,92.25,99.62,2013,0,0
956631600,104.50,108.31,101.50,104.94,1319,0,0
956718000,104.94,105.25,97.00,97.25,882,0,0
956804400,94.88,104.00,94.50,103.50,1039,0,0
956890800,105.88,110.00,104.50,108.44,845,0,0
957150000,109.63,111.94,107.25,109.75,927,0,0
957236400,110.81,120.00,110.12,113.69,1689,0,0
957322800,111.62,114.00,108.13,110.94,1107,0,0
957409200,110.86,112.25,105.69,106.69,896,0,0
957495600,105.31,111.38,105.00,109.75,833,0,0
957754800,106.50,107.72,102.81,103.00,633,0,0
957841200,104.50,107.87,102.00,105.00,1125,0,0
957927600,102.25,104.00,97.00,97.31,907,0,0
958014000,100.75,101.25,95.00,99.31,1107,0,0
958100400,101.75,102.50,97.50,98.00,626,0,0
958359600,98.31,104.50,96.62,104.31,977,0,0
958446000,105.36,109.00,105.00,108.69,468,0,0
958532400,104.50,106.25,102.44,103.16,629,0,0
958618800,103.12,103.19,96.00,96.94,821,0,0
958705200,95.00,96.62,89.03,89.19,938,0,0
958964400,90.00,90.12,77.75,88.44,2319,0,0
959050800,86.75,87.38,79.25,79.38,890,0,0
959137200,76.31,78.50,69.78,76.75,1701,0,0
959223600,79.56,82.25,68.62,69.00,1671,0,0
959310000,69.81,70.00,62.38,66.06,1150,0,0
959655600,63.33,76.62,60.00,76.38,2020,0,0
959742000,70.75,72.00,66.00,66.38,764,0,0
959828400,71.25,72.00,68.25,69.00,526,0,0
960174000,65.06,69.88,64.88,67.25,782,0,0
960260400,67.75,72.88,67.62,68.88,940,0,0
960346800,71.62,74.81,70.50,74.69,556,0,0
960433200,78.12,80.00,75.50,77.44,833,0,0
960778800,83.25,84.31,80.00,81.69,707,0,0
960865200,80.94,82.81,76.81,81.38,1157,0,0
960951600,81.69,82.00,69.00,70.50,1482,0,0
961038000,62.88,63.69,59.98,61.44,599,0,0
961124400,64.38,67.50,63.75,65.75,614,0,0
961383600,65.81,66.25,63.25,65.19,539,0,0
961470000,65.44,65.69,62.50,62.94,389,0,0
961556400,62.25,67.50,61.88,64.50,900,0,0
961642800,65.25,73.88,64.38,68.25,1601,0,0
961729200,71.56,74.75,65.50,66.38,1333,0,0
961988400,68.19,68.36,62.91,64.75,747,0,0
962074800,64.38,67.50,62.88,63.69,856,0,0
962161200,60.12,66.00,57.50,63.56,1357,0,0
962247600,61.88,63.22,61.00,61.50,407,0,0
962334000,62.00,62.12,58.00,60.00,625,0,0
962593200,59.94,61.88,59.50,60.25,446,0,0
962766000,61.00,63.00,58.25,58.44,695,0,0
962852400,59.38,62.62,57.56,61.69,782,0,0
962938800,57.38,59.27,56.06,56.62,567,0,0
963198000,55.94,57.50,54.00,54.88,595,0,0
963284400,53.56,55.88,51.50,53.00,821,0,0
963370800,55.31,61.50,53.94,61.00,944,0,0
963457200,61.62,63.00,59.38,62.00,687,0,0
963543600,63.44,64.88,61.00,63.06,739,0,0
963802800,64.88,70.94,64.62,69.81,772,0,0
963889200,68.44,68.88,65.00,65.12,445,0,0
963975600,64.69,64.94,62.12,63.00,396,0,0
964062000,59.38,63.69,57.06,63.06,959,0,0
964148400,61.31,65.00,61.25,62.81,601,0,0
964407600,62.75,64.94,62.12,63.62,478,0,0
964494000,65.81,69.50,65.69,68.38,506,0,0
964580400,67.50,70.50,66.06,68.69,770,0,0
964666800,66.06,67.12,63.56,65.56,663,0,0
964753200,64.38,66.25,61.00,62.44,857,0,0
965012400,65.00,66.38,63.62,64.94,547,0,0
965098800,64.94,65.00,62.81,62.94,239,0,0
965185200,63.25,64.62,61.50,61.94,494,0,0
965271600,60.00,64.50,58.38,64.25,800,0,0
965358000,66.50,67.88,63.12,64.00,703,0,0
965617200,63.19,65.81,62.31,63.56,664,0,0
965703600,63.00,63.75,60.50,61.06,457,0,0
965790000,62.62,63.11,61.25,61.44,255,0,0
965876400,62.38,63.62,61.25,61.44,381,0,0
965962800,61.19,62.38,58.88,61.62,658,0,0
966222000,61.69,63.00,61.00,62.62,308,0,0
966308400,62.38,62.38,61.00,61.38,177,0,0
966394800,62.12,62.94,60.06,60.50,415,0,0
966481200,60.25,62.38,60.06,60.56,434,0,0
966567600,60.94,61.38,59.69,59.75,220,0,0
966826800,58.75,60.00,57.31,59.00,514,0,0
966913200,58.06,58.75,56.50,56.62,307,0,0
966999600,55.44,56.75,54.81,56.44,289,0,0
967086000,57.06,60.75,56.88,60.62,419,0,0
967172400,60.31,61.31,58.25,58.88,470,0,0
967604400,60.12,60.38,58.00,58.31,296,0,0
967690800,58.75,62.06,58.00,59.88,700,0,0
967777200,60.81,62.00,58.50,59.25,545,0,0
968122800,61.06,61.62,59.38,59.38,281,0,0
968209200,60.12,63.94,59.88,61.81,644,0,0
968295600,62.38,64.62,60.62,64.12,627,0,0
968382000,63.69,65.00,61.44,61.56,500,0,0
968641200,60.55,61.12,58.00,58.12,382,0,0
968727600,61.06,63.62,60.50,61.44,587,0,0
968814000,61.50,64.38,61.44,64.00,339,0,0
968900400,65.00,65.12,62.00,62.62,387,0,0
968986800,62.62,66.62,61.62,66.25,638,0,0
969246000,67.75,71.25,67.12,69.81,621,0,0
969332400,71.69,78.75,70.62,77.50,1046,0,0
969418800,78.19,78.50,72.62,75.05,863,0,0
969505200,73.50,76.94,71.00,71.94,1033,0,0
969591600,69.38,73.12,69.00,73.00,463,0,0
969850800,75.25,75.50,69.44,70.00,688,0,0
969937200,71.38,75.00,69.38,73.38,925,0,0
970023600,74.25,75.62,72.12,72.88,564,0,0
970110000,72.25,75.19,71.56,74.81,471,0,0
970196400,74.69,74.69,70.88,71.25,419,0,0
970455600,72.62,73.94,70.75,71.31,508,0,0
970542000,72.00,75.56,71.44,72.50,775,0,0
970628400,71.62,79.50,71.50,78.44,919,0,0
970714800,78.00,87.00,77.00,82.88,1513,0,0
970801200,82.88,84.00,77.31,77.81,832,0,0
971060400,77.38,81.00,76.50,79.38,701,0,0
971146800,80.88,83.88,78.44,79.69,970,0,0
971233200,77.75,78.94,66.38,70.50,1788,0,0
971319600,72.69,74.19,63.38,64.38,1332,0,0
971406000,64.00,70.06,63.12,69.94,795,0,0
971665200,74.88,78.06,72.81,77.00,839,0,0
971751600,78.38,78.62,71.00,74.19,1106,0,0
971838000,70.12,76.75,68.00,74.81,1282,0,0
971924400,77.86,78.00,73.31,77.00,853,0,0
972010800,74.58,76.75,74.25,74.75,484,0,0
972270000,73.83,74.81,70.81,73.62,780,0,0
972356400,71.94,74.00,70.50,71.00,607,0,0
972442800,70.77,72.75,65.06,65.75,1037,0,0
972529200,67.38,73.06,66.12,71.81,946,0,0
972615600,72.50,76.00,70.88,74.88,787,0,0
972871200,71.31,74.00,65.56,68.12,1370,0,0
972957600,66.62,70.56,63.50,65.11,1262,0,0
973044000,63.39,65.38,61.12,61.50,664,0,0
973130400,62.81,64.75,61.00,62.81,751,0,0
973216800,67.81,73.62,67.75,70.50,906,0,0
973476000,71.38,72.23,69.75,70.56,415,0,0
973562400,70.00,74.56,69.88,73.75,562,0,0
973648800,75.14,75.25,68.88,69.06,667,0,0
973735200,67.81,72.94,67.69,72.69,563,0,0
973821600,72.75,77.50,72.62,73.94,858,0,0
974080800,71.00,78.06,70.94,75.06,1019,0,0
974167200,76.75,80.75,74.44,80.38,900,0,0
974253600,81.38,86.31,81.25,84.19,732,0,0
974340000,82.31,89.81,82.19,88.06,950,0,0
974426400,87.11,89.25,84.62,88.81,757,0,0
974685600,86.62,88.25,84.12,84.62,627,0,0
974772000,82.88,90.25,82.12,87.50,1165,0,0
974858400,85.62,85.62,77.50,78.94,957,0,0
975031200,81.44,85.75,81.25,84.50,595,0,0
975290400,87.00,91.38,86.81,89.44,671,0,0
975376800,87.50,88.69,82.31,83.47,874,0,0
975463200,82.12,85.94,78.50,82.62,1439,0,0
975549600,78.75,82.81,75.25,80.25,1363,0,0
975636000,82.38,88.38,81.50,83.00,1315,0,0
975895200,87.12,90.12,86.00,90.00,537,0,0
975981600,92.50,100.12,91.75,99.62,963,0,0
976068000,98.25,107.81,97.50,99.38,1950,0,0
976154400,96.44,105.00,96.00,104.44,1001,0,0
976240800,105.31,106.25,98.50,103.25,1345,0,0
976500000,98.00,102.56,95.50,99.50,1263,0,0
976586400,98.12,99.25,89.69,89.81,1082,0,0
976672800,92.25,95.62,91.06,91.31,819,0,0
976759200,91.06,94.50,87.75,88.06,1051,0,0
976845600,85.38,86.50,79.00,79.56,919,0,0
977104800,81.25,86.75,81.25,85.44,682,0,0
977191200,86.25,92.81,83.12,83.44,1658,0,0
977277600,81.88,84.00,74.25,77.12,1475,0,0
977364000,77.12,82.50,74.25,75.81,1520,0,0
977450400,78.62,85.00,78.50,85.00,663,0,0
977796000,84.25,86.12,80.62,83.81,1057,0,0
977882400,84.31,90.12,84.00,89.88,668,0,0
977968800,89.69,90.62,86.62,89.38,770,0,0
978055200,89.50,91.75,81.31,82.19,1358,0,0
978400800,81.88,82.25,70.31,70.88,1289,0,0
978487200,69.12,85.75,69.06,84.06,1845,0,0
978573600,79.00,82.38,76.75,78.94,1121,0,0
978660000,79.38,79.81,72.56,73.06,819,0,0
978919200,73.00,78.00,71.75,77.88,763,0,0
979005600,75.12,76.31,71.69,73.25,738,0,0
979092000,69.38,72.62,67.75,72.44,669,0,0
979178400,70.25,74.06,69.56,70.56,870,0,0
979264800,71.88,75.06,70.56,71.81,894,0,0
979610400,69.62,71.12,68.44,70.94,405,0,0
979696800,73.00,74.44,71.56,73.00,577,0,0
979783200,73.62,74.00,71.44,73.06,457,0,0
979869600,74.38,74.44,70.00,70.38,489,0,0
980128800,70.44,75.72,69.31,75.44,783,0,0
980215200,76.31,79.88,76.12,77.62,622,0,0
980301600,78.38,78.39,72.88,74.25,690,0,0
980388000,74.12,76.50,72.88,73.94,707,0,0
980474400,76.94,81.38,75.75,81.00,721,0,0
980733600,80.19,87.00,79.50,86.81,839,0,0
980820000,85.75,86.00,83.03,85.69,589,0,0
980906400,86.00,86.62,83.94,84.06,343,0,0
980992800,83.12,85.50,80.94,85.25,700,0,0
981079200,84.12,89.12,83.25,86.81,906,0,0
981338400,85.81,88.48,85.12,86.44,610,0,0
981424800,85.88,87.38,81.81,82.94,821,0,0
981511200,81.56,87.75,80.94,86.62,857,0,0
981597600,86.44,89.38,84.62,84.75,784,0,0
981684000,84.00,86.00,77.75,79.12,1163,0,0
981943200,79.06,84.94,79.00,82.88,807,0,0
982029600,85.50,87.12,80.44,80.50,837,0,0
982116000,81.56,84.00,79.75,83.38,669,0,0
982202400,84.53,87.94,84.44,85.62,592,0,0
982288800,81.25,83.38,79.94,80.62,626,0,0
982634400,80.44,81.88,75.38,75.52,809,0,0
982720800,72.75,75.81,69.88,71.25,1037,0,0
982807200,69.88,70.50,63.06,66.94,1195,0,0
982893600,59.12,62.62,50.12,61.81,2232,0,0
983152800,62.88,64.19,58.75,63.06,1071,0,0
983239200,61.69,61.75,55.44,55.62,656,0,0
983325600,56.00,58.50,52.12,54.81,1158,0,0
983412000,55.12,61.50,54.94,61.19,706,0,0
983498400,59.69,64.75,59.50,60.50,970,0,0
983757600,61.12,63.25,59.50,62.94,569,0,0
983844000,64.88,66.47,58.19,59.06,1075,0,0
983930400,61.00,61.31,56.06,57.62,713,0,0
984016800,57.69,59.25,57.19,57.25,369,0,0
984103200,55.88,57.25,51.94,51.94,669,0,0
984362400,51.00,54.00,47.25,48.06,1057,0,0
984448800,48.62,53.00,47.56,52.81,670,0,0
984535200,49.89,53.56,49.00,51.31,771,0,0
984621600,53.62,55.12,52.12,52.19,458,0,0
984708000,50.38,51.38,49.25,50.31,420,0,0
984967200,50.50,59.62,50.25,58.19,1106,0,0
985053600,58.00,59.50,53.38,54.00,825,0,0
985140000,54.81,59.12,54.12,58.12,670,0,0
985226400,58.25,59.56,53.00,56.88,1176,0,0
985312800,59.38,59.94,56.06,58.88,727,0,0
985575600,59.38,61.12,55.12,56.62,925,0,0
985662000,57.06,61.00,56.62,59.88,595,0,0
985748400,58.38,58.75,53.62,54.81,670,0,0
985834800,52.38,56.12,52.00,54.69,594,0,0
985921200,54.94,57.69,52.56,56.62,859,0,0
986180400,55.50,57.50,50.94,51.50,913,0,0
986266800,52.00,52.75,45.69,45.75,788,0,0
986353200,44.88,47.62,42.75,43.88,875,0,0
986439600,46.12,48.50,43.38,47.94,843,0,0
986526000,46.78,47.44,43.69,44.62,535,0,0
986785200,44.71,46.20,43.78,45.24,432,0,0
986871600,45.85,50.68,45.21,48.80,800,0,0
986958000,52.87,53.05,49.70,51.09,493,0,0
987044400,49.00,53.28,47.10,53.04,833,0,0
987390000,51.60,52.02,48.01,48.37,480,0,0
987476400,47.95,51.51,47.90,50.76,442,0,0
987562800,53.98,60.00,52.75,58.75,974,0,0
987649200,59.80,66.50,57.86,66.33,1076,0,0
987735600,64.10,66.00,61.26,63.83,922,0,0
987994800,61.32,63.05,58.05,58.20,689,0,0
988081200,59.46,62.63,59.25,59.50,673,0,0
988167600,59.26,63.30,58.16,62.98,657,0,0
988254000,56.53,60.15,56.53,58.05,573,0,0
988340400,59.99,60.50,55.86,56.30,560,0,0
988599600,58.96,60.61,56.70,57.36,623,0,0
988686000,56.72,61.85,55.75,61.75,718,0,0
988772400,61.47,62.94,59.04,60.10,644,0,0
988858800,59.14,61.00,57.72,58.84,627,0,0
988945200,57.15,62.27,56.35,61.59,741,0,0
989204400,61.38,61.55,59.56,60.49,310,0,0
989290800,61.48,62.94,60.42,62.05,448,0,0
989377200,61.19,61.59,59.05,59.28,318,0,0
989463600,60.85,61.30,58.52,58.61,333,0,0
989550000,58.69,60.03,57.14,57.95,505,0,0
989809200,58.12,58.21,55.20,56.92,483,0,0
989895600,58.20,62.36,58.04,59.50,735,0,0
989982000,60.78,64.93,59.87,64.76,615,0,0
990068400,64.66,68.31,64.40,66.35,614,0,0
990154800,65.51,66.86,64.52,65.38,456,0,0
990414000,66.36,71.04,65.75,71.00,595,0,0
990500400,70.66,70.66,67.00,69.91,658,0,0
990586800,70.06,71.00,68.09,68.11,388,0,0
990673200,68.40,70.00,67.05,70.00,431,0,0
990759600,69.17,69.90,67.50,67.52,316,0,0
991105200,67.36,68.45,65.50,66.18,473,0,0
991191600,63.79,64.30,61.05,61.82,454,0,0
991278000,61.95,63.30,60.40,60.74,460,0,0
991364400,61.25,62.50,60.00,61.59,467,0,0
991623600,62.45,63.15,60.56,61.94,468,0,0
991710000,62.02,64.83,61.90,63.52,437,0,0
991796400,63.85,64.54,61.53,62.48,466,0,0
991882800,62.33,65.53,61.70,65.00,500,0,0
991969200,64.70,64.70,61.00,61.24,395,0,0
992228400,61.05,61.21,58.00,59.78,516,0,0
992314800,56.02,58.58,55.50,57.97,422,0,0
992401200,58.27,58.28,54.20,54.22,412,0,0
992487600,54.10,55.00,51.43,51.50,455,0,0
992574000,50.15,50.50,48.50,49.35,321,0,0
992833200,50.79,52.24,49.45,50.04,484,0,0
992919600,52.18,52.43,49.86,50.31,328,0,0
993006000,49.60,50.63,47.98,48.45,416,0,0
993092400,48.68,53.70,48.00,52.50,759,0,0
993178800,52.70,54.60,52.44,54.03,300,0,0
993438000,55.22,55.30,52.76,54.35,422,0,0
993524400,53.31,54.20,51.90,53.45,447,0,0
993610800,53.55,56.75,53.32,55.56,486,0,0
993697200,56.70,59.15,56.70,57.60,401,0,0
993783600,57.31,58.50,56.58,58.48,268,0,0
994042800,57.54,59.45,57.05,57.87,448,0,0
994129200,62.00,63.95,61.20,63.87,364,0,0
994302000,62.94,64.00,61.25,61.41,398,0,0
994388400,61.08,62.00,58.01,58.18,509,0,0
994647600,60.07,62.81,59.70,61.72,458,0,0
994734000,62.26,62.75,58.74,59.05,482,0,0
994820400,58.35,59.49,55.22,56.45,665,0,0
994906800,59.57,63.55,59.37,63.36,458,0,0
994993200,62.54,67.94,61.76,65.58,933,0,0
995252400,65.42,66.66,63.75,64.11,452,0,0
995338800,64.21,65.55,63.06,64.69,451,0,0
995425200,64.23,65.30,61.71,62.55,551,0,0
995511600,64.40,67.41,64.34,65.70,485,0,0
995598000,64.93,65.70,63.90,64.48,316,0,0
995857200,64.39,65.30,60.75,60.85,557,0,0
995943600,58.00,58.37,56.44,57.75,362,0,0
996030000,58.26,60.00,57.11,59.59,446,0,0
996116400,59.74,60.45,57.66,59.66,551,0,0
996202800,63.22,64.60,62.50,63.18,417,0,0
996462000,63.11,65.03,62.90,64.11,327,0,0
996548400,64.33,64.88,61.77,63.23,513,0,0
996634800,64.21,65.94,63.95,65.37,283,0,0
996721200,66.20,68.38,66.09,68.34,245,0,0
996807600,67.50,68.13,66.30,66.86,303,0,0
997066800,66.31,68.20,66.25,67.30,292,0,0
997153200,67.02,68.87,66.75,67.56,371,0,0
997239600,66.99,68.87,64.04,65.09,777,0,0
997326000,65.15,66.40,63.90,65.72,444,0,0
997412400,65.27,65.58,62.20,63.77,527,0,0
997671600,65.37,66.85,64.65,66.60,318,0,0
997758000,67.24,67.75,65.50,65.93,320,0,0
997844400,65.75,66.16,63.50,63.53,311,0,0
997930800,62.64,64.84,60.50,64.81,652,0,0
998017200,63.38,64.30,61.38,61.56,403,0,0
998276400,62.06,63.71,61.49,63.71,280,0,0
998362800,63.72,65.98,62.40,62.44,589,0,0
998449200,63.59,64.04,60.75,63.75,643,0,0
998535600,63.44,65.44,62.93,62.95,454,0,0
998622000,63.79,66.15,63.50,66.11,299,0,0
998881200,65.79,66.59,64.48,64.97,341,0,0
998967600,65.40,65.47,62.57,62.80,321,0,0
999054000,63.38,63.50,61.59,62.72,317,0,0
999140400,61.90,62.95,59.56,59.59,448,0,0
999226800,59.11,60.15,58.03,58.85,399,0,0
999572400,58.75,59.00,54.00,54.30,556,0,0
999658800,53.82,54.20,51.37,53.21,506,0,0
999745200,52.66,54.97,48.40,48.51,900,0,0
999831600,48.00,50.30,47.45,49.18,453,0,0
1000090800,50.47,51.79,49.66,50.54,420,0,0
1000695600,47.25,50.44,45.71,45.79,801,0,0
1000782000,46.53,48.38,45.31,46.37,599,0,0
1000868400,45.64,46.44,42.60,45.00,705,0,0
1000954800,44.50,46.00,43.73,45.54,351,0,0
1001041200,42.85,46.00,42.80,44.89,437,0,0
1001300400,46.56,47.85,45.90,47.60,287,0,0
1001386800,47.33,48.85,46.70,48.82,282,0,0
1001473200,49.10,49.30,46.08,46.33,368,0,0
1001559600,45.92,47.76,44.10,47.56,569,0,0
