time,open,high,low,close,tick_volume,spread,real_volume
1585882800,50.38,50.92,48.10,50.15,542,0,0
1586142000,52.32,59.01,51.97,57.58,883,0,0
1586228400,60.10,64.39,57.24,58.17,1238,0,0
1586314800,58.62,63.67,57.90,63.28,689,0,0
1586401200,64.29,68.10,62.61,65.31,997,0,0
1586746800,64.07,66.26,60.11,62.84,1108,0,0
1586833200,64.49,68.37,64.48,67.15,513,0,0
1586919600,64.95,67.05,61.24,61.85,853,0,0
1587006000,63.22,65.58,61.31,65.23,654,0,0
1587092400,64.55,66.36,64.23,65.85,297,0,0
1587351600,66.32,66.93,63.72,65.61,572,0,0
1587438000,64.38,65.04,62.17,63.27,464,0,0
1587524400,62.82,64.89,62.82,63.37,360,0,0
1587610800,63.70,64.87,63.02,63.17,318,0,0
1587697200,63.22,64.58,62.42,63.33,422,0,0
1587956400,65.05,65.45,63.70,65.34,322,0,0
1588042800,67.00,67.48,64.82,65.67,400,0,0
1588129200,67.25,69.02,65.17,68.62,634,0,0
1588215600,67.68,69.12,64.01,64.18,673,0,0
1588302000,63.43,64.36,60.21,61.25,613,0,0
1588561200,60.63,60.63,57.58,59.15,463,0,0
1588647600,59.38,60.47,58.73,59.20,331,0,0
1588734000,60.33,60.33,57.64,57.68,274,0,0
1588820400,57.92,61.49,56.44,57.26,945,0,0
1588906800,57.88,58.84,57.33,58.73,218,0,0
1589166000,59.25,59.84,56.33,57.42,520,0,0
1589252400,57.63,58.43,55.90,56.25,369,0,0
1589338800,56.06,57.38,53.19,54.64,697,0,0
1589425200,53.84,54.25,51.14,54.08,599,0,0
1589511600,55.00,55.00,51.71,52.57,416,0,0
1589770800,53.52,58.57,52.90,58.01,686,0,0
1589857200,58.45,60.13,56.10,58.04,766,0,0
1589943600,58.65,59.50,57.69,58.09,307,0,0
1590030000,57.00,60.21,57.00,60.06,337,0,0
1590116400,58.50,60.76,58.50,60.10,293,0,0
1590462000,61.32,65.55,60.80,64.61,622,0,0
1590548400,64.20,67.99,64.20,67.48,431,0,0
1590634800,66.55,69.24,66.15,67.34,540,0,0
1590721200,66.88,67.52,64.16,65.09,494,0,0
1590980400,65.99,66.38,63.87,63.87,291,0,0
1591066800,63.56,65.51,62.55,63.63,586,0,0
1591153200,64.55,68.02,63.98,67.93,471,0,0
1591239600,66.26,68.16,66.26,67.54,253,0,0
1591326000,68.60,73.73,68.50,72.50,657,0,0
1591585200,73.65,76.33,72.41,74.29,721,0,0
1591671600,75.21,75.21,69.50,70.84,706,0,0
1591758000,71.78,72.00,67.22,67.40,519,0,0
1591844400,66.35,66.35,62.83,64.34,504,0,0
1591930800,64.01,67.16,63.36,65.71,591,0,0
1592190000,62.48,68.09,61.87,67.97,696,0,0
1592276400,67.97,71.63,66.07,68.10,1100,0,0
1592362800,69.93,69.93,66.19,66.31,387,0,0
1592449200,66.22,67.50,65.48,67.22,305,0,0
1592535600,68.68,68.68,64.45,64.63,442,0,0
1592794800,65.10,66.51,63.94,65.45,480,0,0
1592881200,65.20,66.59,64.16,64.52,419,0,0
1592967600,64.25,65.18,61.07,61.61,559,0,0
1593054000,60.98,63.18,59.96,61.32,611,0,0
1593140400,61.06,61.85,58.95,59.89,464,0,0
1593399600,59.65,62.25,58.95,62.19,407,0,0
1593486000,62.21,62.21,60.09,61.32,336,0,0
1593572400,61.15,62.89,60.55,61.56,428,0,0
1593658800,62.51,63.47,61.63,61.84,302,0,0
1594004400,63.28,63.86,62.12,63.48,329,0,0
1594090800,63.55,63.90,60.87,61.12,364,0,0
1594177200,61.35,61.92,60.21,61.19,327,0,0
1594263600,61.53,61.53,58.07,58.50,390,0,0
1594350000,58.39,60.21,57.85,59.80,332,0,0
1594609200,61.35,61.35,58.73,59.58,348,0,0
1594695600,60.43,61.68,58.46,61.61,527,0,0
1594782000,60.39,63.30,60.39,63.16,306,0,0
1594868400,63.75,63.75,61.25,62.13,339,0,0
1594954800,63.69,63.69,61.70,62.10,240,0,0
1595214000,61.93,63.40,60.82,61.41,465,0,0
1595300400,61.45,63.48,61.45,63.13,239,0,0
1595386800,62.62,63.76,62.16,63.70,213,0,0
1595473200,64.02,64.58,62.88,63.32,271,0,0
1595559600,63.25,63.96,61.78,62.07,319,0,0
1595818800,61.87,62.69,60.65,61.24,346,0,0
1595905200,61.07,63.18,59.78,61.01,675,0,0
1595991600,60.95,61.17,59.06,59.44,272,0,0
1596078000,59.08,59.31,57.28,57.83,282,0,0
1596164400,57.58,58.05,56.11,56.67,298,0,0
1596423600,56.45,57.73,55.73,57.53,293,0,0
1596510000,57.55,57.95,57.11,57.68,156,0,0
1596596400,57.71,60.31,57.70,60.21,273,0,0
