time,open,high,low,close,tick_volume,spread,real_volume
1643594400,18.95,18.95,18.76,18.87,31,0,0
1643680800,18.98,19.36,18.96,19.33,46,0,0
1643767200,19.50,19.57,19.21,19.39,62,0,0
1643853600,19.66,19.73,19.34,19.57,70,0,0
1643940000,19.98,20.41,19.96,20.25,64,0,0
1644199200,20.38,20.75,20.24,20.72,69,0,0
1644285600,20.53,20.81,20.04,20.04,106,0,0
1644372000,20.01,20.40,19.77,20.33,95,0,0
1644458400,20.01,20.41,19.96,20.25,67,0,0
1644544800,19.96,20.50,19.94,20.47,62,0,0
1644804000,20.32,20.44,19.88,19.96,77,0,0
1644890400,20.20,20.20,19.50,19.82,103,0,0
1644976800,19.91,20.27,19.85,20.21,55,0,0
1645063200,20.20,20.20,19.52,19.56,73,0,0
1645149600,19.71,19.94,19.48,19.53,75,0,0
1645408800,19.55,19.72,19.32,19.49,75,0,0
1645495200,19.89,20.00,19.45,19.54,76,0,0
1645581600,19.35,19.64,19.29,19.48,58,0,0
1645668000,19.40,20.32,19.07,19.56,235,0,0
1645754400,19.35,20.10,19.28,20.09,91,0,0
1646013600,20.17,20.19,19.26,19.79,149,0,0
1646100000,19.64,19.86,19.27,19.72,111,0,0
1646186400,19.71,20.64,19.68,20.50,114,0,0
1646272800,20.54,20.80,19.52,19.52,155,0,0
1646359200,19.24,19.25,18.43,18.61,102,0,0
1646618400,18.54,19.99,18.54,19.86,159,0,0
1646704800,19.45,20.53,19.45,20.50,112,0,0
1646791200,20.49,20.69,19.80,19.93,123,0,0
1646877600,20.04,20.13,19.48,19.51,78,0,0
1646964000,19.82,20.19,19.40,19.58,135,0,0
1647223200,19.13,19.59,19.10,19.27,85,0,0
1647309600,18.88,19.32,18.71,19.31,80,0,0
1647396000,19.46,19.65,18.97,19.15,106,0,0
1647482400,19.09,19.58,18.98,19.58,72,0,0
1647568800,19.59,19.60,19.18,19.44,70,0,0
1647828000,19.60,20.29,19.55,20.18,91,0,0
1647914400,20.10,20.48,20.02,20.07,90,0,0
1648000800,20.14,20.90,20.12,20.78,93,0,0
1648087200,20.40,21.14,20.40,20.90,99,0,0
1648173600,20.82,21.22,20.55,21.10,107,0,0
1648436400,20.83,21.18,20.62,20.66,96,0,0
1648522800,20.63,21.14,20.10,20.19,165,0,0
1648609200,20.52,21.14,20.49,21.14,69,0,0
1648695600,20.86,21.22,20.77,21.12,65,0,0
1648782000,21.00,21.21,20.82,21.13,66,0,0
1649041200,21.20,21.37,21.02,21.14,65,0,0
1649127600,21.22,21.33,20.93,21.14,73,0,0
1649214000,21.24,21.42,21.21,21.34,33,0,0
1649300400,21.30,21.30,20.79,20.89,62,0,0
1649386800,21.21,21.69,21.05,21.65,85,0,0
1649646000,21.58,21.77,21.28,21.41,82,0,0
1649732400,21.29,21.77,21.24,21.72,64,0,0
1649818800,21.35,22.03,21.35,21.82,90,0,0
1649905200,21.80,21.99,21.64,21.85,66,0,0
1650337200,21.94,22.60,21.94,22.50,77,0,0
1650423600,22.45,22.45,22.04,22.11,49,0,0
1650510000,21.98,22.34,21.98,22.23,48,0,0
1650596400,22.26,22.26,21.81,21.90,55,0,0
1650855600,21.29,21.47,20.71,20.74,98,0,0
1650942000,21.26,21.53,20.60,21.06,167,0,0
1651028400,21.44,21.48,21.04,21.34,79,0,0
1651114800,20.90,21.88,20.90,21.84,103,0,0
1651201200,21.88,21.98,21.64,21.76,57,0,0
1651546800,21.60,22.20,21.32,22.20,117,0,0
1651633200,22.03,22.51,22.03,22.32,68,0,0
1651719600,22.26,23.25,22.26,22.94,131,0,0
1651806000,22.90,23.35,22.88,23.16,69,0,0
1652065200,23.18,23.35,22.28,22.31,128,0,0
1652151600,22.29,22.60,21.91,22.54,114,0,0
1652238000,22.38,23.19,22.36,23.14,91,0,0
1652324400,22.68,22.90,22.30,22.47,100,0,0
1652410800,22.42,23.09,22.37,23.08,79,0,0
1652670000,22.97,23.37,22.92,23.35,53,0,0
1652756400,23.50,23.64,23.35,23.56,53,0,0
1652842800,23.55,24.09,23.40,23.82,112,0,0
1652929200,23.95,23.95,23.01,23.27,121,0,0
1653015600,23.68,23.79,23.33,23.35,60,0,0
1653274800,23.50,23.90,23.49,23.87,46,0,0
1653361200,23.56,23.77,23.44,23.64,59,0,0
1653447600,22.60,24.02,22.60,23.88,157,0,0
1653534000,23.92,24.14,23.88,24.05,40,0,0
1653620400,24.07,24.10,23.54,23.73,79,0,0
1653879600,23.79,23.79,23.48,23.75,59,0,0
1653966000,23.85,24.22,23.85,23.99,61,0,0
1654052400,24.25,24.25,23.57,23.71,83,0,0
1654484400,23.78,24.24,23.75,24.04,73,0,0
1654570800,24.03,24.25,23.92,24.19,51,0,0
1654657200,24.22,24.39,24.14,24.35,38,0,0
1654743600,24.39,24.60,24.01,24.03,83,0,0
1654830000,23.85,23.92,23.25,23.36,86,0,0
1655089200,23.40,23.40,22.59,22.70,93,0,0
1655175600,23.09,23.38,22.68,23.32,118,0,0
1655262000,22.96,23.04,22.51,22.73,84,0,0
1655348400,22.94,22.94,21.38,21.48,167,0,0
1655434800,21.37,21.42,20.46,20.53,109,0,0
1655694000,20.15,21.30,20.15,21.18,128,0,0
1655780400,21.87,21.87,21.13,21.51,113,0,0
