time,open,high,low,close,tick_volume,spread,real_volume
1480298400,4.27,4.27,4.26,4.26,2,0,0
1480384800,4.30,4.32,4.24,4.26,13,0,0
1480471200,4.28,4.32,4.16,4.17,22,0,0
1480557600,4.19,4.22,3.95,3.95,31,0,0
1480644000,3.99,4.04,3.87,3.89,25,0,0
1480903200,3.90,4.12,3.90,4.06,29,0,0
1480989600,4.09,4.14,4.02,4.13,21,0,0
1481076000,4.09,4.13,4.00,4.06,24,0,0
1481162400,4.04,4.32,4.04,4.28,33,0,0
1481248800,4.28,4.37,4.18,4.24,35,0,0
1481508000,4.22,4.29,4.19,4.20,19,0,0
1481594400,4.22,4.27,4.19,4.23,16,0,0
1481680800,4.25,4.25,4.14,4.18,16,0,0
1481767200,4.20,4.28,4.14,4.24,25,0,0
1481853600,4.25,4.28,4.19,4.21,15,0,0
1482112800,4.22,4.29,4.17,4.23,24,0,0
1482199200,4.24,4.24,4.11,4.14,17,0,0
1482285600,4.15,4.16,4.06,4.09,15,0,0
1482372000,4.08,4.09,3.99,4.02,15,0,0
1482458400,4.04,4.14,4.01,4.14,17,0,0
1482804000,4.17,4.38,4.14,4.30,36,0,0
1482890400,4.40,4.42,4.28,4.32,21,0,0
1482976800,4.34,4.39,4.25,4.32,27,0,0
1483063200,4.32,4.34,4.26,4.28,13,0,0
1483408800,4.32,4.36,4.21,4.28,27,0,0
1483495200,4.34,4.45,4.29,4.45,22,0,0
1483581600,4.44,4.79,4.43,4.73,44,0,0
1483668000,4.73,4.76,4.57,4.72,38,0,0
1483927200,4.73,4.75,4.67,4.73,17,0,0
1484013600,4.72,4.91,4.70,4.78,37,0,0
1484100000,4.78,4.87,4.73,4.86,21,0,0
1484186400,4.86,4.89,4.76,4.86,27,0,0
1484272800,4.80,4.94,4.80,4.81,28,0,0
1484618400,4.84,4.98,4.83,4.96,19,0,0
1484704800,4.96,5.05,4.91,5.05,20,0,0
1484791200,5.02,5.11,4.99,5.06,21,0,0
1484877600,5.05,5.13,4.96,5.01,31,0,0
1484964000,5.00,5.01,4.96,5.01,10,0,0
1485136800,4.98,5.03,4.92,4.94,19,0,0
1485223200,5.04,5.04,4.90,4.95,20,0,0
1485309600,4.94,5.20,4.93,5.16,33,0,0
1485396000,5.17,5.25,5.07,5.11,31,0,0
1485482400,5.12,5.18,5.10,5.18,11,0,0
1485741600,5.18,5.18,5.00,5.12,31,0,0
1485828000,5.12,5.12,5.02,5.09,18,0,0
1485914400,5.09,5.18,5.06,5.14,20,0,0
1486000800,5.14,5.26,5.03,5.24,37,0,0
1486087200,5.25,5.27,5.14,5.26,26,0,0
1486346400,5.26,5.33,5.15,5.33,30,0,0
1486432800,5.24,5.38,5.24,5.32,21,0,0
1486519200,5.29,5.38,5.27,5.32,20,0,0
1486605600,5.33,5.50,5.33,5.46,22,0,0
1486692000,5.49,5.62,5.49,5.52,24,0,0
1486778400,5.58,5.58,5.58,5.58,1,0,0
1486951200,5.61,5.71,5.53,5.64,34,0,0
1487037600,5.62,5.73,5.52,5.73,32,0,0
1487124000,5.72,6.15,5.43,6.08,109,0,0
1487210400,6.14,6.24,5.96,6.03,46,0,0
1487296800,6.04,6.23,6.01,6.19,30,0,0
1487642400,6.23,6.39,6.18,6.36,30,0,0
1487728800,6.42,6.42,6.18,6.36,43,0,0
1487815200,6.37,6.44,6.18,6.35,51,0,0
1487901600,6.21,6.21,6.07,6.18,26,0,0
1488160800,6.19,6.22,5.98,6.00,30,0,0
1488247200,6.02,6.08,5.92,5.95,26,0,0
1488333600,5.95,6.02,5.90,5.93,23,0,0
1488420000,5.96,6.06,5.90,6.02,27,0,0
1488506400,6.04,6.04,5.91,6.00,23,0,0
1488765600,6.06,6.07,5.86,5.94,31,0,0
