time,open,high,low,close,tick_volume,spread,real_volume
1468465200,10.65,11.00,10.65,11.00,36,0,0
1468551600,10.82,11.17,10.82,11.13,40,0,0
1468810800,11.25,11.25,11.05,11.09,25,0,0
1468897200,11.18,11.24,10.88,10.93,48,0,0
1468983600,10.82,11.14,10.82,11.11,36,0,0
1469070000,11.18,11.18,11.03,11.05,18,0,0
1469156400,10.89,11.23,10.89,11.16,42,0,0
1469415600,11.10,11.22,11.09,11.12,25,0,0
1469502000,11.03,11.20,10.95,11.17,37,0,0
1469588400,11.10,11.22,11.10,11.12,23,0,0
1469674800,11.18,11.22,11.10,11.20,23,0,0
1469761200,11.12,11.30,10.65,10.92,111,0,0
1470020400,10.91,11.10,10.80,11.06,46,0,0
1470106800,10.50,11.00,10.46,10.62,97,0,0
1470193200,10.55,10.80,10.43,10.53,73,0,0
1470279600,10.50,10.66,10.48,10.54,33,0,0
1470366000,10.55,10.66,10.44,10.66,34,0,0
1470625200,10.54,10.85,10.53,10.84,35,0,0
1470798000,10.50,10.91,10.50,10.89,44,0,0
1470884400,10.98,10.98,10.40,10.75,94,0,0
1470970800,10.69,10.84,10.65,10.75,33,0,0
1471230000,10.67,10.93,10.60,10.92,42,0,0
1471316400,10.65,10.99,10.65,10.91,43,0,0
1471402800,11.00,11.00,10.73,10.75,30,0,0
1471489200,10.88,10.95,10.60,10.78,61,0,0
1471575600,10.85,10.85,10.62,10.70,32,0,0
1471834800,10.85,10.85,10.60,10.65,31,0,0
1471921200,10.75,10.85,10.67,10.77,35,0,0
1472007600,10.62,10.83,10.62,10.77,28,0,0
1472094000,10.65,10.85,10.60,10.83,33,0,0
1472180400,10.65,10.89,10.64,10.74,42,0,0
1472439600,10.77,10.77,10.61,10.65,21,0,0
1472526000,10.62,10.74,10.56,10.58,33,0,0
1472612400,10.52,10.84,10.45,10.53,78,0,0
1472698800,10.59,10.68,10.49,10.62,36,0,0
1472785200,10.52,10.70,10.52,10.62,27,0,0
1473044400,10.58,10.81,10.58,10.77,28,0,0
1473130800,10.81,10.86,10.69,10.84,32,0,0
1473217200,10.88,10.90,10.63,10.67,34,0,0
1473303600,10.75,10.79,10.56,10.73,45,0,0
1473390000,10.80,10.80,10.56,10.64,33,0,0
1473735600,10.69,10.69,10.50,10.50,20,0,0
1473822000,10.50,10.70,10.50,10.56,35,0,0
1473908400,10.50,10.58,10.50,10.51,16,0,0
1473994800,10.47,10.61,10.45,10.50,30,0,0
1474254000,10.80,10.80,10.45,10.53,44,0,0
1474340400,10.70,10.70,10.48,10.51,26,0,0
1474426800,10.59,10.65,10.54,10.60,22,0,0
1474513200,10.63,10.80,10.56,10.58,44,0,0
1474599600,10.54,10.69,10.52,10.57,32,0,0
1474858800,10.67,10.70,10.52,10.54,24,0,0
1474945200,10.59,10.62,10.48,10.61,27,0,0
1475031600,10.63,10.70,10.50,10.53,31,0,0
1475118000,10.51,10.65,10.51,10.62,18,0,0
